detection_id,_time,severity,title,host,user,classification,note
ATD-009-01151,2026-08-31T17:13:15Z,medium,Scheduled Task Review,FILE-02,ACME\jsmith,context,background detection
ATD-009-00172,2026-08-31T17:14:45Z,low,Scheduled Task Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-00934,2026-08-31T17:18:44Z,medium,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00815,2026-08-31T17:24:21Z,medium,Administrative Change Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-01805,2026-08-31T17:27:49Z,medium,Scheduled Task Review,FILE-02,ACME\kpatel,context,background detection
ATD-009-00673,2026-08-31T17:30:59Z,medium,Scheduled Task Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-00946,2026-08-31T17:32:27Z,low,Administrative Change Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00622,2026-08-31T17:33:37Z,low,Administrative Change Review,DC-01,ACME\kpatel,context,background detection
ATD-009-00209,2026-08-31T17:40:20Z,low,Administrative Change Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00246,2026-08-31T17:41:46Z,medium,PowerShell Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00968,2026-08-31T17:43:19Z,medium,Administrative Change Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-00822,2026-08-31T17:43:38Z,medium,Scheduled Task Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00698,2026-08-31T17:45:07Z,medium,Scheduled Task Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-00225,2026-08-31T18:00:22Z,low,Administrative Change Review,PATCH-01,ACME\svc_patch,context,background detection
ATD-009-00588,2026-08-31T18:00:30Z,medium,Administrative Change Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00990,2026-08-31T18:00:44Z,low,PowerShell Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01458,2026-08-31T18:05:10Z,low,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01025,2026-08-31T18:08:17Z,medium,Administrative Change Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-00174,2026-08-31T18:26:53Z,low,Scheduled Task Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01453,2026-08-31T18:32:07Z,low,Administrative Change Review,MGMT-01,ACME\kpatel,context,background detection
ATD-009-00696,2026-08-31T18:33:19Z,low,Administrative Change Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01143,2026-08-31T18:37:52Z,medium,Administrative Change Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01396,2026-08-31T18:38:33Z,low,Scheduled Task Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-00178,2026-08-31T18:39:18Z,medium,Administrative Change Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00888,2026-08-31T18:39:49Z,low,PowerShell Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01296,2026-08-31T18:43:31Z,low,Administrative Change Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01501,2026-08-31T18:43:35Z,medium,Administrative Change Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-00474,2026-08-31T18:51:19Z,medium,PowerShell Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01344,2026-08-31T18:51:56Z,low,Scheduled Task Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-01807,2026-08-31T18:57:05Z,medium,PowerShell Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-01616,2026-08-31T18:57:28Z,low,Scheduled Task Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-01432,2026-08-31T19:13:44Z,medium,PowerShell Review,HR-WS-22,ACME\kpatel,context,background detection
ATD-009-01444,2026-08-31T19:21:21Z,medium,Scheduled Task Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-00838,2026-08-31T19:23:13Z,low,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00919,2026-08-31T19:25:28Z,medium,PowerShell Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-00142,2026-08-31T19:26:35Z,medium,Scheduled Task Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-01564,2026-08-31T19:28:25Z,low,Scheduled Task Review,FILE-02,ACME\jsmith,context,background detection
ATD-009-00190,2026-08-31T19:29:55Z,low,Administrative Change Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01233,2026-08-31T19:31:48Z,low,Administrative Change Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00630,2026-08-31T19:43:46Z,low,PowerShell Review,FILE-02,ACME\admin.ops,context,background detection
ATD-009-01659,2026-08-31T19:44:15Z,low,PowerShell Review,JUMP-01,ACME\kpatel,context,background detection
ATD-009-01494,2026-08-31T19:47:34Z,low,PowerShell Review,HR-WS-22,ACME\jsmith,context,background detection
ATD-009-01230,2026-08-31T19:52:38Z,low,PowerShell Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00420,2026-08-31T19:59:14Z,medium,Scheduled Task Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-00513,2026-08-31T20:00:34Z,low,Administrative Change Review,PATCH-01,ACME\svc_patch,context,background detection
ATD-009-00638,2026-08-31T20:12:39Z,low,PowerShell Review,APP-03,ACME\jsmith,context,background detection
ATD-009-01651,2026-08-31T20:17:50Z,low,PowerShell Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-01400,2026-08-31T20:21:49Z,low,Scheduled Task Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-01139,2026-08-31T20:27:56Z,medium,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-00720,2026-08-31T20:29:05Z,medium,PowerShell Review,HR-WS-22,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00131,2026-08-31T20:34:02Z,medium,Scheduled Task Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-00156,2026-08-31T20:35:29Z,low,PowerShell Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01150,2026-08-31T20:35:38Z,medium,Administrative Change Review,APP-03,ACME\jsmith,context,background detection
ATD-009-00994,2026-08-31T20:43:40Z,medium,PowerShell Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-01709,2026-08-31T20:56:12Z,low,Administrative Change Review,APP-03,ACME\jsmith,context,background detection
ATD-009-01794,2026-08-31T21:06:20Z,medium,Scheduled Task Review,PATCH-01,ACME\jsmith,context,background detection
ATD-009-00123,2026-08-31T21:11:59Z,medium,Scheduled Task Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01735,2026-08-31T21:12:03Z,low,Scheduled Task Review,MGMT-01,ACME\kpatel,context,background detection
ATD-009-01731,2026-08-31T21:13:02Z,low,PowerShell Review,HR-WS-22,ACME\admin.ops,context,background detection
ATD-009-00669,2026-08-31T21:15:09Z,low,Administrative Change Review,APP-03,ACME\kpatel,context,background detection
ATD-009-00771,2026-08-31T21:15:58Z,medium,Administrative Change Review,DC-01,ACME\admin.ops,context,background detection
ATD-009-01147,2026-08-31T21:21:16Z,medium,Scheduled Task Review,HR-WS-22,ACME\jsmith,context,background detection
ATD-009-00664,2026-08-31T21:21:37Z,medium,PowerShell Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-01187,2026-08-31T21:21:42Z,medium,Administrative Change Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00597,2026-08-31T21:35:05Z,medium,Scheduled Task Review,FILE-02,ACME\jsmith,context,background detection
ATD-009-01032,2026-08-31T21:43:37Z,low,Administrative Change Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00783,2026-08-31T21:49:03Z,low,Scheduled Task Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00542,2026-08-31T21:49:40Z,low,Administrative Change Review,FILE-02,ACME\admin.ops,context,background detection
ATD-009-01078,2026-08-31T21:49:58Z,medium,Scheduled Task Review,PATCH-01,ACME\svc_patch,context,background detection
ATD-009-01000,2026-08-31T21:56:00Z,low,PowerShell Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01541,2026-08-31T22:08:13Z,low,PowerShell Review,PATCH-01,ACME\jsmith,context,background detection
ATD-009-01813,2026-08-31T22:10:54Z,medium,Scheduled Task Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-00650,2026-08-31T22:15:44Z,medium,PowerShell Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-00876,2026-08-31T22:15:47Z,medium,PowerShell Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00799,2026-08-31T22:20:51Z,low,Administrative Change Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01545,2026-08-31T22:22:57Z,medium,Administrative Change Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-00252,2026-08-31T22:29:39Z,low,Administrative Change Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-01087,2026-08-31T22:34:25Z,low,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00459,2026-08-31T22:36:45Z,medium,PowerShell Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-01335,2026-08-31T22:49:32Z,medium,Administrative Change Review,PATCH-01,ACME\svc_patch,context,background detection
ATD-009-01428,2026-08-31T22:51:14Z,low,Scheduled Task Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-00132,2026-08-31T22:53:00Z,low,Administrative Change Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00148,2026-08-31T22:54:24Z,low,PowerShell Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-01168,2026-08-31T23:01:29Z,medium,Scheduled Task Review,HR-WS-22,ACME\admin.ops,context,background detection
ATD-009-00967,2026-08-31T23:01:59Z,low,PowerShell Review,APP-03,ACME\kpatel,context,background detection
ATD-009-00961,2026-08-31T23:03:43Z,low,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-01773,2026-08-31T23:05:32Z,medium,PowerShell Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00877,2026-08-31T23:14:42Z,medium,PowerShell Review,FILE-02,ACME\svc_patch,context,background detection
ATD-009-01774,2026-08-31T23:16:35Z,low,Administrative Change Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00368,2026-08-31T23:23:24Z,low,Scheduled Task Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01821,2026-08-31T23:23:29Z,low,Administrative Change Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-01847,2026-08-31T23:28:06Z,medium,Scheduled Task Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-01225,2026-08-31T23:32:45Z,low,Scheduled Task Review,APP-03,ACME\kpatel,context,background detection
ATD-009-00296,2026-08-31T23:36:58Z,low,Administrative Change Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00383,2026-08-31T23:40:29Z,medium,PowerShell Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01309,2026-08-31T23:41:04Z,medium,PowerShell Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-00782,2026-08-31T23:48:51Z,low,Scheduled Task Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00604,2026-08-31T23:55:44Z,low,PowerShell Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01546,2026-08-31T23:55:55Z,low,Scheduled Task Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-01437,2026-09-01T00:04:53Z,medium,PowerShell Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01226,2026-09-01T00:05:34Z,medium,PowerShell Review,APP-03,ACME\jsmith,context,background detection
ATD-009-00385,2026-09-01T00:12:55Z,low,Scheduled Task Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-01866,2026-09-01T00:13:26Z,low,Administrative Change Review,MGMT-01,ACME\admin.ops,context,background detection
ATD-009-00548,2026-09-01T00:14:02Z,low,Scheduled Task Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00593,2026-09-01T00:14:51Z,medium,Scheduled Task Review,DC-01,ACME\admin.ops,context,background detection
ATD-009-01330,2026-09-01T00:21:25Z,medium,Administrative Change Review,FILE-02,ACME\admin.ops,context,background detection
ATD-009-00603,2026-09-01T00:28:20Z,low,PowerShell Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-00560,2026-09-01T00:28:28Z,medium,PowerShell Review,JUMP-01,ACME\kpatel,context,background detection
ATD-009-00517,2026-09-01T00:33:52Z,medium,Scheduled Task Review,DC-01,ACME\jsmith,context,background detection
ATD-009-01106,2026-09-01T00:39:54Z,low,Administrative Change Review,JUMP-01,ACME\jsmith,context,background detection
ATD-009-01067,2026-09-01T00:40:23Z,low,Administrative Change Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01640,2026-09-01T00:53:02Z,medium,PowerShell Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00683,2026-09-01T01:07:25Z,medium,Scheduled Task Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01431,2026-09-01T01:16:28Z,medium,PowerShell Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-00821,2026-09-01T01:17:09Z,medium,PowerShell Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-01419,2026-09-01T01:18:27Z,low,Scheduled Task Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-01510,2026-09-01T01:20:51Z,medium,PowerShell Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00376,2026-09-01T01:27:02Z,medium,Scheduled Task Review,HR-WS-22,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00151,2026-09-01T01:36:07Z,low,PowerShell Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-01619,2026-09-01T01:38:00Z,low,Scheduled Task Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-00675,2026-09-01T01:41:49Z,low,Scheduled Task Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01890,2026-09-01T01:42:14Z,medium,Administrative Change Review,DC-01,ACME\jsmith,context,background detection
ATD-009-00752,2026-09-01T01:42:47Z,low,PowerShell Review,MGMT-01,ACME\svc_patch,context,background detection
ATD-009-01646,2026-09-01T01:44:22Z,low,Scheduled Task Review,PATCH-01,ACME\admin.ops,context,background detection
ATD-009-00872,2026-09-01T01:45:10Z,low,PowerShell Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-01534,2026-09-01T01:48:34Z,medium,Administrative Change Review,MGMT-01,ACME\jsmith,context,background detection
ATD-009-00319,2026-09-01T01:59:10Z,low,Administrative Change Review,DC-01,ACME\kpatel,context,background detection
ATD-009-00590,2026-09-01T01:59:34Z,medium,Administrative Change Review,APP-03,ACME\jsmith,context,background detection
ATD-009-00833,2026-09-01T02:09:41Z,medium,Scheduled Task Review,HR-WS-22,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01797,2026-09-01T02:11:52Z,medium,Scheduled Task Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00317,2026-09-01T02:14:43Z,low,PowerShell Review,APP-03,ACME\jsmith,context,background detection
ATD-009-01820,2026-09-01T02:20:54Z,medium,PowerShell Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00623,2026-09-01T02:29:16Z,medium,PowerShell Review,FILE-02,ACME\jsmith,context,background detection
ATD-009-00565,2026-09-01T02:31:43Z,low,Administrative Change Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01173,2026-09-01T02:38:36Z,medium,PowerShell Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00949,2026-09-01T02:46:13Z,low,Scheduled Task Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-01634,2026-09-01T02:46:37Z,medium,Scheduled Task Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01342,2026-09-01T02:47:24Z,low,Administrative Change Review,DC-01,ACME\svc_patch,context,background detection
ATD-009-00954,2026-09-01T02:48:13Z,medium,PowerShell Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00792,2026-09-01T02:53:42Z,medium,Scheduled Task Review,DC-01,ACME\kpatel,context,background detection
ATD-009-01007,2026-09-01T02:56:20Z,low,PowerShell Review,APP-03,ACME\admin.ops,context,background detection
ATD-009-01851,2026-09-01T02:59:05Z,medium,PowerShell Review,PATCH-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00334,2026-09-01T03:06:38Z,medium,Administrative Change Review,HR-WS-22,ACME\admin.ops,context,background detection
ATD-009-01098,2026-09-01T03:10:02Z,low,PowerShell Review,MGMT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00652,2026-09-01T03:13:43Z,medium,PowerShell Review,APP-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-00624,2026-09-01T03:18:24Z,medium,Scheduled Task Review,APP-03,ACME\jsmith,context,background detection
ATD-009-00520,2026-09-01T03:18:53Z,medium,PowerShell Review,JUMP-01,ACME\svc_patch,context,background detection
ATD-009-00724,2026-09-01T03:20:45Z,medium,PowerShell Review,HR-WS-22,ACME\svc_patch,context,background detection
ATD-009-00551,2026-09-01T03:26:26Z,medium,PowerShell Review,PATCH-01,ACME\kpatel,context,background detection
ATD-009-00572,2026-09-01T03:27:52Z,medium,Administrative Change Review,JUMP-01,ACME\admin.ops,context,background detection
ATD-009-01870,2026-09-01T03:28:02Z,low,Scheduled Task Review,APP-03,ACME\kpatel,context,background detection
ATD-009-01379,2026-09-01T03:28:26Z,low,Administrative Change Review,FILE-02,ACME\admin.ops,context,background detection
ATD-009-00893,2026-09-01T03:31:14Z,low,PowerShell Review,APP-03,ACME\svc_patch,context,background detection
ATD-009-01083,2026-09-01T03:38:59Z,low,Scheduled Task Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01554,2026-09-01T03:49:27Z,low,PowerShell Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-009-01378,2026-09-01T03:50:31Z,low,Administrative Change Review,APP-03,ACME\admin.ops,context,background detection
