asset_id,host,role,owner,criticality,approved_task_roots,note
AST-00022,HR-WS-22,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00023,MGMT-01,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00024,APP-03,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00025,FILE-02,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00026,JUMP-01,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00027,DC-01,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00028,PATCH-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00029,HR-WS-22,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00030,MGMT-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00031,APP-03,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00032,FILE-02,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00033,JUMP-01,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00034,DC-01,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00035,PATCH-01,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00036,HR-WS-22,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00037,MGMT-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00038,APP-03,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00039,FILE-02,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00040,JUMP-01,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00041,DC-01,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00042,PATCH-01,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00043,HR-WS-22,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00044,MGMT-01,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00045,APP-03,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00046,FILE-02,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00047,JUMP-01,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00048,DC-01,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00049,PATCH-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00050,HR-WS-22,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00051,MGMT-01,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00052,APP-03,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00053,FILE-02,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00054,JUMP-01,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00055,DC-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00056,PATCH-01,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00057,HR-WS-22,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00058,MGMT-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00059,APP-03,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00060,FILE-02,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00061,JUMP-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00062,DC-01,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00063,PATCH-01,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00064,HR-WS-22,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00065,MGMT-01,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00066,APP-03,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00067,FILE-02,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00068,JUMP-01,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00069,DC-01,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00070,PATCH-01,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00071,HR-WS-22,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00072,MGMT-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00073,APP-03,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00074,FILE-02,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00075,JUMP-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00076,DC-01,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00077,PATCH-01,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00078,HR-WS-22,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00079,MGMT-01,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00080,APP-03,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00081,FILE-02,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00082,JUMP-01,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00083,DC-01,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00084,PATCH-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00085,HR-WS-22,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00086,MGMT-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00087,APP-03,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00088,FILE-02,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00089,JUMP-01,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00090,DC-01,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00091,PATCH-01,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00092,HR-WS-22,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00093,MGMT-01,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00094,APP-03,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00095,FILE-02,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00096,JUMP-01,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00097,DC-01,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00098,PATCH-01,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00099,HR-WS-22,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00100,MGMT-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00101,APP-03,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00102,FILE-02,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00103,JUMP-01,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00104,DC-01,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00105,PATCH-01,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00106,HR-WS-22,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00107,MGMT-01,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00108,APP-03,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00109,FILE-02,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00110,JUMP-01,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00111,DC-01,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00112,PATCH-01,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00113,HR-WS-22,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00114,MGMT-01,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00115,APP-03,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00116,FILE-02,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00117,JUMP-01,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00118,DC-01,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00119,PATCH-01,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00120,HR-WS-22,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00121,LAB-ASSET-0120,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00122,LAB-ASSET-0121,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00123,LAB-ASSET-0122,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00124,LAB-ASSET-0123,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00125,LAB-ASSET-0124,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00126,LAB-ASSET-0125,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00127,LAB-ASSET-0126,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00128,LAB-ASSET-0127,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00129,LAB-ASSET-0128,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00130,LAB-ASSET-0129,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00131,LAB-ASSET-0130,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00132,LAB-ASSET-0131,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00133,LAB-ASSET-0132,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00134,LAB-ASSET-0133,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00135,LAB-ASSET-0134,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00136,LAB-ASSET-0135,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00137,LAB-ASSET-0136,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00138,LAB-ASSET-0137,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00139,LAB-ASSET-0138,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00140,LAB-ASSET-0139,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00141,LAB-ASSET-0140,application server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00142,LAB-ASSET-0141,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00143,LAB-ASSET-0142,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00144,LAB-ASSET-0143,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00145,LAB-ASSET-0144,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00146,LAB-ASSET-0145,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00147,LAB-ASSET-0146,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00148,LAB-ASSET-0147,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00149,LAB-ASSET-0148,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00150,LAB-ASSET-0149,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00151,LAB-ASSET-0150,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00152,LAB-ASSET-0151,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00153,LAB-ASSET-0152,management server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00154,LAB-ASSET-0153,workstation,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00155,LAB-ASSET-0154,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00156,LAB-ASSET-0155,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00157,LAB-ASSET-0156,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00158,LAB-ASSET-0157,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00159,LAB-ASSET-0158,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00160,LAB-ASSET-0159,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00161,LAB-ASSET-0160,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00162,LAB-ASSET-0161,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00163,LAB-ASSET-0162,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00164,LAB-ASSET-0163,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00165,LAB-ASSET-0164,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00166,LAB-ASSET-0165,application server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00167,LAB-ASSET-0166,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00168,LAB-ASSET-0167,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00169,LAB-ASSET-0168,management server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00170,LAB-ASSET-0169,management server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00171,LAB-ASSET-0170,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00172,LAB-ASSET-0171,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00173,LAB-ASSET-0172,management server,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00174,LAB-ASSET-0173,application server,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00175,LAB-ASSET-0174,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00176,LAB-ASSET-0175,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00177,LAB-ASSET-0176,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00178,LAB-ASSET-0177,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00179,LAB-ASSET-0178,management server,Infrastructure,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00180,LAB-ASSET-0179,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00181,LAB-ASSET-0180,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00182,LAB-ASSET-0181,application server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00183,LAB-ASSET-0182,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00184,LAB-ASSET-0183,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00185,LAB-ASSET-0184,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00186,LAB-ASSET-0185,application server,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00187,LAB-ASSET-0186,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00188,LAB-ASSET-0187,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00189,LAB-ASSET-0188,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00190,LAB-ASSET-0189,management server,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00191,LAB-ASSET-0190,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00192,LAB-ASSET-0191,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00193,LAB-ASSET-0192,workstation,IT Operations,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00194,LAB-ASSET-0193,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00195,LAB-ASSET-0194,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00196,LAB-ASSET-0195,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00197,LAB-ASSET-0196,workstation,HR,high,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00198,LAB-ASSET-0197,workstation,HR,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00199,LAB-ASSET-0198,application server,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00200,LAB-ASSET-0199,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00201,LAB-ASSET-0200,workstation,IT Operations,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
AST-00202,LAB-ASSET-0201,workstation,Infrastructure,medium,\ACME\Patch;\ACME\Inventory;\Microsoft\Windows\Defrag,synthetic asset context
