event_id,_time,host,user,task_name,action,task_command,run_as,classification,note
TASK-00831,2026-08-31T13:32:17Z,PATCH-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00711,2026-08-31T13:33:12Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01050,2026-08-31T13:44:09Z,DC-01,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00125,2026-08-31T13:45:40Z,DC-01,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00768,2026-08-31T13:46:58Z,FILE-02,NT AUTHORITY\SYSTEM,\ACME\Patch\DailyScan,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00155,2026-08-31T13:50:45Z,MGMT-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01375,2026-08-31T14:00:18Z,MGMT-01,ACME\kpatel,\Microsoft\Windows\DiskCleanup,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01043,2026-08-31T14:01:49Z,PATCH-01,ACME\kpatel,\Microsoft\Windows\DiskCleanup,updated,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01504,2026-08-31T14:06:24Z,JUMP-01,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-CTX-001,2026-08-31T14:07:00Z,HR-WS-22,ACME\admin.ops,\ACME\Inventory\Daily,started,C:\ACME\Inventory\inventory.exe --daily,NT AUTHORITY\SYSTEM,benign,known inventory task
TASK-01582,2026-08-31T14:07:12Z,PATCH-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01492,2026-08-31T14:11:22Z,DC-01,ACME\svc_patch,\ACME\Patch\DailyScan,created,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00340,2026-08-31T14:15:05Z,JUMP-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,completed,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01084,2026-08-31T14:20:36Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-INC-001,2026-08-31T14:26:00Z,HR-WS-22,ACME\kpatel,\Microsoft\Windows\Update\TelemetryCheck,created,powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File C:\ProgramData\WinCache\check.ps1,NT AUTHORITY\SYSTEM,investigate,plausible name; unusual action and path
TASK-INC-002,2026-08-31T14:26:14Z,HR-WS-22,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\TelemetryCheck,started,powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File C:\ProgramData\WinCache\check.ps1,NT AUTHORITY\SYSTEM,investigate,task executes
TASK-00306,2026-08-31T14:26:57Z,DC-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-BEN-001,2026-08-31T14:34:00Z,PATCH-01,ACME\svc_patch,\ACME\Patch\TelemetryCheck,created,powershell.exe -NoProfile -File C:\ACME\Patch\TelemetryCheck.ps1,ACME\svc_patch,benign,approved patch automation
TASK-BEN-002,2026-08-31T14:34:10Z,PATCH-01,ACME\svc_patch,\ACME\Patch\TelemetryCheck,started,powershell.exe -NoProfile -File C:\ACME\Patch\TelemetryCheck.ps1,ACME\svc_patch,benign,approved patch task starts
TASK-00332,2026-08-31T14:34:37Z,DC-01,ACME\admin.ops,\ACME\Patch\DailyScan,created,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-RESP-001,2026-08-31T14:37:00Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\TelemetryCheck,disabled,powershell.exe -NoProfile -WindowStyle Hidden -ExecutionPolicy Bypass -File C:\ProgramData\WinCache\check.ps1,NT AUTHORITY\SYSTEM,response,responder disables task
TASK-RESP-002,2026-08-31T14:38:00Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\TelemetryCheck,exported,schtasks /Query /XML,ACME\jsmith,response,task XML preserved
TASK-01120,2026-08-31T14:41:51Z,JUMP-01,ACME\jsmith,\ACME\Patch\DailyScan,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01529,2026-08-31T14:42:19Z,JUMP-01,ACME\jsmith,\ACME\Patch\DailyScan,completed,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00775,2026-08-31T14:47:22Z,APP-03,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,updated,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00589,2026-08-31T14:47:29Z,DC-01,ACME\svc_patch,\ACME\Patch\DailyScan,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00278,2026-08-31T14:51:09Z,FILE-02,NT AUTHORITY\SYSTEM,\ACME\Patch\DailyScan,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00309,2026-08-31T14:51:37Z,JUMP-01,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01615,2026-08-31T14:53:43Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01326,2026-08-31T14:56:30Z,DC-01,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01315,2026-08-31T15:06:58Z,HR-WS-22,ACME\svc_patch,\ACME\Patch\DailyScan,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00565,2026-08-31T15:07:55Z,PATCH-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01213,2026-08-31T15:10:33Z,MGMT-01,ACME\jsmith,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01179,2026-08-31T15:11:26Z,MGMT-01,ACME\svc_patch,\ACME\Patch\DailyScan,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01123,2026-08-31T15:12:09Z,APP-03,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00700,2026-08-31T15:13:29Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01075,2026-08-31T15:16:55Z,FILE-02,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00095,2026-08-31T15:22:15Z,HR-WS-22,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00257,2026-08-31T15:22:51Z,DC-01,ACME\kpatel,\ACME\Patch\DailyScan,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01105,2026-08-31T15:22:55Z,DC-01,ACME\jsmith,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00191,2026-08-31T15:25:55Z,MGMT-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00139,2026-08-31T15:33:25Z,PATCH-01,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01483,2026-08-31T15:35:49Z,MGMT-01,ACME\admin.ops,\ACME\Patch\DailyScan,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01276,2026-08-31T15:43:40Z,FILE-02,ACME\kpatel,\ACME\Patch\DailyScan,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00692,2026-08-31T15:57:21Z,PATCH-01,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01561,2026-08-31T16:00:38Z,PATCH-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01603,2026-08-31T16:09:27Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00402,2026-08-31T16:21:35Z,APP-03,ACME\jsmith,\ACME\Patch\DailyScan,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00580,2026-08-31T16:21:49Z,PATCH-01,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,created,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01290,2026-08-31T16:22:07Z,JUMP-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01152,2026-08-31T16:24:26Z,FILE-02,ACME\kpatel,\ACME\Patch\DailyScan,completed,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00912,2026-08-31T16:25:58Z,MGMT-01,ACME\kpatel,\ACME\Patch\DailyScan,completed,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00923,2026-08-31T16:26:33Z,JUMP-01,ACME\kpatel,\Microsoft\Windows\DiskCleanup,created,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01171,2026-08-31T16:30:56Z,MGMT-01,ACME\svc_patch,\ACME\Patch\DailyScan,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01406,2026-08-31T16:31:58Z,DC-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01316,2026-08-31T16:35:02Z,APP-03,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00214,2026-08-31T16:43:27Z,HR-WS-22,ACME\svc_patch,\ACME\Patch\DailyScan,updated,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01354,2026-08-31T16:51:08Z,DC-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01393,2026-08-31T16:59:39Z,MGMT-01,ACME\jsmith,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00769,2026-08-31T16:59:58Z,MGMT-01,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01143,2026-08-31T17:01:00Z,MGMT-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,updated,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01496,2026-08-31T17:01:59Z,DC-01,ACME\kpatel,\Microsoft\Windows\DiskCleanup,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00885,2026-08-31T17:04:36Z,FILE-02,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00489,2026-08-31T17:06:39Z,FILE-02,ACME\kpatel,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01198,2026-08-31T17:07:15Z,MGMT-01,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,created,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00131,2026-08-31T17:07:24Z,HR-WS-22,ACME\jsmith,\ACME\Patch\DailyScan,created,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01337,2026-08-31T17:10:48Z,PATCH-01,ACME\kpatel,\ACME\Patch\DailyScan,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01448,2026-08-31T17:11:48Z,MGMT-01,ACME\admin.ops,\ACME\Patch\DailyScan,created,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00069,2026-08-31T17:19:58Z,HR-WS-22,NT AUTHORITY\SYSTEM,\ACME\Patch\DailyScan,created,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00047,2026-08-31T17:24:43Z,DC-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,completed,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00596,2026-08-31T17:25:04Z,FILE-02,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00879,2026-08-31T17:27:46Z,DC-01,ACME\admin.ops,\ACME\Patch\DailyScan,created,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00466,2026-08-31T17:28:17Z,DC-01,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,created,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00007,2026-08-31T17:32:09Z,APP-03,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01005,2026-08-31T17:43:33Z,DC-01,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00250,2026-08-31T17:47:23Z,FILE-02,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01382,2026-08-31T17:49:20Z,APP-03,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-00501,2026-08-31T17:55:54Z,JUMP-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01464,2026-08-31T17:59:02Z,DC-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01192,2026-08-31T18:00:46Z,APP-03,ACME\svc_patch,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00819,2026-08-31T18:06:34Z,FILE-02,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,updated,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00582,2026-08-31T18:10:45Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00755,2026-08-31T18:13:44Z,DC-01,ACME\svc_patch,\ACME\Patch\DailyScan,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01094,2026-08-31T18:21:52Z,MGMT-01,ACME\jsmith,\ACME\Patch\DailyScan,updated,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-01391,2026-08-31T18:25:55Z,HR-WS-22,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,completed,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00877,2026-08-31T18:26:09Z,DC-01,ACME\svc_patch,\ACME\Patch\DailyScan,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00990,2026-08-31T18:36:07Z,DC-01,ACME\jsmith,\ACME\Patch\DailyScan,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00424,2026-08-31T18:53:00Z,FILE-02,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00910,2026-08-31T18:54:51Z,APP-03,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01672,2026-08-31T19:00:53Z,APP-03,NT AUTHORITY\SYSTEM,\ACME\Patch\DailyScan,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01662,2026-08-31T19:07:55Z,JUMP-01,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-01265,2026-08-31T19:07:56Z,JUMP-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\DiskCleanup,started,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01403,2026-08-31T19:08:57Z,PATCH-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01378,2026-08-31T19:14:33Z,PATCH-01,ACME\svc_patch,\Microsoft\Windows\Update\Maintenance,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00761,2026-08-31T19:19:30Z,PATCH-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,started,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01036,2026-08-31T19:21:16Z,PATCH-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,updated,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00354,2026-08-31T19:39:02Z,HR-WS-22,ACME\jsmith,\ACME\Patch\DailyScan,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00731,2026-08-31T19:40:04Z,HR-WS-22,ACME\admin.ops,\ACME\Patch\DailyScan,created,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00690,2026-08-31T19:42:33Z,HR-WS-22,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
TASK-00514,2026-08-31T19:49:07Z,JUMP-01,ACME\jsmith,\Microsoft\Windows\Update\Maintenance,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00886,2026-08-31T19:50:49Z,JUMP-01,ACME\admin.ops,\ACME\Patch\DailyScan,created,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01227,2026-08-31T19:54:30Z,FILE-02,ACME\svc_patch,\ACME\Patch\DailyScan,completed,powershell.exe -File C:\ACME\Patch\scan.ps1,ACME\svc_patch,benign,routine scheduled task
TASK-00937,2026-08-31T20:01:09Z,MGMT-01,NT AUTHORITY\SYSTEM,\Microsoft\Windows\Update\Maintenance,updated,powershell.exe -File C:\ACME\Patch\scan.ps1,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-01650,2026-08-31T20:01:32Z,APP-03,ACME\kpatel,\Microsoft\Windows\DiskCleanup,created,cleanmgr.exe /AUTOCLEAN,ACME\svc_patch,benign,routine scheduled task
TASK-01283,2026-08-31T20:01:38Z,DC-01,ACME\admin.ops,\Microsoft\Windows\DiskCleanup,started,UsoClient.exe StartScan,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00528,2026-08-31T20:06:08Z,HR-WS-22,ACME\kpatel,\Microsoft\Windows\Update\Maintenance,completed,cleanmgr.exe /AUTOCLEAN,NT AUTHORITY\SYSTEM,benign,routine scheduled task
TASK-00702,2026-08-31T20:07:42Z,PATCH-01,ACME\admin.ops,\Microsoft\Windows\Update\Maintenance,started,UsoClient.exe StartScan,ACME\svc_patch,benign,routine scheduled task
