event_id,_time,host,actor,service_name,display_name,action,image_path,start_type,service_account,classification,note
SVC-00264,2026-09-07T13:31:44Z,ENG-WS-17,ACME\svc_sccm,CcmExec,Windows Defender,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00240,2026-09-07T13:49:20Z,SCCM-01,NT AUTHORITY\SYSTEM,Spooler,SMS Agent Host,configuration_read,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00099,2026-09-07T13:54:02Z,JUMP-01,ACME\adavis,CcmExec,Print Spooler,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-CTX-001,2026-09-07T13:56:00Z,ENG-WS-17,ACME\svc_sccm,CcmExec,SMS Agent Host,started,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,known endpoint-management service
SVC-INC-001,2026-09-07T14:18:00Z,ENG-WS-17,ACME\adavis,WinSupportSvc,Windows Support Service,installed,C:\ProgramData\WinSupport\supportsvc.exe -service,auto,LocalSystem,investigate,plausible display name; unusual path
SVC-INC-002,2026-09-07T14:18:12Z,ENG-WS-17,NT AUTHORITY\SYSTEM,WinSupportSvc,Windows Support Service,started,C:\ProgramData\WinSupport\supportsvc.exe -service,auto,LocalSystem,investigate,new service starts
SVC-BEN-001,2026-09-07T14:25:00Z,APP-06,ACME\svc_sccm,ACMESupportAgent,ACME Support Agent,installed,C:\Program Files\ACME\Support\agent.exe --service,auto,LocalSystem,benign,approved endpoint support deployment
SVC-BEN-002,2026-09-07T14:25:14Z,APP-06,NT AUTHORITY\SYSTEM,ACMESupportAgent,ACME Support Agent,started,C:\Program Files\ACME\Support\agent.exe --service,auto,LocalSystem,benign,approved support agent starts
SVC-RESP-001,2026-09-07T14:32:00Z,ENG-WS-17,ACME\jsmith,WinSupportSvc,Windows Support Service,disabled,C:\ProgramData\WinSupport\supportsvc.exe -service,disabled,LocalSystem,response,responder disables persistence
SVC-00445,2026-09-07T14:43:03Z,DC-01,ACME\svc_sccm,WinDefend,ACME Inventory,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00306,2026-09-07T14:47:50Z,APP-06,ACME\mturner,WinDefend,Windows Time,stopped,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00481,2026-09-07T14:57:22Z,JUMP-01,ACME\adavis,W32Time,Print Spooler,stopped,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00244,2026-09-07T15:01:42Z,JUMP-01,ACME\mturner,Spooler,Windows Time,configuration_read,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00256,2026-09-07T15:25:00Z,JUMP-01,ACME\svc_sccm,Spooler,ACME Inventory,stopped,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00254,2026-09-07T15:33:49Z,FILE-03,ACME\mturner,W32Time,ACME Inventory,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00051,2026-09-07T15:42:57Z,ENG-WS-17,ACME\svc_sccm,W32Time,ACME Inventory,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00035,2026-09-07T15:43:47Z,APP-06,ACME\adavis,Spooler,Windows Time,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00243,2026-09-07T15:51:04Z,ENG-WS-17,ACME\svc_sccm,CcmExec,Windows Time,started,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00274,2026-09-07T15:57:44Z,OPS-WS-08,ACME\jsmith,WinDefend,Print Spooler,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00067,2026-09-07T16:04:16Z,JUMP-01,NT AUTHORITY\SYSTEM,W32Time,SMS Agent Host,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00177,2026-09-07T16:23:34Z,SCCM-01,ACME\svc_sccm,W32Time,ACME Inventory,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00224,2026-09-07T16:42:11Z,FILE-03,ACME\mturner,W32Time,Windows Time,started,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00493,2026-09-07T16:49:33Z,APP-06,ACME\jsmith,CcmExec,SMS Agent Host,stopped,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00448,2026-09-07T17:05:17Z,DC-01,ACME\svc_sccm,ACMEInventory,Print Spooler,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00397,2026-09-07T17:05:37Z,ENG-WS-17,ACME\jsmith,W32Time,Windows Time,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00166,2026-09-07T17:17:02Z,OPS-WS-08,ACME\svc_sccm,ACMEInventory,Print Spooler,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00251,2026-09-07T17:29:47Z,OPS-WS-08,ACME\jsmith,CcmExec,ACME Inventory,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00105,2026-09-07T17:44:37Z,APP-06,ACME\adavis,Spooler,SMS Agent Host,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00396,2026-09-07T17:46:37Z,ENG-WS-17,ACME\svc_sccm,ACMEInventory,ACME Inventory,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00201,2026-09-07T17:51:12Z,APP-06,NT AUTHORITY\SYSTEM,W32Time,Print Spooler,started,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00468,2026-09-07T17:59:49Z,DC-01,ACME\adavis,Spooler,Windows Time,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00200,2026-09-07T18:00:39Z,OPS-WS-08,ACME\mturner,W32Time,Windows Defender,stopped,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00074,2026-09-07T18:05:26Z,ENG-WS-17,ACME\mturner,CcmExec,Windows Time,started,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00125,2026-09-07T18:15:44Z,APP-06,ACME\adavis,CcmExec,SMS Agent Host,stopped,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00170,2026-09-07T18:53:52Z,DC-01,ACME\adavis,W32Time,Windows Time,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00151,2026-09-07T19:02:31Z,OPS-WS-08,ACME\adavis,W32Time,Print Spooler,queried,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00441,2026-09-07T19:14:23Z,SCCM-01,ACME\mturner,WinDefend,ACME Inventory,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00342,2026-09-07T19:28:20Z,FILE-03,ACME\jsmith,WinDefend,Windows Defender,stopped,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00460,2026-09-07T19:35:04Z,APP-06,ACME\adavis,ACMEInventory,Windows Time,queried,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00411,2026-09-07T20:01:30Z,DC-01,ACME\adavis,CcmExec,ACME Inventory,queried,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00351,2026-09-07T20:09:08Z,JUMP-01,ACME\mturner,Spooler,ACME Inventory,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00159,2026-09-07T20:29:27Z,DC-01,ACME\mturner,WinDefend,ACME Inventory,started,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00079,2026-09-07T20:31:07Z,SCCM-01,ACME\mturner,W32Time,Print Spooler,started,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00032,2026-09-07T20:36:56Z,APP-06,ACME\adavis,W32Time,Windows Time,stopped,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00413,2026-09-07T20:48:52Z,DC-01,ACME\svc_sccm,W32Time,Print Spooler,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00196,2026-09-07T20:53:21Z,ENG-WS-17,ACME\adavis,Spooler,SMS Agent Host,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00052,2026-09-07T20:57:55Z,FILE-03,ACME\svc_sccm,ACMEInventory,ACME Inventory,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00280,2026-09-07T21:05:04Z,FILE-03,ACME\svc_sccm,WinDefend,SMS Agent Host,stopped,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00290,2026-09-07T21:15:13Z,SCCM-01,ACME\adavis,ACMEInventory,Windows Defender,queried,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00287,2026-09-07T21:37:04Z,APP-06,ACME\adavis,WinDefend,Windows Time,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00449,2026-09-07T21:37:14Z,FILE-03,ACME\jsmith,ACMEInventory,SMS Agent Host,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00063,2026-09-07T21:39:00Z,ENG-WS-17,ACME\adavis,W32Time,SMS Agent Host,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00496,2026-09-07T21:49:45Z,ENG-WS-17,NT AUTHORITY\SYSTEM,WinDefend,ACME Inventory,stopped,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00308,2026-09-07T22:30:21Z,APP-06,NT AUTHORITY\SYSTEM,W32Time,Windows Defender,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00174,2026-09-07T22:31:38Z,FILE-03,ACME\svc_sccm,CcmExec,ACME Inventory,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00309,2026-09-07T22:44:21Z,FILE-03,ACME\svc_sccm,WinDefend,Windows Time,started,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00412,2026-09-07T22:50:40Z,OPS-WS-08,ACME\svc_sccm,ACMEInventory,Windows Time,started,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00024,2026-09-07T22:55:09Z,OPS-WS-08,ACME\jsmith,W32Time,Print Spooler,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00214,2026-09-07T23:01:27Z,FILE-03,ACME\mturner,Spooler,ACME Inventory,queried,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00087,2026-09-07T23:43:20Z,ENG-WS-17,ACME\svc_sccm,W32Time,Print Spooler,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00027,2026-09-07T23:51:05Z,OPS-WS-08,ACME\svc_sccm,W32Time,SMS Agent Host,started,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00315,2026-09-07T23:55:46Z,JUMP-01,ACME\jsmith,WinDefend,ACME Inventory,queried,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00304,2026-09-08T00:05:31Z,FILE-03,ACME\jsmith,ACMEInventory,Print Spooler,queried,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00285,2026-09-08T00:18:32Z,JUMP-01,ACME\svc_sccm,ACMEInventory,Print Spooler,started,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00061,2026-09-08T00:37:33Z,JUMP-01,ACME\mturner,WinDefend,SMS Agent Host,started,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00302,2026-09-08T01:09:45Z,FILE-03,ACME\mturner,WinDefend,ACME Inventory,stopped,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00084,2026-09-08T01:10:12Z,FILE-03,ACME\mturner,CcmExec,ACME Inventory,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00381,2026-09-08T01:21:34Z,SCCM-01,ACME\jsmith,CcmExec,Windows Time,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00292,2026-09-08T01:46:51Z,ENG-WS-17,NT AUTHORITY\SYSTEM,Spooler,Windows Defender,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00263,2026-09-08T02:24:00Z,SCCM-01,ACME\adavis,WinDefend,SMS Agent Host,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00230,2026-09-08T02:36:05Z,FILE-03,ACME\adavis,WinDefend,Windows Time,queried,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00278,2026-09-08T02:43:07Z,DC-01,ACME\jsmith,W32Time,ACME Inventory,stopped,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00065,2026-09-08T02:52:27Z,JUMP-01,ACME\adavis,W32Time,Print Spooler,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00289,2026-09-08T03:01:23Z,ENG-WS-17,ACME\svc_sccm,W32Time,Windows Defender,configuration_read,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00216,2026-09-08T03:07:25Z,FILE-03,NT AUTHORITY\SYSTEM,W32Time,ACME Inventory,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00327,2026-09-08T03:11:29Z,DC-01,NT AUTHORITY\SYSTEM,CcmExec,Print Spooler,configuration_read,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00080,2026-09-08T03:31:05Z,SCCM-01,ACME\jsmith,Spooler,Windows Time,stopped,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00241,2026-09-08T03:31:46Z,JUMP-01,ACME\adavis,ACMEInventory,Print Spooler,configuration_read,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00053,2026-09-08T03:49:27Z,ENG-WS-17,ACME\jsmith,Spooler,Windows Defender,started,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00294,2026-09-08T03:52:28Z,ENG-WS-17,ACME\jsmith,WinDefend,ACME Inventory,queried,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00011,2026-09-08T04:25:53Z,SCCM-01,ACME\adavis,WinDefend,Windows Time,queried,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00187,2026-09-08T04:30:47Z,FILE-03,NT AUTHORITY\SYSTEM,ACMEInventory,Windows Time,configuration_read,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00299,2026-09-08T04:31:38Z,FILE-03,ACME\svc_sccm,CcmExec,ACME Inventory,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00257,2026-09-08T04:32:24Z,DC-01,ACME\svc_sccm,CcmExec,ACME Inventory,started,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00094,2026-09-08T04:36:33Z,SCCM-01,ACME\jsmith,ACMEInventory,Print Spooler,stopped,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00059,2026-09-08T04:53:07Z,OPS-WS-08,ACME\adavis,W32Time,Windows Defender,started,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00417,2026-09-08T05:01:12Z,DC-01,ACME\jsmith,W32Time,SMS Agent Host,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00249,2026-09-08T05:29:22Z,ENG-WS-17,ACME\svc_sccm,CcmExec,ACME Inventory,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00291,2026-09-08T05:30:34Z,SCCM-01,NT AUTHORITY\SYSTEM,WinDefend,ACME Inventory,configuration_read,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00175,2026-09-08T05:52:38Z,JUMP-01,ACME\jsmith,WinDefend,ACME Inventory,started,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00428,2026-09-08T05:52:50Z,JUMP-01,ACME\svc_sccm,Spooler,SMS Agent Host,stopped,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00168,2026-09-08T05:59:03Z,FILE-03,ACME\mturner,Spooler,ACME Inventory,queried,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00437,2026-09-08T06:01:34Z,OPS-WS-08,ACME\jsmith,WinDefend,Print Spooler,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00395,2026-09-08T06:11:00Z,ENG-WS-17,NT AUTHORITY\SYSTEM,WinDefend,Print Spooler,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00467,2026-09-08T06:18:37Z,FILE-03,NT AUTHORITY\SYSTEM,Spooler,Print Spooler,queried,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00237,2026-09-08T07:00:50Z,FILE-03,ACME\adavis,WinDefend,SMS Agent Host,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00253,2026-09-08T07:07:48Z,FILE-03,ACME\mturner,Spooler,Windows Defender,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00238,2026-09-08T07:12:09Z,DC-01,ACME\jsmith,Spooler,SMS Agent Host,configuration_read,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00012,2026-09-08T07:42:48Z,ENG-WS-17,ACME\mturner,WinDefend,ACME Inventory,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00211,2026-09-08T07:54:07Z,ENG-WS-17,ACME\jsmith,W32Time,ACME Inventory,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00050,2026-09-08T07:54:29Z,DC-01,ACME\adavis,WinDefend,Windows Defender,started,C:\Windows\CCM\CcmExec.exe,demand,LocalSystem,benign,routine service activity
SVC-00480,2026-09-08T08:08:02Z,APP-06,ACME\adavis,ACMEInventory,SMS Agent Host,stopped,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00362,2026-09-08T08:09:20Z,APP-06,ACME\jsmith,CcmExec,SMS Agent Host,started,C:\Windows\CCM\CcmExec.exe,auto,NetworkService,benign,routine service activity
SVC-00329,2026-09-08T08:27:30Z,SCCM-01,ACME\svc_sccm,CcmExec,ACME Inventory,queried,C:\Windows\System32\svchost.exe,auto,LocalSystem,benign,routine service activity
SVC-00167,2026-09-08T08:35:50Z,DC-01,ACME\adavis,ACMEInventory,Windows Time,configuration_read,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00398,2026-09-08T08:56:52Z,DC-01,ACME\adavis,W32Time,ACME Inventory,queried,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00447,2026-09-08T09:01:43Z,FILE-03,ACME\jsmith,CcmExec,SMS Agent Host,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00140,2026-09-08T09:02:54Z,ENG-WS-17,ACME\jsmith,Spooler,ACME Inventory,configuration_read,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00162,2026-09-08T09:34:12Z,DC-01,ACME\svc_sccm,CcmExec,ACME Inventory,queried,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00499,2026-09-08T09:52:31Z,APP-06,ACME\svc_sccm,Spooler,Windows Defender,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00328,2026-09-08T10:00:31Z,SCCM-01,ACME\jsmith,WinDefend,ACME Inventory,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00405,2026-09-08T10:07:13Z,FILE-03,ACME\mturner,ACMEInventory,ACME Inventory,stopped,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,NetworkService,benign,routine service activity
SVC-00316,2026-09-08T10:07:52Z,FILE-03,ACME\svc_sccm,Spooler,Windows Defender,configuration_read,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00319,2026-09-08T10:16:21Z,ENG-WS-17,ACME\jsmith,CcmExec,Windows Time,queried,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00418,2026-09-08T10:20:41Z,APP-06,ACME\svc_sccm,ACMEInventory,Print Spooler,queried,C:\Windows\System32\svchost.exe,demand,NetworkService,benign,routine service activity
SVC-00385,2026-09-08T10:21:58Z,ENG-WS-17,ACME\jsmith,Spooler,Print Spooler,configuration_read,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00270,2026-09-08T10:25:06Z,OPS-WS-08,ACME\mturner,Spooler,SMS Agent Host,stopped,C:\Windows\CCM\CcmExec.exe,demand,NetworkService,benign,routine service activity
SVC-00258,2026-09-08T10:31:51Z,DC-01,ACME\adavis,W32Time,ACME Inventory,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,LocalSystem,benign,routine service activity
SVC-00129,2026-09-08T10:41:49Z,ENG-WS-17,ACME\svc_sccm,ACMEInventory,Windows Defender,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00439,2026-09-08T10:46:50Z,APP-06,ACME\jsmith,ACMEInventory,ACME Inventory,queried,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00089,2026-09-08T10:47:27Z,FILE-03,ACME\adavis,Spooler,SMS Agent Host,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00172,2026-09-08T10:52:03Z,APP-06,ACME\jsmith,Spooler,SMS Agent Host,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00488,2026-09-08T11:06:13Z,FILE-03,ACME\adavis,Spooler,Windows Time,stopped,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00193,2026-09-08T11:10:33Z,ENG-WS-17,ACME\mturner,W32Time,ACME Inventory,configuration_read,C:\Windows\System32\svchost.exe,demand,LocalSystem,benign,routine service activity
SVC-00133,2026-09-08T11:30:21Z,APP-06,NT AUTHORITY\SYSTEM,WinDefend,Windows Time,stopped,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00156,2026-09-08T12:02:26Z,JUMP-01,NT AUTHORITY\SYSTEM,Spooler,SMS Agent Host,started,C:\Program Files\ACME\Inventory\inventorysvc.exe,auto,NetworkService,benign,routine service activity
SVC-00260,2026-09-08T12:10:32Z,DC-01,ACME\jsmith,WinDefend,SMS Agent Host,stopped,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00490,2026-09-08T13:08:48Z,FILE-03,NT AUTHORITY\SYSTEM,CcmExec,ACME Inventory,configuration_read,C:\Program Files\ACME\Inventory\inventorysvc.exe,demand,LocalSystem,benign,routine service activity
SVC-00121,2026-09-08T13:24:18Z,ENG-WS-17,NT AUTHORITY\SYSTEM,W32Time,Windows Defender,queried,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00453,2026-09-08T13:47:03Z,FILE-03,ACME\mturner,ACMEInventory,Print Spooler,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00469,2026-09-08T14:05:01Z,OPS-WS-08,ACME\jsmith,Spooler,Windows Defender,configuration_read,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
SVC-00026,2026-09-08T14:11:22Z,SCCM-01,ACME\mturner,ACMEInventory,ACME Inventory,started,C:\Windows\CCM\CcmExec.exe,auto,LocalSystem,benign,routine service activity
SVC-00340,2026-09-08T14:20:42Z,APP-06,ACME\adavis,CcmExec,Windows Defender,started,C:\Windows\System32\svchost.exe,auto,NetworkService,benign,routine service activity
