change_id,_time,host,owner,change_type,approved,package,deployment_source,classification,note
CHG-01062,2026-09-07T14:02:09Z,JUMP-01,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01285,2026-09-07T14:04:44Z,OPS-WS-08,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-GAP-001,2026-09-07T14:18:00Z,ENG-WS-17,,none_found,no,WinSupportSvc,,investigate,no approved change matches service
CHG-BEN-001,2026-09-07T14:24:00Z,APP-06,Endpoint Team,software_deployment,yes,ACME Support Agent 4.2,SCCM-01,benign,approved support-agent rollout
CHG-RESP-001,2026-09-07T14:28:00Z,ENG-WS-17,SOC,incident_response,yes,IR containment ENG-WS-17,JUMP-01,response,response change opened
CHG-01117,2026-09-07T14:33:45Z,SCCM-01,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01150,2026-09-07T15:16:57Z,SCCM-01,Workplace Engineering,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01422,2026-09-07T15:19:39Z,JUMP-01,Endpoint Team,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01417,2026-09-07T15:37:06Z,ENG-WS-17,Workplace Engineering,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01298,2026-09-07T15:44:28Z,FILE-03,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01119,2026-09-07T15:47:42Z,SCCM-01,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01488,2026-09-07T16:07:51Z,FILE-03,Endpoint Team,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01046,2026-09-07T16:13:35Z,ENG-WS-17,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01432,2026-09-07T16:42:53Z,JUMP-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01343,2026-09-07T17:04:32Z,SCCM-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01113,2026-09-07T17:08:35Z,APP-06,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01020,2026-09-07T17:08:47Z,ENG-WS-17,Endpoint Team,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01246,2026-09-07T17:10:25Z,DC-01,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01272,2026-09-07T17:24:52Z,SCCM-01,Workplace Engineering,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01228,2026-09-07T18:10:56Z,DC-01,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01388,2026-09-07T18:13:12Z,APP-06,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01400,2026-09-07T18:14:24Z,APP-06,Endpoint Team,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01037,2026-09-07T18:34:27Z,FILE-03,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01191,2026-09-07T19:04:42Z,APP-06,Workplace Engineering,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01250,2026-09-07T19:44:28Z,FILE-03,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01419,2026-09-07T19:44:38Z,JUMP-01,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01423,2026-09-07T19:54:44Z,APP-06,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01286,2026-09-07T19:59:51Z,JUMP-01,Workplace Engineering,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01135,2026-09-07T20:07:01Z,FILE-03,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01052,2026-09-07T20:13:22Z,SCCM-01,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01498,2026-09-07T20:19:03Z,ENG-WS-17,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01363,2026-09-07T21:00:03Z,APP-06,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01328,2026-09-07T21:04:18Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01199,2026-09-07T21:07:21Z,SCCM-01,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01174,2026-09-07T21:10:37Z,APP-06,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01091,2026-09-07T21:11:17Z,DC-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01148,2026-09-07T21:41:30Z,APP-06,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01392,2026-09-07T22:07:21Z,FILE-03,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01411,2026-09-07T22:11:20Z,ENG-WS-17,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01125,2026-09-07T22:12:35Z,OPS-WS-08,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01256,2026-09-07T22:46:49Z,OPS-WS-08,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01175,2026-09-07T22:49:39Z,FILE-03,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01268,2026-09-07T22:57:36Z,OPS-WS-08,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01188,2026-09-07T23:16:19Z,SCCM-01,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01459,2026-09-07T23:20:28Z,FILE-03,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01129,2026-09-07T23:42:32Z,FILE-03,Endpoint Team,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01499,2026-09-08T00:08:59Z,OPS-WS-08,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01495,2026-09-08T00:15:37Z,ENG-WS-17,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01352,2026-09-08T00:21:02Z,FILE-03,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01475,2026-09-08T00:30:49Z,FILE-03,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01210,2026-09-08T00:37:10Z,JUMP-01,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01279,2026-09-08T01:08:02Z,FILE-03,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01215,2026-09-08T01:17:05Z,FILE-03,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01212,2026-09-08T01:48:05Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01258,2026-09-08T01:50:23Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01455,2026-09-08T02:04:38Z,DC-01,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01264,2026-09-08T02:09:21Z,DC-01,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01332,2026-09-08T02:24:43Z,SCCM-01,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01374,2026-09-08T02:27:39Z,SCCM-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01296,2026-09-08T02:36:09Z,JUMP-01,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01141,2026-09-08T02:45:04Z,OPS-WS-08,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01221,2026-09-08T02:46:27Z,JUMP-01,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01391,2026-09-08T02:51:19Z,ENG-WS-17,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01110,2026-09-08T03:11:53Z,FILE-03,Endpoint Team,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01450,2026-09-08T03:16:05Z,JUMP-01,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01493,2026-09-08T03:25:06Z,DC-01,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01065,2026-09-08T03:42:16Z,SCCM-01,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01059,2026-09-08T03:47:05Z,ENG-WS-17,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01181,2026-09-08T04:06:43Z,OPS-WS-08,Infrastructure,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01494,2026-09-08T04:11:28Z,SCCM-01,Endpoint Team,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01204,2026-09-08T04:31:56Z,DC-01,Endpoint Team,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01152,2026-09-08T04:38:03Z,SCCM-01,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01147,2026-09-08T04:46:20Z,ENG-WS-17,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01205,2026-09-08T04:50:33Z,ENG-WS-17,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01030,2026-09-08T04:54:13Z,DC-01,Infrastructure,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01029,2026-09-08T04:57:07Z,DC-01,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01183,2026-09-08T04:57:47Z,ENG-WS-17,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01497,2026-09-08T05:01:00Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01418,2026-09-08T05:02:23Z,OPS-WS-08,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01485,2026-09-08T05:16:39Z,FILE-03,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01477,2026-09-08T06:11:52Z,SCCM-01,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01004,2026-09-08T06:14:10Z,APP-06,Endpoint Team,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01179,2026-09-08T06:23:23Z,SCCM-01,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01213,2026-09-08T06:54:20Z,FILE-03,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01036,2026-09-08T06:59:06Z,SCCM-01,Workplace Engineering,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01316,2026-09-08T07:16:00Z,JUMP-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01220,2026-09-08T07:27:35Z,DC-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01144,2026-09-08T07:32:57Z,SCCM-01,Infrastructure,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01169,2026-09-08T08:06:07Z,APP-06,Endpoint Team,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01054,2026-09-08T08:12:39Z,DC-01,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01403,2026-09-08T08:26:30Z,SCCM-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01017,2026-09-08T08:37:11Z,APP-06,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01331,2026-09-08T08:39:19Z,FILE-03,Endpoint Team,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01436,2026-09-08T08:39:55Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01390,2026-09-08T08:43:48Z,SCCM-01,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01167,2026-09-08T08:48:37Z,OPS-WS-08,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01031,2026-09-08T08:56:41Z,ENG-WS-17,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01414,2026-09-08T08:59:08Z,APP-06,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01118,2026-09-08T09:21:45Z,SCCM-01,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01405,2026-09-08T09:35:39Z,ENG-WS-17,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01076,2026-09-08T09:43:39Z,ENG-WS-17,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01190,2026-09-08T09:53:25Z,SCCM-01,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01480,2026-09-08T10:07:45Z,JUMP-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01222,2026-09-08T10:27:59Z,DC-01,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01086,2026-09-08T10:39:51Z,APP-06,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01416,2026-09-08T10:44:54Z,APP-06,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01050,2026-09-08T10:54:06Z,FILE-03,Endpoint Team,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01339,2026-09-08T11:09:33Z,JUMP-01,Workplace Engineering,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01366,2026-09-08T11:10:30Z,APP-06,Infrastructure,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01235,2026-09-08T11:20:39Z,FILE-03,Workplace Engineering,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01168,2026-09-08T11:28:07Z,SCCM-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01249,2026-09-08T11:29:45Z,SCCM-01,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01489,2026-09-08T11:41:19Z,JUMP-01,Endpoint Team,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01084,2026-09-08T11:42:36Z,OPS-WS-08,Workplace Engineering,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01385,2026-09-08T11:47:55Z,APP-06,Infrastructure,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01044,2026-09-08T11:56:17Z,SCCM-01,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01218,2026-09-08T12:07:46Z,ENG-WS-17,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01143,2026-09-08T12:31:00Z,ENG-WS-17,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01314,2026-09-08T12:48:46Z,APP-06,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01166,2026-09-08T13:04:24Z,OPS-WS-08,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01149,2026-09-08T13:27:11Z,OPS-WS-08,Workplace Engineering,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01025,2026-09-08T13:30:46Z,JUMP-01,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01443,2026-09-08T13:49:59Z,ENG-WS-17,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01387,2026-09-08T14:03:26Z,APP-06,Workplace Engineering,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01336,2026-09-08T14:19:26Z,JUMP-01,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01178,2026-09-08T14:22:31Z,APP-06,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01386,2026-09-08T14:31:57Z,OPS-WS-08,Infrastructure,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01189,2026-09-08T14:36:55Z,ENG-WS-17,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01310,2026-09-08T14:39:36Z,OPS-WS-08,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01156,2026-09-08T15:09:08Z,ENG-WS-17,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01051,2026-09-08T15:16:02Z,OPS-WS-08,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01066,2026-09-08T15:29:58Z,DC-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01207,2026-09-08T15:35:09Z,JUMP-01,Infrastructure,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01227,2026-09-08T15:45:03Z,JUMP-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01446,2026-09-08T16:16:04Z,SCCM-01,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01311,2026-09-08T16:17:47Z,DC-01,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01251,2026-09-08T16:20:12Z,OPS-WS-08,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01431,2026-09-08T16:42:32Z,ENG-WS-17,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01201,2026-09-08T16:44:14Z,APP-06,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01410,2026-09-08T16:48:24Z,OPS-WS-08,Infrastructure,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01460,2026-09-08T16:51:18Z,JUMP-01,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01253,2026-09-08T17:00:21Z,APP-06,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01347,2026-09-08T17:05:46Z,SCCM-01,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01185,2026-09-08T17:25:17Z,JUMP-01,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01101,2026-09-08T17:25:22Z,JUMP-01,Infrastructure,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01192,2026-09-08T17:28:33Z,SCCM-01,Endpoint Team,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01356,2026-09-08T17:40:24Z,ENG-WS-17,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01073,2026-09-08T18:05:16Z,APP-06,Endpoint Team,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01479,2026-09-08T18:05:25Z,FILE-03,Infrastructure,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01122,2026-09-08T18:29:13Z,JUMP-01,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01233,2026-09-08T18:29:41Z,APP-06,Infrastructure,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01376,2026-09-08T18:55:00Z,APP-06,Infrastructure,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01478,2026-09-08T20:11:24Z,ENG-WS-17,Endpoint Team,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01309,2026-09-08T20:18:14Z,APP-06,Workplace Engineering,inventory_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01350,2026-09-08T20:31:01Z,DC-01,Workplace Engineering,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01284,2026-09-08T20:56:59Z,DC-01,Workplace Engineering,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01234,2026-09-08T21:09:48Z,ENG-WS-17,Endpoint Team,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01394,2026-09-08T22:35:36Z,OPS-WS-08,Workplace Engineering,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01424,2026-09-08T22:44:10Z,ENG-WS-17,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01217,2026-09-08T22:58:13Z,ENG-WS-17,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01115,2026-09-08T23:02:10Z,JUMP-01,Endpoint Team,patch_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01008,2026-09-08T23:03:07Z,DC-01,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01057,2026-09-08T23:05:43Z,FILE-03,Infrastructure,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01161,2026-09-08T23:38:05Z,SCCM-01,Infrastructure,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01465,2026-09-08T23:57:33Z,ENG-WS-17,Workplace Engineering,software_deployment,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01114,2026-09-09T00:08:55Z,SCCM-01,Endpoint Team,software_deployment,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01070,2026-09-09T00:33:31Z,APP-06,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01043,2026-09-09T00:49:46Z,JUMP-01,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01248,2026-09-09T01:03:19Z,DC-01,Endpoint Team,inventory_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01355,2026-09-09T01:25:34Z,APP-06,Endpoint Team,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01300,2026-09-09T01:33:05Z,DC-01,Infrastructure,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01466,2026-09-09T01:56:51Z,JUMP-01,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01093,2026-09-09T02:19:33Z,OPS-WS-08,Infrastructure,inventory_cycle,yes,Monthly Patch,SCCM-01,benign,routine approved change
CHG-01053,2026-09-09T02:40:04Z,JUMP-01,Workplace Engineering,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01496,2026-09-09T02:41:38Z,FILE-03,Workplace Engineering,software_deployment,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01214,2026-09-09T02:42:33Z,OPS-WS-08,Endpoint Team,patch_cycle,yes,Endpoint Health Agent,SCCM-01,benign,routine approved change
CHG-01208,2026-09-09T02:43:03Z,ENG-WS-17,Workplace Engineering,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01348,2026-09-09T03:00:37Z,FILE-03,Endpoint Team,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
CHG-01327,2026-09-09T03:18:12Z,APP-06,Infrastructure,patch_cycle,yes,ACME Inventory,SCCM-01,benign,routine approved change
