event_id,_time,host,file_path,sha256,signature_status,publisher,reputation,classification,note
TRUST-00356,2026-09-07T14:25:43Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,8b394d1adbbc55d7d72148515083e48854e090f68715dd277c637c73bf2d2d11,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00045,2026-09-07T14:25:52Z,APP-06,C:\Windows\System32\svchost.exe,5d67bc8ad6ad43200e6648bcc8c7caa60ae0c221244d769c23a06ebfda659e3d,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00453,2026-09-07T14:34:07Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,ca53b0fba7e3fc2b8f86c22fd184d45e870e07dcc7b44b4f0f30bfcb147b4214,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00421,2026-09-07T14:44:50Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,159f009b00e8bc3b68d1cad70dccc568a9892466f60935a5256fd6ff34d090ff,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00053,2026-09-07T14:51:12Z,SCCM-01,C:\Windows\System32\svchost.exe,b928110161791d8d0b3a7fc0ab91d4bff34048af706d1b641b2823a1431ad8c0,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00172,2026-09-07T14:51:38Z,APP-06,C:\Windows\CCM\CcmExec.exe,243b9beda36d81a457d48fafec2ad0a57c5f2322824ad3b1b562d9ddb7600103,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00456,2026-09-07T14:54:14Z,OPS-WS-08,C:\Windows\System32\svchost.exe,4acdf55a039118e860b4f393d216b290d98ee4b6122e12c9366cf4bbef6b6569,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00234,2026-09-07T14:57:44Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,3778fb8d857edc3721ef1b6ab541c80037c1ed38e9fe5fcbad234b458c7da25e,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00294,2026-09-07T15:03:41Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,b450cb5a3b8163c385646116194bae4672b2bca8b86ae4e3f2d4d91219b6105a,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00167,2026-09-07T15:33:21Z,APP-06,C:\Windows\System32\svchost.exe,e149fd4b5fba4982168592728e80d809b972b2ab757087d37fb02be7792e72df,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00470,2026-09-07T15:34:06Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,97e65b8d170fa05ff9c234f349f5ca3c6962ad0dfb00f990923e95d0caa2488f,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00405,2026-09-07T15:34:33Z,ENG-WS-17,C:\Program Files\ACME\Inventory\inventorysvc.exe,9274886737bde72a2a6653a5d62ad3f7a1ac2d2342c0c3519e11fc653d67393f,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00440,2026-09-07T15:53:52Z,SCCM-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,68843206eb6fd6d70c5e9e2c701d51e9ced78a63a83b491ae1ae007e88cdc0b2,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00418,2026-09-07T15:55:23Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,61f552ea7ff8eff38a498fd2cb7fd8bf1ca8ed9eb2dc221227952c54d4bc00e5,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00111,2026-09-07T16:01:42Z,FILE-03,C:\Windows\System32\svchost.exe,d7d0ce7c62ab74475301eaa9a4e4d6f9eafbedddc9d4714ac5632d4a6e48e27f,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00490,2026-09-07T16:04:53Z,JUMP-01,C:\Windows\System32\svchost.exe,ba9f04155bbe22efce6cc5ef75d38a91c68156221b423e8614ed106a059e39be,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00133,2026-09-07T16:20:18Z,OPS-WS-08,C:\Program Files\ACME\Inventory\inventorysvc.exe,2fc88b1da2bdd2ec9b103985926c43986c5f4dc0bf02f8cfa2408fd36dbecd82,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00350,2026-09-07T16:23:22Z,OPS-WS-08,C:\Program Files\ACME\Inventory\inventorysvc.exe,b2ef5f05704002192ee48de7ecdb3a7eb882bb71676309747195137a572488be,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00228,2026-09-07T16:31:07Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,eddcc278c8aa1816c8297c1f6787c4e908d2b71d5ed677b457fb60ac5c1aaab2,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00318,2026-09-07T16:45:18Z,JUMP-01,C:\Windows\System32\svchost.exe,73e6777b1862fec8d2e7cff41fde3742151d83eba9f234f3eecd2f77c2cd2c41,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00466,2026-09-07T16:52:52Z,JUMP-01,C:\Windows\System32\svchost.exe,365c914902d5b854abad75afa4656a8ce6c46c4a17c6b733d2e58c04bfd63d07,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00084,2026-09-07T17:00:10Z,ENG-WS-17,C:\Program Files\ACME\Inventory\inventorysvc.exe,0e1fc69eabc7f95d1953b023d20e6855c841878fbc1e474cbdee2dd0659e9e26,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00261,2026-09-07T17:00:40Z,ENG-WS-17,C:\Program Files\ACME\Inventory\inventorysvc.exe,4a09c43155b92031a68e4c23cfa851a8ca3fcdb1351da07dba9416f8220a3dec,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00444,2026-09-07T17:09:19Z,JUMP-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,cf663e02a5551499e5a6504ad833edaedb0a6b88e0ba8e5f20eaefe82499c71e,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00351,2026-09-07T17:33:27Z,SCCM-01,C:\Windows\System32\svchost.exe,4c52a486cc408b2265613bbbf9bd7600bca0b5706baa074cd110b0258b736e96,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00247,2026-09-07T17:49:15Z,APP-06,C:\Windows\System32\svchost.exe,c42623ad32325c81709e503e96daea3d9589aa4de6d050194ad350a4844601d7,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00193,2026-09-07T18:41:57Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,99cb23806d01fb6b2a0f465454ee2aec218a99a2bcee2095135f10f55fa3fc8a,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00051,2026-09-07T18:42:00Z,FILE-03,C:\Windows\CCM\CcmExec.exe,986305c1f531ddd1d1914ecf45b1d0805d7391bd3b79340363315ccbfa91d45d,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00183,2026-09-07T18:56:34Z,JUMP-01,C:\Windows\System32\svchost.exe,453e967c0bae4a67af46a25bf7295f10fc04b1bfd1e51f94cc36583830104cf0,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00140,2026-09-07T18:58:31Z,OPS-WS-08,C:\Program Files\ACME\Inventory\inventorysvc.exe,3b99539514143c15b69b8a5cb30778d859ce20b7afab0e23ab1860c9c5b3036f,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00391,2026-09-07T19:05:21Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,2dba5e71b401347a1c3d06b4f1dc7b7406e3a67f6229d70a03b32d58173e1361,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00078,2026-09-07T19:31:50Z,APP-06,C:\Windows\CCM\CcmExec.exe,62e80f22863c627bada08a9f17cb2a18d4374b689eec1f39cbb583c647210ccd,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00100,2026-09-07T19:34:59Z,SCCM-01,C:\Windows\System32\svchost.exe,f4279d2e6fb921e7a0d4ff373a8053464846f936b17fda56050bebeb693235bc,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00317,2026-09-07T20:45:29Z,JUMP-01,C:\Windows\System32\svchost.exe,3f911106db591edc24450a05c939fd243ec53bf8c751d66e8305b99f8d0a05db,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00006,2026-09-07T20:47:53Z,OPS-WS-08,C:\Program Files\ACME\Inventory\inventorysvc.exe,43b9bd076b6239178b43af46946a9aa12a8e32df922a6cf12e44ec03c556cd14,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00255,2026-09-07T21:01:16Z,FILE-03,C:\Windows\System32\svchost.exe,cf0f768e5c7bc4e13b30b48b9632bb28a71f7809ad300daecebe85ae532ec9c2,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00306,2026-09-07T21:08:09Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,af3e9a58e9a845baa5988095d753609c3bb8cb3aaf323b80377e7ad04fbf998d,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00292,2026-09-07T21:08:20Z,JUMP-01,C:\Windows\CCM\CcmExec.exe,51e444ceed98e8c0e930e207ac5549994c5cfc755254cfa8c8010eb8c91bd5ab,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00132,2026-09-07T21:45:50Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,709e92cd0b71c9978952e6f336873ed5aa0add13926b8a6346b59e048adfaf46,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00346,2026-09-07T21:54:05Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,99deaa6d36349c967d4f588c551b7d9333fae71eb2749331cc13b60ecc4a7f61,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00123,2026-09-07T22:02:48Z,JUMP-01,C:\Windows\CCM\CcmExec.exe,be05ad36c39fb1bdbe324c0c00bc24fe610f0b42c6619feb0024338491e16c14,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00094,2026-09-07T22:05:22Z,JUMP-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,4b7678f3bd8122cba0fce9dc159e24a41e4847f5abbed45a497e4cad81f378e6,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00477,2026-09-07T22:09:36Z,JUMP-01,C:\Windows\System32\svchost.exe,2789cfaafdc9b7c843b18b84d0021db2456d6f7f8e0ffca5f7997622f60cfe3b,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00310,2026-09-07T22:09:40Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,2ae8d44d6c4f6c38ef662c70ec08b133bca51b4e79048cdbf58472a543789d1a,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00174,2026-09-07T22:16:00Z,APP-06,C:\Windows\CCM\CcmExec.exe,169ba8eea106f61bd5ce7f8739d1e82d23330e8ad338acc0aa434dfcd6bc5794,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00200,2026-09-07T22:20:46Z,APP-06,C:\Program Files\ACME\Inventory\inventorysvc.exe,42c6d2d95d6d9c8acadc1bae83a043bd9513f70b12c26a894d71b9d06250c9e3,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00285,2026-09-07T22:35:04Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,1a7f64769d9aa49f75357840d4444c0ad6523e0d27052315291d100ca9d80ae9,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00341,2026-09-07T22:36:36Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,4bbb17a0d26ecd46d2472276a9ea8a6cee2aa4491d09e98fed9a6a1beb4c251e,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00372,2026-09-07T22:49:11Z,JUMP-01,C:\Windows\System32\svchost.exe,3716d391f5a57629da2b3c1750dd9272ad4b336322cafe40b6cbc392a377f36e,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00264,2026-09-07T22:51:57Z,SCCM-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,34a9f7b54648308280f44ff8cc2ee189643aa7b67c4142026e3832b68389eb1c,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00042,2026-09-07T22:55:30Z,OPS-WS-08,C:\Windows\System32\svchost.exe,1e88e8153dcb5be2ff9978ea80738189e05541b98b5722dd906728d8f5110763,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00165,2026-09-07T22:59:06Z,ENG-WS-17,C:\Program Files\ACME\Inventory\inventorysvc.exe,0375d04130da4c48dcc7e1fec05e75bcf8b0e7ef29cd343a64d9ec8292d433df,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00153,2026-09-07T23:29:53Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,006fef6b99a9dce09eb6061717b0157345ef800b823cf0465d9184d7f94df5fe,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00347,2026-09-07T23:34:32Z,FILE-03,C:\Windows\System32\svchost.exe,957a68aec9f7d43a5da390eec20eb17a7205ec74a44da924161e2f9db9bc916d,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00043,2026-09-07T23:50:47Z,SCCM-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,ea94206952a37f438ef909e0dd3630fee61ea8398526107c900d42655349b7f6,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00240,2026-09-07T23:53:29Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,c32aa8d654b52d1f120dbf5352cdc93d576a5458c6853a718714d9446fed21e2,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00481,2026-09-08T00:16:55Z,APP-06,C:\Windows\System32\svchost.exe,a5f6e9f574589f727cc9971aee22d1e569f35e58aae37b34b508f2fd6a9eb420,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00117,2026-09-08T00:17:38Z,SCCM-01,C:\Windows\System32\svchost.exe,97cc727dd3156909abffb81dc5de605802d64942ae2d9164d6bced5fcf6ae6f5,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00018,2026-09-08T00:26:44Z,DC-01,C:\Windows\System32\svchost.exe,039513cd10ea442dd8fb95c8d8e6d33cb3eddcc3b40a30213e0c9a6175021034,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00035,2026-09-08T00:48:34Z,OPS-WS-08,C:\Windows\System32\svchost.exe,2d24a7642ce6ab75c202fdfa7a078da54c54396f9962876db3dbccfb8bde9a7e,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00143,2026-09-08T01:04:03Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,9242274c38c93fe2a84590b92390e880b6b3783d5875284bf91f008d06d8357d,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00017,2026-09-08T01:28:05Z,JUMP-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,56ec34f1195fee7c08f3de493fd9942686be7ed5dfc72d769f1bedbe971c8d67,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00316,2026-09-08T01:37:33Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,f570ff05153ee09e2f53e2aeedb76265f594f00fd1fd07632a0c4bc7ffc245e1,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00102,2026-09-08T02:12:02Z,FILE-03,C:\Program Files\ACME\Inventory\inventorysvc.exe,644d8c056c468ba605b23450457180278ba7655c1264cd7d001fb64229b0d29c,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00406,2026-09-08T02:19:02Z,APP-06,C:\Windows\CCM\CcmExec.exe,897e2120fd18b433e533671fb9c28b1c846c0274300736e187897b7af71e9217,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00137,2026-09-08T02:20:09Z,APP-06,C:\Windows\CCM\CcmExec.exe,9d7d4a116f026c39aee22b0cd2b975074fdf28d56737326be2adf0c5c0733000,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00471,2026-09-08T02:22:34Z,APP-06,C:\Windows\System32\svchost.exe,a81f9e3c2a2670172ce17becd8fcadf69e511b68d54c6e8b8abef5bee66af66b,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00011,2026-09-08T02:36:42Z,JUMP-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,8c00e238ce319b517329b0fd880a32ab9469b92c746d1cc0ce16a8fb2dc56b76,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00068,2026-09-08T03:13:15Z,OPS-WS-08,C:\Windows\System32\svchost.exe,a0f61b489ce87db2426e3d3b6de386209a504216e445d8b71b92a2f35037fad1,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00222,2026-09-08T03:15:02Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,1312c831d1b7d735eed0dac9d7e2e75635fa13a8f827b53fed6d823475bdd1a0,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00073,2026-09-08T03:16:19Z,DC-01,C:\Windows\System32\svchost.exe,b34ae550762f5b667840aa18f4d4f4bf5f3bfd0b19e27aba4bb47d38f55cca0d,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00254,2026-09-08T03:17:25Z,FILE-03,C:\Program Files\ACME\Inventory\inventorysvc.exe,a01ad9df9a403ce1c5885e95698267317403928a2ffae593495b6136eb482837,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00063,2026-09-08T03:17:53Z,OPS-WS-08,C:\Windows\CCM\CcmExec.exe,53db0015bfdf1c973c531ce92b1ddc151ba1ceed0e7abbb7d62c57d4e7bb739f,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00308,2026-09-08T03:25:02Z,ENG-WS-17,C:\Program Files\ACME\Inventory\inventorysvc.exe,0cc934acff6965fa6491b4c58f725234d5f6c4d95cbae5102441106ba7d8b3cb,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00332,2026-09-08T03:59:29Z,FILE-03,C:\Windows\CCM\CcmExec.exe,d34bb56d9652c10d873471ee68aed062ec8cb26b10a46c8ea6a9bf720b4772a7,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00166,2026-09-08T04:28:32Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,ab1fb3164afba1bba2a5fd5e13fbe1ad64141b076d12335c9617a6411d1313f9,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00014,2026-09-08T04:31:23Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,aa8609939a9421ca48b41674bfcd6676022bd495609ed5b06d2d4916dd7c426b,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00498,2026-09-08T05:20:02Z,FILE-03,C:\Windows\CCM\CcmExec.exe,5dcbf9dd1c00ae725ce12b501943bd5eca6ca19648c6341b8f54310486eddb47,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00271,2026-09-08T05:34:38Z,ENG-WS-17,C:\Windows\System32\svchost.exe,76c87d605a63928ae0fe28f8e340360c14e404783d8464f8fd85e80aa9e6973f,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00289,2026-09-08T05:41:29Z,APP-06,C:\Program Files\ACME\Inventory\inventorysvc.exe,587e887a96a97d22a51ec20d71354a68fb0c496e0122aebba634334748d3bcee,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00399,2026-09-08T05:46:32Z,SCCM-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,c7fd6d5a6c220db1269baea445ad8820a200d59bd2bae6159e444071d1506683,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00447,2026-09-08T05:48:16Z,FILE-03,C:\Windows\CCM\CcmExec.exe,3b15f8158b93dac3c97a3fad26b96aec576ae2ad2eefc28434667a3e6e522e6a,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00075,2026-09-08T05:51:00Z,JUMP-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,daf061f22f47e947b82597270bd775c6399645f52bdba9e46a2e256a4ecb9c7c,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00221,2026-09-08T06:01:42Z,FILE-03,C:\Windows\CCM\CcmExec.exe,8bfbb2729888203ccd895505c2ee5360ad8eafab14275ec2982e1ba8542a8855,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00482,2026-09-08T06:03:14Z,SCCM-01,C:\Windows\CCM\CcmExec.exe,046b003d7cc2ec10724de4eeb58ddb13d0587484816c3c108863144ebe0cfbe8,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00478,2026-09-08T06:06:50Z,FILE-03,C:\Windows\CCM\CcmExec.exe,92f13de62e0c669b540090ed30c4cb192c3d2cdc3fc7207668aae3e426412612,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00381,2026-09-08T06:07:34Z,DC-01,C:\Windows\System32\svchost.exe,114a6b65605f576ecf33e16e1f84a838a6a55958ac8093fe5092ef1affa3f1e1,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00451,2026-09-08T06:27:47Z,FILE-03,C:\Windows\System32\svchost.exe,8f0f10a34c506791d99adbeb7ba2ff6ae09983978f23071d9f49567b3c30a33c,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00355,2026-09-08T06:35:12Z,FILE-03,C:\Program Files\ACME\Inventory\inventorysvc.exe,43561bcfaa5f930886c37ed309c2a50a9793a947b558c9e2ea05683bb41e6890,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00103,2026-09-08T06:38:55Z,FILE-03,C:\Program Files\ACME\Inventory\inventorysvc.exe,cf5b05e08845858248cedc2b52c47de603c413f49445e68df390df343c1329fc,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00112,2026-09-08T06:40:30Z,SCCM-01,C:\Windows\System32\svchost.exe,dfc45f369a061fae3cac28af1ff2f71b69c7248b42b85650745dba78f2eb274c,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00186,2026-09-08T06:43:35Z,OPS-WS-08,C:\Windows\System32\svchost.exe,923dac9a9577d1b9505853c6ca5b31b1a6ff354a2a86aaac64844161f1e34531,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00022,2026-09-08T07:09:01Z,DC-01,C:\Windows\CCM\CcmExec.exe,2e4f310e5819949adb0c82585d4b684496fc84c5a8b9c5d03ca4c18cc853ca2c,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00344,2026-09-08T07:10:15Z,FILE-03,C:\Windows\System32\svchost.exe,238d5f2df55c1a496f3d681503760826db1d8292abd9e24134bbb52c90714448,trusted_internal,ACME IT Automation,approved,benign,routine trust context
TRUST-00194,2026-09-08T07:26:40Z,DC-01,C:\Windows\CCM\CcmExec.exe,9e37be75f1e658bf0e41661f84d72df1371da4ff6abf27f042005749fc970a48,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00192,2026-09-08T07:26:52Z,FILE-03,C:\Windows\CCM\CcmExec.exe,f16e3b011583b5526f931b88b7ff9035c9c30e7c1cff8321fac03165049869c6,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00368,2026-09-08T07:27:40Z,ENG-WS-17,C:\Windows\CCM\CcmExec.exe,89cd6517d75bd701fdb80340d4c6c665478f337f5092b4ec41873a39c61cd155,signed,Microsoft Corporation,approved,benign,routine trust context
TRUST-00037,2026-09-08T07:42:42Z,DC-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,131259bdf85081c7f0ef57a41c839554de3b038d38fee0fc2807f9f1596fcc5d,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
TRUST-00485,2026-09-08T07:51:58Z,APP-06,C:\Program Files\ACME\Inventory\inventorysvc.exe,d7a620323f1101ea246e8d7b070e398da4cf0f370d58fa3f6a57be44599b4472,signed,ACME IT Automation,approved,benign,routine trust context
TRUST-00339,2026-09-08T07:56:04Z,SCCM-01,C:\Program Files\ACME\Inventory\inventorysvc.exe,b3c9d44c7db97e7d72ee426d77f4a099f70e0f58956b6631047fd7707b59f800,trusted_internal,Microsoft Corporation,approved,benign,routine trust context
