id,_time,host,user,item,target,source,provenance,classification
START-N-01406,2026-09-19T13:16:05Z,HR-WS-22,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-01699,2026-09-19T13:16:38Z,MGMT-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-06930,2026-09-19T13:17:26Z,MGMT-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-07853,2026-09-19T13:18:20Z,DC-01,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-01256,2026-09-19T13:18:34Z,FIN-WS-09,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-01405,2026-09-19T13:18:45Z,PATCH-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-06316,2026-09-19T13:19:21Z,HR-WS-08,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-07809,2026-09-19T13:19:57Z,ENG-WS-17,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-07983,2026-09-19T13:20:31Z,FIN-WS-09,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-09626,2026-09-19T13:20:49Z,HR-WS-22,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-06642,2026-09-19T13:20:56Z,HR-WS-22,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-02267,2026-09-19T13:21:00Z,APP-06,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-08445,2026-09-19T13:21:29Z,PATCH-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-03280,2026-09-19T13:21:40Z,MGMT-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-08539,2026-09-19T13:21:52Z,DC-01,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-07269,2026-09-19T13:22:04Z,HR-WS-22,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-07906,2026-09-19T13:22:09Z,APP-06,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-02992,2026-09-19T13:22:17Z,PATCH-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-05621,2026-09-19T13:23:00Z,HR-WS-22,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-06054,2026-09-19T13:23:03Z,FIN-WS-09,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-01015,2026-09-19T13:23:08Z,ENG-WS-17,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-07480,2026-09-19T13:24:54Z,HR-WS-08,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-07352,2026-09-19T13:26:14Z,APP-06,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-03843,2026-09-19T13:28:10Z,HR-WS-08,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-05717,2026-09-19T13:28:11Z,HR-WS-08,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-05995,2026-09-19T13:28:57Z,MGMT-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-00675,2026-09-19T13:29:59Z,HR-WS-22,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-04475,2026-09-19T13:30:16Z,PATCH-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-03538,2026-09-19T13:31:26Z,DC-01,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-04943,2026-09-19T13:31:45Z,MGMT-01,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-00694,2026-09-19T13:32:37Z,HR-WS-22,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-00868,2026-09-19T13:33:34Z,HR-WS-08,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-02424,2026-09-19T13:34:28Z,HR-WS-08,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-05721,2026-09-19T13:34:48Z,DC-01,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-08745,2026-09-19T13:34:57Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-03772,2026-09-19T13:35:58Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-07865,2026-09-19T13:36:06Z,DC-01,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-03161,2026-09-19T13:36:08Z,APP-06,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-01073,2026-09-19T13:38:24Z,HR-WS-08,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-06243,2026-09-19T13:38:51Z,FIN-WS-09,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-03729,2026-09-19T13:42:48Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-09236,2026-09-19T13:43:46Z,HR-WS-08,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-03176,2026-09-19T13:44:01Z,APP-06,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-07019,2026-09-19T13:44:52Z,APP-06,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-05645,2026-09-19T13:45:29Z,FIN-WS-09,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-07344,2026-09-19T13:46:16Z,DC-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-07831,2026-09-19T13:46:51Z,HR-WS-22,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-04005,2026-09-19T13:46:57Z,HR-WS-08,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-03874,2026-09-19T13:47:23Z,APP-06,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-00038,2026-09-19T13:48:09Z,HR-WS-08,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-09623,2026-09-19T13:48:18Z,DC-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-03540,2026-09-19T13:48:41Z,PATCH-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-06654,2026-09-19T13:49:58Z,PATCH-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-01782,2026-09-19T13:50:20Z,ENG-WS-17,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-04846,2026-09-19T13:50:23Z,DC-01,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-08785,2026-09-19T13:51:02Z,PATCH-01,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-07308,2026-09-19T13:51:14Z,DC-01,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-03740,2026-09-19T13:52:47Z,APP-06,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-06794,2026-09-19T13:54:11Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-00311,2026-09-19T13:55:17Z,MGMT-01,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-01902,2026-09-19T13:56:12Z,APP-06,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-03375,2026-09-19T13:56:25Z,FIN-WS-09,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-03365,2026-09-19T13:58:26Z,HR-WS-08,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-05348,2026-09-19T13:58:33Z,MGMT-01,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-00375,2026-09-19T13:59:00Z,MGMT-01,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-01085,2026-09-19T13:59:18Z,APP-06,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-03364,2026-09-19T13:59:21Z,FIN-WS-09,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-05237,2026-09-19T14:00:23Z,ENG-WS-17,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-07435,2026-09-19T14:01:40Z,APP-06,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-02004,2026-09-19T14:02:01Z,FIN-WS-09,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-08632,2026-09-19T14:02:40Z,PATCH-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-04866,2026-09-19T14:03:14Z,PATCH-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-09655,2026-09-19T14:03:54Z,FIN-WS-09,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-06131,2026-09-19T14:04:27Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-03731,2026-09-19T14:04:35Z,MGMT-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-02726,2026-09-19T14:05:26Z,HR-WS-08,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-02530,2026-09-19T14:05:40Z,FIN-WS-09,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-09487,2026-09-19T14:05:42Z,HR-WS-08,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-02552,2026-09-19T14:05:55Z,APP-06,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-01709,2026-09-19T14:06:33Z,APP-06,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-02833,2026-09-19T14:07:17Z,PATCH-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-09480,2026-09-19T14:07:21Z,HR-WS-08,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-01833,2026-09-19T14:08:21Z,FIN-WS-09,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-09566,2026-09-19T14:09:19Z,HR-WS-08,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-05785,2026-09-19T14:09:22Z,FIN-WS-09,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-00754,2026-09-19T14:10:26Z,PATCH-01,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-01483,2026-09-19T14:11:07Z,FIN-WS-09,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-02005,2026-09-19T14:11:19Z,FIN-WS-09,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-00348,2026-09-19T14:11:48Z,ENG-WS-17,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-00344,2026-09-19T14:12:28Z,APP-06,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-00819,2026-09-19T14:12:29Z,HR-WS-22,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-06263,2026-09-19T14:12:52Z,DC-01,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-00585,2026-09-19T14:13:12Z,MGMT-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-09776,2026-09-19T14:13:34Z,PATCH-01,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-05375,2026-09-19T14:15:14Z,MGMT-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-02325,2026-09-19T14:16:27Z,HR-WS-08,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-03094,2026-09-19T14:18:48Z,FIN-WS-09,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-05169,2026-09-19T14:19:11Z,HR-WS-08,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-03164,2026-09-19T14:19:18Z,DC-01,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-07421,2026-09-19T14:19:22Z,HR-WS-08,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-02098,2026-09-19T14:20:18Z,HR-WS-08,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-05723,2026-09-19T14:21:13Z,MGMT-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-09824,2026-09-19T14:21:21Z,ENG-WS-17,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-01972,2026-09-19T14:21:33Z,PATCH-01,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-03646,2026-09-19T14:21:54Z,DC-01,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-06221,2026-09-19T14:22:02Z,MGMT-01,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-09170,2026-09-19T14:24:51Z,PATCH-01,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-06874,2026-09-19T14:25:02Z,APP-06,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-03677,2026-09-19T14:25:38Z,HR-WS-22,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-01634,2026-09-19T14:25:39Z,MGMT-01,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-02630,2026-09-19T14:25:48Z,FIN-WS-09,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-04311,2026-09-19T14:26:03Z,HR-WS-08,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-06152,2026-09-19T14:26:56Z,ENG-WS-17,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-04408,2026-09-19T14:27:38Z,PATCH-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-01198,2026-09-19T14:27:46Z,APP-06,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-02770,2026-09-19T14:28:22Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-04689,2026-09-19T14:29:03Z,FIN-WS-09,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-05411,2026-09-19T14:29:32Z,HR-WS-08,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-09317,2026-09-19T14:30:02Z,FIN-WS-09,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-02252,2026-09-19T14:30:21Z,MGMT-01,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-08730,2026-09-19T14:30:41Z,APP-06,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-09284,2026-09-19T14:31:48Z,PATCH-01,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-06023,2026-09-19T14:32:28Z,HR-WS-22,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-04963,2026-09-19T14:34:07Z,DC-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-08788,2026-09-19T14:34:55Z,HR-WS-08,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-09074,2026-09-19T14:35:35Z,PATCH-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-01842,2026-09-19T14:37:02Z,FIN-WS-09,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-06648,2026-09-19T14:37:20Z,ENG-WS-17,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-02468,2026-09-19T14:37:46Z,PATCH-01,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-04151,2026-09-19T14:38:02Z,ENG-WS-17,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-07951,2026-09-19T14:38:32Z,PATCH-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-04839,2026-09-19T14:38:33Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-00576,2026-09-19T14:39:07Z,DC-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-03291,2026-09-19T14:39:16Z,DC-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-09391,2026-09-19T14:39:36Z,DC-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-09602,2026-09-19T14:40:26Z,HR-WS-22,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-07668,2026-09-19T14:40:37Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-07816,2026-09-19T14:41:43Z,APP-06,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-07947,2026-09-19T14:42:00Z,MGMT-01,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-05651,2026-09-19T14:42:02Z,ENG-WS-17,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-04130,2026-09-19T14:42:06Z,HR-WS-08,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-00343,2026-09-19T14:42:08Z,DC-01,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-03112,2026-09-19T14:42:18Z,APP-06,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-01128,2026-09-19T14:43:20Z,APP-06,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-01206,2026-09-19T14:43:36Z,DC-01,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-03501,2026-09-19T14:44:04Z,FIN-WS-09,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-01460,2026-09-19T14:44:19Z,MGMT-01,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-06300,2026-09-19T14:44:29Z,FIN-WS-09,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-09414,2026-09-19T14:44:38Z,HR-WS-08,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-01632,2026-09-19T14:44:41Z,PATCH-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-06293,2026-09-19T14:45:09Z,ENG-WS-17,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-04353,2026-09-19T14:45:19Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-00411,2026-09-19T14:45:46Z,ENG-WS-17,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-01411,2026-09-19T14:45:57Z,DC-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-08772,2026-09-19T14:46:05Z,FIN-WS-09,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-02603,2026-09-19T14:46:08Z,HR-WS-08,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-03885,2026-09-19T14:46:42Z,APP-06,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-04223,2026-09-19T14:46:50Z,DC-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-03771,2026-09-19T14:47:12Z,DC-01,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-03344,2026-09-19T14:47:27Z,ENG-WS-17,ACME\\mgarcia,MapDrives,approved target,approved startup,approved,benign
START-N-00303,2026-09-19T14:47:33Z,APP-06,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-00346,2026-09-19T14:47:45Z,HR-WS-22,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-02189,2026-09-19T14:48:13Z,APP-06,SYSTEM,MapDrives,approved target,approved startup,approved,benign
START-N-05065,2026-09-19T14:48:43Z,APP-06,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-05536,2026-09-19T14:48:54Z,HR-WS-22,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-06969,2026-09-19T14:49:01Z,ENG-WS-17,ACME\\jsmith,OneDrive,approved target,approved startup,approved,benign
START-N-07160,2026-09-19T14:50:32Z,PATCH-01,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-03634,2026-09-19T14:50:55Z,FIN-WS-09,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-07621,2026-09-19T14:51:25Z,PATCH-01,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-08074,2026-09-19T14:51:50Z,DC-01,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-06499,2026-09-19T14:52:24Z,HR-WS-22,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-00529,2026-09-19T14:52:58Z,PATCH-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-09361,2026-09-19T14:53:55Z,MGMT-01,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-02460,2026-09-19T14:55:19Z,HR-WS-08,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-02389,2026-09-19T14:57:09Z,APP-06,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-05201,2026-09-19T14:57:09Z,HR-WS-22,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-08726,2026-09-19T14:58:08Z,HR-WS-08,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-08026,2026-09-19T14:58:11Z,FIN-WS-09,ACME\\lchen,OneDrive,approved target,approved startup,approved,benign
START-N-00596,2026-09-19T14:58:20Z,MGMT-01,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-09423,2026-09-19T14:58:27Z,FIN-WS-09,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-08316,2026-09-19T14:59:40Z,ENG-WS-17,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-01695,2026-09-19T15:00:22Z,HR-WS-22,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-09987,2026-09-19T15:00:49Z,HR-WS-22,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-07477,2026-09-19T15:01:17Z,DC-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-09961,2026-09-19T15:01:27Z,PATCH-01,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-01983,2026-09-19T15:01:36Z,APP-06,ACME\\svc_patch,MapDrives,approved target,approved startup,approved,benign
START-N-05996,2026-09-19T15:01:37Z,HR-WS-22,ACME\\mgarcia,OneDrive,approved target,approved startup,approved,benign
START-N-00718,2026-09-19T15:01:59Z,HR-WS-08,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-08190,2026-09-19T15:02:24Z,ENG-WS-17,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-04135,2026-09-19T15:02:58Z,PATCH-01,ACME\\lchen,Teams,approved target,approved startup,approved,benign
START-N-05332,2026-09-19T15:03:01Z,APP-06,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-03989,2026-09-19T15:03:59Z,FIN-WS-09,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-02696,2026-09-19T15:04:13Z,ENG-WS-17,SYSTEM,Teams,approved target,approved startup,approved,benign
START-N-08668,2026-09-19T15:05:28Z,DC-01,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-07244,2026-09-19T15:06:04Z,ENG-WS-17,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-01665,2026-09-19T15:06:37Z,ENG-WS-17,ACME\\lchen,MapDrives,approved target,approved startup,approved,benign
START-N-05006,2026-09-19T15:06:45Z,ENG-WS-17,SYSTEM,OneDrive,approved target,approved startup,approved,benign
START-N-03065,2026-09-19T15:07:00Z,HR-WS-22,ACME\\jsmith,MapDrives,approved target,approved startup,approved,benign
START-N-01302,2026-09-19T15:07:57Z,FIN-WS-09,ACME\\mgarcia,Teams,approved target,approved startup,approved,benign
START-N-07110,2026-09-19T15:09:14Z,HR-WS-08,ACME\\svc_patch,Teams,approved target,approved startup,approved,benign
START-N-04892,2026-09-19T15:09:47Z,DC-01,ACME\\svc_patch,OneDrive,approved target,approved startup,approved,benign
START-N-08531,2026-09-19T15:10:26Z,HR-WS-22,ACME\\jsmith,Teams,approved target,approved startup,approved,benign
START-N-07786,2026-09-19T15:10:29Z,DC-01,SYSTEM,Teams,approved target,approved startup,approved,benign
