id,_time,src,dest,user,process,port,result,classification
NET-N-06987,2026-09-19T13:26:14Z,FIN-WS-09,198.51.100.20,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-02217,2026-09-19T13:27:47Z,PATCH-01,MGMT-01,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-09882,2026-09-19T13:28:04Z,DC-01,198.51.100.20,ACME\\svc_patch,Teams.exe,53,allowed,benign
NET-N-07862,2026-09-19T13:28:25Z,DC-01,MGMT-01,SYSTEM,cmd.exe,445,allowed,benign
NET-N-01816,2026-09-19T13:29:02Z,HR-WS-08,198.51.100.20,ACME\\jsmith,cmd.exe,53,allowed,benign
NET-N-09356,2026-09-19T13:29:03Z,HR-WS-08,DC-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-05369,2026-09-19T13:29:26Z,PATCH-01,DC-01,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-03382,2026-09-19T13:31:11Z,HR-WS-08,DC-01,ACME\\lchen,Teams.exe,443,allowed,benign
NET-N-04607,2026-09-19T13:31:27Z,PATCH-01,DC-01,ACME\\svc_patch,cmd.exe,445,allowed,benign
NET-N-06784,2026-09-19T13:32:03Z,HR-WS-22,198.51.100.20,ACME\\mgarcia,agent.exe,443,allowed,benign
NET-N-05886,2026-09-19T13:32:20Z,FIN-WS-09,DC-01,ACME\\svc_patch,agent.exe,53,allowed,benign
NET-N-01224,2026-09-19T13:33:02Z,ENG-WS-17,DC-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-00972,2026-09-19T13:33:23Z,APP-06,DC-01,SYSTEM,Teams.exe,445,allowed,benign
NET-N-08592,2026-09-19T13:34:43Z,HR-WS-08,198.51.100.20,SYSTEM,agent.exe,443,allowed,benign
NET-N-08237,2026-09-19T13:35:42Z,DC-01,DC-01,ACME\\lchen,agent.exe,443,allowed,benign
NET-N-05540,2026-09-19T13:36:15Z,DC-01,DC-01,ACME\\lchen,cmd.exe,53,allowed,benign
NET-N-07369,2026-09-19T13:36:20Z,HR-WS-22,DC-01,SYSTEM,Teams.exe,53,allowed,benign
NET-N-02942,2026-09-19T13:36:36Z,DC-01,DC-01,SYSTEM,Teams.exe,443,allowed,benign
NET-N-04995,2026-09-19T13:39:17Z,HR-WS-08,MGMT-01,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-02400,2026-09-19T13:39:50Z,DC-01,198.51.100.20,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-01219,2026-09-19T13:40:00Z,HR-WS-22,MGMT-01,ACME\\jsmith,cmd.exe,445,allowed,benign
NET-N-05829,2026-09-19T13:40:09Z,HR-WS-08,198.51.100.20,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-08769,2026-09-19T13:40:10Z,FIN-WS-09,MGMT-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-04325,2026-09-19T13:40:55Z,MGMT-01,DC-01,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-04618,2026-09-19T13:41:34Z,FIN-WS-09,198.51.100.20,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-06882,2026-09-19T13:43:58Z,DC-01,198.51.100.20,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-02023,2026-09-19T13:45:15Z,PATCH-01,MGMT-01,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-06702,2026-09-19T13:45:16Z,APP-06,MGMT-01,SYSTEM,agent.exe,443,allowed,benign
NET-N-00698,2026-09-19T13:45:26Z,FIN-WS-09,MGMT-01,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-01199,2026-09-19T13:46:38Z,FIN-WS-09,MGMT-01,ACME\\jsmith,Teams.exe,445,allowed,benign
NET-N-02237,2026-09-19T13:46:48Z,HR-WS-08,DC-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-02609,2026-09-19T13:47:03Z,HR-WS-22,198.51.100.20,ACME\\lchen,Teams.exe,445,allowed,benign
NET-N-08191,2026-09-19T13:49:21Z,FIN-WS-09,MGMT-01,ACME\\mgarcia,agent.exe,443,allowed,benign
NET-N-05771,2026-09-19T13:49:26Z,HR-WS-08,DC-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-01063,2026-09-19T13:49:33Z,HR-WS-08,198.51.100.20,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-07579,2026-09-19T13:50:02Z,HR-WS-08,198.51.100.20,SYSTEM,cmd.exe,443,allowed,benign
NET-N-01409,2026-09-19T13:50:10Z,HR-WS-08,MGMT-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-02468,2026-09-19T13:51:16Z,HR-WS-08,DC-01,SYSTEM,agent.exe,443,allowed,benign
NET-N-07611,2026-09-19T13:52:42Z,HR-WS-08,MGMT-01,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-05242,2026-09-19T13:53:57Z,MGMT-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,allowed,benign
NET-N-01882,2026-09-19T13:54:58Z,HR-WS-22,198.51.100.20,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-09072,2026-09-19T13:55:01Z,FIN-WS-09,DC-01,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-09948,2026-09-19T13:55:15Z,APP-06,MGMT-01,ACME\\svc_patch,Teams.exe,443,allowed,benign
NET-N-01600,2026-09-19T13:55:55Z,FIN-WS-09,MGMT-01,ACME\\svc_patch,Teams.exe,53,allowed,benign
NET-N-03348,2026-09-19T13:56:31Z,MGMT-01,DC-01,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-06558,2026-09-19T13:58:31Z,FIN-WS-09,198.51.100.20,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-08982,2026-09-19T14:00:45Z,FIN-WS-09,198.51.100.20,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-01100,2026-09-19T14:02:14Z,HR-WS-22,198.51.100.20,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-08903,2026-09-19T14:02:22Z,ENG-WS-17,198.51.100.20,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-06523,2026-09-19T14:03:31Z,FIN-WS-09,DC-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-06663,2026-09-19T14:08:43Z,FIN-WS-09,MGMT-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-09809,2026-09-19T14:09:01Z,DC-01,DC-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-03375,2026-09-19T14:10:17Z,PATCH-01,MGMT-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-09805,2026-09-19T14:10:49Z,ENG-WS-17,198.51.100.20,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-02990,2026-09-19T14:11:48Z,PATCH-01,DC-01,SYSTEM,Teams.exe,53,allowed,benign
NET-N-07125,2026-09-19T14:13:16Z,MGMT-01,198.51.100.20,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-08535,2026-09-19T14:14:56Z,MGMT-01,MGMT-01,ACME\\svc_patch,cmd.exe,53,allowed,benign
NET-N-09786,2026-09-19T14:16:13Z,FIN-WS-09,MGMT-01,ACME\\lchen,agent.exe,53,allowed,benign
NET-N-04075,2026-09-19T14:16:48Z,ENG-WS-17,MGMT-01,ACME\\jsmith,cmd.exe,445,allowed,benign
NET-N-08318,2026-09-19T14:17:24Z,PATCH-01,DC-01,SYSTEM,Teams.exe,445,allowed,benign
NET-N-09303,2026-09-19T14:17:27Z,APP-06,DC-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-08099,2026-09-19T14:18:09Z,HR-WS-08,MGMT-01,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-04812,2026-09-19T14:18:26Z,MGMT-01,MGMT-01,ACME\\lchen,cmd.exe,53,allowed,benign
NET-N-01264,2026-09-19T14:19:10Z,FIN-WS-09,DC-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-04408,2026-09-19T14:19:20Z,MGMT-01,MGMT-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-08057,2026-09-19T14:20:14Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,Teams.exe,443,allowed,benign
NET-N-07111,2026-09-19T14:20:28Z,DC-01,DC-01,ACME\\mgarcia,Teams.exe,53,allowed,benign
NET-N-02149,2026-09-19T14:20:51Z,ENG-WS-17,198.51.100.20,ACME\\mgarcia,agent.exe,53,allowed,benign
NET-N-03897,2026-09-19T14:21:42Z,ENG-WS-17,MGMT-01,SYSTEM,Teams.exe,445,allowed,benign
NET-N-03992,2026-09-19T14:21:42Z,FIN-WS-09,MGMT-01,ACME\\lchen,cmd.exe,445,allowed,benign
NET-N-07955,2026-09-19T14:22:47Z,HR-WS-08,198.51.100.20,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-07670,2026-09-19T14:23:00Z,HR-WS-08,DC-01,ACME\\mgarcia,Teams.exe,443,allowed,benign
NET-N-08768,2026-09-19T14:23:24Z,ENG-WS-17,MGMT-01,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-00239,2026-09-19T14:23:42Z,HR-WS-22,MGMT-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-08770,2026-09-19T14:23:46Z,MGMT-01,198.51.100.20,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-08940,2026-09-19T14:24:07Z,APP-06,DC-01,ACME\\svc_patch,cmd.exe,53,allowed,benign
NET-N-05802,2026-09-19T14:24:15Z,DC-01,MGMT-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-02062,2026-09-19T14:24:49Z,FIN-WS-09,DC-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-07225,2026-09-19T14:24:59Z,PATCH-01,DC-01,ACME\\svc_patch,agent.exe,53,allowed,benign
NET-N-03376,2026-09-19T14:25:00Z,PATCH-01,198.51.100.20,SYSTEM,cmd.exe,443,allowed,benign
NET-N-05718,2026-09-19T14:25:19Z,FIN-WS-09,DC-01,ACME\\lchen,Teams.exe,443,allowed,benign
NET-N-07855,2026-09-19T14:25:29Z,HR-WS-22,MGMT-01,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-04230,2026-09-19T14:25:41Z,MGMT-01,198.51.100.20,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-04006,2026-09-19T14:25:49Z,PATCH-01,MGMT-01,ACME\\lchen,cmd.exe,53,allowed,benign
NET-N-06148,2026-09-19T14:26:27Z,HR-WS-08,198.51.100.20,ACME\\mgarcia,Teams.exe,53,allowed,benign
NET-N-06654,2026-09-19T14:26:51Z,MGMT-01,DC-01,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-07481,2026-09-19T14:26:52Z,ENG-WS-17,MGMT-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-08809,2026-09-19T14:27:04Z,FIN-WS-09,MGMT-01,ACME\\svc_patch,Teams.exe,443,allowed,benign
NET-N-01549,2026-09-19T14:27:16Z,HR-WS-22,DC-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-09446,2026-09-19T14:27:48Z,PATCH-01,DC-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-04098,2026-09-19T14:28:15Z,DC-01,198.51.100.20,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-03260,2026-09-19T14:28:24Z,DC-01,198.51.100.20,ACME\\lchen,Teams.exe,445,allowed,benign
NET-N-05541,2026-09-19T14:28:31Z,FIN-WS-09,MGMT-01,ACME\\lchen,agent.exe,443,allowed,benign
NET-N-09312,2026-09-19T14:29:04Z,FIN-WS-09,MGMT-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-08438,2026-09-19T14:29:08Z,DC-01,198.51.100.20,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-09899,2026-09-19T14:29:14Z,ENG-WS-17,DC-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-04050,2026-09-19T14:29:31Z,DC-01,DC-01,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-06867,2026-09-19T14:29:39Z,PATCH-01,DC-01,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-06092,2026-09-19T14:31:19Z,FIN-WS-09,198.51.100.20,SYSTEM,cmd.exe,445,allowed,benign
NET-N-01061,2026-09-19T14:31:27Z,HR-WS-08,DC-01,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-07580,2026-09-19T14:31:44Z,MGMT-01,198.51.100.20,SYSTEM,agent.exe,53,allowed,benign
NET-N-01941,2026-09-19T14:31:54Z,MGMT-01,MGMT-01,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-08189,2026-09-19T14:32:31Z,MGMT-01,198.51.100.20,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-07354,2026-09-19T14:33:43Z,DC-01,DC-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-08366,2026-09-19T14:33:46Z,PATCH-01,MGMT-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-08923,2026-09-19T14:34:26Z,HR-WS-08,198.51.100.20,ACME\\mgarcia,cmd.exe,443,allowed,benign
NET-N-03341,2026-09-19T14:34:58Z,PATCH-01,MGMT-01,ACME\\jsmith,cmd.exe,53,allowed,benign
NET-N-02108,2026-09-19T14:35:13Z,PATCH-01,198.51.100.20,ACME\\jsmith,Teams.exe,445,allowed,benign
NET-N-09228,2026-09-19T14:35:38Z,ENG-WS-17,MGMT-01,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-02869,2026-09-19T14:36:05Z,FIN-WS-09,DC-01,ACME\\mgarcia,Teams.exe,443,allowed,benign
NET-N-03171,2026-09-19T14:36:10Z,HR-WS-22,MGMT-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-04345,2026-09-19T14:36:30Z,PATCH-01,MGMT-01,ACME\\svc_patch,cmd.exe,445,allowed,benign
NET-N-03706,2026-09-19T14:37:04Z,ENG-WS-17,198.51.100.20,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-08759,2026-09-19T14:37:14Z,DC-01,DC-01,ACME\\mgarcia,agent.exe,53,allowed,benign
NET-N-08378,2026-09-19T14:37:18Z,APP-06,198.51.100.20,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-04515,2026-09-19T14:37:20Z,FIN-WS-09,DC-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-08827,2026-09-19T14:37:46Z,PATCH-01,MGMT-01,ACME\\lchen,cmd.exe,53,allowed,benign
NET-N-00945,2026-09-19T14:39:12Z,HR-WS-08,MGMT-01,SYSTEM,Teams.exe,53,allowed,benign
NET-N-00449,2026-09-19T14:39:40Z,PATCH-01,MGMT-01,ACME\\mgarcia,agent.exe,445,allowed,benign
NET-N-04891,2026-09-19T14:39:56Z,MGMT-01,DC-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-00909,2026-09-19T14:40:44Z,HR-WS-22,DC-01,SYSTEM,agent.exe,445,allowed,benign
NET-N-07478,2026-09-19T14:40:48Z,HR-WS-22,DC-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-00596,2026-09-19T14:40:49Z,DC-01,MGMT-01,SYSTEM,cmd.exe,445,allowed,benign
NET-N-02956,2026-09-19T14:41:14Z,DC-01,MGMT-01,ACME\\lchen,agent.exe,445,allowed,benign
NET-N-02934,2026-09-19T14:41:16Z,MGMT-01,DC-01,ACME\\lchen,cmd.exe,443,allowed,benign
NET-N-03962,2026-09-19T14:41:34Z,APP-06,DC-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-02243,2026-09-19T14:42:14Z,HR-WS-08,DC-01,ACME\\jsmith,Teams.exe,445,allowed,benign
NET-N-08336,2026-09-19T14:42:17Z,HR-WS-08,MGMT-01,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-05573,2026-09-19T14:43:00Z,HR-WS-08,198.51.100.20,SYSTEM,Teams.exe,53,allowed,benign
NET-N-04735,2026-09-19T14:44:37Z,PATCH-01,DC-01,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-08415,2026-09-19T14:45:43Z,HR-WS-22,DC-01,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-03479,2026-09-19T14:46:53Z,PATCH-01,DC-01,ACME\\svc_patch,agent.exe,445,allowed,benign
NET-N-06723,2026-09-19T14:47:27Z,MGMT-01,DC-01,SYSTEM,cmd.exe,443,allowed,benign
NET-N-06419,2026-09-19T14:48:18Z,FIN-WS-09,DC-01,ACME\\jsmith,Teams.exe,445,allowed,benign
NET-N-00731,2026-09-19T14:48:21Z,ENG-WS-17,MGMT-01,ACME\\jsmith,Teams.exe,53,allowed,benign
NET-N-08152,2026-09-19T14:49:14Z,APP-06,MGMT-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-02879,2026-09-19T14:49:37Z,DC-01,198.51.100.20,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-09167,2026-09-19T14:50:55Z,APP-06,198.51.100.20,ACME\\svc_patch,Teams.exe,53,allowed,benign
NET-N-09334,2026-09-19T14:51:22Z,HR-WS-08,DC-01,ACME\\svc_patch,cmd.exe,443,allowed,benign
NET-N-07359,2026-09-19T14:51:32Z,HR-WS-22,DC-01,ACME\\mgarcia,cmd.exe,445,allowed,benign
NET-N-00846,2026-09-19T14:52:14Z,HR-WS-08,MGMT-01,ACME\\svc_patch,cmd.exe,445,allowed,benign
NET-N-07224,2026-09-19T14:53:15Z,DC-01,198.51.100.20,ACME\\lchen,Teams.exe,445,allowed,benign
NET-N-00914,2026-09-19T14:53:21Z,APP-06,DC-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-02267,2026-09-19T14:53:32Z,DC-01,198.51.100.20,SYSTEM,agent.exe,53,allowed,benign
NET-N-05023,2026-09-19T14:54:45Z,HR-WS-08,198.51.100.20,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-04969,2026-09-19T14:55:45Z,FIN-WS-09,198.51.100.20,ACME\\svc_patch,Teams.exe,443,allowed,benign
NET-N-03533,2026-09-19T14:55:48Z,PATCH-01,MGMT-01,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-01570,2026-09-19T14:55:55Z,DC-01,MGMT-01,SYSTEM,Teams.exe,443,allowed,benign
NET-N-00468,2026-09-19T14:56:04Z,MGMT-01,DC-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-02026,2026-09-19T14:56:20Z,FIN-WS-09,DC-01,ACME\\jsmith,agent.exe,445,allowed,benign
NET-N-07384,2026-09-19T14:56:36Z,DC-01,DC-01,ACME\\jsmith,agent.exe,53,allowed,benign
NET-N-04619,2026-09-19T14:56:54Z,HR-WS-08,MGMT-01,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-03467,2026-09-19T14:57:09Z,PATCH-01,MGMT-01,SYSTEM,cmd.exe,53,allowed,benign
NET-N-03427,2026-09-19T14:58:13Z,PATCH-01,DC-01,ACME\\mgarcia,Teams.exe,445,allowed,benign
NET-N-00092,2026-09-19T14:58:51Z,HR-WS-22,MGMT-01,ACME\\svc_patch,agent.exe,445,allowed,benign
NET-N-08853,2026-09-19T15:01:17Z,PATCH-01,MGMT-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-02612,2026-09-19T15:02:00Z,FIN-WS-09,198.51.100.20,ACME\\mgarcia,cmd.exe,53,allowed,benign
NET-N-03770,2026-09-19T15:02:03Z,HR-WS-22,MGMT-01,ACME\\lchen,Teams.exe,53,allowed,benign
NET-N-01821,2026-09-19T15:02:09Z,MGMT-01,MGMT-01,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-05477,2026-09-19T15:02:27Z,APP-06,DC-01,ACME\\svc_patch,agent.exe,443,allowed,benign
NET-N-07840,2026-09-19T15:02:42Z,FIN-WS-09,DC-01,ACME\\jsmith,Teams.exe,443,allowed,benign
NET-N-00648,2026-09-19T15:02:53Z,APP-06,198.51.100.20,SYSTEM,cmd.exe,53,allowed,benign
NET-N-08873,2026-09-19T15:03:21Z,MGMT-01,198.51.100.20,ACME\\jsmith,agent.exe,445,allowed,benign
NET-N-03378,2026-09-19T15:03:26Z,HR-WS-22,MGMT-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-07805,2026-09-19T15:04:55Z,DC-01,198.51.100.20,ACME\\lchen,agent.exe,443,allowed,benign
NET-N-02204,2026-09-19T15:04:58Z,DC-01,DC-01,ACME\\svc_patch,Teams.exe,443,allowed,benign
NET-N-03834,2026-09-19T15:05:04Z,FIN-WS-09,MGMT-01,ACME\\jsmith,agent.exe,445,allowed,benign
NET-N-08468,2026-09-19T15:06:14Z,HR-WS-22,198.51.100.20,ACME\\mgarcia,Teams.exe,53,allowed,benign
NET-N-04074,2026-09-19T15:06:42Z,DC-01,MGMT-01,ACME\\svc_patch,agent.exe,53,allowed,benign
NET-N-05443,2026-09-19T15:06:56Z,MGMT-01,198.51.100.20,SYSTEM,Teams.exe,53,allowed,benign
NET-N-07069,2026-09-19T15:07:29Z,MGMT-01,DC-01,ACME\\svc_patch,cmd.exe,445,allowed,benign
NET-N-06413,2026-09-19T15:07:41Z,HR-WS-22,198.51.100.20,ACME\\mgarcia,agent.exe,53,allowed,benign
NET-N-09491,2026-09-19T15:07:52Z,FIN-WS-09,MGMT-01,ACME\\svc_patch,agent.exe,445,allowed,benign
NET-N-01710,2026-09-19T15:08:09Z,PATCH-01,198.51.100.20,ACME\\svc_patch,Teams.exe,445,allowed,benign
NET-N-00205,2026-09-19T15:08:10Z,HR-WS-22,DC-01,ACME\\lchen,agent.exe,53,allowed,benign
NET-N-06259,2026-09-19T15:08:13Z,PATCH-01,MGMT-01,ACME\\mgarcia,Teams.exe,443,allowed,benign
NET-N-03217,2026-09-19T15:09:11Z,PATCH-01,MGMT-01,SYSTEM,cmd.exe,445,allowed,benign
NET-N-06840,2026-09-19T15:09:16Z,FIN-WS-09,MGMT-01,ACME\\lchen,cmd.exe,53,allowed,benign
NET-N-03469,2026-09-19T15:09:46Z,FIN-WS-09,198.51.100.20,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-01946,2026-09-19T15:09:49Z,ENG-WS-17,198.51.100.20,SYSTEM,Teams.exe,443,allowed,benign
NET-N-09732,2026-09-19T15:10:56Z,FIN-WS-09,DC-01,ACME\\lchen,Teams.exe,445,allowed,benign
NET-N-01408,2026-09-19T15:11:24Z,PATCH-01,DC-01,ACME\\mgarcia,Teams.exe,53,allowed,benign
NET-N-04321,2026-09-19T15:11:34Z,HR-WS-08,MGMT-01,ACME\\lchen,Teams.exe,443,allowed,benign
NET-N-09182,2026-09-19T15:12:06Z,FIN-WS-09,198.51.100.20,ACME\\jsmith,agent.exe,443,allowed,benign
NET-N-01792,2026-09-19T15:12:14Z,PATCH-01,198.51.100.20,SYSTEM,cmd.exe,443,allowed,benign
NET-N-05532,2026-09-19T15:12:28Z,MGMT-01,MGMT-01,ACME\\jsmith,cmd.exe,443,allowed,benign
NET-N-08150,2026-09-19T15:12:29Z,DC-01,MGMT-01,ACME\\svc_patch,agent.exe,443,allowed,benign
