id,_time,host,user,signal,severity,classification
CAP-N-06136,2026-09-19T13:32:04Z,HR-WS-08,ACME\\lchen,admin task review,medium,context
CAP-N-05411,2026-09-19T13:32:31Z,DC-01,ACME\\lchen,service inventory,medium,context
CAP-N-01612,2026-09-19T13:32:49Z,HR-WS-22,ACME\\svc_patch,service inventory,medium,context
CAP-N-03301,2026-09-19T13:32:49Z,FIN-WS-09,ACME\\svc_patch,service inventory,medium,context
CAP-N-04950,2026-09-19T13:33:12Z,MGMT-01,ACME\\mgarcia,service inventory,low,context
CAP-N-05975,2026-09-19T13:33:21Z,HR-WS-08,SYSTEM,admin task review,low,context
CAP-N-04030,2026-09-19T13:34:49Z,DC-01,SYSTEM,startup inventory,low,context
CAP-N-09352,2026-09-19T13:36:10Z,APP-06,ACME\\svc_patch,service inventory,medium,context
CAP-N-02687,2026-09-19T13:36:11Z,HR-WS-22,SYSTEM,admin task review,low,context
CAP-N-01765,2026-09-19T13:37:57Z,FIN-WS-09,SYSTEM,admin task review,medium,context
CAP-N-07981,2026-09-19T13:38:20Z,HR-WS-08,SYSTEM,admin task review,low,context
CAP-N-03706,2026-09-19T13:39:02Z,PATCH-01,SYSTEM,startup inventory,medium,context
CAP-N-04959,2026-09-19T13:40:05Z,APP-06,ACME\\lchen,service inventory,low,context
CAP-N-09140,2026-09-19T13:40:07Z,HR-WS-08,ACME\\mgarcia,service inventory,medium,context
CAP-N-04856,2026-09-19T13:40:17Z,FIN-WS-09,SYSTEM,admin task review,medium,context
CAP-N-06374,2026-09-19T13:40:31Z,PATCH-01,ACME\\lchen,admin task review,low,context
CAP-N-01259,2026-09-19T13:40:32Z,HR-WS-22,ACME\\lchen,admin task review,low,context
CAP-N-07322,2026-09-19T13:40:47Z,DC-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-04991,2026-09-19T13:41:22Z,PATCH-01,ACME\\jsmith,service inventory,low,context
CAP-N-08031,2026-09-19T13:43:01Z,HR-WS-08,ACME\\mgarcia,startup inventory,medium,context
CAP-N-07735,2026-09-19T13:44:04Z,APP-06,ACME\\lchen,startup inventory,medium,context
CAP-N-07849,2026-09-19T13:44:24Z,PATCH-01,ACME\\jsmith,admin task review,low,context
CAP-N-09348,2026-09-19T13:44:26Z,APP-06,SYSTEM,admin task review,low,context
CAP-N-06685,2026-09-19T13:45:12Z,ENG-WS-17,SYSTEM,startup inventory,medium,context
CAP-N-06739,2026-09-19T13:45:23Z,FIN-WS-09,ACME\\lchen,service inventory,medium,context
CAP-N-00728,2026-09-19T13:45:51Z,APP-06,ACME\\mgarcia,startup inventory,low,context
CAP-N-03396,2026-09-19T13:47:16Z,DC-01,ACME\\lchen,service inventory,medium,context
CAP-N-05998,2026-09-19T13:49:02Z,ENG-WS-17,ACME\\jsmith,admin task review,low,context
CAP-N-00533,2026-09-19T13:49:58Z,DC-01,ACME\\lchen,admin task review,medium,context
CAP-N-06749,2026-09-19T13:50:36Z,MGMT-01,ACME\\jsmith,service inventory,medium,context
CAP-N-09057,2026-09-19T13:50:48Z,HR-WS-22,SYSTEM,service inventory,medium,context
CAP-N-09628,2026-09-19T13:50:55Z,APP-06,ACME\\mgarcia,service inventory,medium,context
CAP-N-03186,2026-09-19T13:53:11Z,ENG-WS-17,ACME\\mgarcia,startup inventory,low,context
CAP-N-05848,2026-09-19T13:54:23Z,HR-WS-22,ACME\\lchen,startup inventory,low,context
CAP-N-08556,2026-09-19T13:54:50Z,FIN-WS-09,ACME\\svc_patch,admin task review,medium,context
CAP-N-04167,2026-09-19T13:55:07Z,HR-WS-22,ACME\\svc_patch,admin task review,medium,context
CAP-N-00318,2026-09-19T13:55:21Z,HR-WS-22,SYSTEM,admin task review,medium,context
CAP-N-07091,2026-09-19T13:55:42Z,PATCH-01,ACME\\mgarcia,admin task review,low,context
CAP-N-05710,2026-09-19T13:57:34Z,HR-WS-08,SYSTEM,service inventory,medium,context
CAP-N-02201,2026-09-19T13:57:48Z,PATCH-01,ACME\\lchen,service inventory,low,context
CAP-N-09142,2026-09-19T13:58:20Z,ENG-WS-17,ACME\\svc_patch,service inventory,low,context
CAP-N-06326,2026-09-19T13:58:40Z,HR-WS-08,ACME\\svc_patch,startup inventory,medium,context
CAP-N-00775,2026-09-19T13:58:48Z,PATCH-01,ACME\\jsmith,startup inventory,low,context
CAP-N-06336,2026-09-19T13:59:19Z,ENG-WS-17,ACME\\jsmith,admin task review,low,context
CAP-N-04689,2026-09-19T13:59:20Z,ENG-WS-17,ACME\\svc_patch,startup inventory,medium,context
CAP-N-09400,2026-09-19T14:00:06Z,HR-WS-22,ACME\\svc_patch,startup inventory,low,context
CAP-N-08338,2026-09-19T14:00:13Z,HR-WS-22,ACME\\jsmith,startup inventory,medium,context
CAP-N-08981,2026-09-19T14:00:48Z,HR-WS-08,ACME\\svc_patch,admin task review,medium,context
CAP-N-07445,2026-09-19T14:00:49Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-01763,2026-09-19T14:00:56Z,MGMT-01,ACME\\svc_patch,admin task review,medium,context
CAP-N-08450,2026-09-19T14:01:08Z,MGMT-01,ACME\\svc_patch,service inventory,medium,context
CAP-N-09855,2026-09-19T14:01:35Z,APP-06,SYSTEM,admin task review,medium,context
CAP-N-05929,2026-09-19T14:02:25Z,DC-01,SYSTEM,admin task review,low,context
CAP-N-08544,2026-09-19T14:03:03Z,PATCH-01,ACME\\lchen,admin task review,low,context
CAP-N-00475,2026-09-19T14:03:11Z,APP-06,ACME\\mgarcia,startup inventory,medium,context
CAP-N-02691,2026-09-19T14:03:18Z,HR-WS-22,ACME\\mgarcia,admin task review,low,context
CAP-N-05096,2026-09-19T14:03:42Z,HR-WS-08,ACME\\mgarcia,admin task review,low,context
CAP-N-06244,2026-09-19T14:03:52Z,HR-WS-08,ACME\\svc_patch,admin task review,medium,context
CAP-N-09367,2026-09-19T14:04:01Z,PATCH-01,ACME\\jsmith,service inventory,medium,context
CAP-N-08429,2026-09-19T14:07:00Z,DC-01,SYSTEM,admin task review,low,context
CAP-N-03701,2026-09-19T14:07:31Z,DC-01,SYSTEM,service inventory,low,context
CAP-N-07444,2026-09-19T14:08:01Z,FIN-WS-09,ACME\\jsmith,service inventory,medium,context
CAP-N-06522,2026-09-19T14:08:55Z,PATCH-01,ACME\\mgarcia,service inventory,low,context
CAP-N-09480,2026-09-19T14:09:46Z,MGMT-01,ACME\\lchen,startup inventory,medium,context
CAP-N-04190,2026-09-19T14:09:53Z,APP-06,ACME\\jsmith,service inventory,low,context
CAP-N-04220,2026-09-19T14:10:31Z,HR-WS-08,ACME\\mgarcia,admin task review,medium,context
CAP-N-01639,2026-09-19T14:11:30Z,PATCH-01,ACME\\mgarcia,startup inventory,low,context
CAP-N-08967,2026-09-19T14:12:07Z,DC-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-02228,2026-09-19T14:12:11Z,HR-WS-22,ACME\\svc_patch,admin task review,low,context
CAP-N-06964,2026-09-19T14:12:26Z,ENG-WS-17,ACME\\mgarcia,service inventory,low,context
CAP-N-07813,2026-09-19T14:12:38Z,DC-01,ACME\\jsmith,admin task review,low,context
CAP-N-05026,2026-09-19T14:12:39Z,DC-01,ACME\\lchen,service inventory,low,context
CAP-N-06901,2026-09-19T14:13:05Z,FIN-WS-09,ACME\\svc_patch,service inventory,medium,context
CAP-N-02754,2026-09-19T14:13:16Z,MGMT-01,SYSTEM,admin task review,low,context
CAP-N-05834,2026-09-19T14:13:35Z,ENG-WS-17,SYSTEM,service inventory,medium,context
CAP-N-07667,2026-09-19T14:14:02Z,FIN-WS-09,ACME\\jsmith,admin task review,low,context
CAP-N-00931,2026-09-19T14:14:09Z,MGMT-01,ACME\\jsmith,admin task review,low,context
CAP-N-01479,2026-09-19T14:15:08Z,PATCH-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-04302,2026-09-19T14:16:07Z,DC-01,ACME\\jsmith,admin task review,low,context
CAP-N-06808,2026-09-19T14:16:10Z,HR-WS-22,SYSTEM,startup inventory,low,context
CAP-N-09233,2026-09-19T14:16:16Z,MGMT-01,ACME\\svc_patch,admin task review,medium,context
CAP-N-05238,2026-09-19T14:16:26Z,PATCH-01,ACME\\lchen,startup inventory,low,context
CAP-N-06577,2026-09-19T14:17:01Z,FIN-WS-09,SYSTEM,admin task review,low,context
CAP-N-03418,2026-09-19T14:17:47Z,MGMT-01,SYSTEM,admin task review,medium,context
CAP-N-02670,2026-09-19T14:18:24Z,DC-01,ACME\\jsmith,startup inventory,medium,context
CAP-N-00107,2026-09-19T14:19:16Z,FIN-WS-09,ACME\\jsmith,service inventory,medium,context
CAP-N-00471,2026-09-19T14:19:17Z,APP-06,ACME\\jsmith,service inventory,medium,context
CAP-N-06347,2026-09-19T14:19:35Z,HR-WS-08,ACME\\lchen,startup inventory,medium,context
CAP-N-09923,2026-09-19T14:20:39Z,PATCH-01,ACME\\jsmith,service inventory,medium,context
CAP-N-01563,2026-09-19T14:20:53Z,APP-06,SYSTEM,startup inventory,low,context
CAP-N-00178,2026-09-19T14:21:13Z,DC-01,SYSTEM,admin task review,medium,context
CAP-N-06372,2026-09-19T14:21:30Z,ENG-WS-17,ACME\\jsmith,startup inventory,low,context
CAP-N-01743,2026-09-19T14:21:33Z,DC-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-02099,2026-09-19T14:22:31Z,ENG-WS-17,ACME\\jsmith,service inventory,medium,context
CAP-N-07603,2026-09-19T14:23:16Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-03264,2026-09-19T14:23:25Z,ENG-WS-17,ACME\\mgarcia,service inventory,medium,context
CAP-N-02542,2026-09-19T14:23:38Z,MGMT-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-05067,2026-09-19T14:23:47Z,PATCH-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-04101,2026-09-19T14:24:07Z,DC-01,ACME\\mgarcia,admin task review,low,context
CAP-N-00040,2026-09-19T14:24:18Z,PATCH-01,ACME\\lchen,service inventory,medium,context
CAP-N-00207,2026-09-19T14:24:39Z,ENG-WS-17,ACME\\svc_patch,admin task review,low,context
CAP-N-01461,2026-09-19T14:24:54Z,DC-01,ACME\\jsmith,startup inventory,low,context
CAP-N-05393,2026-09-19T14:25:31Z,HR-WS-08,SYSTEM,service inventory,medium,context
CAP-N-04685,2026-09-19T14:25:42Z,ENG-WS-17,ACME\\mgarcia,service inventory,low,context
CAP-N-07864,2026-09-19T14:26:40Z,MGMT-01,ACME\\jsmith,admin task review,medium,context
CAP-N-01113,2026-09-19T14:27:51Z,PATCH-01,ACME\\svc_patch,service inventory,medium,context
CAP-N-09676,2026-09-19T14:28:02Z,FIN-WS-09,ACME\\mgarcia,admin task review,low,context
CAP-N-01420,2026-09-19T14:28:27Z,HR-WS-08,ACME\\jsmith,startup inventory,low,context
CAP-N-02149,2026-09-19T14:29:29Z,MGMT-01,ACME\\jsmith,startup inventory,medium,context
CAP-N-04967,2026-09-19T14:29:52Z,PATCH-01,ACME\\mgarcia,admin task review,low,context
CAP-N-05911,2026-09-19T14:30:25Z,DC-01,ACME\\mgarcia,admin task review,low,context
CAP-N-07156,2026-09-19T14:31:35Z,HR-WS-22,ACME\\jsmith,service inventory,low,context
CAP-N-05216,2026-09-19T14:32:29Z,ENG-WS-17,ACME\\mgarcia,startup inventory,low,context
CAP-N-07255,2026-09-19T14:34:06Z,PATCH-01,ACME\\lchen,admin task review,low,context
CAP-N-07457,2026-09-19T14:34:31Z,DC-01,ACME\\lchen,service inventory,medium,context
CAP-N-02586,2026-09-19T14:35:05Z,DC-01,ACME\\lchen,service inventory,low,context
CAP-N-06762,2026-09-19T14:35:39Z,MGMT-01,ACME\\jsmith,startup inventory,medium,context
CAP-N-00435,2026-09-19T14:36:02Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-05586,2026-09-19T14:36:05Z,FIN-WS-09,ACME\\mgarcia,service inventory,low,context
CAP-N-09835,2026-09-19T14:36:41Z,FIN-WS-09,ACME\\lchen,admin task review,medium,context
CAP-N-03096,2026-09-19T14:36:47Z,HR-WS-08,ACME\\mgarcia,admin task review,low,context
CAP-N-01222,2026-09-19T14:36:48Z,HR-WS-22,ACME\\svc_patch,admin task review,low,context
CAP-N-06814,2026-09-19T14:36:48Z,FIN-WS-09,ACME\\jsmith,admin task review,medium,context
CAP-N-04944,2026-09-19T14:38:24Z,APP-06,ACME\\jsmith,startup inventory,medium,context
CAP-N-02230,2026-09-19T14:38:58Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-09028,2026-09-19T14:39:03Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-00263,2026-09-19T14:39:05Z,HR-WS-22,SYSTEM,startup inventory,low,context
CAP-N-03311,2026-09-19T14:39:54Z,HR-WS-22,ACME\\lchen,admin task review,low,context
CAP-N-01964,2026-09-19T14:41:01Z,DC-01,ACME\\mgarcia,startup inventory,low,context
CAP-N-03465,2026-09-19T14:42:08Z,MGMT-01,ACME\\mgarcia,service inventory,low,context
CAP-N-06721,2026-09-19T14:42:22Z,MGMT-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-03693,2026-09-19T14:42:45Z,HR-WS-08,ACME\\mgarcia,admin task review,low,context
CAP-N-03288,2026-09-19T14:43:55Z,PATCH-01,ACME\\jsmith,service inventory,medium,context
CAP-N-04392,2026-09-19T14:44:01Z,MGMT-01,ACME\\jsmith,startup inventory,low,context
CAP-N-03183,2026-09-19T14:44:04Z,APP-06,ACME\\lchen,service inventory,medium,context
CAP-N-04977,2026-09-19T14:44:17Z,FIN-WS-09,SYSTEM,service inventory,low,context
CAP-N-06467,2026-09-19T14:45:48Z,APP-06,ACME\\mgarcia,service inventory,medium,context
CAP-N-08267,2026-09-19T14:46:46Z,HR-WS-08,ACME\\mgarcia,admin task review,low,context
CAP-N-01760,2026-09-19T14:47:41Z,HR-WS-22,ACME\\svc_patch,service inventory,medium,context
CAP-N-09148,2026-09-19T14:48:26Z,PATCH-01,ACME\\svc_patch,admin task review,low,context
CAP-N-05624,2026-09-19T14:48:38Z,FIN-WS-09,ACME\\jsmith,startup inventory,low,context
CAP-N-08159,2026-09-19T14:49:27Z,PATCH-01,SYSTEM,startup inventory,low,context
CAP-N-05081,2026-09-19T14:50:54Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-05074,2026-09-19T14:51:23Z,HR-WS-22,SYSTEM,service inventory,low,context
CAP-N-01427,2026-09-19T14:51:36Z,PATCH-01,ACME\\lchen,service inventory,medium,context
CAP-N-03333,2026-09-19T14:52:28Z,FIN-WS-09,ACME\\jsmith,service inventory,medium,context
CAP-N-00916,2026-09-19T14:52:36Z,HR-WS-22,ACME\\jsmith,service inventory,low,context
CAP-N-01320,2026-09-19T14:53:19Z,HR-WS-22,ACME\\lchen,admin task review,medium,context
CAP-N-09502,2026-09-19T14:54:04Z,MGMT-01,ACME\\lchen,startup inventory,low,context
CAP-N-01554,2026-09-19T14:54:16Z,DC-01,ACME\\svc_patch,service inventory,low,context
CAP-N-09772,2026-09-19T14:54:22Z,APP-06,SYSTEM,service inventory,low,context
CAP-N-01230,2026-09-19T14:57:16Z,APP-06,ACME\\mgarcia,admin task review,medium,context
CAP-N-06143,2026-09-19T14:57:19Z,DC-01,ACME\\svc_patch,service inventory,low,context
CAP-N-09649,2026-09-19T14:57:31Z,ENG-WS-17,ACME\\mgarcia,startup inventory,low,context
CAP-N-00945,2026-09-19T14:58:14Z,DC-01,ACME\\svc_patch,startup inventory,medium,context
CAP-N-01758,2026-09-19T14:58:23Z,ENG-WS-17,ACME\\jsmith,admin task review,low,context
CAP-N-05946,2026-09-19T14:59:10Z,FIN-WS-09,SYSTEM,startup inventory,medium,context
CAP-N-09465,2026-09-19T14:59:23Z,MGMT-01,ACME\\lchen,service inventory,low,context
CAP-N-05066,2026-09-19T14:59:35Z,HR-WS-22,ACME\\jsmith,admin task review,low,context
CAP-N-02082,2026-09-19T14:59:54Z,HR-WS-22,ACME\\svc_patch,service inventory,medium,context
CAP-N-00505,2026-09-19T15:01:06Z,HR-WS-08,ACME\\mgarcia,service inventory,low,context
CAP-N-00545,2026-09-19T15:03:15Z,FIN-WS-09,ACME\\jsmith,service inventory,medium,context
CAP-N-04686,2026-09-19T15:05:03Z,PATCH-01,ACME\\svc_patch,startup inventory,low,context
CAP-N-06020,2026-09-19T15:05:16Z,PATCH-01,ACME\\mgarcia,admin task review,medium,context
CAP-N-09826,2026-09-19T15:05:53Z,HR-WS-22,ACME\\jsmith,service inventory,low,context
CAP-N-09868,2026-09-19T15:07:34Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-08745,2026-09-19T15:07:48Z,HR-WS-08,SYSTEM,service inventory,low,context
CAP-N-09208,2026-09-19T15:07:50Z,MGMT-01,ACME\\jsmith,startup inventory,low,context
CAP-N-03100,2026-09-19T15:08:13Z,PATCH-01,SYSTEM,startup inventory,low,context
CAP-N-00037,2026-09-19T15:09:20Z,ENG-WS-17,ACME\\mgarcia,service inventory,low,context
CAP-N-06960,2026-09-19T15:10:10Z,ENG-WS-17,ACME\\lchen,admin task review,low,context
CAP-N-09594,2026-09-19T15:10:41Z,APP-06,ACME\\svc_patch,admin task review,medium,context
CAP-N-03552,2026-09-19T15:11:07Z,APP-06,SYSTEM,startup inventory,low,context
CAP-N-04789,2026-09-19T15:11:24Z,FIN-WS-09,ACME\\svc_patch,service inventory,low,context
CAP-N-07790,2026-09-19T15:12:30Z,PATCH-01,ACME\\mgarcia,service inventory,medium,context
CAP-N-03144,2026-09-19T15:13:31Z,MGMT-01,ACME\\lchen,startup inventory,low,context
CAP-N-00672,2026-09-19T15:13:55Z,APP-06,SYSTEM,service inventory,medium,context
CAP-N-08718,2026-09-19T15:14:23Z,MGMT-01,ACME\\mgarcia,startup inventory,low,context
CAP-N-06687,2026-09-19T15:14:43Z,ENG-WS-17,SYSTEM,startup inventory,low,context
CAP-N-04648,2026-09-19T15:15:24Z,FIN-WS-09,ACME\\lchen,service inventory,low,context
CAP-N-01552,2026-09-19T15:16:48Z,APP-06,ACME\\jsmith,service inventory,medium,context
CAP-N-07369,2026-09-19T15:18:45Z,ENG-WS-17,ACME\\mgarcia,service inventory,low,context
CAP-N-04546,2026-09-19T15:19:22Z,APP-06,ACME\\lchen,admin task review,low,context
CAP-N-09282,2026-09-19T15:20:01Z,HR-WS-08,SYSTEM,service inventory,medium,context
CAP-N-00835,2026-09-19T15:22:10Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-04292,2026-09-19T15:22:20Z,PATCH-01,ACME\\mgarcia,startup inventory,medium,context
CAP-N-07216,2026-09-19T15:24:03Z,HR-WS-22,ACME\\mgarcia,startup inventory,low,context
CAP-N-04997,2026-09-19T15:24:05Z,FIN-WS-09,SYSTEM,startup inventory,low,context
CAP-N-01211,2026-09-19T15:24:10Z,HR-WS-22,ACME\\jsmith,startup inventory,low,context
CAP-N-06922,2026-09-19T15:25:05Z,MGMT-01,ACME\\jsmith,startup inventory,medium,context
CAP-N-00494,2026-09-19T15:25:48Z,HR-WS-22,ACME\\mgarcia,service inventory,low,context
CAP-N-01505,2026-09-19T15:25:51Z,FIN-WS-09,ACME\\lchen,service inventory,low,context
CAP-N-09872,2026-09-19T15:26:04Z,MGMT-01,ACME\\jsmith,service inventory,low,context
CAP-N-03896,2026-09-19T15:26:39Z,PATCH-01,ACME\\jsmith,startup inventory,low,context
CAP-N-06950,2026-09-19T15:27:26Z,MGMT-01,SYSTEM,admin task review,low,context
CAP-N-01867,2026-09-19T15:29:51Z,HR-WS-22,ACME\\mgarcia,service inventory,medium,context
CAP-N-08250,2026-09-19T15:31:45Z,MGMT-01,ACME\\jsmith,startup inventory,low,context
CAP-N-03576,2026-09-19T15:32:25Z,HR-WS-22,ACME\\mgarcia,startup inventory,low,context
CAP-N-02786,2026-09-19T15:33:14Z,ENG-WS-17,SYSTEM,service inventory,medium,context
CAP-N-03353,2026-09-19T15:33:37Z,ENG-WS-17,ACME\\jsmith,service inventory,medium,context
CAP-N-02807,2026-09-19T15:33:58Z,MGMT-01,ACME\\lchen,admin task review,medium,context
CAP-N-02702,2026-09-19T15:34:01Z,MGMT-01,ACME\\jsmith,admin task review,medium,context
CAP-N-06083,2026-09-19T15:34:16Z,DC-01,ACME\\svc_patch,admin task review,low,context
CAP-N-07619,2026-09-19T15:34:31Z,APP-06,ACME\\mgarcia,service inventory,low,context
CAP-N-05668,2026-09-19T15:35:33Z,PATCH-01,SYSTEM,service inventory,medium,context
CAP-N-02955,2026-09-19T15:35:35Z,MGMT-01,ACME\\jsmith,admin task review,medium,context
CAP-N-04109,2026-09-19T15:36:21Z,FIN-WS-09,ACME\\mgarcia,startup inventory,medium,context
CAP-N-08202,2026-09-19T15:36:30Z,DC-01,SYSTEM,startup inventory,low,context
CAP-N-03947,2026-09-19T15:36:49Z,ENG-WS-17,SYSTEM,admin task review,medium,context
CAP-N-05378,2026-09-19T15:36:50Z,PATCH-01,SYSTEM,service inventory,low,context
CAP-N-05664,2026-09-19T15:36:56Z,MGMT-01,SYSTEM,service inventory,medium,context
CAP-N-08056,2026-09-19T15:38:24Z,APP-06,ACME\\mgarcia,startup inventory,low,context
CAP-N-01790,2026-09-19T15:38:38Z,HR-WS-22,ACME\\lchen,admin task review,medium,context
CAP-N-09002,2026-09-19T15:38:38Z,DC-01,ACME\\lchen,service inventory,medium,context
CAP-N-03028,2026-09-19T15:38:39Z,FIN-WS-09,SYSTEM,startup inventory,medium,context
CAP-N-06204,2026-09-19T15:39:29Z,APP-06,ACME\\lchen,startup inventory,low,context
CAP-N-02858,2026-09-19T15:39:56Z,HR-WS-08,SYSTEM,admin task review,low,context
CAP-N-09393,2026-09-19T15:40:48Z,ENG-WS-17,ACME\\lchen,admin task review,medium,context
CAP-N-08707,2026-09-19T15:40:56Z,DC-01,ACME\\mgarcia,service inventory,medium,context
CAP-N-02672,2026-09-19T15:41:00Z,ENG-WS-17,ACME\\mgarcia,startup inventory,low,context
