event_id,_time,host,user,source_type,item_name,target_path,provenance,classification
CFG-0527,2026-09-14T14:34:47Z,JUMP-01,ACME\\lchen,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0300,2026-09-14T14:40:23Z,DC-01,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0506,2026-09-14T14:40:36Z,FIN-WS-09,ACME\\mgarcia,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0358,2026-09-14T14:54:06Z,JUMP-01,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0295,2026-09-14T15:13:09Z,HR-WS-04,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0157,2026-09-14T15:13:29Z,FIN-WS-09,ACME\\mgarcia,Application startup,OneDrive,routine startup target,approved,benign
CFG-0441,2026-09-14T15:19:18Z,ENG-WS-17,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0484,2026-09-14T15:22:59Z,JUMP-01,ACME\\lchen,Startup folder,Teams,routine startup target,approved,benign
CFG-0233,2026-09-14T15:29:41Z,HR-WS-04,ACME\\lchen,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0114,2026-09-14T15:55:06Z,FIN-WS-09,ACME\\mgarcia,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0490,2026-09-14T16:11:00Z,FIN-WS-09,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0418,2026-09-14T16:29:08Z,MGMT-01,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0391,2026-09-14T16:36:37Z,ENG-WS-17,ACME\\jsmith,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0564,2026-09-14T16:40:37Z,DC-01,ACME\\jsmith,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0207,2026-09-14T17:10:45Z,DC-01,ACME\\mgarcia,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0448,2026-09-14T17:50:22Z,HR-WS-04,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0592,2026-09-14T18:04:10Z,DC-01,ACME\\lchen,Application startup,OneDrive,routine startup target,approved,benign
CFG-0278,2026-09-14T18:06:14Z,FIN-WS-09,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0198,2026-09-14T18:14:35Z,MGMT-01,ACME\\mgarcia,Application startup,OneDrive,routine startup target,approved,benign
CFG-0408,2026-09-14T18:21:23Z,MGMT-01,ACME\\lchen,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0204,2026-09-14T18:39:56Z,ENG-WS-17,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0363,2026-09-14T18:47:39Z,MGMT-01,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0485,2026-09-14T18:49:35Z,DC-01,SYSTEM,Application startup,OneDrive,routine startup target,approved,benign
CFG-0543,2026-09-14T18:54:19Z,FIN-WS-09,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0354,2026-09-14T19:11:13Z,MGMT-01,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0361,2026-09-14T19:12:27Z,JUMP-01,SYSTEM,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0190,2026-09-14T19:14:57Z,ENG-WS-17,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0284,2026-09-14T19:21:21Z,HR-WS-04,SYSTEM,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0203,2026-09-14T19:35:15Z,ENG-WS-17,ACME\\mgarcia,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0119,2026-09-14T19:50:43Z,HR-WS-04,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0286,2026-09-14T22:05:13Z,DC-01,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0577,2026-09-14T22:31:01Z,FIN-WS-09,SYSTEM,Application startup,Teams,routine startup target,approved,benign
CFG-0258,2026-09-14T22:36:51Z,JUMP-01,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0154,2026-09-14T22:58:34Z,JUMP-01,SYSTEM,Application startup,Teams,routine startup target,approved,benign
CFG-0533,2026-09-14T23:03:37Z,HR-WS-04,SYSTEM,Application startup,OneDrive,routine startup target,approved,benign
CFG-0193,2026-09-14T23:12:03Z,JUMP-01,ACME\\jsmith,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0487,2026-09-14T23:15:20Z,HR-WS-04,ACME\\mgarcia,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0250,2026-09-14T23:21:40Z,DC-01,SYSTEM,Application startup,MapDrives,routine startup target,approved,benign
CFG-0202,2026-09-14T23:36:25Z,DC-01,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0158,2026-09-14T23:42:40Z,JUMP-01,ACME\\lchen,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0183,2026-09-14T23:42:57Z,HR-WS-04,SYSTEM,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0551,2026-09-14T23:56:44Z,HR-WS-04,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0332,2026-09-14T23:58:34Z,DC-01,ACME\\mgarcia,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0583,2026-09-15T00:00:33Z,MGMT-01,ACME\\jsmith,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0388,2026-09-15T00:12:50Z,DC-01,ACME\\mgarcia,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0292,2026-09-15T01:21:57Z,JUMP-01,ACME\\jsmith,Application startup,MapDrives,routine startup target,approved,benign
CFG-0277,2026-09-15T01:42:40Z,ENG-WS-17,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0118,2026-09-15T02:00:20Z,MGMT-01,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0517,2026-09-15T02:08:02Z,FIN-WS-09,ACME\\mgarcia,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0148,2026-09-15T02:31:24Z,MGMT-01,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0553,2026-09-15T02:46:40Z,FIN-WS-09,ACME\\mgarcia,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0317,2026-09-15T02:57:50Z,DC-01,SYSTEM,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0182,2026-09-15T03:00:41Z,DC-01,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0299,2026-09-15T03:01:04Z,FIN-WS-09,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0206,2026-09-15T03:05:04Z,JUMP-01,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0492,2026-09-15T03:11:23Z,FIN-WS-09,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0177,2026-09-15T03:17:34Z,FIN-WS-09,SYSTEM,Application startup,Teams,routine startup target,approved,benign
CFG-0311,2026-09-15T03:20:07Z,ENG-WS-17,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0465,2026-09-15T03:23:34Z,FIN-WS-09,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0456,2026-09-15T03:24:00Z,MGMT-01,ACME\\lchen,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0113,2026-09-15T03:45:02Z,HR-WS-04,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0586,2026-09-15T04:01:08Z,MGMT-01,SYSTEM,Application startup,OneDrive,routine startup target,approved,benign
CFG-0483,2026-09-15T04:03:22Z,HR-WS-04,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0392,2026-09-15T04:09:09Z,DC-01,ACME\\jsmith,Startup folder,Teams,routine startup target,approved,benign
CFG-0318,2026-09-15T04:20:31Z,ENG-WS-17,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0478,2026-09-15T04:34:37Z,DC-01,ACME\\mgarcia,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0423,2026-09-15T04:42:38Z,JUMP-01,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0192,2026-09-15T04:45:21Z,DC-01,ACME\\jsmith,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0270,2026-09-15T04:48:06Z,ENG-WS-17,ACME\\jsmith,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0104,2026-09-15T04:50:02Z,FIN-WS-09,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0547,2026-09-15T05:04:16Z,ENG-WS-17,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0326,2026-09-15T05:20:56Z,HR-WS-04,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0305,2026-09-15T05:57:17Z,ENG-WS-17,ACME\\lchen,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0255,2026-09-15T06:05:43Z,JUMP-01,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0510,2026-09-15T06:23:15Z,HR-WS-04,ACME\\jsmith,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0246,2026-09-15T06:41:05Z,DC-01,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0215,2026-09-15T06:51:51Z,ENG-WS-17,SYSTEM,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0149,2026-09-15T07:23:43Z,JUMP-01,ACME\\mgarcia,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0419,2026-09-15T07:38:44Z,ENG-WS-17,ACME\\mgarcia,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0217,2026-09-15T07:53:54Z,HR-WS-04,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0428,2026-09-15T08:15:14Z,MGMT-01,ACME\\jsmith,Application startup,Teams,routine startup target,approved,benign
CFG-0469,2026-09-15T08:32:36Z,MGMT-01,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0138,2026-09-15T08:56:46Z,ENG-WS-17,SYSTEM,Application startup,Teams,routine startup target,approved,benign
CFG-0316,2026-09-15T08:58:55Z,JUMP-01,SYSTEM,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0454,2026-09-15T09:01:16Z,JUMP-01,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0558,2026-09-15T09:15:00Z,FIN-WS-09,ACME\\lchen,Application startup,OneDrive,routine startup target,approved,benign
CFG-0127,2026-09-15T09:49:49Z,MGMT-01,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0170,2026-09-15T09:50:15Z,HR-WS-04,SYSTEM,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0334,2026-09-15T09:57:05Z,FIN-WS-09,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0461,2026-09-15T10:02:00Z,HR-WS-04,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0196,2026-09-15T10:12:17Z,ENG-WS-17,ACME\\jsmith,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0385,2026-09-15T10:13:54Z,DC-01,ACME\\mgarcia,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0514,2026-09-15T10:31:13Z,JUMP-01,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0437,2026-09-15T10:33:07Z,JUMP-01,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0431,2026-09-15T11:09:10Z,ENG-WS-17,ACME\\mgarcia,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0380,2026-09-15T11:15:10Z,DC-01,ACME\\jsmith,Application startup,Teams,routine startup target,approved,benign
CFG-0126,2026-09-15T11:21:48Z,ENG-WS-17,ACME\\lchen,Application startup,OneDrive,routine startup target,approved,benign
CFG-0240,2026-09-15T11:22:32Z,DC-01,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0150,2026-09-15T11:30:52Z,JUMP-01,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0352,2026-09-15T11:52:29Z,DC-01,SYSTEM,Application startup,Teams,routine startup target,approved,benign
CFG-0263,2026-09-15T12:01:16Z,MGMT-01,ACME\\jsmith,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0167,2026-09-15T12:01:45Z,ENG-WS-17,ACME\\mgarcia,Application startup,OneDrive,routine startup target,approved,benign
CFG-0556,2026-09-15T12:34:31Z,FIN-WS-09,ACME\\jsmith,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0161,2026-09-15T12:41:00Z,MGMT-01,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0357,2026-09-15T13:33:40Z,JUMP-01,ACME\\mgarcia,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0214,2026-09-15T13:45:36Z,JUMP-01,ACME\\lchen,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0477,2026-09-15T13:49:26Z,FIN-WS-09,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0389,2026-09-15T13:51:00Z,FIN-WS-09,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0266,2026-09-15T14:01:21Z,FIN-WS-09,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0145,2026-09-15T14:37:28Z,MGMT-01,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0455,2026-09-15T14:40:34Z,HR-WS-04,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0591,2026-09-15T15:53:09Z,ENG-WS-17,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0201,2026-09-15T16:17:55Z,ENG-WS-17,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0159,2026-09-15T16:50:05Z,ENG-WS-17,ACME\\mgarcia,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0173,2026-09-15T17:03:31Z,FIN-WS-09,ACME\\mgarcia,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0447,2026-09-15T17:05:33Z,ENG-WS-17,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0497,2026-09-15T17:20:21Z,ENG-WS-17,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0457,2026-09-15T17:23:29Z,ENG-WS-17,ACME\\jsmith,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0230,2026-09-15T17:23:40Z,MGMT-01,ACME\\jsmith,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0239,2026-09-15T17:37:03Z,ENG-WS-17,SYSTEM,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0257,2026-09-15T17:53:03Z,FIN-WS-09,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0338,2026-09-15T17:54:23Z,JUMP-01,SYSTEM,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0297,2026-09-15T17:57:05Z,HR-WS-04,ACME\\jsmith,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0283,2026-09-15T18:16:33Z,FIN-WS-09,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0424,2026-09-15T18:21:49Z,DC-01,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0288,2026-09-15T18:27:35Z,FIN-WS-09,SYSTEM,Application startup,MapDrives,routine startup target,approved,benign
CFG-0180,2026-09-15T19:00:14Z,MGMT-01,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0397,2026-09-15T19:03:58Z,HR-WS-04,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0105,2026-09-15T19:07:30Z,DC-01,ACME\\jsmith,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0115,2026-09-15T19:14:25Z,HR-WS-04,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0549,2026-09-15T19:15:00Z,FIN-WS-09,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0444,2026-09-15T19:25:47Z,DC-01,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0467,2026-09-15T19:30:08Z,FIN-WS-09,SYSTEM,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0387,2026-09-15T19:46:01Z,JUMP-01,ACME\\lchen,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0401,2026-09-15T19:50:38Z,DC-01,ACME\\jsmith,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0365,2026-09-15T19:56:55Z,DC-01,ACME\\lchen,Application startup,OneDrive,routine startup target,approved,benign
CFG-0594,2026-09-15T20:17:00Z,HR-WS-04,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0179,2026-09-15T20:26:25Z,JUMP-01,ACME\\lchen,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0496,2026-09-15T20:33:32Z,DC-01,SYSTEM,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0229,2026-09-15T20:37:51Z,ENG-WS-17,ACME\\mgarcia,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0251,2026-09-15T20:39:07Z,JUMP-01,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0550,2026-09-15T20:42:20Z,ENG-WS-17,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0566,2026-09-15T21:13:54Z,JUMP-01,ACME\\mgarcia,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0508,2026-09-15T21:16:48Z,HR-WS-04,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0567,2026-09-15T21:26:47Z,JUMP-01,ACME\\jsmith,Startup folder,Teams,routine startup target,approved,benign
CFG-0404,2026-09-15T21:31:35Z,JUMP-01,ACME\\jsmith,Application startup,OneDrive,routine startup target,approved,benign
CFG-0544,2026-09-15T21:34:46Z,MGMT-01,ACME\\jsmith,Application startup,OneDrive,routine startup target,approved,benign
CFG-0369,2026-09-15T21:48:31Z,MGMT-01,ACME\\mgarcia,Application startup,Teams,routine startup target,approved,benign
CFG-0537,2026-09-15T22:00:07Z,FIN-WS-09,ACME\\lchen,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0512,2026-09-15T22:31:06Z,JUMP-01,ACME\\mgarcia,Application startup,OneDrive,routine startup target,approved,benign
CFG-0165,2026-09-15T22:59:35Z,FIN-WS-09,ACME\\lchen,Startup folder,Teams,routine startup target,approved,benign
CFG-0581,2026-09-15T23:03:25Z,HR-WS-04,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0290,2026-09-15T23:12:57Z,DC-01,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0425,2026-09-15T23:21:56Z,FIN-WS-09,SYSTEM,Application startup,OneDrive,routine startup target,approved,benign
CFG-0252,2026-09-15T23:38:12Z,JUMP-01,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0287,2026-09-15T23:40:24Z,FIN-WS-09,ACME\\lchen,Startup folder,Teams,routine startup target,approved,benign
CFG-0291,2026-09-15T23:44:43Z,FIN-WS-09,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0144,2026-09-16T00:13:40Z,ENG-WS-17,SYSTEM,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0302,2026-09-16T00:18:44Z,MGMT-01,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0269,2026-09-16T00:47:35Z,DC-01,ACME\\mgarcia,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0375,2026-09-16T00:48:49Z,HR-WS-04,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0185,2026-09-16T00:49:23Z,DC-01,ACME\\jsmith,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0468,2026-09-16T01:09:22Z,MGMT-01,ACME\\mgarcia,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0226,2026-09-16T01:36:53Z,FIN-WS-09,ACME\\mgarcia,Startup folder,DisplayProfile,routine startup target,approved,benign
CFG-0462,2026-09-16T01:48:34Z,DC-01,ACME\\mgarcia,Application startup,OneDrive,routine startup target,approved,benign
CFG-0429,2026-09-16T01:50:56Z,HR-WS-04,ACME\\jsmith,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0213,2026-09-16T02:07:27Z,DC-01,ACME\\jsmith,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0125,2026-09-16T02:11:20Z,FIN-WS-09,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0528,2026-09-16T02:14:04Z,DC-01,ACME\\jsmith,Application startup,Teams,routine startup target,approved,benign
CFG-0227,2026-09-16T02:34:38Z,ENG-WS-17,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0294,2026-09-16T02:35:07Z,DC-01,ACME\\mgarcia,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0279,2026-09-16T02:58:57Z,DC-01,ACME\\lchen,Application startup,Teams,routine startup target,approved,benign
CFG-0413,2026-09-16T03:20:10Z,HR-WS-04,ACME\\jsmith,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0133,2026-09-16T03:28:20Z,MGMT-01,ACME\\mgarcia,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0382,2026-09-16T03:55:55Z,DC-01,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0489,2026-09-16T03:58:38Z,MGMT-01,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0531,2026-09-16T04:27:55Z,JUMP-01,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0442,2026-09-16T04:42:45Z,JUMP-01,ACME\\jsmith,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0303,2026-09-16T04:49:56Z,DC-01,ACME\\mgarcia,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0100,2026-09-16T05:03:39Z,ENG-WS-17,ACME\\lchen,Enterprise logon policy,DisplayProfile,routine startup target,approved,benign
CFG-0341,2026-09-16T05:16:52Z,MGMT-01,ACME\\mgarcia,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0500,2026-09-16T05:34:25Z,FIN-WS-09,SYSTEM,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0452,2026-09-16T05:37:14Z,HR-WS-04,SYSTEM,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0593,2026-09-16T05:44:31Z,FIN-WS-09,ACME\\mgarcia,Startup folder,Teams,routine startup target,approved,benign
CFG-0460,2026-09-16T06:12:34Z,FIN-WS-09,ACME\\mgarcia,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0308,2026-09-16T06:17:52Z,MGMT-01,ACME\\lchen,Enterprise logon policy,MapDrives,routine startup target,approved,benign
CFG-0347,2026-09-16T06:33:01Z,MGMT-01,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0402,2026-09-16T06:41:41Z,JUMP-01,SYSTEM,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0351,2026-09-16T06:42:18Z,MGMT-01,ACME\\lchen,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0359,2026-09-16T06:45:19Z,HR-WS-04,SYSTEM,Startup folder,Teams,routine startup target,approved,benign
CFG-0482,2026-09-16T06:54:54Z,DC-01,ACME\\lchen,Startup folder,MapDrives,routine startup target,approved,benign
CFG-0479,2026-09-16T06:55:55Z,FIN-WS-09,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0519,2026-09-16T06:57:09Z,HR-WS-04,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0518,2026-09-16T06:59:54Z,DC-01,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0498,2026-09-16T07:21:27Z,MGMT-01,ACME\\mgarcia,Application startup,MapDrives,routine startup target,approved,benign
CFG-0438,2026-09-16T07:21:38Z,MGMT-01,ACME\\lchen,Enterprise logon policy,Teams,routine startup target,approved,benign
CFG-0195,2026-09-16T07:29:22Z,DC-01,ACME\\lchen,Application startup,MapDrives,routine startup target,approved,benign
CFG-0590,2026-09-16T07:33:58Z,DC-01,SYSTEM,Enterprise logon policy,OneDrive,routine startup target,approved,benign
CFG-0253,2026-09-16T07:43:54Z,MGMT-01,ACME\\lchen,Startup folder,OneDrive,routine startup target,approved,benign
CFG-0293,2026-09-16T07:54:36Z,HR-WS-04,ACME\\jsmith,Application startup,DisplayProfile,routine startup target,approved,benign
CFG-0595,2026-09-16T08:14:56Z,JUMP-01,ACME\\jsmith,Startup folder,DisplayProfile,routine startup target,approved,benign
