event_id,_time,host,user,action,file_path,source_process,classification
FILE-0493,2026-09-14T16:37:20Z,ENG-WS-17,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0196,2026-09-14T16:47:36Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0246,2026-09-14T16:56:20Z,JUMP-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0477,2026-09-14T17:04:54Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0199,2026-09-14T17:17:36Z,FIN-WS-09,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0304,2026-09-14T17:26:46Z,JUMP-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0313,2026-09-14T17:35:00Z,FIN-WS-09,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0205,2026-09-14T17:48:24Z,FIN-WS-09,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0314,2026-09-14T17:53:32Z,JUMP-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0529,2026-09-14T18:02:34Z,ENG-WS-17,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0369,2026-09-14T18:08:41Z,HR-WS-04,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0523,2026-09-14T18:13:24Z,HR-WS-04,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0582,2026-09-14T18:22:57Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0315,2026-09-14T18:40:13Z,JUMP-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0458,2026-09-14T18:40:32Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0310,2026-09-14T18:54:08Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0172,2026-09-14T19:03:06Z,MGMT-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0280,2026-09-14T19:07:36Z,DC-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0552,2026-09-14T19:33:02Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0408,2026-09-14T19:37:01Z,FIN-WS-09,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0272,2026-09-14T19:53:33Z,FIN-WS-09,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0222,2026-09-14T19:59:26Z,JUMP-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0594,2026-09-14T20:08:13Z,MGMT-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0361,2026-09-14T20:19:04Z,HR-WS-04,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0461,2026-09-14T20:48:23Z,MGMT-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0164,2026-09-14T20:57:08Z,FIN-WS-09,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0343,2026-09-14T21:13:15Z,JUMP-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0344,2026-09-14T21:22:50Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0359,2026-09-14T21:27:59Z,MGMT-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0462,2026-09-14T21:32:04Z,FIN-WS-09,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0170,2026-09-14T21:45:37Z,HR-WS-04,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0269,2026-09-14T21:58:23Z,HR-WS-04,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0265,2026-09-14T22:07:42Z,FIN-WS-09,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0507,2026-09-14T22:11:23Z,FIN-WS-09,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0188,2026-09-14T22:19:19Z,HR-WS-04,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0203,2026-09-14T22:24:46Z,FIN-WS-09,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0306,2026-09-14T22:26:34Z,JUMP-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0525,2026-09-14T22:35:51Z,HR-WS-04,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0161,2026-09-14T22:48:32Z,JUMP-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0498,2026-09-14T23:55:33Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0242,2026-09-15T00:13:19Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0377,2026-09-15T00:27:45Z,HR-WS-04,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0575,2026-09-15T00:36:23Z,ENG-WS-17,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0495,2026-09-15T00:41:59Z,DC-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0410,2026-09-15T00:45:13Z,MGMT-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0554,2026-09-15T00:56:18Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0551,2026-09-15T00:58:01Z,JUMP-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0485,2026-09-15T01:09:51Z,MGMT-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0508,2026-09-15T01:38:46Z,JUMP-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0112,2026-09-15T01:48:59Z,DC-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0595,2026-09-15T02:27:38Z,ENG-WS-17,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0502,2026-09-15T02:32:08Z,JUMP-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0522,2026-09-15T02:37:15Z,MGMT-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0308,2026-09-15T03:05:26Z,JUMP-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0190,2026-09-15T03:06:13Z,DC-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0565,2026-09-15T03:09:30Z,FIN-WS-09,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0393,2026-09-15T03:20:44Z,JUMP-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0511,2026-09-15T03:24:40Z,ENG-WS-17,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0108,2026-09-15T03:39:37Z,MGMT-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0429,2026-09-15T04:16:31Z,MGMT-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0115,2026-09-15T04:30:52Z,JUMP-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0484,2026-09-15T04:51:03Z,JUMP-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0333,2026-09-15T05:08:17Z,MGMT-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0184,2026-09-15T05:10:18Z,FIN-WS-09,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0296,2026-09-15T05:29:02Z,JUMP-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0221,2026-09-15T05:58:19Z,JUMP-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0102,2026-09-15T05:59:09Z,HR-WS-04,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0497,2026-09-15T06:14:18Z,FIN-WS-09,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0111,2026-09-15T06:28:09Z,MGMT-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0116,2026-09-15T06:46:25Z,FIN-WS-09,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0208,2026-09-15T07:17:11Z,DC-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0194,2026-09-15T07:35:23Z,HR-WS-04,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0156,2026-09-15T07:36:13Z,ENG-WS-17,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0581,2026-09-15T07:50:26Z,MGMT-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0544,2026-09-15T08:09:54Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0555,2026-09-15T08:13:11Z,MGMT-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0569,2026-09-15T08:23:17Z,DC-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0574,2026-09-15T08:23:23Z,FIN-WS-09,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0325,2026-09-15T08:48:11Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0509,2026-09-15T08:51:55Z,MGMT-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0126,2026-09-15T09:04:39Z,FIN-WS-09,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0499,2026-09-15T09:05:08Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0339,2026-09-15T09:22:29Z,ENG-WS-17,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0591,2026-09-15T09:27:26Z,MGMT-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0227,2026-09-15T09:38:43Z,HR-WS-04,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0293,2026-09-15T10:05:37Z,JUMP-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0470,2026-09-15T10:24:43Z,ENG-WS-17,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0427,2026-09-15T10:40:49Z,MGMT-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0165,2026-09-15T10:44:03Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0243,2026-09-15T10:45:52Z,FIN-WS-09,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0521,2026-09-15T11:10:09Z,ENG-WS-17,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0174,2026-09-15T11:11:44Z,HR-WS-04,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0177,2026-09-15T11:16:03Z,MGMT-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0384,2026-09-15T11:54:59Z,HR-WS-04,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0350,2026-09-15T12:01:35Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0588,2026-09-15T12:35:52Z,FIN-WS-09,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0134,2026-09-15T13:03:34Z,MGMT-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0109,2026-09-15T13:24:28Z,HR-WS-04,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0528,2026-09-15T13:40:08Z,MGMT-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0383,2026-09-15T13:48:00Z,DC-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0459,2026-09-15T13:51:43Z,DC-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0580,2026-09-15T13:56:57Z,DC-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0288,2026-09-15T13:58:25Z,HR-WS-04,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0538,2026-09-15T14:08:51Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0220,2026-09-15T14:10:58Z,HR-WS-04,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0491,2026-09-15T14:11:58Z,DC-01,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0438,2026-09-15T14:46:25Z,ENG-WS-17,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0409,2026-09-15T15:02:02Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0144,2026-09-15T15:07:55Z,HR-WS-04,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0289,2026-09-15T15:14:56Z,MGMT-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0381,2026-09-15T15:36:14Z,DC-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0348,2026-09-15T15:49:45Z,MGMT-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0319,2026-09-15T15:51:07Z,HR-WS-04,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0372,2026-09-15T16:06:24Z,FIN-WS-09,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0105,2026-09-15T16:37:43Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0232,2026-09-15T16:42:25Z,HR-WS-04,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0334,2026-09-15T16:53:11Z,HR-WS-04,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0464,2026-09-15T17:29:13Z,HR-WS-04,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0531,2026-09-15T17:30:44Z,FIN-WS-09,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0309,2026-09-15T17:37:58Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0271,2026-09-15T17:42:34Z,HR-WS-04,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0278,2026-09-15T17:42:56Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0235,2026-09-15T17:49:13Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0183,2026-09-15T17:54:42Z,DC-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0441,2026-09-15T18:33:54Z,JUMP-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0282,2026-09-15T18:34:33Z,HR-WS-04,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0286,2026-09-15T18:42:31Z,ENG-WS-17,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0195,2026-09-15T18:52:19Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0326,2026-09-15T18:56:11Z,FIN-WS-09,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0435,2026-09-15T19:00:30Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0311,2026-09-15T19:01:44Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0191,2026-09-15T19:02:13Z,FIN-WS-09,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0291,2026-09-15T19:06:22Z,FIN-WS-09,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0187,2026-09-15T19:08:23Z,HR-WS-04,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0154,2026-09-15T19:33:58Z,HR-WS-04,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0436,2026-09-15T19:41:23Z,ENG-WS-17,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0121,2026-09-15T19:47:24Z,ENG-WS-17,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0219,2026-09-15T19:52:31Z,ENG-WS-17,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0241,2026-09-15T19:59:41Z,FIN-WS-09,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0407,2026-09-15T20:01:07Z,FIN-WS-09,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0353,2026-09-15T20:15:45Z,ENG-WS-17,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0564,2026-09-15T20:21:25Z,JUMP-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0346,2026-09-15T20:47:29Z,JUMP-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0233,2026-09-15T20:54:44Z,MGMT-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0411,2026-09-15T20:57:15Z,HR-WS-04,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0415,2026-09-15T21:09:12Z,ENG-WS-17,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0547,2026-09-15T21:38:01Z,HR-WS-04,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0335,2026-09-15T21:41:59Z,HR-WS-04,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0579,2026-09-15T21:52:02Z,HR-WS-04,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0287,2026-09-15T21:56:03Z,MGMT-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0118,2026-09-15T22:02:31Z,JUMP-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0543,2026-09-15T22:03:43Z,FIN-WS-09,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0576,2026-09-15T22:04:46Z,JUMP-01,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0535,2026-09-15T22:18:52Z,DC-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0198,2026-09-15T22:33:25Z,ENG-WS-17,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0452,2026-09-15T22:54:39Z,JUMP-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0380,2026-09-15T23:05:13Z,FIN-WS-09,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0192,2026-09-15T23:24:42Z,MGMT-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0218,2026-09-15T23:41:34Z,HR-WS-04,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0451,2026-09-15T23:53:37Z,DC-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0238,2026-09-15T23:59:21Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0303,2026-09-16T00:18:26Z,MGMT-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0443,2026-09-16T00:22:45Z,JUMP-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0250,2026-09-16T00:43:31Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0354,2026-09-16T01:03:11Z,ENG-WS-17,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0351,2026-09-16T01:21:40Z,ENG-WS-17,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0473,2026-09-16T01:27:15Z,ENG-WS-17,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0299,2026-09-16T01:27:38Z,DC-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0284,2026-09-16T01:33:15Z,FIN-WS-09,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0404,2026-09-16T01:56:02Z,JUMP-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0277,2026-09-16T01:57:15Z,ENG-WS-17,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0237,2026-09-16T02:12:17Z,JUMP-01,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0463,2026-09-16T02:15:17Z,HR-WS-04,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0141,2026-09-16T02:17:47Z,HR-WS-04,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0489,2026-09-16T02:49:59Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0363,2026-09-16T03:00:51Z,ENG-WS-17,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0488,2026-09-16T03:04:56Z,MGMT-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0139,2026-09-16T03:05:36Z,ENG-WS-17,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0434,2026-09-16T03:14:42Z,FIN-WS-09,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0460,2026-09-16T03:39:04Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
FILE-0454,2026-09-16T03:54:05Z,HR-WS-04,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0138,2026-09-16T03:56:41Z,FIN-WS-09,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0474,2026-09-16T03:57:09Z,MGMT-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0316,2026-09-16T04:28:59Z,ENG-WS-17,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0160,2026-09-16T04:36:25Z,HR-WS-04,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0539,2026-09-16T04:54:39Z,DC-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0215,2026-09-16T04:57:42Z,DC-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0542,2026-09-16T05:01:48Z,FIN-WS-09,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0167,2026-09-16T05:14:15Z,HR-WS-04,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0355,2026-09-16T05:31:14Z,HR-WS-04,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0367,2026-09-16T05:39:06Z,JUMP-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0159,2026-09-16T05:48:08Z,JUMP-01,ACME\\mgarcia,read,routine user or enterprise file,routine process,benign
FILE-0298,2026-09-16T05:59:52Z,DC-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0150,2026-09-16T06:03:41Z,ENG-WS-17,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0266,2026-09-16T06:07:07Z,DC-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0328,2026-09-16T06:09:31Z,MGMT-01,ACME\\lchen,modify,routine user or enterprise file,routine process,benign
FILE-0530,2026-09-16T06:20:52Z,JUMP-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0561,2026-09-16T06:34:25Z,JUMP-01,ACME\\mgarcia,create,routine user or enterprise file,routine process,benign
FILE-0376,2026-09-16T06:52:30Z,JUMP-01,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0417,2026-09-16T06:56:11Z,FIN-WS-09,ACME\\jsmith,create,routine user or enterprise file,routine process,benign
FILE-0513,2026-09-16T07:00:46Z,JUMP-01,ACME\\lchen,read,routine user or enterprise file,routine process,benign
FILE-0526,2026-09-16T07:33:10Z,HR-WS-04,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0247,2026-09-16T07:54:59Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0546,2026-09-16T08:27:03Z,MGMT-01,ACME\\jsmith,modify,routine user or enterprise file,routine process,benign
FILE-0373,2026-09-16T09:00:17Z,MGMT-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0557,2026-09-16T09:32:38Z,JUMP-01,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0476,2026-09-16T09:51:04Z,DC-01,ACME\\lchen,create,routine user or enterprise file,routine process,benign
FILE-0406,2026-09-16T09:56:36Z,FIN-WS-09,ACME\\mgarcia,modify,routine user or enterprise file,routine process,benign
FILE-0505,2026-09-16T10:00:19Z,ENG-WS-17,ACME\\jsmith,read,routine user or enterprise file,routine process,benign
FILE-0207,2026-09-16T10:06:08Z,JUMP-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0173,2026-09-16T10:13:15Z,MGMT-01,SYSTEM,read,routine user or enterprise file,routine process,benign
FILE-0467,2026-09-16T10:26:05Z,MGMT-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0133,2026-09-16T10:43:19Z,JUMP-01,SYSTEM,create,routine user or enterprise file,routine process,benign
FILE-0549,2026-09-16T10:47:45Z,DC-01,SYSTEM,modify,routine user or enterprise file,routine process,benign
