event_id,_time,src_host,dest_host,user,process_name,dest_port,bytes_out,classification
NET-0474,2026-09-15T18:48:11Z,FIN-WS-09,MGMT-01,ACME\\mgarcia,cmd.exe,53,25156,benign
NET-0245,2026-09-15T18:49:47Z,MGMT-01,198.51.100.20,ACME\\mgarcia,cmd.exe,53,14699,benign
NET-0510,2026-09-15T19:46:16Z,FIN-WS-09,MGMT-01,ACME\\lchen,OneDrive.exe,53,11677,benign
NET-0316,2026-09-15T19:58:01Z,MGMT-01,DC-01,SYSTEM,cmd.exe,53,24479,benign
NET-0497,2026-09-15T19:58:12Z,JUMP-01,MGMT-01,ACME\\lchen,OneDrive.exe,445,19536,benign
NET-0247,2026-09-15T19:59:26Z,JUMP-01,198.51.100.20,ACME\\lchen,Teams.exe,53,19373,benign
NET-0214,2026-09-15T20:38:32Z,MGMT-01,198.51.100.20,ACME\\mgarcia,cmd.exe,443,12517,benign
NET-0552,2026-09-15T20:55:55Z,FIN-WS-09,MGMT-01,SYSTEM,OneDrive.exe,443,21673,benign
NET-0113,2026-09-15T21:11:29Z,MGMT-01,198.51.100.20,ACME\\lchen,Teams.exe,53,16935,benign
NET-0237,2026-09-15T21:11:48Z,ENG-WS-17,198.51.100.20,ACME\\jsmith,Teams.exe,445,22864,benign
NET-0570,2026-09-15T21:35:31Z,FIN-WS-09,MGMT-01,SYSTEM,cmd.exe,443,3644,benign
NET-0256,2026-09-15T21:44:16Z,JUMP-01,DC-01,ACME\\jsmith,OneDrive.exe,445,5630,benign
NET-0368,2026-09-15T21:50:55Z,HR-WS-04,MGMT-01,SYSTEM,cmd.exe,443,24225,benign
NET-0514,2026-09-15T21:56:05Z,FIN-WS-09,198.51.100.20,ACME\\jsmith,Teams.exe,445,10947,benign
NET-0506,2026-09-15T22:09:45Z,DC-01,MGMT-01,SYSTEM,Teams.exe,53,7106,benign
NET-0314,2026-09-15T22:27:13Z,DC-01,MGMT-01,ACME\\lchen,OneDrive.exe,53,26950,benign
NET-0572,2026-09-15T22:29:38Z,JUMP-01,DC-01,ACME\\lchen,OneDrive.exe,445,28921,benign
NET-0108,2026-09-15T22:31:34Z,JUMP-01,198.51.100.20,ACME\\mgarcia,OneDrive.exe,443,27500,benign
NET-0585,2026-09-15T22:32:48Z,ENG-WS-17,MGMT-01,SYSTEM,cmd.exe,53,5541,benign
NET-0590,2026-09-15T22:35:01Z,ENG-WS-17,MGMT-01,ACME\\mgarcia,OneDrive.exe,53,6656,benign
NET-0288,2026-09-15T23:04:39Z,JUMP-01,DC-01,SYSTEM,OneDrive.exe,443,11615,benign
NET-0345,2026-09-15T23:05:46Z,MGMT-01,MGMT-01,ACME\\lchen,cmd.exe,443,5864,benign
NET-0107,2026-09-15T23:34:34Z,DC-01,DC-01,ACME\\jsmith,OneDrive.exe,53,16064,benign
NET-0120,2026-09-15T23:35:08Z,HR-WS-04,DC-01,SYSTEM,Teams.exe,53,7354,benign
NET-0480,2026-09-15T23:39:48Z,HR-WS-04,MGMT-01,ACME\\mgarcia,OneDrive.exe,445,25659,benign
NET-0448,2026-09-16T00:28:28Z,HR-WS-04,198.51.100.20,ACME\\mgarcia,Teams.exe,53,26030,benign
NET-0186,2026-09-16T01:21:57Z,FIN-WS-09,DC-01,ACME\\jsmith,OneDrive.exe,53,7890,benign
NET-0509,2026-09-16T01:25:33Z,MGMT-01,198.51.100.20,ACME\\lchen,OneDrive.exe,443,6298,benign
NET-0563,2026-09-16T01:37:35Z,MGMT-01,MGMT-01,ACME\\lchen,cmd.exe,443,24420,benign
NET-0189,2026-09-16T01:43:51Z,JUMP-01,198.51.100.20,ACME\\jsmith,cmd.exe,53,10265,benign
NET-0390,2026-09-16T01:44:19Z,MGMT-01,DC-01,SYSTEM,Teams.exe,53,19565,benign
NET-0355,2026-09-16T01:49:28Z,DC-01,198.51.100.20,ACME\\jsmith,OneDrive.exe,53,24452,benign
NET-0512,2026-09-16T01:50:20Z,MGMT-01,DC-01,SYSTEM,cmd.exe,443,8790,benign
NET-0472,2026-09-16T01:50:26Z,HR-WS-04,MGMT-01,ACME\\lchen,cmd.exe,443,3457,benign
NET-0322,2026-09-16T01:55:32Z,JUMP-01,DC-01,SYSTEM,OneDrive.exe,53,8963,benign
NET-0422,2026-09-16T02:09:43Z,DC-01,MGMT-01,ACME\\jsmith,cmd.exe,53,15573,benign
NET-0241,2026-09-16T02:25:52Z,MGMT-01,MGMT-01,ACME\\mgarcia,OneDrive.exe,445,25132,benign
NET-0457,2026-09-16T02:26:56Z,JUMP-01,DC-01,ACME\\jsmith,OneDrive.exe,445,11314,benign
NET-0384,2026-09-16T03:01:38Z,ENG-WS-17,198.51.100.20,SYSTEM,OneDrive.exe,443,23872,benign
NET-0362,2026-09-16T03:03:24Z,MGMT-01,MGMT-01,ACME\\mgarcia,Teams.exe,53,3684,benign
NET-0470,2026-09-16T03:10:01Z,MGMT-01,MGMT-01,SYSTEM,cmd.exe,443,3909,benign
NET-0177,2026-09-16T03:11:12Z,MGMT-01,198.51.100.20,ACME\\lchen,cmd.exe,445,15165,benign
NET-0225,2026-09-16T03:23:16Z,HR-WS-04,DC-01,ACME\\lchen,OneDrive.exe,443,16058,benign
NET-0302,2026-09-16T03:36:04Z,JUMP-01,DC-01,SYSTEM,Teams.exe,443,4592,benign
NET-0145,2026-09-16T03:44:06Z,MGMT-01,198.51.100.20,ACME\\jsmith,Teams.exe,443,18428,benign
NET-0492,2026-09-16T04:25:57Z,HR-WS-04,DC-01,ACME\\mgarcia,cmd.exe,445,3046,benign
NET-0210,2026-09-16T04:28:33Z,JUMP-01,MGMT-01,ACME\\mgarcia,OneDrive.exe,443,22975,benign
NET-0594,2026-09-16T04:30:14Z,ENG-WS-17,MGMT-01,SYSTEM,cmd.exe,445,23719,benign
NET-0325,2026-09-16T04:32:57Z,MGMT-01,198.51.100.20,ACME\\mgarcia,OneDrive.exe,443,15776,benign
NET-0577,2026-09-16T04:33:19Z,HR-WS-04,DC-01,ACME\\jsmith,Teams.exe,443,16936,benign
NET-0332,2026-09-16T04:46:37Z,HR-WS-04,DC-01,ACME\\lchen,cmd.exe,53,25268,benign
NET-0246,2026-09-16T04:52:45Z,FIN-WS-09,DC-01,ACME\\jsmith,OneDrive.exe,443,6371,benign
NET-0327,2026-09-16T04:56:26Z,FIN-WS-09,DC-01,SYSTEM,cmd.exe,53,21920,benign
NET-0215,2026-09-16T04:58:11Z,JUMP-01,DC-01,ACME\\mgarcia,OneDrive.exe,445,17795,benign
NET-0554,2026-09-16T04:59:38Z,JUMP-01,MGMT-01,ACME\\mgarcia,cmd.exe,53,21992,benign
NET-0294,2026-09-16T05:00:36Z,FIN-WS-09,MGMT-01,ACME\\jsmith,cmd.exe,443,6263,benign
NET-0487,2026-09-16T05:01:57Z,HR-WS-04,DC-01,SYSTEM,OneDrive.exe,443,10147,benign
NET-0473,2026-09-16T05:05:51Z,JUMP-01,MGMT-01,ACME\\jsmith,OneDrive.exe,445,10452,benign
NET-0584,2026-09-16T05:19:05Z,DC-01,198.51.100.20,ACME\\mgarcia,cmd.exe,443,2172,benign
NET-0450,2026-09-16T05:23:53Z,DC-01,MGMT-01,ACME\\mgarcia,Teams.exe,443,8337,benign
NET-0591,2026-09-16T05:37:36Z,MGMT-01,DC-01,ACME\\lchen,Teams.exe,445,25351,benign
NET-0411,2026-09-16T05:48:51Z,ENG-WS-17,198.51.100.20,ACME\\lchen,Teams.exe,443,16497,benign
NET-0490,2026-09-16T06:30:04Z,JUMP-01,198.51.100.20,SYSTEM,OneDrive.exe,445,6059,benign
NET-0366,2026-09-16T06:31:50Z,DC-01,198.51.100.20,ACME\\lchen,Teams.exe,445,24386,benign
NET-0461,2026-09-16T06:33:40Z,MGMT-01,DC-01,ACME\\jsmith,cmd.exe,445,18981,benign
NET-0204,2026-09-16T06:44:25Z,HR-WS-04,MGMT-01,ACME\\mgarcia,OneDrive.exe,445,22032,benign
NET-0419,2026-09-16T06:58:52Z,DC-01,DC-01,ACME\\mgarcia,OneDrive.exe,443,13695,benign
NET-0341,2026-09-16T07:20:24Z,JUMP-01,198.51.100.20,ACME\\mgarcia,Teams.exe,445,15942,benign
NET-0546,2026-09-16T07:26:32Z,ENG-WS-17,MGMT-01,ACME\\lchen,cmd.exe,445,15456,benign
NET-0379,2026-09-16T07:51:08Z,JUMP-01,198.51.100.20,ACME\\lchen,OneDrive.exe,53,6289,benign
NET-0166,2026-09-16T07:58:05Z,ENG-WS-17,MGMT-01,SYSTEM,OneDrive.exe,53,24875,benign
NET-0539,2026-09-16T08:03:34Z,ENG-WS-17,DC-01,ACME\\mgarcia,Teams.exe,53,8387,benign
NET-0387,2026-09-16T08:06:35Z,MGMT-01,DC-01,SYSTEM,cmd.exe,445,17287,benign
NET-0136,2026-09-16T08:07:17Z,JUMP-01,MGMT-01,ACME\\lchen,Teams.exe,445,23397,benign
NET-0338,2026-09-16T08:29:28Z,FIN-WS-09,DC-01,ACME\\jsmith,Teams.exe,445,13243,benign
NET-0198,2026-09-16T08:32:02Z,JUMP-01,198.51.100.20,ACME\\jsmith,Teams.exe,53,13246,benign
NET-0423,2026-09-16T08:38:09Z,MGMT-01,198.51.100.20,ACME\\jsmith,cmd.exe,53,15895,benign
NET-0250,2026-09-16T08:45:52Z,FIN-WS-09,DC-01,ACME\\lchen,OneDrive.exe,53,22759,benign
