event_id,_time,host,user,action,file_path,sha256,source_process,source_process_id,signature_status,classification,note
FILE-00717,2026-08-04T13:57:47Z,ADMIN-WS-07,ACME\admin.jlee,read,C:\Windows\Temp\agent.log,c9f0f29f223122899d7359b2dd981ed7facf6ccfa84102bd449aec3fa40f1088,backup-agent.exe,10356,not_applicable,benign,routine file activity
FILE-00447,2026-08-04T14:01:54Z,ADMIN-WS-07,ACME\admin.rpatel,create,C:\Ops\logs.zip,6f14b18939ee058189793dad6109c4723e96f7d7af79d0c9a8b0ee2eb6c2ac8a,backup-agent.exe,2783,not_applicable,benign,routine file activity
FILE-00491,2026-08-04T14:05:11Z,FILE-01,ACME\svc_deploy,modify,C:\ProgramData\Backup\state.db,6e75582f4027fef5d7a54ff2e0e734cfad983812b62797bc3d8fc88266b1794e,backup-agent.exe,1174,not_applicable,benign,routine file activity
FILE-00143,2026-08-04T14:05:33Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,read,C:\Deploy\agent.msi,7052902bdd1ba6abe5c7a6b1bfc73bba5cd48599519f60a27c8681d953aadf0b,powershell.exe,1806,signed,benign,routine file activity
FILE-01492,2026-08-04T14:20:06Z,WEB-EDGE-01,ACME\admin.jlee,create,C:\Ops\logs.zip,3dfd20d1c34acd6cd114984f6d80206d68281ca82a7edd122b75e24209850afe,backup-agent.exe,2746,not_applicable,benign,routine file activity
FILE-01479,2026-08-04T14:24:50Z,ADMIN-WS-11,ACME\admin.jlee,create,C:\Ops\logs.zip,ba6bf7f2403660c00ed2f9a401991790368b92505114602d7a948b90042e91b8,backup-agent.exe,3810,not_applicable,benign,routine file activity
FILE-00750,2026-08-04T14:25:39Z,APP-API-02,NT AUTHORITY\SYSTEM,create,C:\ProgramData\Backup\state.db,b6d2935aaf140fa5b4f4b7433000bd0a193df9f7988face971f127de222c859e,powershell.exe,3795,not_applicable,benign,routine file activity
FILE-01230,2026-08-04T14:28:34Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,create,C:\Deploy\agent.msi,aa807be98ebbba91ab352c51b0e6cb5bdd205c955eceb9fe1af9e3424c00c229,msiexec.exe,3987,signed,benign,routine file activity
FILE-00304,2026-08-04T14:39:08Z,FILE-01,ACME\admin.rpatel,read,C:\Deploy\agent.msi,2938174ad1a7e0ca496135cab638b4e1e67dc2dd597e409a1ecb12ea67d0fa3f,msiexec.exe,1802,signed,benign,routine file activity
FILE-00462,2026-08-04T14:46:48Z,ADMIN-WS-11,ACME\svc_backup,modify,C:\Ops\logs.zip,15766e61ee3f4d97ce43ceb05273a71fd7ea005867392e3da9870268a9ccafb6,msiexec.exe,10171,not_applicable,benign,routine file activity
FILE-00797,2026-08-04T14:50:12Z,DEPLOY-01,ACME\svc_deploy,create,C:\Deploy\agent.msi,bbd49c5fd597a7d6cc2bebbf9541df00cab60aad2fa29199c456ec8a0edf74cf,backup-agent.exe,1805,signed,benign,routine file activity
FILE-01484,2026-08-04T15:04:06Z,ADMIN-WS-07,ACME\svc_backup,modify,C:\ProgramData\Backup\state.db,cbe2c3ccc4bceb20a7efd43c9c59435da203e99e4d65ec7fff7702e9e4d01c83,msiexec.exe,9219,not_applicable,benign,routine file activity
FILE-01103,2026-08-04T15:16:42Z,ADMIN-WS-07,ACME\admin.jlee,modify,C:\Ops\logs.zip,8492e176ef2089d50848bc1a783d4455ffae0bbcdb2e805f6e00bb1756472173,powershell.exe,1973,not_applicable,benign,routine file activity
FILE-INC-001,2026-08-04T15:17:32Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\Users\Public\Documents\diag.zip,612ecc3835c3ec888642f0a7cd8331fe53de3d7fe7fff9139e9a1fbddca514e7,bitsadmin.exe,8472,not_applicable,suspicious,Downloaded archive
FILE-INC-002,2026-08-04T15:17:50Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\Users\Public\Documents\diag\procdump64.exe,82cea5bc5e85b43c58cda8ed6616df30c2252c8acde5bbf18c97947a5ed226df,powershell.exe,8496,signed,suspicious,Extracted signed utility
FILE-INC-003,2026-08-04T15:18:10Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\Users\Public\Documents\lsass.dmp,9543ec4f4d45082b2d2dc95655dd9ea6a480e08666c024b966432284e9da990e,procdump64.exe,8516,not_applicable,malicious,Credential material
FILE-INC-004,2026-08-04T15:20:22Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\ProgramData\TelemetryCache\telemetry.dll,893b75ec53d3841f7e5d64b466a0c3ea02aaf342aee0fbb9a0d02db9db2c6edb,powershell.exe,8570,unsigned,malicious,Persistence payload
FILE-01434,2026-08-04T15:24:37Z,VULN-SCAN-01,ACME\admin.rpatel,read,C:\Windows\Temp\agent.log,839c35d79ab2b5415e24340ac1a32742d44a057096071f71246f32fa0d97622f,msiexec.exe,11968,not_applicable,benign,routine file activity
FILE-01113,2026-08-04T15:30:02Z,VULN-SCAN-01,ACME\admin.rpatel,create,C:\Windows\Temp\agent.log,31fb6799f1ab1fe193840b7e3254efe5983a9ca60531c3f07a8143b391789605,msiexec.exe,6928,not_applicable,benign,routine file activity
FILE-00409,2026-08-04T15:34:19Z,DEPLOY-01,NT AUTHORITY\SYSTEM,modify,C:\ProgramData\Backup\state.db,2895eadce34ecd8beb02fe6e4d3bb6e48ffdb3df038ebf39dc8bfbfe2abd5b6f,powershell.exe,2767,not_applicable,benign,routine file activity
FILE-00692,2026-08-04T15:36:01Z,WEB-EDGE-01,ACME\admin.jlee,read,C:\Deploy\agent.msi,bc5bf9909ea7726d2d779261da8fadd179aa98933cdc70a1fee2db962054ee5e,backup-agent.exe,2724,signed,benign,routine file activity
FILE-01144,2026-08-04T15:50:42Z,WEB-EDGE-01,ACME\admin.jlee,create,C:\Windows\Temp\agent.log,aed56addfd3dbc73772a6feb41c55d96ed3c13545787312a03c18de766c8ab50,msiexec.exe,12623,not_applicable,benign,routine file activity
FILE-00652,2026-08-04T15:56:20Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,create,C:\Deploy\agent.msi,9fc879ba78d729b0804368df82fa7fbef34874c8353bdf2ab3236086c3164b7c,powershell.exe,9388,signed,benign,routine file activity
FILE-01223,2026-08-04T15:56:24Z,FILE-01,ACME\svc_deploy,read,C:\Deploy\agent.msi,98cec31868efc34e9df5c020405ea0c02581eee8fb369a8148446833bd80d14c,backup-agent.exe,12053,signed,benign,routine file activity
FILE-00229,2026-08-04T16:05:36Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,read,C:\ProgramData\Backup\state.db,bf78da83c49535fffd0ee9a98c15c092f5a97e091b878ab83c39fe9efac129b5,msiexec.exe,3779,not_applicable,benign,routine file activity
FILE-00509,2026-08-04T16:05:57Z,FILE-01,ACME\admin.rpatel,create,C:\Windows\Temp\agent.log,7d33d1e7ac24d8c5721bb3bdab422e41fade644c34d1dbc24422ee385a9f1922,backup-agent.exe,5525,not_applicable,benign,routine file activity
FILE-01317,2026-08-04T16:13:21Z,FILE-01,ACME\admin.jlee,read,C:\Ops\logs.zip,a280b7cf57078742fbbcf9ec2b89897683895cc73cb31cf095c5ece9ee75e0f2,powershell.exe,10937,not_applicable,benign,routine file activity
FILE-01400,2026-08-04T16:14:33Z,DEPLOY-01,ACME\admin.jlee,create,C:\Windows\Temp\agent.log,046df59bfdf76c4c2b4767d45b5debcdfcb7bfe5a3c85afdeb3751e79f1ecc09,backup-agent.exe,10833,not_applicable,benign,routine file activity
FILE-01149,2026-08-04T16:30:34Z,VULN-SCAN-01,ACME\svc_deploy,create,C:\Ops\logs.zip,93c8d380c8e54d4cd88c082496144785b8ea9fc4b5937b70a2614fba0e8fb727,msiexec.exe,11721,not_applicable,benign,routine file activity
FILE-00691,2026-08-04T16:36:18Z,FILE-01,NT AUTHORITY\SYSTEM,modify,C:\Ops\logs.zip,d23558383785e386860240697074ec0a3808b058cf775894ec191e79bc78f531,powershell.exe,12203,not_applicable,benign,routine file activity
FILE-01331,2026-08-04T16:39:15Z,DEPLOY-01,NT AUTHORITY\SYSTEM,read,C:\Deploy\agent.msi,7f1e8539cd0031ff058606c6cd2204016fcfa376f545371c47040445f8751214,msiexec.exe,4192,signed,benign,routine file activity
FILE-01248,2026-08-04T16:41:50Z,FILE-01,ACME\admin.jlee,read,C:\ProgramData\Backup\state.db,f1a678a607674545e8865b27679a50bb44ccba4489fbe882330b31234cfb8aa8,backup-agent.exe,7112,not_applicable,benign,routine file activity
FILE-00041,2026-08-04T16:50:23Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,create,C:\Ops\logs.zip,c13a6abc9fbc84febad8ed5cccc86bf5038b4da9712114672ca80f4080fe2467,msiexec.exe,5472,not_applicable,benign,routine file activity
FILE-00618,2026-08-04T17:13:17Z,APP-API-02,ACME\admin.jlee,modify,C:\Deploy\agent.msi,439b17e0582f10d36b6443212aa8d5e739dc7c259ec8bcd19c68e9540a39331a,powershell.exe,13198,signed,benign,routine file activity
FILE-00248,2026-08-04T17:17:33Z,ADMIN-WS-11,ACME\svc_deploy,modify,C:\Ops\logs.zip,edf5ef1243f7329470f485be571713e5ec3e7a1f2159648405bf374dc800df00,powershell.exe,1704,not_applicable,benign,routine file activity
FILE-00341,2026-08-04T17:19:34Z,DEPLOY-01,ACME\admin.jlee,modify,C:\Ops\logs.zip,2b246fc714913da91b5cffde0607815213b76880c72b52f32f02001fe8dc5303,powershell.exe,1889,not_applicable,benign,routine file activity
FILE-00792,2026-08-04T17:20:26Z,APP-API-02,ACME\svc_backup,create,C:\Windows\Temp\agent.log,a893833663698cdfe744a3b0d32b0fdba0efb8b4f598320f92d7d00c97dc7954,powershell.exe,14834,not_applicable,benign,routine file activity
FILE-00943,2026-08-04T17:26:47Z,FILE-01,ACME\admin.rpatel,read,C:\Deploy\agent.msi,f8aa654f179e608e8ab7ccbd431958c007e271b958fd5b0e23a6b6efd1505cf1,msiexec.exe,9828,signed,benign,routine file activity
FILE-00161,2026-08-04T17:30:50Z,WEB-EDGE-01,ACME\svc_backup,create,C:\ProgramData\Backup\state.db,56ad1cc79086047f63403b7e7d1bffdca3f5a00965ebc1f3961811a57f46e160,powershell.exe,4267,not_applicable,benign,routine file activity
FILE-01323,2026-08-04T17:32:11Z,APP-API-02,ACME\admin.rpatel,modify,C:\Deploy\agent.msi,4717ead2c096d06e40661a5af9bdb4c6911f86cbca0a436cd78f0d9adf79732b,msiexec.exe,10161,signed,benign,routine file activity
FILE-01186,2026-08-04T17:35:49Z,DEPLOY-01,ACME\svc_deploy,read,C:\Ops\logs.zip,810b472e0346cdc53d587242eec3410708451f109c2d44f82b7ddc029779a079,msiexec.exe,12392,not_applicable,benign,routine file activity
FILE-00181,2026-08-04T17:40:32Z,ADMIN-WS-07,ACME\admin.rpatel,create,C:\Windows\Temp\agent.log,dcd7983a320bec5d1e64bd8f3d9eeead18286929f841565caa577b8a66a71922,msiexec.exe,11126,not_applicable,benign,routine file activity
FILE-00319,2026-08-04T17:43:43Z,WEB-EDGE-01,ACME\admin.rpatel,modify,C:\Windows\Temp\agent.log,27255ce9fff343492ef501d9a309c064a06b3d5c98f2a765afbb5ac857eb6513,backup-agent.exe,2038,not_applicable,benign,routine file activity
FILE-01239,2026-08-04T18:04:27Z,FILE-01,ACME\svc_backup,create,C:\ProgramData\Backup\state.db,8576bc47c2dad87ded8551aebb56b98f73d4ccc5343edb531e15aba51f26f872,msiexec.exe,10100,not_applicable,benign,routine file activity
FILE-00674,2026-08-04T18:07:37Z,VULN-SCAN-01,ACME\svc_backup,create,C:\Ops\logs.zip,06beaef89153284911a20f6067c685ef3e25ab43cf9bda38d24be903dccab24d,msiexec.exe,4880,not_applicable,benign,routine file activity
FILE-00269,2026-08-04T18:12:52Z,ADMIN-WS-07,ACME\admin.rpatel,read,C:\Windows\Temp\agent.log,04a48a7b02c9889e06b57787ba9930f51da775b8b12112daea08625f229d3e24,powershell.exe,10067,not_applicable,benign,routine file activity
FILE-00893,2026-08-04T18:12:57Z,WEB-EDGE-01,ACME\svc_deploy,read,C:\Ops\logs.zip,7f0344e341ac999951155c35a24c4287123cb8908543224903d506c66c82d243,backup-agent.exe,5315,not_applicable,benign,routine file activity
FILE-01429,2026-08-04T18:14:07Z,ADMIN-WS-11,ACME\admin.jlee,create,C:\Ops\logs.zip,538f6c7fd4d8c323e2c041bc8df22c2bdc674a2d3872f1ef78c34f984d91500c,backup-agent.exe,13056,not_applicable,benign,routine file activity
FILE-01015,2026-08-04T18:18:42Z,APP-API-02,ACME\admin.rpatel,modify,C:\Deploy\agent.msi,2b59f9ea40f7b72dc4f5ae30163e9b636ebd490d2b102bdb00aae0cda62d8846,msiexec.exe,1134,signed,benign,routine file activity
FILE-01070,2026-08-04T18:23:50Z,WEB-EDGE-01,ACME\admin.rpatel,read,C:\Ops\logs.zip,bb5247f785c7c5b9c076e44f3da97d3062aceefeddf5eedb77a8a3e726d561f7,backup-agent.exe,1507,not_applicable,benign,routine file activity
FILE-00213,2026-08-04T18:26:08Z,FILE-01,NT AUTHORITY\SYSTEM,modify,C:\Ops\logs.zip,5cd25c9c5f25f4185455b3d204fac8555ee8a419d91195f0307221d5a86ae95f,powershell.exe,3250,not_applicable,benign,routine file activity
FILE-00386,2026-08-04T18:34:13Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,create,C:\ProgramData\Backup\state.db,6a5e5cde00d91274a829946f41f74e794a723006f3d2642cf875f239b7183fd5,msiexec.exe,12897,not_applicable,benign,routine file activity
FILE-00169,2026-08-04T18:36:33Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,modify,C:\Ops\logs.zip,82ebe7eb6c9d7ef8da2d54f96d035a64522650b56c2edbb2bd6a31b0a61376ea,msiexec.exe,12437,not_applicable,benign,routine file activity
FILE-00678,2026-08-04T18:37:22Z,DEPLOY-01,ACME\admin.jlee,modify,C:\Windows\Temp\agent.log,b059267f5f09e208aeb03fbeeaca631ad7937d6cebc3290fc2c2341ffcb4fbca,msiexec.exe,8867,not_applicable,benign,routine file activity
FILE-01018,2026-08-04T18:48:03Z,ADMIN-WS-11,ACME\svc_backup,create,C:\ProgramData\Backup\state.db,6d231682a8a506bf2cf200a01d0a057361876306efd244956e184ae423363bd5,backup-agent.exe,8223,not_applicable,benign,routine file activity
FILE-00486,2026-08-04T18:57:05Z,WEB-EDGE-01,ACME\admin.jlee,read,C:\ProgramData\Backup\state.db,8fdeb3efda4ee71be63001d66ae8d0be5060cf38959d6a549cc8ff3708b9357c,backup-agent.exe,14530,not_applicable,benign,routine file activity
FILE-01303,2026-08-04T18:58:24Z,ADMIN-WS-07,ACME\svc_deploy,read,C:\Deploy\agent.msi,38eaa33afd0a11399970f8d7428fb7ed06af71128b7225f333f2d57a421a16b5,powershell.exe,1831,signed,benign,routine file activity
FILE-00597,2026-08-04T19:02:58Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,modify,C:\Deploy\agent.msi,9ac173176f0ab66c027d055e36f1cd597db40296960826c9c12cd1c904a003bd,backup-agent.exe,2584,signed,benign,routine file activity
FILE-00452,2026-08-04T19:03:27Z,APP-API-02,ACME\svc_backup,modify,C:\Deploy\agent.msi,d59c1c605baaf027305f991889f2436412adf2cc7730d9159079151c0e6608a3,msiexec.exe,1879,signed,benign,routine file activity
FILE-00252,2026-08-04T19:07:45Z,ADMIN-WS-11,ACME\admin.jlee,create,C:\Windows\Temp\agent.log,6e31c05319c318b7d166a6c0780b52b0b63579d0c1a5a91520925cbff3d198ae,backup-agent.exe,6175,not_applicable,benign,routine file activity
FILE-00506,2026-08-04T19:07:58Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\Ops\logs.zip,32e61e59b2a9465e150e267705fd354e1bff1e8692c882a59502f07a5b8af9b8,msiexec.exe,9887,not_applicable,benign,routine file activity
FILE-00217,2026-08-04T19:08:29Z,ADMIN-WS-07,ACME\admin.jlee,read,C:\Deploy\agent.msi,157034e544006f91cd73bce24955feae3b79f3f47333e8755f1e8ec1b49c0764,msiexec.exe,5694,signed,benign,routine file activity
FILE-00745,2026-08-04T19:31:40Z,DEPLOY-01,ACME\admin.jlee,read,C:\ProgramData\Backup\state.db,c8a55f494b071c59ac5d0686530b5883af87f61b14e43eb5faad4373a31e4e1a,backup-agent.exe,8362,not_applicable,benign,routine file activity
FILE-01056,2026-08-04T19:41:19Z,DEPLOY-01,NT AUTHORITY\SYSTEM,read,C:\Deploy\agent.msi,6db2fd7544123e7e9b78031f628ad5fd65c26164a7028501fb16ef06a6ecec3d,msiexec.exe,5256,signed,benign,routine file activity
FILE-00822,2026-08-04T19:44:53Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,create,C:\Deploy\agent.msi,2d4e8f390c67ad9d5209f50f3af7de390515e40e47e3d75a1388731eb8679e12,msiexec.exe,7460,signed,benign,routine file activity
FILE-01458,2026-08-04T20:02:20Z,ADMIN-WS-07,ACME\admin.jlee,read,C:\Ops\logs.zip,6ffa930d5f5d26a051d30afd5e69204b0b4f23946f33c2a7866837ec8cdebfcf,backup-agent.exe,6303,not_applicable,benign,routine file activity
FILE-00960,2026-08-04T20:05:02Z,DEPLOY-01,ACME\svc_backup,read,C:\Windows\Temp\agent.log,cffc63c9da91b8107240491f7cdc1e2156c155646ccd1291cac7f978e3592d8f,backup-agent.exe,11682,not_applicable,benign,routine file activity
FILE-01308,2026-08-04T20:08:18Z,ADMIN-WS-11,ACME\admin.rpatel,modify,C:\Deploy\agent.msi,3814ff009c69b66b85b51f00ed77649ed6b04b56bf0360a7aa0aeda5ed4f30b1,powershell.exe,11436,signed,benign,routine file activity
FILE-00028,2026-08-04T20:11:02Z,FILE-01,ACME\svc_deploy,modify,C:\Ops\logs.zip,2966a177f26a4030e22263d2da4aaaa0a417b27edf5624782c82b048f4b2f9af,powershell.exe,11363,not_applicable,benign,routine file activity
FILE-01232,2026-08-04T20:11:32Z,WEB-EDGE-01,ACME\admin.rpatel,read,C:\Windows\Temp\agent.log,1bea90bc7c68c69adad24cbcb5792da2434400148c38cd469fc1c004d2b6385a,backup-agent.exe,11150,not_applicable,benign,routine file activity
FILE-01480,2026-08-04T20:14:57Z,ADMIN-WS-07,ACME\svc_backup,modify,C:\Windows\Temp\agent.log,28d5ba709af7fd73b2bafc13ec383639ff757c9e393035c665c9397c2aa7a445,powershell.exe,4618,not_applicable,benign,routine file activity
FILE-01423,2026-08-04T20:36:02Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,create,C:\Ops\logs.zip,9217c13dd06f69e81785430783eed436dbca49308be80e89b58619ca1cd89651,powershell.exe,3144,not_applicable,benign,routine file activity
FILE-00126,2026-08-04T20:41:31Z,ADMIN-WS-07,ACME\admin.rpatel,read,C:\ProgramData\Backup\state.db,2695a68e9fbc068d9725431ca1b7779f673b52f9b5bc1ae079422365a9f12f31,powershell.exe,8942,not_applicable,benign,routine file activity
FILE-01351,2026-08-04T20:56:47Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,read,C:\Windows\Temp\agent.log,010ffe79f087d2f0fe350d53e4c96d6a14b0d7003208ad8506ee4edffca13c69,backup-agent.exe,7043,not_applicable,benign,routine file activity
FILE-00219,2026-08-04T20:58:07Z,DEPLOY-01,ACME\admin.jlee,create,C:\Deploy\agent.msi,28f93e63eab7b6dc0f6a0c33982fb8eb1c37478099d71758a0590affb050d6cb,backup-agent.exe,13344,signed,benign,routine file activity
FILE-01041,2026-08-04T21:03:04Z,VULN-SCAN-01,ACME\svc_backup,modify,C:\Windows\Temp\agent.log,57842409cf8311a1caf7fd0008096e0c36394cdb38161f670978e75de673d8c3,backup-agent.exe,8572,not_applicable,benign,routine file activity
FILE-00404,2026-08-04T21:18:41Z,VULN-SCAN-01,ACME\admin.jlee,create,C:\ProgramData\Backup\state.db,f11a8d49e210a4cdfd1003fad20adb67f949503693fb797640133536d42b54ad,backup-agent.exe,3461,not_applicable,benign,routine file activity
FILE-00855,2026-08-04T21:27:22Z,DEPLOY-01,ACME\admin.rpatel,modify,C:\ProgramData\Backup\state.db,ea5250da4a72138087cb97773ce2a5c192c5f447dd67998f247e7d6735331678,backup-agent.exe,3250,not_applicable,benign,routine file activity
FILE-01054,2026-08-04T21:34:01Z,ADMIN-WS-11,ACME\svc_deploy,modify,C:\ProgramData\Backup\state.db,c1b0862fe8acf5a9224f6891ff770ba28cd40bdaf062cfb109ad2c105007691e,powershell.exe,10761,not_applicable,benign,routine file activity
FILE-00186,2026-08-04T21:38:12Z,VULN-SCAN-01,ACME\admin.jlee,read,C:\Windows\Temp\agent.log,b8a197853293abd1ff3c5fcfb043cf866fcbc6013556c51359dd442f5468c191,powershell.exe,2891,not_applicable,benign,routine file activity
FILE-01205,2026-08-04T21:43:04Z,ADMIN-WS-11,ACME\admin.jlee,create,C:\Ops\logs.zip,57223b52180c40c03f31894cf1e231ecb683b912146751c1f3039389a46a0960,powershell.exe,1192,not_applicable,benign,routine file activity
FILE-00962,2026-08-04T21:43:59Z,VULN-SCAN-01,ACME\svc_deploy,modify,C:\Ops\logs.zip,12a93716dd7a48b22c93dd6c8c24c9cd02c94ccd7b1deeaf9c9b5c09ee78b9fc,msiexec.exe,1054,not_applicable,benign,routine file activity
FILE-00223,2026-08-04T21:50:19Z,WEB-EDGE-01,ACME\svc_backup,modify,C:\ProgramData\Backup\state.db,3a7162af84558382b0fa225fc8d62bbfdc6bf58626ebef4c109f5194a09ca28d,msiexec.exe,2229,not_applicable,benign,routine file activity
FILE-00246,2026-08-04T21:51:53Z,ADMIN-WS-11,ACME\svc_deploy,create,C:\Ops\logs.zip,136625fd2f3af3aed9d9d6fd0483573b51ed4d97f59afdf5d7250098df6d9556,backup-agent.exe,14452,not_applicable,benign,routine file activity
FILE-00916,2026-08-04T21:52:21Z,ADMIN-WS-07,ACME\admin.jlee,create,C:\Deploy\agent.msi,4aaa59f9a1c934390176bb5bd9e8d6b80dd7810c08d8faf7b637ba4aef7f0711,backup-agent.exe,2141,signed,benign,routine file activity
FILE-01477,2026-08-04T21:56:19Z,FILE-01,ACME\svc_deploy,read,C:\Windows\Temp\agent.log,36162320b7ce50f6c7a560780b8b01ad9453d8f5d5ed8ddcc633720ab6b423af,msiexec.exe,6652,not_applicable,benign,routine file activity
FILE-01367,2026-08-04T22:03:12Z,ADMIN-WS-11,ACME\admin.rpatel,create,C:\Ops\logs.zip,ed1a6dc4e1aa677c01cc2b841955284fb36a0a19f05efc854808add8a0ad584c,msiexec.exe,3720,not_applicable,benign,routine file activity
FILE-00828,2026-08-04T22:06:42Z,ADMIN-WS-07,ACME\admin.rpatel,create,C:\ProgramData\Backup\state.db,9f9a9fa01d6dddab9c712437af1a2e13cc35c17cc68ea14fc319d916b1347e63,backup-agent.exe,9232,not_applicable,benign,routine file activity
FILE-01040,2026-08-04T22:15:21Z,ADMIN-WS-11,ACME\svc_backup,modify,C:\Deploy\agent.msi,b1454bf33ad20fd8ce0938eb967a7bbc9168d643c3b2ae42342643c5983c69de,powershell.exe,8231,signed,benign,routine file activity
FILE-01062,2026-08-04T22:19:46Z,VULN-SCAN-01,ACME\admin.rpatel,create,C:\Ops\logs.zip,7a38198346fbac3faf985df33951c7486820ccd6ef21ad77c8d5a8cd0ac35911,msiexec.exe,13030,not_applicable,benign,routine file activity
FILE-00305,2026-08-04T22:22:14Z,VULN-SCAN-01,ACME\admin.jlee,modify,C:\Windows\Temp\agent.log,30bbba018b993a6c351da9963ec0a663d6ee281775de98be40c19cd149c6f3e8,powershell.exe,11132,not_applicable,benign,routine file activity
FILE-00127,2026-08-04T22:27:26Z,ADMIN-WS-11,ACME\svc_deploy,create,C:\ProgramData\Backup\state.db,cdf63c5d4182db5aaa0644b062395e2efbc809fe1dfccff1689bd604f259de0e,msiexec.exe,6751,not_applicable,benign,routine file activity
FILE-00735,2026-08-04T22:29:28Z,WEB-EDGE-01,ACME\admin.rpatel,create,C:\Windows\Temp\agent.log,cc16d6f9bd5f1261cc6d2fe9596d06a3ad096ca3ff943fd5a784ace681d0e812,backup-agent.exe,7410,not_applicable,benign,routine file activity
