event_id,_time,host,user,process_name,process_id,query,answer,result,classification,note
DNS-00432,2026-08-04T13:40:43Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,8905,backup.internal,198.51.100.65,success,benign,routine resolution
DNS-00383,2026-08-04T13:43:48Z,ADMIN-WS-11,ACME\admin.rpatel,chrome.exe,1239,backup.internal,198.51.100.129,success,benign,routine resolution
DNS-01013,2026-08-04T13:47:15Z,ADMIN-WS-07,ACME\svc_backup,backup-agent.exe,6383,packages.microsoft.com,198.51.100.170,success,benign,routine resolution
DNS-01456,2026-08-04T13:48:47Z,APP-API-02,ACME\svc_deploy,chrome.exe,3503,repo.internal,198.51.100.66,success,benign,routine resolution
DNS-00913,2026-08-04T13:48:51Z,WEB-EDGE-01,ACME\admin.rpatel,powershell.exe,4436,backup.internal,198.51.100.173,success,benign,routine resolution
DNS-00488,2026-08-04T13:49:57Z,ADMIN-WS-07,ACME\admin.rpatel,backup-agent.exe,2607,packages.microsoft.com,198.51.100.120,success,benign,routine resolution
DNS-00524,2026-08-04T13:51:59Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,2980,backup.internal,198.51.100.20,success,benign,routine resolution
DNS-01218,2026-08-04T13:54:24Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,7527,packages.microsoft.com,198.51.100.207,success,benign,routine resolution
DNS-01226,2026-08-04T13:58:28Z,APP-API-02,ACME\svc_backup,powershell.exe,14382,packages.microsoft.com,198.51.100.202,success,benign,routine resolution
DNS-01063,2026-08-04T14:16:15Z,APP-API-02,ACME\admin.jlee,chrome.exe,14908,packages.microsoft.com,198.51.100.93,success,benign,routine resolution
DNS-00474,2026-08-04T14:18:10Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,6284,repo.internal,198.51.100.22,success,benign,routine resolution
DNS-00481,2026-08-04T14:23:26Z,VULN-SCAN-01,ACME\admin.jlee,chrome.exe,12896,packages.microsoft.com,198.51.100.77,success,benign,routine resolution
DNS-00592,2026-08-04T14:25:05Z,APP-API-02,ACME\svc_backup,chrome.exe,3214,packages.microsoft.com,198.51.100.97,success,benign,routine resolution
DNS-01198,2026-08-04T14:33:58Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,2525,packages.microsoft.com,198.51.100.116,success,benign,routine resolution
DNS-00436,2026-08-04T14:35:44Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,6736,packages.microsoft.com,198.51.100.157,success,benign,routine resolution
DNS-00082,2026-08-04T14:45:00Z,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,1335,packages.microsoft.com,198.51.100.21,success,benign,routine resolution
DNS-00660,2026-08-04T14:45:18Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,13241,repo.internal,198.51.100.227,success,benign,routine resolution
DNS-00117,2026-08-04T14:46:00Z,DEPLOY-01,NT AUTHORITY\SYSTEM,chrome.exe,13430,repo.internal,198.51.100.10,success,benign,routine resolution
DNS-01455,2026-08-04T14:58:43Z,APP-API-02,ACME\admin.jlee,powershell.exe,7906,repo.internal,198.51.100.213,success,benign,routine resolution
DNS-00522,2026-08-04T15:03:54Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,14505,packages.microsoft.com,198.51.100.195,success,benign,routine resolution
DNS-01417,2026-08-04T15:04:22Z,APP-API-02,ACME\admin.rpatel,chrome.exe,14642,backup.internal,198.51.100.157,success,benign,routine resolution
DNS-01005,2026-08-04T15:09:10Z,ADMIN-WS-07,ACME\admin.rpatel,chrome.exe,4181,updates.vendor.example,198.51.100.181,success,benign,routine resolution
DNS-01305,2026-08-04T15:13:31Z,DEPLOY-01,NT AUTHORITY\SYSTEM,backup-agent.exe,14468,download.sysinternals.com,198.51.100.160,success,benign,routine resolution
DNS-00953,2026-08-04T15:20:39Z,DEPLOY-01,ACME\svc_backup,powershell.exe,1816,packages.microsoft.com,198.51.100.102,success,benign,routine resolution
DNS-INC-001,2026-08-04T15:21:13Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,rundll32.exe,8620,cdn-tools.example,192.0.2.44,success,malicious,Persistence callback resolution
DNS-00063,2026-08-04T15:36:40Z,DEPLOY-01,ACME\admin.rpatel,powershell.exe,11136,updates.vendor.example,198.51.100.33,success,benign,routine resolution
DNS-00326,2026-08-04T15:43:33Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,4974,updates.vendor.example,198.51.100.200,success,benign,routine resolution
DNS-01130,2026-08-04T16:11:07Z,FILE-01,ACME\admin.jlee,powershell.exe,1917,download.sysinternals.com,198.51.100.17,success,benign,routine resolution
DNS-01347,2026-08-04T16:14:09Z,APP-API-02,ACME\admin.jlee,chrome.exe,5717,repo.internal,198.51.100.125,success,benign,routine resolution
DNS-00399,2026-08-04T16:16:25Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,chrome.exe,13034,backup.internal,198.51.100.36,success,benign,routine resolution
DNS-00243,2026-08-04T16:36:28Z,FILE-01,ACME\admin.rpatel,powershell.exe,14146,download.sysinternals.com,198.51.100.41,success,benign,routine resolution
DNS-00714,2026-08-04T16:41:53Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,5476,repo.internal,198.51.100.42,success,benign,routine resolution
DNS-00809,2026-08-04T16:46:00Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,14305,download.sysinternals.com,198.51.100.115,success,benign,routine resolution
DNS-00775,2026-08-04T17:02:51Z,ADMIN-WS-07,ACME\admin.rpatel,backup-agent.exe,12353,updates.vendor.example,198.51.100.30,success,benign,routine resolution
DNS-00798,2026-08-04T17:06:23Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,10858,updates.vendor.example,198.51.100.157,success,benign,routine resolution
DNS-01453,2026-08-04T17:09:19Z,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,8719,updates.vendor.example,198.51.100.208,success,benign,routine resolution
DNS-01286,2026-08-04T17:27:50Z,VULN-SCAN-01,ACME\svc_deploy,backup-agent.exe,14100,download.sysinternals.com,198.51.100.53,success,benign,routine resolution
DNS-00742,2026-08-04T17:32:57Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,6121,backup.internal,198.51.100.158,success,benign,routine resolution
DNS-00867,2026-08-04T17:36:45Z,ADMIN-WS-11,ACME\admin.jlee,backup-agent.exe,7767,repo.internal,198.51.100.111,success,benign,routine resolution
DNS-00196,2026-08-04T17:46:18Z,VULN-SCAN-01,ACME\svc_deploy,powershell.exe,14770,backup.internal,198.51.100.157,success,benign,routine resolution
DNS-01319,2026-08-04T17:58:29Z,FILE-01,ACME\svc_deploy,backup-agent.exe,14424,download.sysinternals.com,198.51.100.210,success,benign,routine resolution
DNS-01103,2026-08-04T18:06:42Z,DEPLOY-01,ACME\svc_backup,powershell.exe,9782,packages.microsoft.com,198.51.100.152,success,benign,routine resolution
DNS-00755,2026-08-04T18:09:51Z,VULN-SCAN-01,ACME\admin.jlee,chrome.exe,13820,updates.vendor.example,198.51.100.194,success,benign,routine resolution
DNS-00894,2026-08-04T18:10:32Z,ADMIN-WS-07,ACME\admin.jlee,chrome.exe,5196,packages.microsoft.com,198.51.100.116,success,benign,routine resolution
DNS-01265,2026-08-04T18:16:32Z,DEPLOY-01,ACME\svc_deploy,backup-agent.exe,7241,download.sysinternals.com,198.51.100.226,success,benign,routine resolution
DNS-00459,2026-08-04T18:19:58Z,VULN-SCAN-01,ACME\svc_deploy,chrome.exe,2658,repo.internal,198.51.100.145,success,benign,routine resolution
DNS-01067,2026-08-04T18:20:37Z,DEPLOY-01,ACME\svc_backup,chrome.exe,2750,download.sysinternals.com,198.51.100.34,success,benign,routine resolution
DNS-00143,2026-08-04T18:27:34Z,VULN-SCAN-01,ACME\svc_deploy,backup-agent.exe,8846,repo.internal,198.51.100.196,success,benign,routine resolution
DNS-00360,2026-08-04T18:31:36Z,ADMIN-WS-07,ACME\svc_deploy,powershell.exe,3960,repo.internal,198.51.100.42,success,benign,routine resolution
DNS-00967,2026-08-04T18:36:56Z,VULN-SCAN-01,ACME\admin.rpatel,powershell.exe,7755,packages.microsoft.com,198.51.100.155,success,benign,routine resolution
DNS-00139,2026-08-04T18:37:39Z,APP-API-02,ACME\admin.jlee,chrome.exe,2845,repo.internal,198.51.100.105,success,benign,routine resolution
DNS-01462,2026-08-04T18:44:29Z,FILE-01,ACME\admin.rpatel,chrome.exe,11855,download.sysinternals.com,198.51.100.77,success,benign,routine resolution
DNS-01177,2026-08-04T18:56:15Z,VULN-SCAN-01,ACME\svc_deploy,powershell.exe,9562,packages.microsoft.com,198.51.100.16,success,benign,routine resolution
DNS-01372,2026-08-04T19:06:50Z,APP-API-02,ACME\svc_deploy,chrome.exe,5476,backup.internal,198.51.100.238,success,benign,routine resolution
DNS-01042,2026-08-04T19:19:10Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,1479,repo.internal,198.51.100.96,success,benign,routine resolution
DNS-01202,2026-08-04T19:21:13Z,WEB-EDGE-01,ACME\admin.jlee,chrome.exe,1214,backup.internal,198.51.100.222,success,benign,routine resolution
DNS-00708,2026-08-04T19:31:34Z,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,3695,download.sysinternals.com,198.51.100.108,success,benign,routine resolution
DNS-00266,2026-08-04T19:33:31Z,ADMIN-WS-07,ACME\admin.rpatel,chrome.exe,3309,repo.internal,198.51.100.73,success,benign,routine resolution
DNS-01040,2026-08-04T19:39:25Z,WEB-EDGE-01,ACME\svc_deploy,chrome.exe,2307,updates.vendor.example,198.51.100.233,success,benign,routine resolution
DNS-00495,2026-08-04T19:40:48Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,4312,backup.internal,198.51.100.173,success,benign,routine resolution
DNS-01475,2026-08-04T19:40:56Z,ADMIN-WS-11,ACME\svc_deploy,backup-agent.exe,10662,backup.internal,198.51.100.52,success,benign,routine resolution
DNS-00633,2026-08-04T19:43:12Z,VULN-SCAN-01,ACME\svc_deploy,powershell.exe,14871,download.sysinternals.com,198.51.100.231,success,benign,routine resolution
DNS-01391,2026-08-04T19:53:21Z,FILE-01,ACME\admin.jlee,chrome.exe,1896,backup.internal,198.51.100.217,success,benign,routine resolution
DNS-00973,2026-08-04T19:53:40Z,FILE-01,ACME\admin.jlee,backup-agent.exe,6108,updates.vendor.example,198.51.100.106,success,benign,routine resolution
DNS-00066,2026-08-04T19:58:50Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,1203,updates.vendor.example,198.51.100.191,success,benign,routine resolution
DNS-01432,2026-08-04T20:04:42Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,4119,updates.vendor.example,198.51.100.239,success,benign,routine resolution
DNS-01464,2026-08-04T20:29:14Z,FILE-01,ACME\admin.jlee,powershell.exe,12116,packages.microsoft.com,198.51.100.159,success,benign,routine resolution
DNS-00142,2026-08-04T20:29:29Z,ADMIN-WS-11,ACME\admin.jlee,powershell.exe,11853,backup.internal,198.51.100.200,success,benign,routine resolution
DNS-01232,2026-08-04T20:37:32Z,WEB-EDGE-01,ACME\svc_backup,chrome.exe,4516,download.sysinternals.com,198.51.100.169,success,benign,routine resolution
DNS-00886,2026-08-04T20:38:23Z,APP-API-02,ACME\admin.rpatel,backup-agent.exe,11739,updates.vendor.example,198.51.100.4,success,benign,routine resolution
DNS-01094,2026-08-04T20:41:53Z,ADMIN-WS-11,ACME\svc_backup,powershell.exe,11295,packages.microsoft.com,198.51.100.87,success,benign,routine resolution
DNS-00246,2026-08-04T20:55:35Z,DEPLOY-01,NT AUTHORITY\SYSTEM,chrome.exe,10305,repo.internal,198.51.100.201,success,benign,routine resolution
DNS-00772,2026-08-04T21:03:56Z,APP-API-02,ACME\admin.jlee,backup-agent.exe,9606,repo.internal,198.51.100.183,success,benign,routine resolution
DNS-00381,2026-08-04T21:15:07Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,backup-agent.exe,1369,updates.vendor.example,198.51.100.11,success,benign,routine resolution
DNS-00232,2026-08-04T21:17:15Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,12644,backup.internal,198.51.100.150,success,benign,routine resolution
DNS-00970,2026-08-04T21:18:00Z,DEPLOY-01,ACME\svc_deploy,backup-agent.exe,14946,packages.microsoft.com,198.51.100.113,success,benign,routine resolution
DNS-01361,2026-08-04T21:19:07Z,DEPLOY-01,ACME\admin.jlee,chrome.exe,12046,packages.microsoft.com,198.51.100.111,success,benign,routine resolution
DNS-01285,2026-08-04T21:20:52Z,WEB-EDGE-01,ACME\svc_deploy,chrome.exe,1661,backup.internal,198.51.100.136,success,benign,routine resolution
DNS-00985,2026-08-04T21:25:15Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,5225,updates.vendor.example,198.51.100.85,success,benign,routine resolution
DNS-00005,2026-08-04T21:39:49Z,ADMIN-WS-11,ACME\svc_backup,chrome.exe,14638,packages.microsoft.com,198.51.100.34,success,benign,routine resolution
DNS-01205,2026-08-04T21:55:53Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,12520,repo.internal,198.51.100.54,success,benign,routine resolution
DNS-00329,2026-08-04T22:15:06Z,WEB-EDGE-01,ACME\svc_backup,chrome.exe,9954,backup.internal,198.51.100.3,success,benign,routine resolution
DNS-00234,2026-08-04T22:27:05Z,VULN-SCAN-01,ACME\admin.jlee,backup-agent.exe,14603,repo.internal,198.51.100.160,success,benign,routine resolution
DNS-01149,2026-08-04T22:32:20Z,FILE-01,NT AUTHORITY\SYSTEM,backup-agent.exe,5747,backup.internal,198.51.100.27,success,benign,routine resolution
DNS-00947,2026-08-04T22:32:22Z,FILE-01,ACME\admin.jlee,powershell.exe,6020,backup.internal,198.51.100.184,success,benign,routine resolution
DNS-00566,2026-08-04T22:33:00Z,VULN-SCAN-01,ACME\svc_deploy,chrome.exe,9198,updates.vendor.example,198.51.100.24,success,benign,routine resolution
DNS-00192,2026-08-04T22:49:10Z,FILE-01,ACME\admin.rpatel,powershell.exe,3639,packages.microsoft.com,198.51.100.210,success,benign,routine resolution
DNS-01025,2026-08-04T22:50:43Z,ADMIN-WS-11,ACME\svc_backup,powershell.exe,12981,updates.vendor.example,198.51.100.39,success,benign,routine resolution
DNS-00702,2026-08-04T22:55:03Z,VULN-SCAN-01,ACME\admin.jlee,chrome.exe,6318,repo.internal,198.51.100.100,success,benign,routine resolution
DNS-00797,2026-08-04T22:58:06Z,APP-API-02,ACME\svc_backup,chrome.exe,11715,packages.microsoft.com,198.51.100.214,success,benign,routine resolution
DNS-01134,2026-08-04T23:08:36Z,ADMIN-WS-11,ACME\admin.rpatel,powershell.exe,6732,packages.microsoft.com,198.51.100.162,success,benign,routine resolution
DNS-01183,2026-08-04T23:18:17Z,DEPLOY-01,ACME\svc_deploy,chrome.exe,8883,backup.internal,198.51.100.187,success,benign,routine resolution
DNS-00729,2026-08-04T23:21:05Z,VULN-SCAN-01,ACME\admin.rpatel,backup-agent.exe,14475,repo.internal,198.51.100.232,success,benign,routine resolution
DNS-00291,2026-08-04T23:28:59Z,WEB-EDGE-01,ACME\admin.jlee,powershell.exe,1248,updates.vendor.example,198.51.100.158,success,benign,routine resolution
DNS-00268,2026-08-04T23:29:32Z,ADMIN-WS-11,ACME\admin.jlee,powershell.exe,10926,updates.vendor.example,198.51.100.221,success,benign,routine resolution
DNS-00183,2026-08-04T23:29:36Z,ADMIN-WS-07,ACME\admin.jlee,chrome.exe,4554,updates.vendor.example,198.51.100.210,success,benign,routine resolution
DNS-01436,2026-08-04T23:47:55Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,9500,updates.vendor.example,198.51.100.72,success,benign,routine resolution
DNS-00582,2026-08-04T23:53:35Z,DEPLOY-01,ACME\admin.jlee,powershell.exe,2987,backup.internal,198.51.100.13,success,benign,routine resolution
DNS-01353,2026-08-04T23:57:03Z,VULN-SCAN-01,ACME\svc_deploy,powershell.exe,13262,repo.internal,198.51.100.96,success,benign,routine resolution
DNS-00951,2026-08-04T23:57:31Z,DEPLOY-01,ACME\admin.rpatel,backup-agent.exe,4140,repo.internal,198.51.100.132,success,benign,routine resolution
DNS-00328,2026-08-05T00:01:10Z,WEB-EDGE-01,ACME\svc_backup,powershell.exe,1437,repo.internal,198.51.100.81,success,benign,routine resolution
DNS-00917,2026-08-05T00:09:10Z,ADMIN-WS-11,ACME\admin.rpatel,backup-agent.exe,3411,packages.microsoft.com,198.51.100.57,success,benign,routine resolution
DNS-00447,2026-08-05T00:09:56Z,DEPLOY-01,ACME\svc_backup,chrome.exe,5082,download.sysinternals.com,198.51.100.181,success,benign,routine resolution
DNS-01258,2026-08-05T00:24:10Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,chrome.exe,9730,backup.internal,198.51.100.150,success,benign,routine resolution
DNS-01327,2026-08-05T00:25:35Z,ADMIN-WS-11,ACME\svc_backup,chrome.exe,12810,repo.internal,198.51.100.44,success,benign,routine resolution
DNS-01012,2026-08-05T00:27:12Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,backup-agent.exe,12838,updates.vendor.example,198.51.100.69,success,benign,routine resolution
DNS-00380,2026-08-05T00:28:35Z,ADMIN-WS-07,ACME\admin.rpatel,powershell.exe,9596,repo.internal,198.51.100.226,success,benign,routine resolution
DNS-01346,2026-08-05T00:29:57Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,14515,download.sysinternals.com,198.51.100.185,success,benign,routine resolution
DNS-01169,2026-08-05T00:38:16Z,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,6786,repo.internal,198.51.100.46,success,benign,routine resolution
DNS-01287,2026-08-05T00:50:31Z,ADMIN-WS-11,ACME\admin.rpatel,backup-agent.exe,9701,packages.microsoft.com,198.51.100.23,success,benign,routine resolution
DNS-01080,2026-08-05T00:51:59Z,FILE-01,ACME\admin.rpatel,powershell.exe,10889,repo.internal,198.51.100.165,success,benign,routine resolution
DNS-01320,2026-08-05T00:52:31Z,APP-API-02,ACME\admin.rpatel,chrome.exe,3635,download.sysinternals.com,198.51.100.183,success,benign,routine resolution
DNS-01467,2026-08-05T00:55:54Z,FILE-01,ACME\svc_deploy,backup-agent.exe,12218,updates.vendor.example,198.51.100.214,success,benign,routine resolution
DNS-00807,2026-08-05T01:24:14Z,WEB-EDGE-01,ACME\admin.rpatel,backup-agent.exe,5965,download.sysinternals.com,198.51.100.169,success,benign,routine resolution
DNS-00632,2026-08-05T01:25:46Z,DEPLOY-01,ACME\svc_backup,chrome.exe,3966,packages.microsoft.com,198.51.100.61,success,benign,routine resolution
DNS-01400,2026-08-05T01:41:39Z,FILE-01,ACME\admin.jlee,chrome.exe,8113,repo.internal,198.51.100.215,success,benign,routine resolution
DNS-00041,2026-08-05T01:45:08Z,DEPLOY-01,ACME\admin.jlee,chrome.exe,8581,download.sysinternals.com,198.51.100.70,success,benign,routine resolution
DNS-01377,2026-08-05T01:47:32Z,DEPLOY-01,ACME\svc_backup,backup-agent.exe,10839,updates.vendor.example,198.51.100.141,success,benign,routine resolution
DNS-00819,2026-08-05T01:51:23Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,13693,download.sysinternals.com,198.51.100.83,success,benign,routine resolution
DNS-01193,2026-08-05T02:07:49Z,WEB-EDGE-01,ACME\svc_backup,chrome.exe,11724,download.sysinternals.com,198.51.100.38,success,benign,routine resolution
DNS-00813,2026-08-05T02:10:25Z,VULN-SCAN-01,ACME\svc_backup,powershell.exe,8922,backup.internal,198.51.100.7,success,benign,routine resolution
DNS-00427,2026-08-05T02:25:09Z,APP-API-02,ACME\svc_backup,powershell.exe,8567,download.sysinternals.com,198.51.100.71,success,benign,routine resolution
DNS-01100,2026-08-05T02:31:57Z,DEPLOY-01,ACME\admin.rpatel,chrome.exe,2727,download.sysinternals.com,198.51.100.58,success,benign,routine resolution
DNS-00064,2026-08-05T02:37:47Z,FILE-01,ACME\svc_deploy,powershell.exe,1700,download.sysinternals.com,198.51.100.116,success,benign,routine resolution
DNS-00687,2026-08-05T02:50:59Z,APP-API-02,ACME\admin.jlee,chrome.exe,11612,packages.microsoft.com,198.51.100.24,success,benign,routine resolution
DNS-00065,2026-08-05T02:58:09Z,ADMIN-WS-07,ACME\svc_backup,backup-agent.exe,12740,repo.internal,198.51.100.111,success,benign,routine resolution
DNS-00941,2026-08-05T03:02:46Z,DEPLOY-01,ACME\svc_backup,backup-agent.exe,7301,updates.vendor.example,198.51.100.1,success,benign,routine resolution
DNS-01314,2026-08-05T03:08:36Z,APP-API-02,ACME\svc_backup,backup-agent.exe,14851,backup.internal,198.51.100.199,success,benign,routine resolution
DNS-00429,2026-08-05T03:21:26Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,9826,updates.vendor.example,198.51.100.47,success,benign,routine resolution
DNS-00190,2026-08-05T03:41:01Z,DEPLOY-01,ACME\svc_backup,powershell.exe,12770,download.sysinternals.com,198.51.100.35,success,benign,routine resolution
DNS-00418,2026-08-05T03:50:43Z,APP-API-02,ACME\svc_backup,chrome.exe,2008,backup.internal,198.51.100.196,success,benign,routine resolution
DNS-01007,2026-08-05T03:58:24Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,backup-agent.exe,11164,download.sysinternals.com,198.51.100.11,success,benign,routine resolution
DNS-01214,2026-08-05T03:59:11Z,FILE-01,ACME\svc_deploy,powershell.exe,7003,repo.internal,198.51.100.208,success,benign,routine resolution
DNS-01284,2026-08-05T04:00:05Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,4532,repo.internal,198.51.100.183,success,benign,routine resolution
DNS-01349,2026-08-05T04:15:03Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,6559,updates.vendor.example,198.51.100.92,success,benign,routine resolution
DNS-00909,2026-08-05T04:17:04Z,FILE-01,ACME\admin.rpatel,powershell.exe,2755,packages.microsoft.com,198.51.100.214,success,benign,routine resolution
DNS-00647,2026-08-05T04:19:38Z,DEPLOY-01,ACME\admin.rpatel,powershell.exe,11210,backup.internal,198.51.100.15,success,benign,routine resolution
DNS-00716,2026-08-05T04:34:24Z,VULN-SCAN-01,ACME\svc_backup,backup-agent.exe,12664,backup.internal,198.51.100.233,success,benign,routine resolution
DNS-00286,2026-08-05T04:34:30Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,backup-agent.exe,2087,packages.microsoft.com,198.51.100.123,success,benign,routine resolution
DNS-00154,2026-08-05T04:52:04Z,DEPLOY-01,ACME\svc_deploy,backup-agent.exe,5197,backup.internal,198.51.100.191,success,benign,routine resolution
DNS-00928,2026-08-05T04:55:39Z,APP-API-02,ACME\svc_backup,backup-agent.exe,12784,packages.microsoft.com,198.51.100.129,success,benign,routine resolution
DNS-01268,2026-08-05T04:56:31Z,FILE-01,NT AUTHORITY\SYSTEM,powershell.exe,9383,repo.internal,198.51.100.60,success,benign,routine resolution
DNS-00595,2026-08-05T04:59:06Z,FILE-01,ACME\admin.rpatel,powershell.exe,10591,backup.internal,198.51.100.201,success,benign,routine resolution
DNS-00728,2026-08-05T04:59:44Z,FILE-01,ACME\admin.jlee,chrome.exe,12672,updates.vendor.example,198.51.100.134,success,benign,routine resolution
DNS-00338,2026-08-05T05:33:40Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,10895,backup.internal,198.51.100.72,success,benign,routine resolution
DNS-00617,2026-08-05T05:40:56Z,DEPLOY-01,ACME\admin.jlee,backup-agent.exe,10888,download.sysinternals.com,198.51.100.39,success,benign,routine resolution
DNS-00456,2026-08-05T05:42:35Z,VULN-SCAN-01,ACME\admin.rpatel,powershell.exe,6072,download.sysinternals.com,198.51.100.196,success,benign,routine resolution
DNS-00505,2026-08-05T05:56:34Z,FILE-01,ACME\svc_deploy,backup-agent.exe,11332,updates.vendor.example,198.51.100.188,success,benign,routine resolution
DNS-00623,2026-08-05T06:01:56Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,3375,download.sysinternals.com,198.51.100.149,success,benign,routine resolution
DNS-00445,2026-08-05T06:03:08Z,FILE-01,ACME\admin.rpatel,backup-agent.exe,5171,backup.internal,198.51.100.173,success,benign,routine resolution
DNS-01302,2026-08-05T06:07:03Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,12502,download.sysinternals.com,198.51.100.5,success,benign,routine resolution
DNS-00365,2026-08-05T06:22:26Z,ADMIN-WS-07,ACME\admin.jlee,backup-agent.exe,3744,download.sysinternals.com,198.51.100.124,success,benign,routine resolution
DNS-00443,2026-08-05T06:29:02Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,8131,packages.microsoft.com,198.51.100.165,success,benign,routine resolution
DNS-01105,2026-08-05T06:31:31Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,7733,download.sysinternals.com,198.51.100.11,success,benign,routine resolution
DNS-01054,2026-08-05T06:37:12Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,10776,repo.internal,198.51.100.59,success,benign,routine resolution
DNS-00529,2026-08-05T06:44:59Z,ADMIN-WS-07,ACME\svc_deploy,backup-agent.exe,14698,download.sysinternals.com,198.51.100.121,success,benign,routine resolution
DNS-01374,2026-08-05T06:51:06Z,VULN-SCAN-01,ACME\svc_backup,powershell.exe,7108,backup.internal,198.51.100.137,success,benign,routine resolution
