event_id,_time,host,user,action,target,tool,classification,note
RESP-00637,2026-08-04T15:54:23Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01472,2026-08-04T15:59:54Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00679,2026-08-04T16:00:27Z,VULN-SCAN-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00917,2026-08-04T16:04:49Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00478,2026-08-04T16:12:37Z,ADMIN-WS-11,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00071,2026-08-04T16:17:45Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00583,2026-08-04T16:34:30Z,VULN-SCAN-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01126,2026-08-04T16:38:14Z,ADMIN-WS-07,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00526,2026-08-04T16:39:36Z,APP-API-02,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01234,2026-08-04T16:43:49Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00498,2026-08-04T16:47:04Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00256,2026-08-04T16:48:21Z,DEPLOY-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00880,2026-08-04T16:52:47Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01140,2026-08-04T16:56:24Z,VULN-SCAN-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00441,2026-08-04T17:00:11Z,FILE-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01162,2026-08-04T17:01:24Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00782,2026-08-04T17:04:29Z,FILE-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01399,2026-08-04T17:11:12Z,APP-API-02,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00692,2026-08-04T17:14:10Z,ADMIN-WS-11,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00842,2026-08-04T17:15:59Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01086,2026-08-04T17:18:59Z,VULN-SCAN-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00784,2026-08-04T17:24:19Z,ADMIN-WS-07,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00485,2026-08-04T17:27:16Z,VULN-SCAN-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00165,2026-08-04T17:43:57Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00020,2026-08-04T17:48:50Z,FILE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01371,2026-08-04T18:07:52Z,WEB-EDGE-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00482,2026-08-04T18:08:59Z,DEPLOY-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00891,2026-08-04T18:19:54Z,FILE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01391,2026-08-04T18:24:39Z,ADMIN-WS-07,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01386,2026-08-04T18:30:27Z,VULN-SCAN-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01408,2026-08-04T18:40:10Z,FILE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01053,2026-08-04T18:44:40Z,ADMIN-WS-07,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00650,2026-08-04T18:54:01Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00586,2026-08-04T18:56:09Z,ADMIN-WS-07,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01186,2026-08-04T19:28:54Z,FILE-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00985,2026-08-04T19:34:15Z,DEPLOY-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-01142,2026-08-04T19:49:54Z,ADMIN-WS-11,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00848,2026-08-04T19:50:40Z,VULN-SCAN-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00797,2026-08-04T19:51:39Z,DEPLOY-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00336,2026-08-04T20:01:11Z,APP-API-02,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00864,2026-08-04T20:17:49Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00824,2026-08-04T20:24:29Z,ADMIN-WS-07,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00425,2026-08-04T20:26:17Z,APP-API-02,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00244,2026-08-04T20:26:18Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00752,2026-08-04T20:26:44Z,APP-API-02,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01263,2026-08-04T20:27:21Z,ADMIN-WS-07,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00574,2026-08-04T20:36:35Z,VULN-SCAN-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00416,2026-08-04T20:43:14Z,ADMIN-WS-07,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00778,2026-08-04T20:46:58Z,ADMIN-WS-07,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00347,2026-08-04T20:53:16Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00903,2026-08-04T21:09:05Z,WEB-EDGE-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01257,2026-08-04T21:09:50Z,APP-API-02,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-01332,2026-08-04T21:12:02Z,FILE-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00004,2026-08-04T21:19:38Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01001,2026-08-04T21:20:23Z,VULN-SCAN-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00322,2026-08-04T21:32:47Z,VULN-SCAN-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01317,2026-08-04T21:34:46Z,ADMIN-WS-07,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00437,2026-08-04T21:40:02Z,APP-API-02,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01320,2026-08-04T21:43:06Z,VULN-SCAN-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00152,2026-08-04T21:48:52Z,ADMIN-WS-11,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01395,2026-08-04T21:49:20Z,FILE-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00813,2026-08-04T21:51:13Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00756,2026-08-04T21:52:37Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00060,2026-08-04T21:56:25Z,FILE-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00836,2026-08-04T22:06:08Z,VULN-SCAN-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00460,2026-08-04T22:07:25Z,ADMIN-WS-11,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01409,2026-08-04T22:17:06Z,VULN-SCAN-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00199,2026-08-04T22:20:08Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01152,2026-08-04T22:20:41Z,ADMIN-WS-07,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01266,2026-08-04T22:21:21Z,ADMIN-WS-11,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00300,2026-08-04T22:26:49Z,DEPLOY-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-01380,2026-08-04T22:43:49Z,ADMIN-WS-11,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01269,2026-08-04T22:51:22Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01375,2026-08-04T22:54:46Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01103,2026-08-04T22:56:37Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00948,2026-08-04T22:56:55Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01171,2026-08-04T22:57:20Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00996,2026-08-04T23:17:07Z,WEB-EDGE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00148,2026-08-04T23:23:39Z,WEB-EDGE-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00070,2026-08-04T23:25:35Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01080,2026-08-04T23:27:31Z,ADMIN-WS-07,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00067,2026-08-04T23:28:11Z,ADMIN-WS-11,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00690,2026-08-04T23:56:48Z,FILE-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00137,2026-08-04T23:57:54Z,DEPLOY-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00102,2026-08-05T00:00:47Z,ADMIN-WS-11,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00100,2026-08-05T00:08:23Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01178,2026-08-05T00:11:54Z,APP-API-02,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01241,2026-08-05T00:15:49Z,VULN-SCAN-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00179,2026-08-05T00:23:36Z,DEPLOY-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00263,2026-08-05T00:37:06Z,VULN-SCAN-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00280,2026-08-05T00:43:51Z,ADMIN-WS-07,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00844,2026-08-05T00:55:09Z,VULN-SCAN-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00501,2026-08-05T01:08:16Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00568,2026-08-05T01:11:17Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00063,2026-08-05T01:14:06Z,WEB-EDGE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00773,2026-08-05T01:20:07Z,VULN-SCAN-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00577,2026-08-05T01:24:09Z,APP-API-02,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-01441,2026-08-05T01:32:46Z,DEPLOY-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00822,2026-08-05T01:33:29Z,FILE-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00915,2026-08-05T01:43:04Z,APP-API-02,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00920,2026-08-05T01:48:13Z,VULN-SCAN-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01029,2026-08-05T01:53:15Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00376,2026-08-05T02:00:37Z,APP-API-02,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00578,2026-08-05T02:30:37Z,APP-API-02,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00564,2026-08-05T02:36:55Z,APP-API-02,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00265,2026-08-05T02:47:57Z,FILE-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00588,2026-08-05T03:04:08Z,DEPLOY-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00671,2026-08-05T03:06:08Z,ADMIN-WS-07,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01031,2026-08-05T03:24:03Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00812,2026-08-05T03:26:01Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01365,2026-08-05T03:34:32Z,WEB-EDGE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01470,2026-08-05T03:37:49Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00950,2026-08-05T03:38:36Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00626,2026-08-05T03:48:39Z,DEPLOY-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01445,2026-08-05T04:04:40Z,WEB-EDGE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01417,2026-08-05T04:12:19Z,APP-API-02,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00593,2026-08-05T04:16:22Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00830,2026-08-05T04:17:42Z,ADMIN-WS-11,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00866,2026-08-05T04:20:46Z,DEPLOY-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00158,2026-08-05T04:22:52Z,VULN-SCAN-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00911,2026-08-05T04:33:19Z,WEB-EDGE-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00290,2026-08-05T04:34:54Z,WEB-EDGE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00388,2026-08-05T04:41:45Z,FILE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00321,2026-08-05T04:52:10Z,ADMIN-WS-11,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00486,2026-08-05T04:52:34Z,VULN-SCAN-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00776,2026-08-05T04:52:40Z,VULN-SCAN-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00276,2026-08-05T05:07:47Z,APP-API-02,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00277,2026-08-05T05:09:55Z,ADMIN-WS-11,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00112,2026-08-05T05:25:42Z,WEB-EDGE-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00242,2026-08-05T05:49:08Z,ADMIN-WS-07,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01064,2026-08-05T06:03:49Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01423,2026-08-05T06:04:50Z,ADMIN-WS-07,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01093,2026-08-05T06:20:38Z,FILE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00296,2026-08-05T06:27:01Z,VULN-SCAN-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00680,2026-08-05T06:33:45Z,WEB-EDGE-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01489,2026-08-05T06:46:24Z,ADMIN-WS-07,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-01481,2026-08-05T06:56:51Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00323,2026-08-05T07:15:52Z,WEB-EDGE-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01480,2026-08-05T07:18:56Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00469,2026-08-05T07:20:12Z,VULN-SCAN-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00634,2026-08-05T07:28:52Z,FILE-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00161,2026-08-05T07:39:10Z,FILE-01,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01362,2026-08-05T07:41:26Z,DEPLOY-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00968,2026-08-05T07:50:11Z,DEPLOY-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-01314,2026-08-05T07:54:09Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00603,2026-08-05T07:55:04Z,WEB-EDGE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00316,2026-08-05T08:08:24Z,VULN-SCAN-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00503,2026-08-05T08:12:29Z,ADMIN-WS-11,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00378,2026-08-05T08:13:46Z,ADMIN-WS-11,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00422,2026-08-05T08:16:22Z,FILE-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00555,2026-08-05T08:23:56Z,ADMIN-WS-11,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00169,2026-08-05T08:28:19Z,ADMIN-WS-07,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00089,2026-08-05T08:45:09Z,FILE-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01183,2026-08-05T08:45:55Z,FILE-01,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00909,2026-08-05T09:00:24Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-01374,2026-08-05T09:02:25Z,ADMIN-WS-11,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00143,2026-08-05T09:02:30Z,APP-API-02,ACME\admin.rpatel,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00885,2026-08-05T09:18:19Z,WEB-EDGE-01,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00659,2026-08-05T09:25:52Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00910,2026-08-05T09:26:26Z,APP-API-02,ACME\admin.jlee,query_process,routine review,EDR,benign_response,authorized activity
RESP-00954,2026-08-05T09:26:32Z,DEPLOY-01,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00624,2026-08-05T09:37:43Z,VULN-SCAN-01,ACME\admin.rpatel,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00990,2026-08-05T09:39:54Z,APP-API-02,ACME\admin.jlee,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00207,2026-08-05T09:47:44Z,WEB-EDGE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01144,2026-08-05T10:02:32Z,ADMIN-WS-11,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-00845,2026-08-05T10:02:49Z,WEB-EDGE-01,ACME\admin.rpatel,query_process,routine review,EDR,benign_response,authorized activity
RESP-00010,2026-08-05T10:03:26Z,FILE-01,SOC-AUTOMATION,review_alert,routine review,EDR,benign_response,authorized activity
RESP-01192,2026-08-05T10:29:35Z,APP-API-02,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00673,2026-08-05T10:32:54Z,VULN-SCAN-01,ACME\admin.jlee,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00153,2026-08-05T10:39:31Z,APP-API-02,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00785,2026-08-05T10:41:42Z,ADMIN-WS-11,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
RESP-00676,2026-08-05T10:56:39Z,DEPLOY-01,SOC-AUTOMATION,collect_logs,routine review,EDR,benign_response,authorized activity
RESP-00127,2026-08-05T10:56:45Z,ADMIN-WS-07,SOC-AUTOMATION,query_process,routine review,EDR,benign_response,authorized activity
