event_id,_time,host,src_ip,method,uri,status,user_agent,classification,note
WEB-01180,2026-08-04T15:14:16Z,WEB-EDGE-01,203.0.113.198,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-01271,2026-08-04T15:19:00Z,APP-API-02,203.0.113.129,POST,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-01388,2026-08-04T15:22:55Z,APP-API-02,203.0.113.117,GET,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-00811,2026-08-04T15:24:01Z,WEB-EDGE-01,203.0.113.115,GET,/,200,scanner/1.0,benign,background web activity
WEB-01168,2026-08-04T15:24:54Z,WEB-EDGE-01,203.0.113.10,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00257,2026-08-04T15:32:08Z,WEB-EDGE-01,203.0.113.166,GET,/.env,404,Mozilla/5.0,benign,background web activity
WEB-00226,2026-08-04T15:35:56Z,WEB-EDGE-01,203.0.113.6,GET,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-00320,2026-08-04T15:47:15Z,WEB-EDGE-01,203.0.113.49,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-01339,2026-08-04T15:47:51Z,APP-API-02,203.0.113.193,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-00301,2026-08-04T15:50:27Z,APP-API-02,203.0.113.179,GET,/health,404,InternalHealth/2.1,benign,background web activity
WEB-00152,2026-08-04T16:02:28Z,APP-API-02,203.0.113.232,GET,/,404,scanner/1.0,benign,background web activity
WEB-00585,2026-08-04T16:23:10Z,WEB-EDGE-01,203.0.113.195,POST,/.env,200,scanner/1.0,benign,background web activity
WEB-00400,2026-08-04T16:37:01Z,WEB-EDGE-01,203.0.113.180,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01131,2026-08-04T16:39:02Z,APP-API-02,203.0.113.168,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-01163,2026-08-04T16:39:36Z,APP-API-02,203.0.113.32,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-01200,2026-08-04T17:13:49Z,APP-API-02,203.0.113.100,GET,/,200,scanner/1.0,benign,background web activity
WEB-01001,2026-08-04T17:21:10Z,APP-API-02,203.0.113.236,GET,/.env,404,Mozilla/5.0,benign,background web activity
WEB-00084,2026-08-04T17:27:52Z,WEB-EDGE-01,203.0.113.158,POST,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01275,2026-08-04T17:32:12Z,WEB-EDGE-01,203.0.113.181,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-00512,2026-08-04T17:36:35Z,APP-API-02,203.0.113.106,POST,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-00414,2026-08-04T17:54:43Z,WEB-EDGE-01,203.0.113.206,POST,/.env,200,Mozilla/5.0,benign,background web activity
WEB-01494,2026-08-04T17:55:36Z,WEB-EDGE-01,203.0.113.178,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-00097,2026-08-04T17:56:30Z,APP-API-02,203.0.113.117,POST,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00675,2026-08-04T18:01:49Z,APP-API-02,203.0.113.148,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-00606,2026-08-04T18:09:27Z,APP-API-02,203.0.113.81,GET,/,200,scanner/1.0,benign,background web activity
WEB-00949,2026-08-04T18:15:20Z,APP-API-02,203.0.113.62,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00199,2026-08-04T18:18:07Z,WEB-EDGE-01,203.0.113.220,GET,/.env,404,scanner/1.0,benign,background web activity
WEB-01189,2026-08-04T18:19:02Z,WEB-EDGE-01,203.0.113.53,POST,/,404,Mozilla/5.0,benign,background web activity
WEB-00004,2026-08-04T18:40:42Z,APP-API-02,203.0.113.95,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-01251,2026-08-04T18:48:17Z,APP-API-02,203.0.113.85,POST,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00300,2026-08-04T18:48:59Z,APP-API-02,203.0.113.57,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-00397,2026-08-04T18:57:23Z,WEB-EDGE-01,203.0.113.239,POST,/.env,200,scanner/1.0,benign,background web activity
WEB-00782,2026-08-04T18:59:27Z,APP-API-02,203.0.113.79,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-00943,2026-08-04T19:11:53Z,WEB-EDGE-01,203.0.113.169,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-01469,2026-08-04T19:13:34Z,APP-API-02,203.0.113.85,GET,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-00658,2026-08-04T19:19:05Z,APP-API-02,203.0.113.92,GET,/health,404,scanner/1.0,benign,background web activity
WEB-00017,2026-08-04T19:30:32Z,APP-API-02,203.0.113.18,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00035,2026-08-04T19:38:36Z,WEB-EDGE-01,203.0.113.10,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00263,2026-08-04T19:40:33Z,APP-API-02,203.0.113.137,GET,/.env,404,Mozilla/5.0,benign,background web activity
WEB-01094,2026-08-04T19:43:02Z,WEB-EDGE-01,203.0.113.144,POST,/api/status,200,scanner/1.0,benign,background web activity
WEB-00505,2026-08-04T19:49:56Z,APP-API-02,203.0.113.99,POST,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-00617,2026-08-04T20:07:25Z,APP-API-02,203.0.113.83,GET,/api/status,404,scanner/1.0,benign,background web activity
WEB-00564,2026-08-04T20:09:59Z,WEB-EDGE-01,203.0.113.37,GET,/health,404,InternalHealth/2.1,benign,background web activity
WEB-01436,2026-08-04T20:14:08Z,APP-API-02,203.0.113.108,GET,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-01263,2026-08-04T20:16:14Z,APP-API-02,203.0.113.135,POST,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00283,2026-08-04T20:19:11Z,WEB-EDGE-01,203.0.113.17,POST,/.env,200,scanner/1.0,benign,background web activity
WEB-00043,2026-08-04T20:21:33Z,WEB-EDGE-01,203.0.113.113,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00587,2026-08-04T20:37:14Z,WEB-EDGE-01,203.0.113.197,POST,/api/status,200,scanner/1.0,benign,background web activity
WEB-00531,2026-08-04T20:39:00Z,WEB-EDGE-01,203.0.113.196,GET,/,404,InternalHealth/2.1,benign,background web activity
WEB-00871,2026-08-04T20:51:22Z,WEB-EDGE-01,203.0.113.130,POST,/,200,scanner/1.0,benign,background web activity
WEB-00764,2026-08-04T21:02:37Z,WEB-EDGE-01,203.0.113.111,POST,/,200,scanner/1.0,benign,background web activity
WEB-00075,2026-08-04T21:03:27Z,APP-API-02,203.0.113.228,POST,/.env,200,scanner/1.0,benign,background web activity
WEB-00668,2026-08-04T21:07:39Z,WEB-EDGE-01,203.0.113.123,POST,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00678,2026-08-04T21:09:42Z,WEB-EDGE-01,203.0.113.209,GET,/,404,InternalHealth/2.1,benign,background web activity
WEB-00087,2026-08-04T21:17:55Z,APP-API-02,203.0.113.41,POST,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-01313,2026-08-04T21:22:43Z,WEB-EDGE-01,203.0.113.10,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-01048,2026-08-04T21:27:30Z,APP-API-02,203.0.113.150,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00294,2026-08-04T21:33:53Z,APP-API-02,203.0.113.176,POST,/health,404,InternalHealth/2.1,benign,background web activity
WEB-01221,2026-08-04T21:48:46Z,APP-API-02,203.0.113.212,POST,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00622,2026-08-04T22:00:26Z,APP-API-02,203.0.113.31,GET,/.env,404,scanner/1.0,benign,background web activity
WEB-00803,2026-08-04T22:01:26Z,WEB-EDGE-01,203.0.113.101,POST,/health,200,InternalHealth/2.1,benign,background web activity
WEB-01493,2026-08-04T22:01:44Z,WEB-EDGE-01,203.0.113.196,POST,/health,200,scanner/1.0,benign,background web activity
WEB-01119,2026-08-04T22:11:22Z,APP-API-02,203.0.113.29,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-01473,2026-08-04T22:38:42Z,WEB-EDGE-01,203.0.113.87,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-00936,2026-08-04T22:41:02Z,APP-API-02,203.0.113.126,POST,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-00976,2026-08-04T22:42:33Z,APP-API-02,203.0.113.238,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00457,2026-08-04T22:46:04Z,WEB-EDGE-01,203.0.113.215,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-00815,2026-08-04T22:48:34Z,APP-API-02,203.0.113.228,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-00249,2026-08-04T22:56:57Z,WEB-EDGE-01,203.0.113.183,GET,/,404,scanner/1.0,benign,background web activity
WEB-01384,2026-08-04T22:57:03Z,APP-API-02,203.0.113.176,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-00217,2026-08-04T23:05:33Z,WEB-EDGE-01,203.0.113.210,GET,/health,200,scanner/1.0,benign,background web activity
WEB-01096,2026-08-04T23:13:20Z,WEB-EDGE-01,203.0.113.230,GET,/health,200,scanner/1.0,benign,background web activity
WEB-01161,2026-08-04T23:14:42Z,APP-API-02,203.0.113.188,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-01330,2026-08-04T23:24:06Z,WEB-EDGE-01,203.0.113.59,GET,/,200,scanner/1.0,benign,background web activity
WEB-00008,2026-08-04T23:27:03Z,APP-API-02,203.0.113.168,GET,/health,200,scanner/1.0,benign,background web activity
WEB-00146,2026-08-04T23:32:17Z,APP-API-02,203.0.113.70,POST,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00072,2026-08-05T00:09:23Z,WEB-EDGE-01,203.0.113.102,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-00260,2026-08-05T00:10:26Z,WEB-EDGE-01,203.0.113.178,POST,/api/status,404,scanner/1.0,benign,background web activity
WEB-00076,2026-08-05T00:29:59Z,WEB-EDGE-01,203.0.113.120,POST,/,200,Mozilla/5.0,benign,background web activity
WEB-01039,2026-08-05T00:31:18Z,WEB-EDGE-01,203.0.113.41,GET,/.env,404,scanner/1.0,benign,background web activity
WEB-00527,2026-08-05T00:45:36Z,WEB-EDGE-01,203.0.113.27,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-00762,2026-08-05T00:45:48Z,APP-API-02,203.0.113.23,GET,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-01391,2026-08-05T00:48:27Z,APP-API-02,203.0.113.64,POST,/.env,200,scanner/1.0,benign,background web activity
WEB-00422,2026-08-05T00:55:31Z,APP-API-02,203.0.113.69,GET,/.env,404,Mozilla/5.0,benign,background web activity
WEB-00732,2026-08-05T01:02:21Z,WEB-EDGE-01,203.0.113.172,POST,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00680,2026-08-05T01:13:58Z,APP-API-02,203.0.113.88,POST,/health,404,Mozilla/5.0,benign,background web activity
WEB-00737,2026-08-05T01:24:13Z,WEB-EDGE-01,203.0.113.131,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00033,2026-08-05T01:25:03Z,WEB-EDGE-01,203.0.113.33,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01350,2026-08-05T01:38:06Z,APP-API-02,203.0.113.52,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-01167,2026-08-05T01:41:53Z,APP-API-02,203.0.113.59,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-00934,2026-08-05T01:52:14Z,APP-API-02,203.0.113.162,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-01323,2026-08-05T02:08:55Z,WEB-EDGE-01,203.0.113.101,POST,/,404,InternalHealth/2.1,benign,background web activity
WEB-00404,2026-08-05T02:09:58Z,APP-API-02,203.0.113.189,GET,/,200,scanner/1.0,benign,background web activity
WEB-01100,2026-08-05T02:10:06Z,APP-API-02,203.0.113.196,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00665,2026-08-05T02:12:53Z,WEB-EDGE-01,203.0.113.200,POST,/health,404,InternalHealth/2.1,benign,background web activity
WEB-01448,2026-08-05T02:29:22Z,APP-API-02,203.0.113.79,GET,/health,404,InternalHealth/2.1,benign,background web activity
WEB-01438,2026-08-05T02:29:48Z,WEB-EDGE-01,203.0.113.48,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-01459,2026-08-05T02:35:08Z,WEB-EDGE-01,203.0.113.41,GET,/,200,scanner/1.0,benign,background web activity
WEB-00030,2026-08-05T02:47:18Z,APP-API-02,203.0.113.79,POST,/health,200,scanner/1.0,benign,background web activity
WEB-00571,2026-08-05T02:48:29Z,WEB-EDGE-01,203.0.113.190,POST,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00305,2026-08-05T02:59:45Z,APP-API-02,203.0.113.127,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-00603,2026-08-05T03:01:05Z,WEB-EDGE-01,203.0.113.114,POST,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01269,2026-08-05T03:09:08Z,APP-API-02,203.0.113.17,GET,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00150,2026-08-05T03:11:05Z,WEB-EDGE-01,203.0.113.72,GET,/health,404,scanner/1.0,benign,background web activity
WEB-00788,2026-08-05T03:31:34Z,WEB-EDGE-01,203.0.113.81,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01489,2026-08-05T03:33:31Z,APP-API-02,203.0.113.22,GET,/health,200,InternalHealth/2.1,benign,background web activity
WEB-01194,2026-08-05T03:42:39Z,APP-API-02,203.0.113.48,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00570,2026-08-05T03:43:05Z,WEB-EDGE-01,203.0.113.137,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-00451,2026-08-05T04:19:34Z,WEB-EDGE-01,203.0.113.127,GET,/health,200,scanner/1.0,benign,background web activity
WEB-00128,2026-08-05T04:24:16Z,WEB-EDGE-01,203.0.113.89,POST,/.env,404,scanner/1.0,benign,background web activity
WEB-00367,2026-08-05T04:26:21Z,WEB-EDGE-01,203.0.113.65,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-00093,2026-08-05T04:31:24Z,APP-API-02,203.0.113.128,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-01483,2026-08-05T04:45:41Z,APP-API-02,203.0.113.70,POST,/health,404,Mozilla/5.0,benign,background web activity
WEB-00854,2026-08-05T04:46:18Z,APP-API-02,203.0.113.28,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00071,2026-08-05T04:53:03Z,WEB-EDGE-01,203.0.113.83,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-00944,2026-08-05T05:13:35Z,WEB-EDGE-01,203.0.113.213,GET,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-01399,2026-08-05T05:13:37Z,WEB-EDGE-01,203.0.113.210,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-01497,2026-08-05T05:14:51Z,APP-API-02,203.0.113.212,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-01235,2026-08-05T05:21:13Z,APP-API-02,203.0.113.238,GET,/,200,scanner/1.0,benign,background web activity
WEB-00729,2026-08-05T05:24:22Z,APP-API-02,203.0.113.42,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-00179,2026-08-05T05:32:15Z,APP-API-02,203.0.113.66,POST,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-01118,2026-08-05T05:59:35Z,WEB-EDGE-01,203.0.113.113,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00686,2026-08-05T06:06:43Z,WEB-EDGE-01,203.0.113.172,GET,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-00994,2026-08-05T06:07:33Z,WEB-EDGE-01,203.0.113.210,GET,/,200,scanner/1.0,benign,background web activity
WEB-00293,2026-08-05T06:16:50Z,WEB-EDGE-01,203.0.113.86,GET,/health,200,scanner/1.0,benign,background web activity
WEB-00324,2026-08-05T06:34:51Z,WEB-EDGE-01,203.0.113.75,GET,/,200,Mozilla/5.0,benign,background web activity
WEB-00987,2026-08-05T06:37:50Z,APP-API-02,203.0.113.170,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-00855,2026-08-05T06:39:21Z,WEB-EDGE-01,203.0.113.50,POST,/,200,Mozilla/5.0,benign,background web activity
WEB-00607,2026-08-05T06:41:25Z,WEB-EDGE-01,203.0.113.225,POST,/,200,Mozilla/5.0,benign,background web activity
WEB-00241,2026-08-05T06:45:19Z,WEB-EDGE-01,203.0.113.108,GET,/.env,404,scanner/1.0,benign,background web activity
WEB-00482,2026-08-05T07:06:32Z,WEB-EDGE-01,203.0.113.161,GET,/health,404,Mozilla/5.0,benign,background web activity
WEB-00003,2026-08-05T07:07:52Z,WEB-EDGE-01,203.0.113.206,GET,/api/status,404,scanner/1.0,benign,background web activity
WEB-00877,2026-08-05T07:27:17Z,APP-API-02,203.0.113.9,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-01255,2026-08-05T07:28:50Z,APP-API-02,203.0.113.161,GET,/health,404,InternalHealth/2.1,benign,background web activity
WEB-00176,2026-08-05T07:42:02Z,APP-API-02,203.0.113.80,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00584,2026-08-05T07:54:07Z,WEB-EDGE-01,203.0.113.22,GET,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-01159,2026-08-05T08:04:06Z,APP-API-02,203.0.113.17,GET,/,200,scanner/1.0,benign,background web activity
WEB-00717,2026-08-05T08:06:21Z,WEB-EDGE-01,203.0.113.96,GET,/.env,404,scanner/1.0,benign,background web activity
WEB-00299,2026-08-05T08:07:10Z,WEB-EDGE-01,203.0.113.129,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-01198,2026-08-05T08:15:01Z,APP-API-02,203.0.113.176,GET,/.env,200,Mozilla/5.0,benign,background web activity
WEB-00405,2026-08-05T08:20:35Z,APP-API-02,203.0.113.113,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-00697,2026-08-05T08:22:22Z,APP-API-02,203.0.113.91,GET,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00469,2026-08-05T08:42:46Z,APP-API-02,203.0.113.238,GET,/,404,InternalHealth/2.1,benign,background web activity
WEB-01232,2026-08-05T08:53:56Z,WEB-EDGE-01,203.0.113.80,POST,/api/status,200,InternalHealth/2.1,benign,background web activity
WEB-01390,2026-08-05T09:09:21Z,WEB-EDGE-01,203.0.113.216,POST,/,404,scanner/1.0,benign,background web activity
WEB-00540,2026-08-05T09:10:55Z,APP-API-02,203.0.113.11,GET,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-00709,2026-08-05T09:25:33Z,APP-API-02,203.0.113.90,POST,/.env,404,Mozilla/5.0,benign,background web activity
WEB-00480,2026-08-05T09:30:13Z,WEB-EDGE-01,203.0.113.223,POST,/,200,Mozilla/5.0,benign,background web activity
WEB-00791,2026-08-05T09:30:26Z,APP-API-02,203.0.113.72,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-00785,2026-08-05T09:43:14Z,WEB-EDGE-01,203.0.113.207,GET,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-00535,2026-08-05T09:43:51Z,WEB-EDGE-01,203.0.113.172,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-00055,2026-08-05T09:59:44Z,WEB-EDGE-01,203.0.113.222,POST,/health,404,scanner/1.0,benign,background web activity
WEB-00650,2026-08-05T10:09:12Z,APP-API-02,203.0.113.132,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01332,2026-08-05T10:32:15Z,APP-API-02,203.0.113.59,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-00983,2026-08-05T10:35:23Z,WEB-EDGE-01,203.0.113.177,GET,/.env,404,InternalHealth/2.1,benign,background web activity
WEB-00894,2026-08-05T10:46:24Z,APP-API-02,203.0.113.62,GET,/health,404,scanner/1.0,benign,background web activity
WEB-00124,2026-08-05T10:50:46Z,APP-API-02,203.0.113.104,GET,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00500,2026-08-05T10:52:10Z,APP-API-02,203.0.113.156,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-00858,2026-08-05T11:03:12Z,WEB-EDGE-01,203.0.113.187,POST,/.env,404,scanner/1.0,benign,background web activity
WEB-01004,2026-08-05T11:17:01Z,WEB-EDGE-01,203.0.113.180,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-00563,2026-08-05T11:17:33Z,WEB-EDGE-01,203.0.113.142,GET,/,404,Mozilla/5.0,benign,background web activity
WEB-00398,2026-08-05T11:19:49Z,WEB-EDGE-01,203.0.113.122,GET,/,404,scanner/1.0,benign,background web activity
WEB-00922,2026-08-05T11:24:42Z,APP-API-02,203.0.113.88,POST,/,200,InternalHealth/2.1,benign,background web activity
WEB-00239,2026-08-05T11:26:08Z,WEB-EDGE-01,203.0.113.182,POST,/health,200,Mozilla/5.0,benign,background web activity
WEB-01193,2026-08-05T11:27:19Z,WEB-EDGE-01,203.0.113.46,GET,/.env,200,InternalHealth/2.1,benign,background web activity
WEB-01305,2026-08-05T11:35:35Z,WEB-EDGE-01,203.0.113.194,GET,/,200,InternalHealth/2.1,benign,background web activity
WEB-00536,2026-08-05T11:38:23Z,APP-API-02,203.0.113.49,GET,/health,200,InternalHealth/2.1,benign,background web activity
WEB-00441,2026-08-05T11:42:15Z,APP-API-02,203.0.113.28,POST,/health,404,Mozilla/5.0,benign,background web activity
WEB-00824,2026-08-05T11:55:22Z,APP-API-02,203.0.113.74,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-01033,2026-08-05T12:02:23Z,WEB-EDGE-01,203.0.113.27,GET,/api/status,404,InternalHealth/2.1,benign,background web activity
WEB-01266,2026-08-05T12:08:08Z,WEB-EDGE-01,203.0.113.96,POST,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-01076,2026-08-05T12:10:57Z,APP-API-02,203.0.113.52,GET,/.env,200,scanner/1.0,benign,background web activity
WEB-01485,2026-08-05T12:13:10Z,WEB-EDGE-01,203.0.113.26,GET,/,200,scanner/1.0,benign,background web activity
WEB-00063,2026-08-05T12:14:54Z,APP-API-02,203.0.113.27,GET,/health,200,Mozilla/5.0,benign,background web activity
WEB-01085,2026-08-05T12:15:29Z,WEB-EDGE-01,203.0.113.229,POST,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-00155,2026-08-05T12:17:00Z,APP-API-02,203.0.113.32,GET,/api/status,200,scanner/1.0,benign,background web activity
WEB-00370,2026-08-05T12:26:32Z,WEB-EDGE-01,203.0.113.206,GET,/api/status,200,Mozilla/5.0,benign,background web activity
WEB-00857,2026-08-05T12:28:26Z,APP-API-02,203.0.113.90,GET,/api/status,404,Mozilla/5.0,benign,background web activity
WEB-00027,2026-08-05T12:36:10Z,WEB-EDGE-01,203.0.113.62,POST,/health,200,scanner/1.0,benign,background web activity
WEB-00514,2026-08-05T12:41:07Z,WEB-EDGE-01,203.0.113.225,GET,/health,200,InternalHealth/2.1,benign,background web activity
