event_id,_time,src_host,dest_host,user,protocol,result,source_ip,mfa,classification,note
AUTH-00542,2026-08-04T15:02:00Z,FILE-01,ADMIN-WS-11,ACME\admin.rpatel,Kerberos,success,10.40.38.12,not_applicable,benign,routine authentication
AUTH-00231,2026-08-04T15:10:28Z,ADMIN-WS-07,DEPLOY-01,ACME\admin.rpatel,Kerberos,success,10.40.15.33,not_applicable,benign,routine authentication
AUTH-01388,2026-08-04T15:12:51Z,APP-API-02,VULN-SCAN-01,ACME\admin.jlee,Kerberos,failure,10.40.25.233,not_applicable,benign,routine authentication
AUTH-00104,2026-08-04T15:21:24Z,DEPLOY-01,FILE-01,NT AUTHORITY\SYSTEM,Kerberos,success,10.40.45.150,not_applicable,benign,routine authentication
AUTH-INC-001,2026-08-04T15:24:12Z,ADMIN-WS-07,APP-API-02,ACME\admin.jlee,WinRM,failure,10.40.60.47,not_applicable,scope,Attempted movement; no successful execution evidence
AUTH-01440,2026-08-04T15:32:29Z,ADMIN-WS-07,DEPLOY-01,ACME\svc_deploy,RDP,success,10.40.36.233,not_applicable,benign,routine authentication
AUTH-00335,2026-08-04T15:33:10Z,ADMIN-WS-11,DEPLOY-01,ACME\admin.jlee,NTLM,success,10.40.55.175,not_applicable,benign,routine authentication
AUTH-01117,2026-08-04T15:43:09Z,WEB-EDGE-01,ADMIN-WS-07,ACME\admin.jlee,Kerberos,failure,10.40.56.141,not_applicable,benign,routine authentication
AUTH-00345,2026-08-04T15:52:01Z,ADMIN-WS-11,DEPLOY-01,ACME\admin.jlee,RDP,success,10.40.32.36,not_applicable,benign,routine authentication
AUTH-01262,2026-08-04T15:55:31Z,WEB-EDGE-01,DEPLOY-01,ACME\admin.rpatel,RDP,success,10.40.4.237,not_applicable,benign,routine authentication
AUTH-00908,2026-08-04T15:58:46Z,FILE-01,WEB-EDGE-01,ACME\admin.rpatel,Kerberos,success,10.40.54.70,not_applicable,benign,routine authentication
AUTH-00943,2026-08-04T16:07:07Z,APP-API-02,VULN-SCAN-01,ACME\admin.jlee,Kerberos,success,10.40.25.202,not_applicable,benign,routine authentication
AUTH-00306,2026-08-04T16:23:39Z,FILE-01,ADMIN-WS-07,ACME\admin.jlee,WinRM,success,10.40.19.193,not_applicable,benign,routine authentication
AUTH-00016,2026-08-04T16:29:03Z,VULN-SCAN-01,FILE-01,ACME\svc_deploy,WinRM,success,10.40.33.106,not_applicable,benign,routine authentication
AUTH-01310,2026-08-04T16:36:15Z,DEPLOY-01,WEB-EDGE-01,ACME\admin.jlee,NTLM,success,10.40.38.4,not_applicable,benign,routine authentication
AUTH-00405,2026-08-04T16:42:12Z,APP-API-02,FILE-01,ACME\svc_backup,Kerberos,success,10.40.5.110,not_applicable,benign,routine authentication
AUTH-00785,2026-08-04T16:51:12Z,APP-API-02,APP-API-02,ACME\svc_deploy,Kerberos,success,10.40.2.180,not_applicable,benign,routine authentication
AUTH-00949,2026-08-04T16:56:21Z,ADMIN-WS-11,FILE-01,ACME\admin.jlee,Kerberos,failure,10.40.10.153,not_applicable,benign,routine authentication
AUTH-01476,2026-08-04T17:09:43Z,DEPLOY-01,VULN-SCAN-01,ACME\admin.jlee,Kerberos,success,10.40.27.75,not_applicable,benign,routine authentication
AUTH-00004,2026-08-04T17:21:25Z,DEPLOY-01,WEB-EDGE-01,ACME\svc_deploy,NTLM,success,10.40.22.96,not_applicable,benign,routine authentication
AUTH-00736,2026-08-04T17:23:04Z,APP-API-02,FILE-01,ACME\admin.jlee,RDP,success,10.40.33.96,not_applicable,benign,routine authentication
AUTH-01010,2026-08-04T17:28:17Z,FILE-01,APP-API-02,NT AUTHORITY\SYSTEM,RDP,success,10.40.45.214,not_applicable,benign,routine authentication
AUTH-00326,2026-08-04T17:40:45Z,DEPLOY-01,ADMIN-WS-07,ACME\svc_backup,NTLM,success,10.40.29.9,not_applicable,benign,routine authentication
AUTH-00978,2026-08-04T17:42:53Z,ADMIN-WS-07,WEB-EDGE-01,ACME\admin.rpatel,WinRM,success,10.40.49.3,not_applicable,benign,routine authentication
AUTH-00894,2026-08-04T17:51:02Z,VULN-SCAN-01,APP-API-02,ACME\svc_backup,NTLM,success,10.40.6.55,not_applicable,benign,routine authentication
AUTH-00078,2026-08-04T18:00:07Z,FILE-01,ADMIN-WS-07,ACME\svc_backup,WinRM,success,10.40.37.175,not_applicable,benign,routine authentication
AUTH-00411,2026-08-04T18:10:48Z,ADMIN-WS-11,DEPLOY-01,ACME\admin.jlee,WinRM,failure,10.40.48.37,not_applicable,benign,routine authentication
AUTH-00234,2026-08-04T18:23:07Z,APP-API-02,APP-API-02,ACME\admin.rpatel,WinRM,success,10.40.28.92,not_applicable,benign,routine authentication
AUTH-01003,2026-08-04T18:27:22Z,DEPLOY-01,FILE-01,ACME\admin.rpatel,WinRM,success,10.40.14.85,not_applicable,benign,routine authentication
AUTH-01311,2026-08-04T18:33:06Z,ADMIN-WS-11,DEPLOY-01,ACME\svc_backup,RDP,success,10.40.59.69,not_applicable,benign,routine authentication
AUTH-00763,2026-08-04T18:45:13Z,WEB-EDGE-01,VULN-SCAN-01,NT AUTHORITY\SYSTEM,NTLM,success,10.40.26.85,not_applicable,benign,routine authentication
AUTH-00895,2026-08-04T18:45:52Z,WEB-EDGE-01,ADMIN-WS-11,ACME\svc_backup,NTLM,success,10.40.42.238,not_applicable,benign,routine authentication
AUTH-00122,2026-08-04T18:49:54Z,DEPLOY-01,DEPLOY-01,ACME\admin.rpatel,Kerberos,success,10.40.52.129,not_applicable,benign,routine authentication
AUTH-01464,2026-08-04T18:56:52Z,ADMIN-WS-07,APP-API-02,ACME\admin.rpatel,Kerberos,success,10.40.24.209,not_applicable,benign,routine authentication
AUTH-00902,2026-08-04T18:59:16Z,APP-API-02,FILE-01,ACME\admin.rpatel,WinRM,success,10.40.17.98,not_applicable,benign,routine authentication
AUTH-01454,2026-08-04T19:00:11Z,ADMIN-WS-07,WEB-EDGE-01,ACME\admin.rpatel,Kerberos,failure,10.40.8.161,not_applicable,benign,routine authentication
AUTH-00993,2026-08-04T19:21:36Z,VULN-SCAN-01,VULN-SCAN-01,ACME\admin.rpatel,WinRM,success,10.40.14.193,not_applicable,benign,routine authentication
AUTH-00634,2026-08-04T19:36:40Z,VULN-SCAN-01,DEPLOY-01,ACME\admin.jlee,WinRM,failure,10.40.23.81,not_applicable,benign,routine authentication
AUTH-00160,2026-08-04T19:45:49Z,VULN-SCAN-01,WEB-EDGE-01,NT AUTHORITY\SYSTEM,WinRM,success,10.40.1.114,not_applicable,benign,routine authentication
AUTH-01247,2026-08-04T19:51:45Z,ADMIN-WS-11,ADMIN-WS-07,NT AUTHORITY\SYSTEM,NTLM,success,10.40.15.35,not_applicable,benign,routine authentication
AUTH-00205,2026-08-04T20:00:38Z,DEPLOY-01,WEB-EDGE-01,ACME\admin.jlee,NTLM,failure,10.40.8.214,not_applicable,benign,routine authentication
AUTH-00026,2026-08-04T20:05:53Z,FILE-01,FILE-01,ACME\svc_deploy,WinRM,failure,10.40.38.14,not_applicable,benign,routine authentication
AUTH-01017,2026-08-04T20:06:29Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,WinRM,success,10.40.56.50,not_applicable,benign,routine authentication
AUTH-00357,2026-08-04T20:06:51Z,APP-API-02,DEPLOY-01,ACME\svc_deploy,Kerberos,success,10.40.16.68,not_applicable,benign,routine authentication
AUTH-00362,2026-08-04T20:18:32Z,ADMIN-WS-07,APP-API-02,ACME\admin.jlee,Kerberos,failure,10.40.19.14,not_applicable,benign,routine authentication
AUTH-01013,2026-08-04T20:25:37Z,ADMIN-WS-11,VULN-SCAN-01,ACME\svc_backup,Kerberos,success,10.40.25.124,not_applicable,benign,routine authentication
AUTH-00412,2026-08-04T20:29:49Z,ADMIN-WS-11,ADMIN-WS-11,NT AUTHORITY\SYSTEM,NTLM,failure,10.40.10.205,not_applicable,benign,routine authentication
AUTH-01265,2026-08-04T20:32:29Z,FILE-01,VULN-SCAN-01,NT AUTHORITY\SYSTEM,Kerberos,success,10.40.23.17,not_applicable,benign,routine authentication
AUTH-00866,2026-08-04T20:37:47Z,VULN-SCAN-01,ADMIN-WS-07,ACME\svc_deploy,NTLM,success,10.40.51.29,not_applicable,benign,routine authentication
AUTH-01467,2026-08-04T20:45:24Z,ADMIN-WS-07,VULN-SCAN-01,ACME\svc_deploy,WinRM,success,10.40.23.197,not_applicable,benign,routine authentication
AUTH-01132,2026-08-04T20:48:13Z,DEPLOY-01,FILE-01,ACME\admin.rpatel,RDP,success,10.40.58.131,not_applicable,benign,routine authentication
AUTH-00148,2026-08-04T20:48:57Z,WEB-EDGE-01,ADMIN-WS-07,ACME\admin.rpatel,Kerberos,success,10.40.5.228,not_applicable,benign,routine authentication
AUTH-01011,2026-08-04T21:01:23Z,FILE-01,DEPLOY-01,ACME\admin.jlee,RDP,success,10.40.14.136,not_applicable,benign,routine authentication
AUTH-01150,2026-08-04T21:04:59Z,VULN-SCAN-01,VULN-SCAN-01,ACME\svc_backup,NTLM,success,10.40.45.224,not_applicable,benign,routine authentication
AUTH-01025,2026-08-04T21:15:44Z,WEB-EDGE-01,FILE-01,ACME\svc_backup,NTLM,success,10.40.28.209,not_applicable,benign,routine authentication
AUTH-01326,2026-08-04T21:46:11Z,APP-API-02,APP-API-02,ACME\svc_deploy,Kerberos,success,10.40.33.212,not_applicable,benign,routine authentication
AUTH-01341,2026-08-04T22:15:03Z,FILE-01,WEB-EDGE-01,ACME\admin.rpatel,NTLM,failure,10.40.29.51,not_applicable,benign,routine authentication
AUTH-00599,2026-08-04T22:34:18Z,FILE-01,ADMIN-WS-07,ACME\admin.rpatel,NTLM,success,10.40.37.234,not_applicable,benign,routine authentication
AUTH-00759,2026-08-04T22:34:27Z,WEB-EDGE-01,ADMIN-WS-07,ACME\admin.rpatel,Kerberos,failure,10.40.27.18,not_applicable,benign,routine authentication
AUTH-00275,2026-08-04T22:35:12Z,APP-API-02,APP-API-02,ACME\svc_backup,WinRM,success,10.40.20.173,not_applicable,benign,routine authentication
AUTH-00164,2026-08-04T22:36:00Z,VULN-SCAN-01,ADMIN-WS-07,ACME\admin.rpatel,WinRM,failure,10.40.29.229,not_applicable,benign,routine authentication
AUTH-01042,2026-08-04T22:38:22Z,VULN-SCAN-01,ADMIN-WS-11,ACME\admin.rpatel,Kerberos,success,10.40.34.105,not_applicable,benign,routine authentication
AUTH-01071,2026-08-04T22:41:42Z,VULN-SCAN-01,DEPLOY-01,ACME\admin.rpatel,WinRM,failure,10.40.58.104,not_applicable,benign,routine authentication
AUTH-00601,2026-08-04T22:49:01Z,ADMIN-WS-07,DEPLOY-01,ACME\admin.jlee,NTLM,success,10.40.9.114,not_applicable,benign,routine authentication
AUTH-01108,2026-08-04T22:58:58Z,ADMIN-WS-11,DEPLOY-01,ACME\svc_deploy,NTLM,success,10.40.15.128,not_applicable,benign,routine authentication
AUTH-00209,2026-08-04T22:59:18Z,APP-API-02,DEPLOY-01,ACME\admin.jlee,Kerberos,failure,10.40.24.43,not_applicable,benign,routine authentication
AUTH-00049,2026-08-04T23:02:27Z,ADMIN-WS-11,WEB-EDGE-01,ACME\admin.jlee,NTLM,success,10.40.2.114,not_applicable,benign,routine authentication
AUTH-00204,2026-08-04T23:03:24Z,WEB-EDGE-01,WEB-EDGE-01,ACME\svc_deploy,Kerberos,failure,10.40.52.124,not_applicable,benign,routine authentication
AUTH-01446,2026-08-04T23:05:49Z,ADMIN-WS-07,VULN-SCAN-01,ACME\admin.rpatel,WinRM,success,10.40.9.84,not_applicable,benign,routine authentication
AUTH-00856,2026-08-04T23:06:55Z,DEPLOY-01,APP-API-02,ACME\admin.jlee,NTLM,failure,10.40.49.219,not_applicable,benign,routine authentication
AUTH-00752,2026-08-04T23:14:14Z,FILE-01,WEB-EDGE-01,ACME\admin.rpatel,NTLM,success,10.40.1.107,not_applicable,benign,routine authentication
AUTH-00714,2026-08-04T23:15:19Z,VULN-SCAN-01,APP-API-02,ACME\svc_deploy,NTLM,success,10.40.5.162,not_applicable,benign,routine authentication
AUTH-00415,2026-08-04T23:15:30Z,APP-API-02,WEB-EDGE-01,ACME\admin.jlee,RDP,success,10.40.13.226,not_applicable,benign,routine authentication
AUTH-00499,2026-08-04T23:18:04Z,DEPLOY-01,ADMIN-WS-07,NT AUTHORITY\SYSTEM,RDP,success,10.40.55.227,not_applicable,benign,routine authentication
AUTH-00609,2026-08-04T23:32:22Z,APP-API-02,ADMIN-WS-11,ACME\admin.jlee,Kerberos,success,10.40.7.94,not_applicable,benign,routine authentication
AUTH-00917,2026-08-04T23:43:29Z,APP-API-02,APP-API-02,ACME\admin.jlee,NTLM,success,10.40.1.64,not_applicable,benign,routine authentication
AUTH-01225,2026-08-04T23:46:02Z,VULN-SCAN-01,APP-API-02,ACME\admin.jlee,Kerberos,success,10.40.39.173,not_applicable,benign,routine authentication
AUTH-00422,2026-08-04T23:55:37Z,APP-API-02,ADMIN-WS-07,ACME\admin.rpatel,NTLM,success,10.40.35.18,not_applicable,benign,routine authentication
AUTH-01421,2026-08-05T00:08:27Z,ADMIN-WS-07,ADMIN-WS-11,NT AUTHORITY\SYSTEM,WinRM,failure,10.40.47.41,not_applicable,benign,routine authentication
AUTH-00092,2026-08-05T00:09:14Z,VULN-SCAN-01,VULN-SCAN-01,ACME\svc_deploy,Kerberos,failure,10.40.53.167,not_applicable,benign,routine authentication
AUTH-00146,2026-08-05T00:16:50Z,VULN-SCAN-01,DEPLOY-01,NT AUTHORITY\SYSTEM,NTLM,failure,10.40.20.164,not_applicable,benign,routine authentication
AUTH-01206,2026-08-05T00:22:05Z,VULN-SCAN-01,DEPLOY-01,ACME\admin.jlee,NTLM,failure,10.40.60.144,not_applicable,benign,routine authentication
AUTH-01415,2026-08-05T00:26:31Z,VULN-SCAN-01,DEPLOY-01,ACME\svc_deploy,Kerberos,success,10.40.50.158,not_applicable,benign,routine authentication
AUTH-00261,2026-08-05T00:41:45Z,APP-API-02,ADMIN-WS-07,ACME\svc_backup,RDP,success,10.40.36.212,not_applicable,benign,routine authentication
AUTH-01061,2026-08-05T00:57:41Z,VULN-SCAN-01,APP-API-02,ACME\admin.jlee,NTLM,success,10.40.47.56,not_applicable,benign,routine authentication
AUTH-00794,2026-08-05T00:59:52Z,DEPLOY-01,ADMIN-WS-11,ACME\svc_deploy,NTLM,success,10.40.28.174,not_applicable,benign,routine authentication
AUTH-00999,2026-08-05T01:03:01Z,VULN-SCAN-01,FILE-01,NT AUTHORITY\SYSTEM,NTLM,success,10.40.50.203,not_applicable,benign,routine authentication
AUTH-00480,2026-08-05T01:04:04Z,DEPLOY-01,APP-API-02,ACME\admin.rpatel,WinRM,success,10.40.49.64,not_applicable,benign,routine authentication
AUTH-00883,2026-08-05T01:04:30Z,FILE-01,FILE-01,ACME\svc_deploy,Kerberos,success,10.40.38.220,not_applicable,benign,routine authentication
AUTH-01450,2026-08-05T01:20:44Z,FILE-01,ADMIN-WS-07,NT AUTHORITY\SYSTEM,RDP,failure,10.40.28.95,not_applicable,benign,routine authentication
AUTH-00618,2026-08-05T01:26:56Z,FILE-01,APP-API-02,ACME\svc_backup,RDP,failure,10.40.25.45,not_applicable,benign,routine authentication
AUTH-01496,2026-08-05T01:29:29Z,WEB-EDGE-01,ADMIN-WS-07,ACME\admin.rpatel,NTLM,failure,10.40.2.80,not_applicable,benign,routine authentication
AUTH-00776,2026-08-05T01:40:03Z,WEB-EDGE-01,FILE-01,NT AUTHORITY\SYSTEM,WinRM,failure,10.40.55.238,not_applicable,benign,routine authentication
AUTH-00841,2026-08-05T01:56:37Z,FILE-01,FILE-01,ACME\admin.jlee,NTLM,failure,10.40.48.167,not_applicable,benign,routine authentication
AUTH-00709,2026-08-05T01:59:38Z,WEB-EDGE-01,DEPLOY-01,ACME\admin.rpatel,WinRM,failure,10.40.25.224,not_applicable,benign,routine authentication
AUTH-00762,2026-08-05T02:11:20Z,VULN-SCAN-01,FILE-01,ACME\admin.jlee,Kerberos,success,10.40.59.188,not_applicable,benign,routine authentication
AUTH-01041,2026-08-05T02:18:40Z,VULN-SCAN-01,VULN-SCAN-01,ACME\svc_backup,NTLM,failure,10.40.8.112,not_applicable,benign,routine authentication
AUTH-01287,2026-08-05T02:38:08Z,VULN-SCAN-01,WEB-EDGE-01,ACME\admin.rpatel,Kerberos,success,10.40.43.129,not_applicable,benign,routine authentication
AUTH-01303,2026-08-05T02:42:47Z,WEB-EDGE-01,ADMIN-WS-11,ACME\svc_deploy,RDP,success,10.40.31.147,not_applicable,benign,routine authentication
AUTH-00859,2026-08-05T02:47:45Z,VULN-SCAN-01,WEB-EDGE-01,NT AUTHORITY\SYSTEM,NTLM,success,10.40.5.136,not_applicable,benign,routine authentication
AUTH-00798,2026-08-05T03:12:45Z,APP-API-02,DEPLOY-01,ACME\svc_backup,WinRM,success,10.40.45.196,not_applicable,benign,routine authentication
AUTH-01474,2026-08-05T03:20:28Z,DEPLOY-01,ADMIN-WS-07,NT AUTHORITY\SYSTEM,Kerberos,success,10.40.16.104,not_applicable,benign,routine authentication
AUTH-00783,2026-08-05T03:37:27Z,WEB-EDGE-01,VULN-SCAN-01,ACME\admin.jlee,WinRM,success,10.40.37.168,not_applicable,benign,routine authentication
AUTH-00579,2026-08-05T03:40:44Z,APP-API-02,ADMIN-WS-07,ACME\admin.jlee,NTLM,success,10.40.33.200,not_applicable,benign,routine authentication
AUTH-00494,2026-08-05T03:57:51Z,WEB-EDGE-01,WEB-EDGE-01,ACME\svc_deploy,Kerberos,success,10.40.52.8,not_applicable,benign,routine authentication
AUTH-01140,2026-08-05T04:04:15Z,DEPLOY-01,APP-API-02,ACME\admin.rpatel,NTLM,success,10.40.10.131,not_applicable,benign,routine authentication
AUTH-00662,2026-08-05T04:04:59Z,FILE-01,DEPLOY-01,ACME\svc_backup,Kerberos,failure,10.40.45.162,not_applicable,benign,routine authentication
AUTH-00666,2026-08-05T04:28:06Z,APP-API-02,ADMIN-WS-11,ACME\admin.rpatel,Kerberos,failure,10.40.34.211,not_applicable,benign,routine authentication
AUTH-00850,2026-08-05T04:31:48Z,ADMIN-WS-11,ADMIN-WS-11,ACME\svc_deploy,Kerberos,success,10.40.18.3,not_applicable,benign,routine authentication
AUTH-00791,2026-08-05T04:35:27Z,ADMIN-WS-11,FILE-01,ACME\admin.rpatel,WinRM,success,10.40.2.9,not_applicable,benign,routine authentication
AUTH-01251,2026-08-05T04:38:07Z,WEB-EDGE-01,APP-API-02,ACME\svc_backup,WinRM,failure,10.40.4.208,not_applicable,benign,routine authentication
AUTH-00840,2026-08-05T04:50:03Z,VULN-SCAN-01,ADMIN-WS-11,ACME\admin.rpatel,RDP,success,10.40.2.43,not_applicable,benign,routine authentication
AUTH-00036,2026-08-05T04:50:21Z,APP-API-02,WEB-EDGE-01,NT AUTHORITY\SYSTEM,NTLM,success,10.40.44.169,not_applicable,benign,routine authentication
AUTH-00809,2026-08-05T04:52:01Z,WEB-EDGE-01,ADMIN-WS-11,NT AUTHORITY\SYSTEM,Kerberos,success,10.40.34.188,not_applicable,benign,routine authentication
AUTH-00991,2026-08-05T04:52:47Z,DEPLOY-01,APP-API-02,ACME\svc_backup,Kerberos,failure,10.40.20.110,not_applicable,benign,routine authentication
AUTH-00580,2026-08-05T04:54:15Z,ADMIN-WS-11,ADMIN-WS-07,ACME\svc_deploy,Kerberos,success,10.40.2.57,not_applicable,benign,routine authentication
AUTH-00034,2026-08-05T05:06:44Z,DEPLOY-01,ADMIN-WS-11,ACME\svc_backup,RDP,success,10.40.4.221,not_applicable,benign,routine authentication
AUTH-00468,2026-08-05T05:10:26Z,WEB-EDGE-01,FILE-01,ACME\svc_deploy,WinRM,success,10.40.21.18,not_applicable,benign,routine authentication
AUTH-00217,2026-08-05T05:13:39Z,WEB-EDGE-01,WEB-EDGE-01,ACME\admin.jlee,WinRM,success,10.40.20.101,not_applicable,benign,routine authentication
AUTH-00799,2026-08-05T05:15:01Z,APP-API-02,VULN-SCAN-01,ACME\svc_backup,WinRM,success,10.40.41.16,not_applicable,benign,routine authentication
AUTH-01294,2026-08-05T05:26:41Z,ADMIN-WS-07,ADMIN-WS-07,ACME\svc_backup,WinRM,success,10.40.4.133,not_applicable,benign,routine authentication
AUTH-01103,2026-08-05T05:30:15Z,DEPLOY-01,DEPLOY-01,ACME\svc_deploy,RDP,failure,10.40.50.80,not_applicable,benign,routine authentication
AUTH-00594,2026-08-05T05:52:44Z,VULN-SCAN-01,VULN-SCAN-01,ACME\svc_backup,NTLM,success,10.40.28.229,not_applicable,benign,routine authentication
AUTH-00007,2026-08-05T05:54:17Z,ADMIN-WS-07,DEPLOY-01,ACME\svc_backup,NTLM,success,10.40.42.217,not_applicable,benign,routine authentication
AUTH-00613,2026-08-05T06:03:20Z,ADMIN-WS-07,ADMIN-WS-07,NT AUTHORITY\SYSTEM,Kerberos,success,10.40.52.193,not_applicable,benign,routine authentication
AUTH-01460,2026-08-05T06:14:54Z,DEPLOY-01,FILE-01,ACME\admin.rpatel,Kerberos,success,10.40.18.23,not_applicable,benign,routine authentication
AUTH-00178,2026-08-05T06:15:27Z,WEB-EDGE-01,DEPLOY-01,ACME\admin.rpatel,WinRM,failure,10.40.11.5,not_applicable,benign,routine authentication
AUTH-00183,2026-08-05T06:47:09Z,ADMIN-WS-11,FILE-01,ACME\admin.rpatel,WinRM,success,10.40.10.228,not_applicable,benign,routine authentication
AUTH-00283,2026-08-05T06:56:40Z,FILE-01,APP-API-02,NT AUTHORITY\SYSTEM,RDP,success,10.40.44.122,not_applicable,benign,routine authentication
AUTH-00811,2026-08-05T06:59:16Z,ADMIN-WS-11,APP-API-02,ACME\admin.rpatel,NTLM,success,10.40.55.111,not_applicable,benign,routine authentication
AUTH-00120,2026-08-05T07:38:29Z,WEB-EDGE-01,VULN-SCAN-01,NT AUTHORITY\SYSTEM,NTLM,success,10.40.59.187,not_applicable,benign,routine authentication
AUTH-00249,2026-08-05T07:45:22Z,FILE-01,DEPLOY-01,ACME\admin.jlee,NTLM,success,10.40.40.202,not_applicable,benign,routine authentication
AUTH-00131,2026-08-05T07:50:47Z,ADMIN-WS-07,APP-API-02,ACME\admin.rpatel,NTLM,success,10.40.1.225,not_applicable,benign,routine authentication
