event_id,_time,host,user,process_name,process_id,dest_domain,dest_ip,dest_port,action,bytes_out,bytes_in,classification,note
NET-00330,2026-08-04T16:16:40Z,FILE-01,ACME\admin.jlee,msiexec.exe,13433,backup.internal,198.51.100.223,5985,allowed,46914,1119598,benign,routine network activity
NET-00272,2026-08-04T16:18:23Z,APP-API-02,ACME\svc_deploy,backup-agent.exe,13965,packages.microsoft.com,198.51.100.191,5985,allowed,45847,641806,benign,routine network activity
NET-01168,2026-08-04T16:22:23Z,ADMIN-WS-07,ACME\admin.jlee,chrome.exe,10565,backup.internal,198.51.100.194,445,allowed,11958,197854,benign,routine network activity
NET-01039,2026-08-04T16:28:28Z,ADMIN-WS-11,ACME\admin.jlee,chrome.exe,5528,packages.microsoft.com,198.51.100.104,445,allowed,78427,1503139,benign,routine network activity
NET-01041,2026-08-04T16:29:10Z,FILE-01,NT AUTHORITY\SYSTEM,backup-agent.exe,2957,backup.internal,198.51.100.221,445,allowed,96273,1331634,benign,routine network activity
NET-00682,2026-08-04T16:35:34Z,APP-API-02,ACME\admin.jlee,msiexec.exe,9017,repo.internal,198.51.100.4,443,allowed,47020,126106,benign,routine network activity
NET-01358,2026-08-04T16:41:50Z,WEB-EDGE-01,ACME\svc_deploy,backup-agent.exe,12341,backup.internal,198.51.100.78,5985,allowed,89570,628556,benign,routine network activity
NET-00849,2026-08-04T16:54:30Z,WEB-EDGE-01,ACME\svc_backup,msiexec.exe,6702,packages.microsoft.com,198.51.100.69,5985,allowed,898,128508,benign,routine network activity
NET-00865,2026-08-04T16:54:44Z,FILE-01,ACME\admin.rpatel,powershell.exe,9371,updates.vendor.example,198.51.100.223,445,allowed,88283,726506,benign,routine network activity
NET-01242,2026-08-04T17:06:47Z,VULN-SCAN-01,ACME\svc_backup,chrome.exe,6296,updates.vendor.example,198.51.100.46,445,allowed,84638,889763,benign,routine network activity
NET-00079,2026-08-04T17:08:33Z,DEPLOY-01,ACME\admin.rpatel,chrome.exe,12577,download.sysinternals.com,198.51.100.1,443,allowed,75802,1976450,benign,routine network activity
NET-00924,2026-08-04T17:17:11Z,WEB-EDGE-01,ACME\svc_deploy,backup-agent.exe,10660,packages.microsoft.com,198.51.100.197,443,allowed,82654,1698678,benign,routine network activity
NET-01216,2026-08-04T17:22:12Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,backup-agent.exe,8120,updates.vendor.example,198.51.100.220,5985,allowed,45005,262097,benign,routine network activity
NET-00283,2026-08-04T17:25:53Z,ADMIN-WS-11,ACME\svc_backup,chrome.exe,13920,repo.internal,198.51.100.111,443,allowed,11099,53505,benign,routine network activity
NET-00118,2026-08-04T17:32:47Z,FILE-01,ACME\admin.jlee,powershell.exe,4520,updates.vendor.example,198.51.100.23,443,allowed,26739,370610,benign,routine network activity
NET-00524,2026-08-04T17:47:55Z,ADMIN-WS-11,ACME\admin.rpatel,chrome.exe,5322,packages.microsoft.com,198.51.100.81,445,allowed,8049,305429,benign,routine network activity
NET-01053,2026-08-04T17:47:57Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,msiexec.exe,14521,download.sysinternals.com,198.51.100.57,445,allowed,63115,546263,benign,routine network activity
NET-00978,2026-08-04T17:57:34Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,chrome.exe,7033,updates.vendor.example,198.51.100.76,445,allowed,4797,835492,benign,routine network activity
NET-01191,2026-08-04T17:57:50Z,DEPLOY-01,ACME\svc_deploy,chrome.exe,13502,updates.vendor.example,198.51.100.227,445,allowed,50417,1187922,benign,routine network activity
NET-00997,2026-08-04T18:01:29Z,FILE-01,ACME\svc_deploy,msiexec.exe,10526,packages.microsoft.com,198.51.100.146,445,allowed,72240,428052,benign,routine network activity
NET-01427,2026-08-04T18:05:56Z,APP-API-02,ACME\admin.rpatel,backup-agent.exe,10572,repo.internal,198.51.100.100,443,allowed,74411,51810,benign,routine network activity
NET-01225,2026-08-04T18:15:15Z,APP-API-02,ACME\svc_deploy,powershell.exe,8849,packages.microsoft.com,198.51.100.16,443,allowed,4432,1863935,benign,routine network activity
NET-00408,2026-08-04T18:16:26Z,APP-API-02,ACME\svc_backup,chrome.exe,6580,repo.internal,198.51.100.88,443,allowed,46016,1570610,benign,routine network activity
NET-00725,2026-08-04T18:29:34Z,FILE-01,ACME\svc_backup,powershell.exe,1023,updates.vendor.example,198.51.100.80,443,allowed,30393,769765,benign,routine network activity
NET-00576,2026-08-04T18:31:59Z,WEB-EDGE-01,ACME\svc_deploy,backup-agent.exe,6084,updates.vendor.example,198.51.100.217,5985,allowed,98507,622962,benign,routine network activity
NET-01193,2026-08-04T18:38:02Z,ADMIN-WS-11,ACME\admin.rpatel,chrome.exe,14845,packages.microsoft.com,198.51.100.113,445,allowed,45963,296236,benign,routine network activity
NET-01320,2026-08-04T18:45:06Z,FILE-01,ACME\svc_deploy,msiexec.exe,13277,packages.microsoft.com,198.51.100.172,445,allowed,53344,1980185,benign,routine network activity
NET-01361,2026-08-04T18:50:06Z,FILE-01,ACME\admin.jlee,chrome.exe,2181,packages.microsoft.com,198.51.100.192,445,allowed,94095,163073,benign,routine network activity
NET-01192,2026-08-04T18:51:01Z,FILE-01,ACME\admin.jlee,backup-agent.exe,10769,download.sysinternals.com,198.51.100.174,443,allowed,14020,48470,benign,routine network activity
NET-01234,2026-08-04T19:03:46Z,VULN-SCAN-01,ACME\svc_backup,msiexec.exe,1120,updates.vendor.example,198.51.100.200,443,allowed,75767,145914,benign,routine network activity
NET-00020,2026-08-04T19:04:01Z,FILE-01,ACME\svc_deploy,msiexec.exe,7700,repo.internal,198.51.100.206,5985,allowed,93582,512053,benign,routine network activity
NET-00643,2026-08-04T19:08:46Z,DEPLOY-01,ACME\svc_backup,powershell.exe,1276,updates.vendor.example,198.51.100.84,445,allowed,29522,127181,benign,routine network activity
NET-00793,2026-08-04T19:22:43Z,FILE-01,ACME\svc_deploy,powershell.exe,13158,updates.vendor.example,198.51.100.121,443,allowed,11569,666005,benign,routine network activity
NET-00841,2026-08-04T19:26:09Z,VULN-SCAN-01,ACME\svc_backup,msiexec.exe,2882,backup.internal,198.51.100.130,5985,allowed,58442,1420214,benign,routine network activity
NET-00869,2026-08-04T19:28:52Z,DEPLOY-01,ACME\admin.rpatel,powershell.exe,12878,updates.vendor.example,198.51.100.122,5985,allowed,72603,573540,benign,routine network activity
NET-00747,2026-08-04T19:57:59Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,msiexec.exe,2475,download.sysinternals.com,198.51.100.204,445,allowed,71981,1571097,benign,routine network activity
NET-00403,2026-08-04T19:58:56Z,FILE-01,NT AUTHORITY\SYSTEM,backup-agent.exe,2654,download.sysinternals.com,198.51.100.178,445,allowed,30985,1225402,benign,routine network activity
NET-01131,2026-08-04T20:03:02Z,DEPLOY-01,ACME\svc_backup,chrome.exe,1231,updates.vendor.example,198.51.100.74,443,allowed,21152,1520032,benign,routine network activity
NET-00363,2026-08-04T20:05:07Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,msiexec.exe,5642,repo.internal,198.51.100.41,445,allowed,76264,1374899,benign,routine network activity
NET-00352,2026-08-04T20:06:16Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,msiexec.exe,13181,updates.vendor.example,198.51.100.94,445,allowed,79970,1084421,benign,routine network activity
NET-00166,2026-08-04T20:11:51Z,APP-API-02,ACME\svc_backup,msiexec.exe,13606,updates.vendor.example,198.51.100.12,445,allowed,80074,1568036,benign,routine network activity
NET-00621,2026-08-04T20:15:37Z,DEPLOY-01,ACME\svc_backup,chrome.exe,7560,updates.vendor.example,198.51.100.84,443,allowed,52702,847781,benign,routine network activity
NET-00078,2026-08-04T20:17:49Z,FILE-01,ACME\svc_deploy,msiexec.exe,6942,download.sysinternals.com,198.51.100.218,5985,allowed,13697,492210,benign,routine network activity
NET-01315,2026-08-04T20:19:24Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,3892,updates.vendor.example,198.51.100.229,445,allowed,16938,1604320,benign,routine network activity
NET-00151,2026-08-04T20:30:14Z,ADMIN-WS-07,ACME\svc_backup,backup-agent.exe,9861,backup.internal,198.51.100.180,445,allowed,62575,1553138,benign,routine network activity
NET-00908,2026-08-04T20:30:50Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,msiexec.exe,12753,repo.internal,198.51.100.184,443,allowed,570,1326233,benign,routine network activity
NET-01477,2026-08-04T20:43:08Z,FILE-01,NT AUTHORITY\SYSTEM,msiexec.exe,5117,backup.internal,198.51.100.49,5985,allowed,5915,393145,benign,routine network activity
NET-00240,2026-08-04T20:48:32Z,FILE-01,ACME\admin.jlee,backup-agent.exe,2873,packages.microsoft.com,198.51.100.57,443,allowed,42149,982357,benign,routine network activity
NET-01079,2026-08-04T21:03:56Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,chrome.exe,6895,backup.internal,198.51.100.45,443,allowed,48646,430967,benign,routine network activity
NET-00723,2026-08-04T21:07:55Z,ADMIN-WS-11,ACME\admin.rpatel,powershell.exe,1661,updates.vendor.example,198.51.100.209,445,allowed,72603,882399,benign,routine network activity
NET-00309,2026-08-04T21:15:13Z,FILE-01,ACME\svc_deploy,chrome.exe,1874,download.sysinternals.com,198.51.100.14,445,allowed,40570,241649,benign,routine network activity
NET-00827,2026-08-04T21:16:08Z,FILE-01,ACME\svc_deploy,backup-agent.exe,9864,packages.microsoft.com,198.51.100.197,445,allowed,88530,508343,benign,routine network activity
NET-00833,2026-08-04T21:18:39Z,DEPLOY-01,ACME\admin.jlee,powershell.exe,2926,packages.microsoft.com,198.51.100.187,5985,allowed,65356,1733986,benign,routine network activity
NET-00670,2026-08-04T21:19:54Z,APP-API-02,NT AUTHORITY\SYSTEM,backup-agent.exe,6153,backup.internal,198.51.100.34,443,allowed,54463,1647533,benign,routine network activity
NET-00357,2026-08-04T21:21:58Z,DEPLOY-01,NT AUTHORITY\SYSTEM,chrome.exe,8727,packages.microsoft.com,198.51.100.174,5985,allowed,39428,1951818,benign,routine network activity
NET-00011,2026-08-04T21:23:41Z,DEPLOY-01,NT AUTHORITY\SYSTEM,chrome.exe,2182,packages.microsoft.com,198.51.100.20,445,allowed,10355,321828,benign,routine network activity
NET-00998,2026-08-04T21:25:09Z,VULN-SCAN-01,ACME\admin.rpatel,chrome.exe,1837,backup.internal,198.51.100.141,5985,allowed,89767,383089,benign,routine network activity
NET-01190,2026-08-04T21:30:22Z,ADMIN-WS-07,ACME\admin.rpatel,backup-agent.exe,3942,updates.vendor.example,198.51.100.71,445,allowed,66187,1161038,benign,routine network activity
NET-01023,2026-08-04T21:44:32Z,DEPLOY-01,ACME\admin.rpatel,msiexec.exe,12247,updates.vendor.example,198.51.100.9,443,allowed,58716,1119094,benign,routine network activity
NET-00271,2026-08-04T21:50:16Z,WEB-EDGE-01,ACME\svc_backup,powershell.exe,8365,packages.microsoft.com,198.51.100.35,445,allowed,66362,1707521,benign,routine network activity
NET-01363,2026-08-04T22:11:08Z,WEB-EDGE-01,ACME\admin.rpatel,msiexec.exe,1108,backup.internal,198.51.100.169,5985,allowed,28073,515026,benign,routine network activity
NET-00022,2026-08-04T22:12:23Z,WEB-EDGE-01,ACME\svc_backup,backup-agent.exe,14884,updates.vendor.example,198.51.100.100,445,allowed,42990,1903965,benign,routine network activity
NET-00692,2026-08-04T22:19:50Z,APP-API-02,ACME\svc_backup,backup-agent.exe,14584,packages.microsoft.com,198.51.100.6,5985,allowed,39805,108470,benign,routine network activity
NET-00104,2026-08-04T22:20:29Z,ADMIN-WS-07,ACME\svc_backup,backup-agent.exe,2393,repo.internal,198.51.100.152,443,allowed,63021,304456,benign,routine network activity
NET-01489,2026-08-04T22:22:54Z,FILE-01,ACME\svc_deploy,chrome.exe,3958,download.sysinternals.com,198.51.100.205,5985,allowed,55583,1164924,benign,routine network activity
NET-01281,2026-08-04T22:23:19Z,DEPLOY-01,NT AUTHORITY\SYSTEM,msiexec.exe,12639,packages.microsoft.com,198.51.100.146,445,allowed,92658,1243387,benign,routine network activity
NET-00735,2026-08-04T22:24:46Z,APP-API-02,ACME\svc_deploy,backup-agent.exe,4562,updates.vendor.example,198.51.100.225,5985,allowed,12046,186708,benign,routine network activity
NET-00549,2026-08-04T22:31:59Z,ADMIN-WS-11,ACME\svc_deploy,backup-agent.exe,1892,download.sysinternals.com,198.51.100.148,5985,allowed,71070,1330601,benign,routine network activity
NET-00933,2026-08-04T22:35:57Z,ADMIN-WS-07,ACME\svc_backup,backup-agent.exe,6710,repo.internal,198.51.100.4,5985,allowed,80328,692962,benign,routine network activity
NET-00837,2026-08-04T22:55:57Z,FILE-01,ACME\svc_deploy,chrome.exe,2483,backup.internal,198.51.100.105,445,allowed,60636,1582633,benign,routine network activity
NET-00879,2026-08-04T23:07:31Z,ADMIN-WS-07,ACME\svc_deploy,chrome.exe,13752,download.sysinternals.com,198.51.100.173,5985,allowed,44936,398372,benign,routine network activity
NET-00678,2026-08-04T23:12:15Z,ADMIN-WS-11,ACME\svc_deploy,backup-agent.exe,13450,packages.microsoft.com,198.51.100.125,5985,allowed,88706,1731411,benign,routine network activity
NET-01052,2026-08-04T23:15:20Z,FILE-01,ACME\svc_backup,chrome.exe,6846,download.sysinternals.com,198.51.100.64,443,allowed,81753,393616,benign,routine network activity
NET-00417,2026-08-04T23:21:38Z,APP-API-02,ACME\svc_backup,powershell.exe,3245,backup.internal,198.51.100.22,5985,allowed,57458,1106677,benign,routine network activity
NET-00249,2026-08-04T23:26:15Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,4973,packages.microsoft.com,198.51.100.47,445,allowed,20101,1849120,benign,routine network activity
NET-00282,2026-08-04T23:27:43Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,msiexec.exe,11172,backup.internal,198.51.100.101,5985,allowed,99871,1161112,benign,routine network activity
NET-01317,2026-08-04T23:28:07Z,FILE-01,ACME\svc_backup,backup-agent.exe,3968,download.sysinternals.com,198.51.100.60,443,allowed,18388,1757675,benign,routine network activity
NET-01485,2026-08-04T23:30:56Z,FILE-01,ACME\svc_deploy,backup-agent.exe,13661,download.sysinternals.com,198.51.100.77,5985,allowed,9858,1737388,benign,routine network activity
NET-01233,2026-08-04T23:46:21Z,DEPLOY-01,NT AUTHORITY\SYSTEM,msiexec.exe,14185,download.sysinternals.com,198.51.100.50,445,allowed,37093,1307816,benign,routine network activity
NET-00056,2026-08-04T23:51:02Z,ADMIN-WS-07,ACME\svc_backup,msiexec.exe,10540,download.sysinternals.com,198.51.100.25,5985,allowed,86419,1300382,benign,routine network activity
NET-00871,2026-08-04T23:53:28Z,ADMIN-WS-07,ACME\admin.rpatel,powershell.exe,1898,packages.microsoft.com,198.51.100.25,5985,allowed,97404,959514,benign,routine network activity
NET-00947,2026-08-05T00:03:44Z,VULN-SCAN-01,ACME\svc_backup,backup-agent.exe,12197,updates.vendor.example,198.51.100.233,445,allowed,21521,890535,benign,routine network activity
NET-01195,2026-08-05T00:37:36Z,FILE-01,ACME\svc_deploy,chrome.exe,8233,backup.internal,198.51.100.45,445,allowed,40894,1817476,benign,routine network activity
NET-00190,2026-08-05T00:42:22Z,VULN-SCAN-01,ACME\admin.rpatel,msiexec.exe,10122,updates.vendor.example,198.51.100.214,445,allowed,5727,1044779,benign,routine network activity
NET-00307,2026-08-05T00:46:05Z,FILE-01,NT AUTHORITY\SYSTEM,powershell.exe,6542,backup.internal,198.51.100.201,5985,allowed,47515,778037,benign,routine network activity
NET-01283,2026-08-05T00:56:03Z,ADMIN-WS-11,ACME\admin.rpatel,powershell.exe,1729,backup.internal,198.51.100.97,445,allowed,36925,1666822,benign,routine network activity
NET-00587,2026-08-05T01:04:58Z,ADMIN-WS-11,ACME\admin.jlee,backup-agent.exe,7106,backup.internal,198.51.100.13,5985,allowed,56750,1452138,benign,routine network activity
NET-00268,2026-08-05T01:05:17Z,VULN-SCAN-01,ACME\svc_deploy,msiexec.exe,2960,backup.internal,198.51.100.25,443,allowed,60086,1343370,benign,routine network activity
NET-00449,2026-08-05T01:13:34Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,12510,download.sysinternals.com,198.51.100.109,443,allowed,74606,1296152,benign,routine network activity
NET-00226,2026-08-05T01:13:36Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,msiexec.exe,5267,download.sysinternals.com,198.51.100.27,445,allowed,39960,82240,benign,routine network activity
NET-00192,2026-08-05T01:14:39Z,FILE-01,ACME\admin.jlee,backup-agent.exe,7711,download.sysinternals.com,198.51.100.69,445,allowed,84228,1023940,benign,routine network activity
NET-01202,2026-08-05T01:15:23Z,DEPLOY-01,NT AUTHORITY\SYSTEM,chrome.exe,4090,backup.internal,198.51.100.194,445,allowed,50036,501960,benign,routine network activity
NET-00601,2026-08-05T01:19:41Z,ADMIN-WS-07,ACME\svc_backup,powershell.exe,8656,updates.vendor.example,198.51.100.175,5985,allowed,51588,1996744,benign,routine network activity
NET-00427,2026-08-05T01:22:42Z,ADMIN-WS-11,ACME\admin.jlee,chrome.exe,12218,download.sysinternals.com,198.51.100.71,5985,allowed,6753,1612395,benign,routine network activity
NET-00808,2026-08-05T01:36:20Z,DEPLOY-01,ACME\svc_backup,chrome.exe,8353,updates.vendor.example,198.51.100.8,443,allowed,79111,1504157,benign,routine network activity
NET-00292,2026-08-05T01:46:23Z,ADMIN-WS-11,ACME\svc_backup,backup-agent.exe,9244,backup.internal,198.51.100.223,443,allowed,41646,852986,benign,routine network activity
NET-00799,2026-08-05T01:48:41Z,ADMIN-WS-11,ACME\svc_backup,msiexec.exe,5532,updates.vendor.example,198.51.100.174,5985,allowed,76333,439219,benign,routine network activity
NET-01138,2026-08-05T01:50:23Z,APP-API-02,ACME\admin.rpatel,chrome.exe,5531,packages.microsoft.com,198.51.100.152,5985,allowed,29751,907571,benign,routine network activity
NET-01429,2026-08-05T02:05:47Z,FILE-01,ACME\admin.rpatel,powershell.exe,2663,repo.internal,198.51.100.70,445,allowed,82023,456802,benign,routine network activity
NET-01020,2026-08-05T02:10:09Z,WEB-EDGE-01,ACME\admin.jlee,backup-agent.exe,3192,download.sysinternals.com,198.51.100.38,445,allowed,33536,371949,benign,routine network activity
NET-01349,2026-08-05T02:12:05Z,FILE-01,ACME\admin.rpatel,powershell.exe,6189,backup.internal,198.51.100.90,445,allowed,38182,598014,benign,routine network activity
NET-01355,2026-08-05T02:12:37Z,DEPLOY-01,NT AUTHORITY\SYSTEM,powershell.exe,2508,packages.microsoft.com,198.51.100.34,445,allowed,12122,313108,benign,routine network activity
NET-00181,2026-08-05T02:17:38Z,ADMIN-WS-11,ACME\svc_deploy,chrome.exe,4038,updates.vendor.example,198.51.100.126,5985,allowed,43212,1743638,benign,routine network activity
NET-00138,2026-08-05T02:22:04Z,APP-API-02,ACME\admin.rpatel,powershell.exe,10939,backup.internal,198.51.100.119,5985,allowed,80107,336008,benign,routine network activity
NET-01366,2026-08-05T02:25:30Z,WEB-EDGE-01,ACME\admin.rpatel,backup-agent.exe,2760,backup.internal,198.51.100.220,445,allowed,78836,1385648,benign,routine network activity
NET-00377,2026-08-05T02:34:01Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,backup-agent.exe,12323,packages.microsoft.com,198.51.100.239,5985,allowed,38905,1503534,benign,routine network activity
NET-00552,2026-08-05T02:38:18Z,FILE-01,ACME\svc_backup,chrome.exe,8796,repo.internal,198.51.100.65,5985,allowed,21373,1566549,benign,routine network activity
NET-00505,2026-08-05T02:38:50Z,VULN-SCAN-01,ACME\admin.jlee,backup-agent.exe,12647,download.sysinternals.com,198.51.100.220,5985,allowed,57013,59871,benign,routine network activity
NET-00445,2026-08-05T02:43:15Z,APP-API-02,ACME\svc_backup,powershell.exe,1938,updates.vendor.example,198.51.100.12,5985,allowed,76970,567806,benign,routine network activity
NET-01425,2026-08-05T02:54:09Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,backup-agent.exe,12124,packages.microsoft.com,198.51.100.177,443,allowed,99706,1192855,benign,routine network activity
NET-01180,2026-08-05T02:54:22Z,FILE-01,ACME\svc_backup,backup-agent.exe,9839,packages.microsoft.com,198.51.100.100,445,allowed,56680,1693114,benign,routine network activity
NET-01227,2026-08-05T03:03:19Z,VULN-SCAN-01,ACME\svc_deploy,backup-agent.exe,4581,download.sysinternals.com,198.51.100.90,445,allowed,90594,602571,benign,routine network activity
NET-00267,2026-08-05T03:05:40Z,DEPLOY-01,ACME\svc_deploy,powershell.exe,13611,updates.vendor.example,198.51.100.227,5985,allowed,60969,1835528,benign,routine network activity
NET-01248,2026-08-05T03:07:13Z,WEB-EDGE-01,ACME\admin.rpatel,chrome.exe,4128,download.sysinternals.com,198.51.100.118,445,allowed,23136,557264,benign,routine network activity
NET-01452,2026-08-05T03:09:41Z,FILE-01,ACME\svc_backup,msiexec.exe,14819,updates.vendor.example,198.51.100.56,445,allowed,59977,1541347,benign,routine network activity
