event_id,_time,host,user,service_name,image_path,start_type,action,source_process,source_process_id,signature_status,classification,note
SVC-01276,2026-08-04T13:05:50Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,3829,signed,benign,approved service activity
SVC-00601,2026-08-04T13:18:12Z,APP-API-02,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,4501,signed,benign,approved service activity
SVC-01015,2026-08-04T13:22:07Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,8461,signed,benign,approved service activity
SVC-00032,2026-08-04T13:23:19Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,14226,signed,benign,approved service activity
SVC-00765,2026-08-04T13:24:30Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,create,services.exe,10949,signed,benign,approved service activity
SVC-00693,2026-08-04T13:29:36Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,services.exe,5999,signed,benign,approved service activity
SVC-01017,2026-08-04T13:29:54Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,11412,signed,benign,approved service activity
SVC-01020,2026-08-04T13:38:47Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,services.exe,14149,signed,benign,approved service activity
SVC-01371,2026-08-04T13:46:05Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,14164,signed,benign,approved service activity
SVC-00558,2026-08-04T13:58:15Z,FILE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,8060,signed,benign,approved service activity
SVC-00189,2026-08-04T14:03:14Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,5725,signed,benign,approved service activity
SVC-00734,2026-08-04T14:13:09Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,1192,signed,benign,approved service activity
SVC-00238,2026-08-04T14:13:24Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,9953,signed,benign,approved service activity
SVC-01174,2026-08-04T14:27:57Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,10141,signed,benign,approved service activity
SVC-00696,2026-08-04T14:29:11Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,12215,signed,benign,approved service activity
SVC-00556,2026-08-04T14:38:16Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,7750,signed,benign,approved service activity
SVC-01449,2026-08-04T14:38:43Z,APP-API-02,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,services.exe,7877,signed,benign,approved service activity
SVC-00502,2026-08-04T14:53:23Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,11207,signed,benign,approved service activity
SVC-00434,2026-08-04T14:58:48Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,10143,signed,benign,approved service activity
SVC-00412,2026-08-04T14:59:46Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,9558,signed,benign,approved service activity
SVC-00153,2026-08-04T15:00:03Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,4488,signed,benign,approved service activity
SVC-01357,2026-08-04T15:09:22Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,14714,signed,benign,approved service activity
SVC-01365,2026-08-04T15:11:07Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,services.exe,12228,signed,benign,approved service activity
SVC-00397,2026-08-04T15:15:37Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,start,msiexec.exe,7621,signed,benign,approved service activity
SVC-INC-001,2026-08-04T15:20:27Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCache,"rundll32.exe C:\ProgramData\TelemetryCache\telemetry.dll,Start",auto,create,powershell.exe,8570,unsigned_payload,malicious,Persistence mechanism
SVC-00574,2026-08-04T15:45:47Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,services.exe,14378,signed,benign,approved service activity
SVC-00870,2026-08-04T15:56:51Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,6766,signed,benign,approved service activity
SVC-00950,2026-08-04T16:07:25Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,13668,signed,benign,approved service activity
SVC-01404,2026-08-04T16:16:07Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,services.exe,3596,signed,benign,approved service activity
SVC-00250,2026-08-04T16:16:58Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,start,msiexec.exe,10111,signed,benign,approved service activity
SVC-00012,2026-08-04T16:19:31Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,start,msiexec.exe,5808,signed,benign,approved service activity
SVC-01048,2026-08-04T16:22:10Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,12951,signed,benign,approved service activity
SVC-00853,2026-08-04T16:23:47Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,9443,signed,benign,approved service activity
SVC-01116,2026-08-04T16:29:22Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,services.exe,9715,signed,benign,approved service activity
SVC-00097,2026-08-04T16:34:44Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,11275,signed,benign,approved service activity
SVC-00704,2026-08-04T16:37:46Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,create,services.exe,13197,signed,benign,approved service activity
SVC-01120,2026-08-04T16:45:24Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,start,msiexec.exe,3342,signed,benign,approved service activity
SVC-01309,2026-08-04T16:56:35Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,11160,signed,benign,approved service activity
SVC-01010,2026-08-04T17:01:24Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,start,msiexec.exe,13408,signed,benign,approved service activity
SVC-00274,2026-08-04T17:22:50Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,services.exe,9037,signed,benign,approved service activity
SVC-00229,2026-08-04T17:23:49Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,services.exe,3710,signed,benign,approved service activity
SVC-01300,2026-08-04T17:25:53Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,3808,signed,benign,approved service activity
SVC-01392,2026-08-04T17:30:07Z,APP-API-02,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,services.exe,6435,signed,benign,approved service activity
SVC-00081,2026-08-04T17:30:11Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,4218,signed,benign,approved service activity
SVC-00976,2026-08-04T17:31:03Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,services.exe,12880,signed,benign,approved service activity
SVC-00445,2026-08-04T17:31:54Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,7509,signed,benign,approved service activity
SVC-01482,2026-08-04T17:39:54Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,9771,signed,benign,approved service activity
SVC-00026,2026-08-04T17:40:49Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,services.exe,6578,signed,benign,approved service activity
SVC-00130,2026-08-04T18:02:16Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,1630,signed,benign,approved service activity
SVC-01190,2026-08-04T18:05:32Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,12339,signed,benign,approved service activity
SVC-00100,2026-08-04T18:09:53Z,APP-API-02,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,10748,signed,benign,approved service activity
SVC-01223,2026-08-04T18:13:17Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,5700,signed,benign,approved service activity
SVC-00183,2026-08-04T18:23:20Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,11415,signed,benign,approved service activity
SVC-00387,2026-08-04T18:25:59Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,services.exe,13971,signed,benign,approved service activity
SVC-01264,2026-08-04T18:32:06Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,8127,signed,benign,approved service activity
SVC-00697,2026-08-04T18:35:29Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,4233,signed,benign,approved service activity
SVC-00624,2026-08-04T18:38:07Z,FILE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,create,services.exe,1391,signed,benign,approved service activity
SVC-01280,2026-08-04T18:50:30Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,msiexec.exe,5624,signed,benign,approved service activity
SVC-01178,2026-08-04T18:53:25Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,7093,signed,benign,approved service activity
SVC-00256,2026-08-04T18:57:03Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,9018,signed,benign,approved service activity
SVC-00578,2026-08-04T19:10:46Z,FILE-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,services.exe,2461,signed,benign,approved service activity
SVC-01425,2026-08-04T19:12:45Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,services.exe,13909,signed,benign,approved service activity
SVC-00148,2026-08-04T19:13:14Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,services.exe,1490,signed,benign,approved service activity
SVC-00855,2026-08-04T19:19:46Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,8009,signed,benign,approved service activity
SVC-00585,2026-08-04T19:22:41Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,create,services.exe,6502,signed,benign,approved service activity
SVC-01143,2026-08-04T19:30:20Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,7593,signed,benign,approved service activity
SVC-01073,2026-08-04T19:34:39Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,services.exe,10082,signed,benign,approved service activity
SVC-01145,2026-08-04T19:36:45Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,msiexec.exe,11024,signed,benign,approved service activity
SVC-00936,2026-08-04T19:39:16Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,7701,signed,benign,approved service activity
SVC-01216,2026-08-04T19:46:24Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,8338,signed,benign,approved service activity
SVC-00369,2026-08-04T19:48:04Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,6153,signed,benign,approved service activity
SVC-00353,2026-08-04T19:50:52Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,3616,signed,benign,approved service activity
SVC-00453,2026-08-04T20:05:11Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,13150,signed,benign,approved service activity
SVC-01052,2026-08-04T20:15:02Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,12923,signed,benign,approved service activity
SVC-01267,2026-08-04T20:17:16Z,APP-API-02,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,1197,signed,benign,approved service activity
SVC-01487,2026-08-04T20:23:57Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,7881,signed,benign,approved service activity
SVC-00345,2026-08-04T20:24:32Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,msiexec.exe,9596,signed,benign,approved service activity
SVC-00258,2026-08-04T20:31:19Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,14177,signed,benign,approved service activity
SVC-00323,2026-08-04T20:31:24Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,10030,signed,benign,approved service activity
SVC-00415,2026-08-04T20:39:38Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,services.exe,7161,signed,benign,approved service activity
SVC-00484,2026-08-04T20:42:48Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,13720,signed,benign,approved service activity
SVC-01288,2026-08-04T20:44:20Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,services.exe,2080,signed,benign,approved service activity
SVC-00674,2026-08-04T20:49:34Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,msiexec.exe,3728,signed,benign,approved service activity
SVC-00127,2026-08-04T20:50:43Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,14247,signed,benign,approved service activity
SVC-00109,2026-08-04T20:52:10Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,start,services.exe,3273,signed,benign,approved service activity
SVC-00240,2026-08-04T20:59:34Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,10102,signed,benign,approved service activity
SVC-00511,2026-08-04T21:08:57Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,9709,signed,benign,approved service activity
SVC-00048,2026-08-04T21:12:15Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,12507,signed,benign,approved service activity
SVC-00255,2026-08-04T21:20:22Z,APP-API-02,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,1796,signed,benign,approved service activity
SVC-00287,2026-08-04T21:20:35Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,9654,signed,benign,approved service activity
SVC-00489,2026-08-04T21:25:27Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,9176,signed,benign,approved service activity
SVC-00979,2026-08-04T21:27:07Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,4345,signed,benign,approved service activity
SVC-01235,2026-08-04T21:33:24Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,13096,signed,benign,approved service activity
SVC-00839,2026-08-04T21:36:36Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,services.exe,2645,signed,benign,approved service activity
SVC-00887,2026-08-04T21:43:04Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,2669,signed,benign,approved service activity
SVC-00210,2026-08-04T21:43:22Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,services.exe,7014,signed,benign,approved service activity
SVC-01367,2026-08-04T21:57:01Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,8366,signed,benign,approved service activity
SVC-00094,2026-08-04T21:59:22Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,13429,signed,benign,approved service activity
SVC-01096,2026-08-04T22:03:20Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,11670,signed,benign,approved service activity
SVC-00315,2026-08-04T22:04:48Z,APP-API-02,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,services.exe,5911,signed,benign,approved service activity
SVC-01066,2026-08-04T22:18:13Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,12860,signed,benign,approved service activity
SVC-01284,2026-08-04T22:30:28Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,start,powershell.exe,3590,signed,benign,approved service activity
SVC-00842,2026-08-04T22:30:58Z,FILE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,6994,signed,benign,approved service activity
SVC-00075,2026-08-04T22:45:08Z,APP-API-02,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,9446,signed,benign,approved service activity
SVC-00550,2026-08-04T22:56:38Z,DEPLOY-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,2055,signed,benign,approved service activity
SVC-01270,2026-08-04T23:16:03Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,9592,signed,benign,approved service activity
SVC-01315,2026-08-04T23:21:03Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,14093,signed,benign,approved service activity
SVC-01445,2026-08-04T23:24:09Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,11806,signed,benign,approved service activity
SVC-00344,2026-08-04T23:47:41Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,10987,signed,benign,approved service activity
SVC-00431,2026-08-04T23:51:01Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,services.exe,6114,signed,benign,approved service activity
SVC-00718,2026-08-05T00:12:22Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,create,powershell.exe,3216,signed,benign,approved service activity
SVC-00862,2026-08-05T00:38:05Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,3165,signed,benign,approved service activity
SVC-00530,2026-08-05T00:59:16Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,1390,signed,benign,approved service activity
SVC-00112,2026-08-05T00:59:19Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,msiexec.exe,8467,signed,benign,approved service activity
SVC-01294,2026-08-05T01:03:16Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,13365,signed,benign,approved service activity
SVC-00298,2026-08-05T01:13:26Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,6385,signed,benign,approved service activity
SVC-01296,2026-08-05T01:14:18Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,11859,signed,benign,approved service activity
SVC-00040,2026-08-05T01:14:50Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,start,powershell.exe,3253,signed,benign,approved service activity
SVC-00888,2026-08-05T01:16:10Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,5936,signed,benign,approved service activity
SVC-00792,2026-08-05T01:21:07Z,DEPLOY-01,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Backup\backup.exe,auto,query,powershell.exe,2627,signed,benign,approved service activity
SVC-00694,2026-08-05T01:24:46Z,FILE-01,NT AUTHORITY\SYSTEM,CompanyAgent,C:\Program Files\Backup\backup.exe,auto,create,powershell.exe,14881,signed,benign,approved service activity
SVC-01417,2026-08-05T01:29:00Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,msiexec.exe,10344,signed,benign,approved service activity
SVC-00357,2026-08-05T01:30:51Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,TelemetryCollector,C:\Program Files\Company\agent.exe,auto,create,services.exe,5495,signed,benign,approved service activity
SVC-01081,2026-08-05T01:39:01Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,services.exe,8702,signed,benign,approved service activity
SVC-00411,2026-08-05T01:47:54Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Company\agent.exe,auto,query,powershell.exe,10461,signed,benign,approved service activity
SVC-00915,2026-08-05T01:55:42Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupAgent,C:\Program Files\Backup\backup.exe,auto,query,msiexec.exe,13576,signed,benign,approved service activity
