event_id,_time,host,file_path,sha256,signature_status,publisher,classification,note
TRUST-01755,2026-08-31T13:20:24Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,0362aadb18deabcdb38bbd218edfcbc05ea6f5950fc46bb60e1d1f66755ce5ed,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01097,2026-08-31T13:20:39Z,DC-01,C:\ACME\Inventory\inventory.exe,f5b9253e88b87170aa2337fbcda72df2905085749476a2a958d3ef7566f88b0e,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01607,2026-08-31T13:21:45Z,HR-WS-22,C:\Windows\System32\cleanmgr.exe,f934a3ede98f964ea80ba3ba3e3e582dcadc0a23403b385714a76ea1ad43d4e8,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01272,2026-08-31T13:23:43Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,ce1eb835a0c393d5f53a91e0af11929c9fca0f65ab6b709ac28c90d830afa1a9,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01166,2026-08-31T13:25:33Z,MGMT-01,C:\ACME\Inventory\inventory.exe,9e796eb936c7f973b1f410feb5b873e7b7abd1410bea7166a2fa85948719b137,signed,Microsoft Windows,benign,routine trust context
TRUST-01181,2026-08-31T13:25:37Z,FILE-02,C:\ACME\Inventory\inventory.exe,5b012bc2765a53df504d3f1022a862ca8fc66cb621a9d4a67fd63329d014b491,signed,ACME IT Automation,benign,routine trust context
TRUST-00876,2026-08-31T13:32:51Z,FILE-02,C:\Windows\System32\cleanmgr.exe,eb9d192bfbd0b6eaaa07ba1160c4cdb4890f9bf99bf981df63bfa52c19ec2b7b,signed,Microsoft Windows,benign,routine trust context
TRUST-00819,2026-08-31T13:33:05Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,b3e2e0daf34e7f1116fd59ba8e91cc39dfefe183e242a4a1f8d8732ea92a6bc6,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00335,2026-08-31T13:38:04Z,DC-01,C:\ACME\Inventory\inventory.exe,96a3579547b7bd099c6db781fcef208372daaf516d445076830dad680f884402,signed,ACME IT Automation,benign,routine trust context
TRUST-01341,2026-08-31T13:39:41Z,MGMT-01,C:\ACME\Inventory\inventory.exe,0c35bc0004ad83b09708f40a3352623b0d8302189fe761ece2e8e029d0e1b885,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01359,2026-08-31T13:41:15Z,FILE-02,C:\Windows\System32\cleanmgr.exe,7e33d86cb1f767b7e082b5ec13bb160f1c5029bed4face4f40b62b2c6fc3e332,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01618,2026-08-31T13:42:20Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,b892943036150ca5a0a9d4de785b75d8f7d82ef436e97bc0bc4e61fa133b2cb6,signed,ACME IT Automation,benign,routine trust context
TRUST-00458,2026-08-31T13:50:17Z,FILE-02,C:\Windows\System32\cleanmgr.exe,aa71f5a8537234cba58068ae036e87c85bebe78713b66e733f36faac6326a0f8,signed,Microsoft Windows,benign,routine trust context
TRUST-00849,2026-08-31T13:59:56Z,MGMT-01,C:\ACME\Inventory\inventory.exe,a560c8ffb5837bc6edffc09369eb2770d4cc710db71ced27b05850a5afd3b2be,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00182,2026-08-31T14:01:47Z,HR-WS-22,C:\ACME\Patch\TelemetryCheck.ps1,78d5dfe0dae058e67594a3ca16144859cdce031ade841be12b2c02520e31f779,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00040,2026-08-31T14:04:12Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,94761a55cfda5fc29439620d85ab2f89f6857343aefe80f7cf436d63138ad4ae,signed,ACME IT Automation,benign,routine trust context
TRUST-01183,2026-08-31T14:07:30Z,MGMT-01,C:\ACME\Inventory\inventory.exe,8ec9645f83a52fb5bc7bfe609f406f8fad6f932298b8fd8c96f891e150fc46d9,signed,ACME IT Automation,benign,routine trust context
TRUST-00305,2026-08-31T14:12:45Z,FILE-02,C:\Windows\System32\cleanmgr.exe,4705eb96024a6fdb0c8fc4d610e29fbd6c0f7a51f1fea96c2e0c32cdb9d567b2,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01504,2026-08-31T14:18:19Z,MGMT-01,C:\ACME\Inventory\inventory.exe,3ee23d6a5612640395231adb0eff5cb9ce744bf35dec7cb57720dd2e0c2fe02b,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00445,2026-08-31T14:24:32Z,APP-03,C:\ACME\Inventory\inventory.exe,524093399c219640d900623e0cfb30717a4e8fd1a4c369efe7021b12747adcce,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-INC-002,2026-08-31T14:26:05Z,HR-WS-22,C:\ProgramData\WinCache\check.ps1,7d4815dfb5d29b15cbbd9af8a135f856e932e48b1e7a22b9382a2847b34ed268,unsigned,,investigate,not approved automation
TRUST-00229,2026-08-31T14:26:42Z,APP-03,C:\Windows\System32\cleanmgr.exe,f8f66a2e2d42c26f96d36c7ae6ff9faefc18c377030f586cdd6d7fe8ab0dc449,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00404,2026-08-31T14:27:00Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,14129bc95e1cac9e1dbe83d27c473b5f76ace5c3c1a5637d38717d6e5e1e576b,signed,Microsoft Windows,benign,routine trust context
TRUST-INC-001,2026-08-31T14:28:05Z,HR-WS-22,C:\ProgramData\WinCache\telemetry.dll,a4d9f1b7c99b09d081716e20f221eb517bd3c13b689f8eb1d25a5e74c491dd8f,unsigned,,investigate,unknown unsigned payload
TRUST-00357,2026-08-31T14:28:05Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,3ba54f3c27fce360e99d6beee1def89e5a9cbb24d2e84397b2d1b79d6dbadf8b,signed,ACME IT Automation,benign,routine trust context
TRUST-01392,2026-08-31T14:30:45Z,APP-03,C:\ACME\Inventory\inventory.exe,3f5b0db6369f728e713db466a66a2e7a30246853b9799f980d6c90465a8aad76,signed,ACME IT Automation,benign,routine trust context
TRUST-00119,2026-08-31T14:31:13Z,APP-03,C:\Windows\System32\cleanmgr.exe,49a3c3b2de4cf730acb9fc7020d850f823019e6cb5f7afc703a80d7d2185b63b,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-BEN-001,2026-08-31T14:34:02Z,PATCH-01,C:\ACME\Patch\TelemetryCheck.ps1,1b985d01369907d8f61b4d6116a5cb0eb5a31822b82a29eb28d3d376c80c1e6a,trusted_internal,ACME IT Automation,benign,approved patch script
TRUST-01429,2026-08-31T14:36:28Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,dc82be5930fb6e0eded45c88212efd5b99b22f86dab3095f5bf46f18eb4c2ef4,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01211,2026-08-31T14:43:51Z,MGMT-01,C:\Windows\System32\cleanmgr.exe,6ebcd178dfc26bdd930a476bffc2b0b3903ffaf0303b0720e67cea4db5cffa4a,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00475,2026-08-31T14:52:35Z,DC-01,C:\ACME\Inventory\inventory.exe,62143ca537cec7622de8f15820faed44e2118b55df675301864f3243ec1f8003,signed,Microsoft Windows,benign,routine trust context
TRUST-01794,2026-08-31T14:53:07Z,MGMT-01,C:\ACME\Inventory\inventory.exe,ff21578c2f9cefd0b5c14dd3c5cd041a8bca102754b779fdf9e12fd50cad1e21,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01453,2026-08-31T14:55:05Z,APP-03,C:\ACME\Inventory\inventory.exe,37e462751a1d6b33a4324881bd031452c5941b0939e7e9abce006d0da4b9e9b0,signed,ACME IT Automation,benign,routine trust context
TRUST-00888,2026-08-31T14:56:46Z,DC-01,C:\Windows\System32\cleanmgr.exe,f9f717b1050fd0d7aecf85391a8299f83d3ad16cc450e324f6b3543992973e67,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01480,2026-08-31T14:57:07Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,649a34e2948cc09f32c9e612cbf18dc69e0d77357f62b81408774d4527042821,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00734,2026-08-31T14:57:46Z,HR-WS-22,C:\ACME\Patch\TelemetryCheck.ps1,57f2d0888ae04b26ca71113653a47cbc1a67a8141999273d4fb214e99b126ab6,signed,Microsoft Windows,benign,routine trust context
TRUST-00883,2026-08-31T14:59:21Z,MGMT-01,C:\Windows\System32\cleanmgr.exe,d280f1c0f6e09c7d948c2cdc49868ee3d44d00a03c7ec07d46231f732437f962,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01566,2026-08-31T15:04:10Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,c703b3b4f2dfa6e6a8dcabfb4e56c01234b550d0efe067cca88d85b786485bc0,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01231,2026-08-31T15:05:09Z,APP-03,C:\ACME\Inventory\inventory.exe,b11be8a334946afb64f71949b3666b73a90ac46021798198388f2ac9d02935ef,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01581,2026-08-31T15:25:34Z,MGMT-01,C:\Windows\System32\cleanmgr.exe,ce495e45d8c0688ba1785827ca64f6cfdbdc084f1b5537f542efd2a3745f560d,signed,Microsoft Windows,benign,routine trust context
TRUST-01461,2026-08-31T15:26:12Z,PATCH-01,C:\ACME\Inventory\inventory.exe,be599bfc7c1ad087e7ed26d02e87273446d53206750645c98a7feea860618663,signed,ACME IT Automation,benign,routine trust context
TRUST-01003,2026-08-31T15:34:20Z,JUMP-01,C:\ACME\Inventory\inventory.exe,2f1f5a3c5b2e22e0a581f3cbbf33687241dbdb70fc597b200514e5a308779e57,signed,ACME IT Automation,benign,routine trust context
TRUST-01323,2026-08-31T15:34:31Z,HR-WS-22,C:\ACME\Patch\TelemetryCheck.ps1,edcaee0fe8c91479cbf635c300dc36ed348e8e2fa4ede8c49296fef7814fa28d,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00281,2026-08-31T15:40:11Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,8a1553e790fbd25763f186cd521497c4728a4aca0b0ce4b0397a8515a332b254,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01774,2026-08-31T15:44:12Z,HR-WS-22,C:\ACME\Inventory\inventory.exe,d3425a577d2cef87968feeddf8e318b7d6331b9e5d10c042738291bbe74fa4f3,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00665,2026-08-31T15:45:28Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,9ac15cb5e7123e374aefd435b1f1154784a676522b5fd792e9fd49d36693a985,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-01517,2026-08-31T15:47:31Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,9bd0dc16e78d831a3eb1555a43afa480a193066a4b46a1c3aec1cc14d7a9c6a0,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00371,2026-08-31T15:49:02Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,5aea88280895da88837b5e16baad395ad8b167a12baffafd9ce853ca355da249,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01086,2026-08-31T15:52:38Z,DC-01,C:\ACME\Inventory\inventory.exe,e60744c16fb12aa813df1645ead8243bd802fc657d1ced137068538732f62bdb,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01619,2026-08-31T15:53:16Z,MGMT-01,C:\Windows\System32\cleanmgr.exe,3c5064075a13b5c72e0b9e22d28bea0e8da5fa138788dcbf30d2bebe91b62d68,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01238,2026-08-31T15:58:29Z,PATCH-01,C:\ACME\Patch\TelemetryCheck.ps1,337ff4c681049770efe891a8aa585cce311cc57b7842ab552fe728acebe3e5f5,signed,ACME IT Automation,benign,routine trust context
TRUST-00299,2026-08-31T16:02:26Z,HR-WS-22,C:\ACME\Patch\TelemetryCheck.ps1,199a5a3fe6241d00548108ab66ed268a4a608e6f9a03d9815d7429f446e2bff7,signed,ACME IT Automation,benign,routine trust context
TRUST-01269,2026-08-31T16:06:49Z,APP-03,C:\Windows\System32\cleanmgr.exe,9ceb20fe8e8ed7a327229e57ebb8979d42e93eb67caa614644d2a6281d65f6c2,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00890,2026-08-31T16:08:06Z,APP-03,C:\ACME\Inventory\inventory.exe,91d36f7cc57d999db7ceecffb874e35da79ccbe04391b104f03eb7f879901f1a,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00505,2026-08-31T16:08:25Z,FILE-02,C:\ACME\Inventory\inventory.exe,1e3db491260bc4020e062b298046422acf515abe27dfad9b485a96e2f95b63de,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00263,2026-08-31T16:12:10Z,APP-03,C:\ACME\Inventory\inventory.exe,74f1f46bc970d036f1f49db1ed99f144c0eb465e843fdf0f8e4dbe66373dbbe4,signed,ACME IT Automation,benign,routine trust context
TRUST-00657,2026-08-31T16:19:34Z,APP-03,C:\Windows\System32\cleanmgr.exe,80a19cd7db4a86f5ac4c5edc87763d336172871e2b12ed2a528876ecc8a4595e,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00587,2026-08-31T16:23:12Z,PATCH-01,C:\ACME\Patch\TelemetryCheck.ps1,7fb05647b386a50e57b679890e361c0b108f29d797844ab657e386dce2b2ced4,signed,Microsoft Windows,benign,routine trust context
TRUST-00653,2026-08-31T16:27:28Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,786bdab9f64e3c8508592db35f9bb4dc3fe414c5561d124121a903fc91f52b2b,signed,Microsoft Windows,benign,routine trust context
TRUST-01606,2026-08-31T16:27:52Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,8e245218f73c2b8a12f180a657cb5198fb5f775ed4787318788cab46706450d6,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01471,2026-08-31T16:30:52Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,8d7d853a32d781a7a80ef186e74e378fffba67db49d72c2c29c46c8837998801,signed,Microsoft Windows,benign,routine trust context
TRUST-01139,2026-08-31T16:50:52Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,3db55367feae8859bf695fab9ffe8e28c2589ec87f8eb15d67dced878520e352,signed,Microsoft Windows,benign,routine trust context
TRUST-00398,2026-08-31T16:50:59Z,DC-01,C:\Windows\System32\cleanmgr.exe,61bd6b8f14739b391d1777a9452e293a7e0c60e5492e3940cd01c4e9c734675e,signed,Microsoft Windows,benign,routine trust context
TRUST-00750,2026-08-31T16:55:30Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,03e3eeadc8763c91386f4a51ee6e4c031992051db64597fae40c163535670f9d,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00359,2026-08-31T17:00:21Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,1fe8b0eded2bbb715d19004b08a6aa3d9a69405f3dd6621603cac57ba0e4f816,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00430,2026-08-31T17:08:20Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,b33a0fd080c5686255701256a5fe9b313c6044bc5ee4022834f43903fc7d5e50,signed,Microsoft Windows,benign,routine trust context
TRUST-01190,2026-08-31T17:08:32Z,PATCH-01,C:\ACME\Inventory\inventory.exe,44cfa7fb6c2fc9c156f64faf1c8f9ee4ef539a7c392000197227091a4ac715e1,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00607,2026-08-31T17:12:51Z,HR-WS-22,C:\ACME\Inventory\inventory.exe,0dc8899d06a210b85d03351a86447421323429f37bee2897ce87ee6ec2d75a85,signed,Microsoft Windows,benign,routine trust context
TRUST-00233,2026-08-31T17:14:45Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,4fd1aa230f9dea8f227a83947b36df35801387fcc6a312e971ffc69672074df5,signed,Microsoft Windows,benign,routine trust context
TRUST-00035,2026-08-31T17:15:19Z,APP-03,C:\Windows\System32\cleanmgr.exe,2d24a7642ce6ab75c202fdfa7a078da54c54396f9962876db3dbccfb8bde9a7e,signed,ACME IT Automation,benign,routine trust context
TRUST-01284,2026-08-31T17:21:07Z,JUMP-01,C:\ACME\Inventory\inventory.exe,e90255768529bd45a27431549e508d8f71da3d5aa407a79ed6f5f7755e1f7d19,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00654,2026-08-31T17:23:07Z,MGMT-01,C:\ACME\Inventory\inventory.exe,ffb56e3a59d13ce1b26980b24442c65c46d0966c4f47484192d90fb0e007fc61,signed,ACME IT Automation,benign,routine trust context
TRUST-01770,2026-08-31T17:33:47Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,76b21896801bb0f832857b38c04df6583b3050964fffbc785e3c70e277210498,signed,Microsoft Windows,benign,routine trust context
TRUST-00265,2026-08-31T17:36:16Z,APP-03,C:\Windows\System32\cleanmgr.exe,1caa2bb2896e75bf0a54a047cc131ac16adc0e2b2e8f4e9cfc160bb1f230352a,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00384,2026-08-31T17:42:59Z,MGMT-01,C:\ACME\Inventory\inventory.exe,3f4ad98220d5768135f3f99df8518971da0411ce9bbc215769df8bdd67d0449b,signed,ACME IT Automation,benign,routine trust context
TRUST-01539,2026-08-31T17:53:20Z,APP-03,C:\ACME\Inventory\inventory.exe,8059ff90df201e07bbda0df7100e8b5c17495525186cd2ad4a47e0492d8b9762,signed,Microsoft Windows,benign,routine trust context
TRUST-00647,2026-08-31T18:09:41Z,PATCH-01,C:\ACME\Patch\TelemetryCheck.ps1,3a5c5ddfddc2a92bfa49b83b8aa5bcbacc132b5d32f811d2c4754f38553c4fef,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01144,2026-08-31T18:13:53Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,d0d980b0b278f71e2eb1ab017acbee9ca7a653ab53f09688e829431321cdaf11,signed,ACME IT Automation,benign,routine trust context
TRUST-00584,2026-08-31T18:21:04Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,376b2c93152658f8df9a49f8490ebd4eb98f9b7eab7f7afd5e6af73042ce57ab,signed,ACME IT Automation,benign,routine trust context
TRUST-01014,2026-08-31T18:22:16Z,MGMT-01,C:\ACME\Inventory\inventory.exe,788de660f9308cea2e7d0f319b1280c7ca7887e6784a95ad358df3f8a2baffc7,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00703,2026-08-31T18:27:26Z,JUMP-01,C:\ACME\Patch\TelemetryCheck.ps1,c90bcfd50ebd558d4cb2ef55be2bb1032e94c742be88c7f4555c1907371753ec,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00093,2026-08-31T18:27:33Z,APP-03,C:\ACME\Inventory\inventory.exe,f33fe48b703ac61c243584f0b817ac646468889550f94e7e3c07bd6e981c1a1a,signed,Microsoft Windows,benign,routine trust context
TRUST-01646,2026-08-31T18:27:34Z,DC-01,C:\ACME\Patch\TelemetryCheck.ps1,4bab3b23f4523e71fbdcf31dc7696e4c60aadbe997ea72f0c288db003dbd53ac,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00083,2026-08-31T18:28:06Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,c9e58352047dd160371d26fefbd12cfd3cb14be4fb4a94dff2b013b5dae8470e,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00352,2026-08-31T18:34:59Z,FILE-02,C:\ACME\Patch\TelemetryCheck.ps1,1edf06aa81340dae012e5246ad6ff420218f22ce3e20fdba7b4617ba51fc5d31,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-01457,2026-08-31T18:38:08Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,588c71163e6dcd65ffc00bccdea218428c57e6768144c0af25d3e3da39e5b626,signed,Microsoft Windows,benign,routine trust context
TRUST-00171,2026-08-31T18:43:30Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,ab7d84774ad18d365e3708188c14af4ee6914ad805224eb130f06af06aa0a780,signed,Microsoft Windows,benign,routine trust context
TRUST-00232,2026-08-31T18:43:37Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,59acdfff630117f35f37f12cf01ac604501e093c897634bc53acb99fde054a33,trusted_internal,Microsoft Windows,benign,routine trust context
TRUST-00528,2026-08-31T18:48:10Z,FILE-02,C:\ACME\Inventory\inventory.exe,399cdd786f996c5a541fd023798dc17d5dafe50ea9a5e9f1e26a634a7176160c,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00779,2026-08-31T18:49:31Z,PATCH-01,C:\Windows\System32\cleanmgr.exe,e921364c57ec87016ae598cf2799895cd4afee29f9d1a36325197b997ed5afc6,signed,ACME IT Automation,benign,routine trust context
TRUST-01299,2026-08-31T18:58:49Z,APP-03,C:\ACME\Inventory\inventory.exe,af3b3ae6216ab27fbfdc8e087af963bd16a0372de828932911e6cd810a73435b,signed,Microsoft Windows,benign,routine trust context
TRUST-00531,2026-08-31T19:06:12Z,PATCH-01,C:\ACME\Patch\TelemetryCheck.ps1,aa72c942709a1c89e97983cf6c78f08fbe37ffa912b705401f8ad433633209d3,signed,ACME IT Automation,benign,routine trust context
TRUST-00152,2026-08-31T19:07:07Z,DC-01,C:\ACME\Inventory\inventory.exe,c060eedc24f604a366bead094452f1e85cb4411eb8d9f5b7bc19eb39c4874798,signed,Microsoft Windows,benign,routine trust context
TRUST-00326,2026-08-31T19:09:25Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,679eb82768dead4d5da9146e2d25c24b08a16a1ee3030e6da696710774ea10c1,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00521,2026-08-31T19:28:51Z,FILE-02,C:\Windows\System32\cleanmgr.exe,4991bc0ac1418c3d244679844716509c6ec1e3476599eafdf3a2a9a0f23b2a48,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00704,2026-08-31T19:30:42Z,APP-03,C:\ACME\Patch\TelemetryCheck.ps1,023bac3ddb18cb8c267d8e4519bc01a0fda78fe1befa22fb088b2d330adfe168,signed,Microsoft Windows,benign,routine trust context
TRUST-01321,2026-08-31T19:31:06Z,JUMP-01,C:\ACME\Inventory\inventory.exe,f42d31daa1414cbc279a563ecebc177576850f4b56d64392292146917cd81b40,trusted_internal,ACME IT Automation,benign,routine trust context
TRUST-00915,2026-08-31T19:44:06Z,PATCH-01,C:\ACME\Inventory\inventory.exe,3189ed8d37ddcd0390e760e3eb59ebeb2dea4de349abba27e2c523e15169decf,signed,ACME IT Automation,benign,routine trust context
TRUST-01101,2026-08-31T19:46:38Z,MGMT-01,C:\ACME\Patch\TelemetryCheck.ps1,b7ef8057e0ba008cbfa4c3cb937285b5822572f77986541ec2cc3a06226722f8,trusted_internal,ACME IT Automation,benign,routine trust context
