event_id,_time,src_host,dest_host,user,process_name,dest_port,action,bytes_out,classification,note
NET-00775,2026-08-31T13:42:13Z,HR-WS-22,MGMT-01,NT AUTHORITY\SYSTEM,System,5985,allowed,50035,benign,routine network
NET-01583,2026-08-31T13:46:52Z,PATCH-01,MGMT-01,ACME\jsmith,powershell.exe,53,allowed,48395,benign,routine network
NET-00491,2026-08-31T13:51:30Z,JUMP-01,MGMT-01,ACME\kpatel,patch-agent.exe,5985,allowed,19223,benign,routine network
NET-00647,2026-08-31T14:00:36Z,DC-01,JUMP-01,ACME\admin.ops,powershell.exe,53,allowed,48284,benign,routine network
NET-01418,2026-08-31T14:08:26Z,MGMT-01,JUMP-01,ACME\svc_patch,inventory.exe,443,allowed,19112,benign,routine network
NET-01566,2026-08-31T14:10:44Z,JUMP-01,JUMP-01,ACME\admin.ops,patch-agent.exe,443,allowed,66278,benign,routine network
NET-01537,2026-08-31T14:11:24Z,DC-01,DC-01,ACME\svc_patch,patch-agent.exe,443,allowed,63190,benign,routine network
NET-INC-001,2026-08-31T14:26:35Z,HR-WS-22,203.0.113.55,NT AUTHORITY\SYSTEM,powershell.exe,443,allowed,4120,investigate,task payload contacts external host
NET-01501,2026-08-31T14:29:22Z,PATCH-01,HR-WS-22,ACME\kpatel,patch-agent.exe,445,allowed,8864,benign,routine network
NET-INC-002,2026-08-31T14:30:00Z,HR-WS-22,203.0.113.55,NT AUTHORITY\SYSTEM,rundll32.exe,443,allowed,22140,investigate,follow-on TLS; content unknown
NET-00388,2026-08-31T14:30:30Z,HR-WS-22,FILE-02,NT AUTHORITY\SYSTEM,powershell.exe,5985,allowed,21335,benign,routine network
NET-00818,2026-08-31T14:33:23Z,APP-03,APP-03,ACME\kpatel,powershell.exe,53,allowed,58935,benign,routine network
NET-BEN-001,2026-08-31T14:34:25Z,PATCH-01,MGMT-01,ACME\svc_patch,patch-agent.exe,443,allowed,18320,benign,approved patch reporting
NET-RESP-001,2026-08-31T14:37:30Z,JUMP-01,HR-WS-22,ACME\jsmith,mstsc.exe,3389,allowed,18000,response,authorized responder
NET-00495,2026-08-31T14:53:35Z,JUMP-01,DC-01,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,71227,benign,routine network
NET-01619,2026-08-31T14:58:21Z,APP-03,MGMT-01,ACME\admin.ops,inventory.exe,53,allowed,35481,benign,routine network
NET-01213,2026-08-31T15:00:21Z,MGMT-01,PATCH-01,ACME\admin.ops,powershell.exe,443,allowed,71219,benign,routine network
NET-01747,2026-08-31T15:00:29Z,MGMT-01,203.0.113.55,ACME\admin.ops,powershell.exe,443,allowed,19199,benign,routine network
NET-01225,2026-08-31T15:02:40Z,PATCH-01,APP-03,ACME\kpatel,patch-agent.exe,5985,allowed,75032,benign,routine network
NET-01208,2026-08-31T15:06:25Z,HR-WS-22,203.0.113.55,ACME\svc_patch,powershell.exe,445,allowed,44940,benign,routine network
NET-01066,2026-08-31T15:06:29Z,APP-03,FILE-02,ACME\jsmith,inventory.exe,53,allowed,7337,benign,routine network
NET-00771,2026-08-31T15:15:57Z,PATCH-01,APP-03,NT AUTHORITY\SYSTEM,System,443,allowed,10482,benign,routine network
NET-01349,2026-08-31T15:20:42Z,DC-01,MGMT-01,ACME\kpatel,powershell.exe,53,allowed,12901,benign,routine network
NET-00657,2026-08-31T15:23:17Z,HR-WS-22,JUMP-01,NT AUTHORITY\SYSTEM,inventory.exe,53,allowed,53868,benign,routine network
NET-01594,2026-08-31T15:53:26Z,FILE-02,FILE-02,ACME\jsmith,System,53,allowed,53699,benign,routine network
NET-01176,2026-08-31T15:55:46Z,APP-03,MGMT-01,ACME\admin.ops,inventory.exe,443,allowed,44502,benign,routine network
NET-00270,2026-08-31T15:55:57Z,MGMT-01,FILE-02,ACME\jsmith,patch-agent.exe,443,allowed,3943,benign,routine network
NET-00397,2026-08-31T15:57:29Z,DC-01,PATCH-01,ACME\admin.ops,inventory.exe,445,allowed,11509,benign,routine network
NET-01465,2026-08-31T16:00:19Z,DC-01,JUMP-01,ACME\svc_patch,patch-agent.exe,443,allowed,51885,benign,routine network
NET-00254,2026-08-31T16:02:20Z,JUMP-01,PATCH-01,ACME\kpatel,System,53,allowed,19960,benign,routine network
NET-00637,2026-08-31T16:15:56Z,APP-03,JUMP-01,ACME\kpatel,patch-agent.exe,5985,allowed,26246,benign,routine network
NET-01254,2026-08-31T16:18:20Z,MGMT-01,MGMT-01,ACME\kpatel,System,445,allowed,47187,benign,routine network
NET-01323,2026-08-31T16:19:57Z,FILE-02,MGMT-01,ACME\admin.ops,powershell.exe,445,allowed,28308,benign,routine network
NET-01144,2026-08-31T16:25:27Z,APP-03,HR-WS-22,ACME\admin.ops,powershell.exe,5985,allowed,19834,benign,routine network
NET-00707,2026-08-31T16:26:37Z,FILE-02,HR-WS-22,ACME\kpatel,patch-agent.exe,5985,allowed,61328,benign,routine network
NET-00751,2026-08-31T16:31:43Z,PATCH-01,PATCH-01,ACME\jsmith,powershell.exe,443,allowed,47104,benign,routine network
NET-01117,2026-08-31T16:40:12Z,HR-WS-22,PATCH-01,ACME\svc_patch,patch-agent.exe,445,allowed,42736,benign,routine network
NET-00848,2026-08-31T16:43:36Z,APP-03,DC-01,ACME\admin.ops,System,53,allowed,43961,benign,routine network
NET-00450,2026-08-31T16:44:11Z,DC-01,JUMP-01,ACME\admin.ops,System,445,allowed,3113,benign,routine network
NET-00414,2026-08-31T16:44:47Z,JUMP-01,DC-01,ACME\svc_patch,System,53,allowed,24395,benign,routine network
NET-00538,2026-08-31T16:46:54Z,FILE-02,203.0.113.55,ACME\jsmith,powershell.exe,445,allowed,41355,benign,routine network
NET-01660,2026-08-31T16:47:38Z,FILE-02,APP-03,NT AUTHORITY\SYSTEM,System,445,allowed,20730,benign,routine network
NET-01707,2026-08-31T16:47:47Z,DC-01,JUMP-01,NT AUTHORITY\SYSTEM,powershell.exe,53,allowed,62725,benign,routine network
NET-00731,2026-08-31T16:48:03Z,MGMT-01,PATCH-01,ACME\kpatel,patch-agent.exe,5985,allowed,30940,benign,routine network
NET-00954,2026-08-31T16:51:34Z,APP-03,JUMP-01,ACME\jsmith,patch-agent.exe,5985,allowed,29682,benign,routine network
NET-01313,2026-08-31T16:54:04Z,JUMP-01,MGMT-01,ACME\jsmith,System,445,allowed,15395,benign,routine network
NET-01203,2026-08-31T16:55:43Z,DC-01,FILE-02,ACME\admin.ops,System,443,allowed,32036,benign,routine network
NET-00145,2026-08-31T16:56:25Z,HR-WS-22,PATCH-01,ACME\jsmith,System,53,allowed,7366,benign,routine network
NET-00200,2026-08-31T16:57:39Z,APP-03,HR-WS-22,ACME\kpatel,powershell.exe,445,allowed,46240,benign,routine network
NET-00281,2026-08-31T17:07:36Z,MGMT-01,MGMT-01,ACME\jsmith,patch-agent.exe,443,allowed,42807,benign,routine network
NET-01721,2026-08-31T17:11:43Z,MGMT-01,APP-03,ACME\svc_patch,patch-agent.exe,445,allowed,74262,benign,routine network
NET-00070,2026-08-31T17:12:55Z,HR-WS-22,JUMP-01,ACME\svc_patch,powershell.exe,5985,allowed,30391,benign,routine network
NET-01612,2026-08-31T17:13:55Z,MGMT-01,APP-03,ACME\admin.ops,powershell.exe,5985,allowed,8739,benign,routine network
NET-00890,2026-08-31T17:35:57Z,MGMT-01,HR-WS-22,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,18839,benign,routine network
NET-00870,2026-08-31T17:41:59Z,PATCH-01,JUMP-01,ACME\admin.ops,System,5985,allowed,10077,benign,routine network
NET-01620,2026-08-31T17:44:06Z,DC-01,FILE-02,ACME\svc_patch,System,443,allowed,29641,benign,routine network
NET-01413,2026-08-31T17:47:54Z,PATCH-01,HR-WS-22,ACME\svc_patch,System,443,allowed,56644,benign,routine network
NET-00178,2026-08-31T17:50:14Z,PATCH-01,MGMT-01,NT AUTHORITY\SYSTEM,inventory.exe,5985,allowed,26118,benign,routine network
NET-00748,2026-08-31T17:50:49Z,MGMT-01,PATCH-01,ACME\kpatel,patch-agent.exe,53,allowed,7797,benign,routine network
NET-00800,2026-08-31T17:51:01Z,HR-WS-22,DC-01,ACME\svc_patch,System,53,allowed,54860,benign,routine network
NET-00472,2026-08-31T17:53:45Z,PATCH-01,APP-03,ACME\admin.ops,inventory.exe,53,allowed,69138,benign,routine network
NET-01442,2026-08-31T17:57:47Z,HR-WS-22,DC-01,ACME\kpatel,System,445,allowed,41600,benign,routine network
NET-00273,2026-08-31T18:00:26Z,MGMT-01,MGMT-01,ACME\jsmith,patch-agent.exe,5985,allowed,40286,benign,routine network
NET-00737,2026-08-31T18:04:13Z,APP-03,DC-01,ACME\kpatel,patch-agent.exe,53,allowed,23267,benign,routine network
NET-01363,2026-08-31T18:04:53Z,PATCH-01,DC-01,ACME\admin.ops,System,445,allowed,35526,benign,routine network
NET-00865,2026-08-31T18:05:20Z,HR-WS-22,MGMT-01,ACME\svc_patch,patch-agent.exe,5985,allowed,12701,benign,routine network
NET-00024,2026-08-31T18:06:21Z,FILE-02,JUMP-01,ACME\admin.ops,patch-agent.exe,443,allowed,57108,benign,routine network
NET-00632,2026-08-31T18:14:52Z,APP-03,APP-03,ACME\admin.ops,System,5985,allowed,69998,benign,routine network
NET-00285,2026-08-31T18:15:36Z,MGMT-01,MGMT-01,ACME\jsmith,powershell.exe,443,allowed,45623,benign,routine network
NET-01523,2026-08-31T18:16:38Z,APP-03,203.0.113.55,ACME\svc_patch,System,53,allowed,37655,benign,routine network
NET-01343,2026-08-31T18:19:25Z,PATCH-01,HR-WS-22,NT AUTHORITY\SYSTEM,System,5985,allowed,23143,benign,routine network
NET-01228,2026-08-31T18:20:17Z,FILE-02,FILE-02,ACME\kpatel,inventory.exe,443,allowed,67376,benign,routine network
NET-01311,2026-08-31T18:24:06Z,DC-01,APP-03,ACME\kpatel,patch-agent.exe,5985,allowed,9480,benign,routine network
NET-01611,2026-08-31T18:31:05Z,HR-WS-22,FILE-02,ACME\jsmith,System,53,allowed,59247,benign,routine network
NET-00571,2026-08-31T18:35:22Z,JUMP-01,JUMP-01,NT AUTHORITY\SYSTEM,System,53,allowed,46708,benign,routine network
NET-01775,2026-08-31T18:46:34Z,FILE-02,APP-03,ACME\admin.ops,inventory.exe,445,allowed,58712,benign,routine network
NET-01278,2026-08-31T18:47:31Z,DC-01,APP-03,ACME\admin.ops,System,5985,allowed,12351,benign,routine network
NET-01009,2026-08-31T18:52:22Z,PATCH-01,MGMT-01,ACME\svc_patch,System,443,allowed,71503,benign,routine network
NET-01074,2026-08-31T18:55:08Z,APP-03,MGMT-01,ACME\admin.ops,System,445,allowed,3479,benign,routine network
NET-00685,2026-08-31T18:56:55Z,HR-WS-22,JUMP-01,ACME\admin.ops,inventory.exe,5985,allowed,37483,benign,routine network
NET-01601,2026-08-31T19:00:05Z,MGMT-01,JUMP-01,NT AUTHORITY\SYSTEM,System,53,allowed,21042,benign,routine network
NET-00421,2026-08-31T19:02:35Z,HR-WS-22,DC-01,ACME\admin.ops,patch-agent.exe,445,allowed,28029,benign,routine network
NET-00692,2026-08-31T19:05:15Z,APP-03,JUMP-01,ACME\svc_patch,patch-agent.exe,443,allowed,14287,benign,routine network
NET-01786,2026-08-31T19:08:41Z,PATCH-01,DC-01,ACME\admin.ops,patch-agent.exe,443,allowed,30770,benign,routine network
NET-00950,2026-08-31T19:10:54Z,APP-03,203.0.113.55,ACME\kpatel,powershell.exe,5985,allowed,59433,benign,routine network
NET-01129,2026-08-31T19:20:55Z,APP-03,JUMP-01,NT AUTHORITY\SYSTEM,powershell.exe,5985,allowed,47805,benign,routine network
NET-00210,2026-08-31T19:22:24Z,DC-01,APP-03,ACME\admin.ops,System,445,allowed,5992,benign,routine network
NET-00188,2026-08-31T19:23:03Z,PATCH-01,FILE-02,ACME\jsmith,powershell.exe,53,allowed,22229,benign,routine network
NET-01305,2026-08-31T19:31:53Z,MGMT-01,MGMT-01,NT AUTHORITY\SYSTEM,inventory.exe,53,allowed,50810,benign,routine network
NET-01496,2026-08-31T19:35:05Z,APP-03,JUMP-01,ACME\svc_patch,inventory.exe,443,allowed,31107,benign,routine network
NET-00031,2026-08-31T19:35:15Z,DC-01,FILE-02,ACME\jsmith,inventory.exe,443,allowed,24870,benign,routine network
NET-00933,2026-08-31T19:39:05Z,MGMT-01,PATCH-01,NT AUTHORITY\SYSTEM,inventory.exe,5985,allowed,22706,benign,routine network
NET-01053,2026-08-31T19:41:49Z,FILE-02,JUMP-01,ACME\admin.ops,inventory.exe,445,allowed,58676,benign,routine network
NET-00740,2026-08-31T19:44:02Z,JUMP-01,APP-03,ACME\jsmith,powershell.exe,443,allowed,39558,benign,routine network
NET-00840,2026-08-31T19:49:01Z,PATCH-01,PATCH-01,ACME\svc_patch,powershell.exe,443,allowed,59328,benign,routine network
NET-00625,2026-08-31T19:53:20Z,DC-01,HR-WS-22,ACME\jsmith,powershell.exe,443,allowed,28344,benign,routine network
NET-01795,2026-08-31T19:55:22Z,JUMP-01,PATCH-01,ACME\svc_patch,inventory.exe,53,allowed,47223,benign,routine network
NET-01055,2026-08-31T19:56:50Z,APP-03,PATCH-01,ACME\jsmith,powershell.exe,53,allowed,47620,benign,routine network
NET-01021,2026-08-31T20:01:22Z,APP-03,FILE-02,ACME\jsmith,inventory.exe,445,allowed,18016,benign,routine network
NET-01197,2026-08-31T20:01:42Z,JUMP-01,DC-01,NT AUTHORITY\SYSTEM,inventory.exe,53,allowed,27710,benign,routine network
NET-00434,2026-08-31T20:07:51Z,JUMP-01,HR-WS-22,ACME\svc_patch,System,445,allowed,3314,benign,routine network
NET-01282,2026-08-31T20:31:10Z,DC-01,HR-WS-22,ACME\kpatel,powershell.exe,443,allowed,77399,benign,routine network
NET-01317,2026-08-31T20:34:21Z,JUMP-01,MGMT-01,ACME\kpatel,inventory.exe,445,allowed,1580,benign,routine network
NET-01218,2026-08-31T20:35:28Z,APP-03,HR-WS-22,NT AUTHORITY\SYSTEM,inventory.exe,53,allowed,51727,benign,routine network
NET-01774,2026-08-31T20:40:39Z,JUMP-01,PATCH-01,ACME\jsmith,inventory.exe,443,allowed,77253,benign,routine network
NET-00064,2026-08-31T20:46:08Z,MGMT-01,FILE-02,NT AUTHORITY\SYSTEM,inventory.exe,5985,allowed,71388,benign,routine network
NET-01514,2026-08-31T20:49:31Z,PATCH-01,HR-WS-22,ACME\svc_patch,inventory.exe,443,allowed,34282,benign,routine network
NET-01446,2026-08-31T20:50:17Z,JUMP-01,FILE-02,ACME\svc_patch,powershell.exe,443,allowed,47910,benign,routine network
NET-00136,2026-08-31T20:54:03Z,HR-WS-22,DC-01,ACME\svc_patch,System,445,allowed,40774,benign,routine network
NET-00873,2026-08-31T20:54:20Z,HR-WS-22,PATCH-01,ACME\admin.ops,System,443,allowed,37578,benign,routine network
NET-01231,2026-08-31T20:55:27Z,APP-03,DC-01,ACME\admin.ops,inventory.exe,443,allowed,67679,benign,routine network
NET-00803,2026-08-31T20:59:20Z,DC-01,HR-WS-22,NT AUTHORITY\SYSTEM,System,5985,allowed,6829,benign,routine network
NET-00419,2026-08-31T21:00:15Z,DC-01,DC-01,ACME\svc_patch,System,5985,allowed,11928,benign,routine network
NET-00546,2026-08-31T21:01:05Z,HR-WS-22,FILE-02,ACME\svc_patch,System,5985,allowed,58970,benign,routine network
NET-00628,2026-08-31T21:10:58Z,JUMP-01,PATCH-01,ACME\svc_patch,powershell.exe,5985,allowed,78783,benign,routine network
NET-01391,2026-08-31T21:13:36Z,DC-01,FILE-02,ACME\jsmith,inventory.exe,445,allowed,25987,benign,routine network
NET-01637,2026-08-31T21:24:24Z,APP-03,PATCH-01,ACME\admin.ops,patch-agent.exe,445,allowed,1666,benign,routine network
NET-01161,2026-08-31T21:25:28Z,FILE-02,JUMP-01,ACME\svc_patch,patch-agent.exe,5985,allowed,43507,benign,routine network
NET-00363,2026-08-31T21:28:49Z,HR-WS-22,JUMP-01,ACME\jsmith,powershell.exe,5985,allowed,61228,benign,routine network
NET-00470,2026-08-31T21:30:36Z,DC-01,DC-01,ACME\kpatel,powershell.exe,5985,allowed,6480,benign,routine network
NET-01767,2026-08-31T21:37:07Z,FILE-02,PATCH-01,ACME\svc_patch,powershell.exe,443,allowed,68900,benign,routine network
NET-00573,2026-08-31T21:38:52Z,HR-WS-22,FILE-02,ACME\svc_patch,System,445,allowed,64347,benign,routine network
NET-01194,2026-08-31T21:39:29Z,MGMT-01,DC-01,NT AUTHORITY\SYSTEM,patch-agent.exe,445,allowed,31960,benign,routine network
NET-01248,2026-08-31T21:42:36Z,FILE-02,HR-WS-22,NT AUTHORITY\SYSTEM,System,443,allowed,61144,benign,routine network
NET-01190,2026-08-31T21:45:22Z,HR-WS-22,203.0.113.55,ACME\kpatel,inventory.exe,5985,allowed,48658,benign,routine network
NET-01547,2026-08-31T21:45:42Z,FILE-02,FILE-02,ACME\admin.ops,powershell.exe,443,allowed,54776,benign,routine network
NET-00369,2026-08-31T21:52:33Z,FILE-02,APP-03,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,54679,benign,routine network
NET-00752,2026-08-31T21:59:14Z,HR-WS-22,203.0.113.55,ACME\kpatel,System,53,allowed,62244,benign,routine network
NET-01447,2026-08-31T21:59:24Z,FILE-02,FILE-02,ACME\admin.ops,inventory.exe,445,allowed,28931,benign,routine network
NET-01110,2026-08-31T22:03:02Z,HR-WS-22,JUMP-01,ACME\admin.ops,System,445,allowed,9810,benign,routine network
NET-00484,2026-08-31T22:04:45Z,JUMP-01,FILE-02,ACME\svc_patch,patch-agent.exe,445,allowed,31400,benign,routine network
NET-01516,2026-08-31T22:08:47Z,PATCH-01,DC-01,ACME\jsmith,patch-agent.exe,53,allowed,49845,benign,routine network
NET-01604,2026-08-31T22:08:58Z,DC-01,MGMT-01,ACME\admin.ops,patch-agent.exe,5985,allowed,54999,benign,routine network
NET-00983,2026-08-31T22:09:09Z,PATCH-01,MGMT-01,ACME\svc_patch,System,53,allowed,50765,benign,routine network
NET-00587,2026-08-31T22:12:30Z,DC-01,FILE-02,NT AUTHORITY\SYSTEM,System,443,allowed,7680,benign,routine network
NET-00804,2026-08-31T22:12:57Z,JUMP-01,JUMP-01,ACME\admin.ops,inventory.exe,5985,allowed,28319,benign,routine network
NET-01475,2026-08-31T22:19:36Z,DC-01,PATCH-01,ACME\jsmith,inventory.exe,445,allowed,43365,benign,routine network
NET-01220,2026-08-31T22:24:03Z,FILE-02,203.0.113.55,ACME\svc_patch,inventory.exe,5985,allowed,14470,benign,routine network
NET-00349,2026-08-31T22:28:54Z,JUMP-01,APP-03,ACME\jsmith,System,445,allowed,72005,benign,routine network
NET-01609,2026-08-31T22:29:08Z,APP-03,FILE-02,ACME\kpatel,inventory.exe,5985,allowed,5467,benign,routine network
NET-00811,2026-08-31T22:32:15Z,DC-01,MGMT-01,ACME\kpatel,inventory.exe,445,allowed,17486,benign,routine network
NET-01610,2026-08-31T22:34:34Z,MGMT-01,MGMT-01,ACME\svc_patch,inventory.exe,443,allowed,34072,benign,routine network
NET-00588,2026-08-31T22:36:23Z,JUMP-01,APP-03,ACME\kpatel,patch-agent.exe,445,allowed,70492,benign,routine network
NET-01749,2026-08-31T22:42:44Z,APP-03,JUMP-01,NT AUTHORITY\SYSTEM,inventory.exe,5985,allowed,62405,benign,routine network
NET-01520,2026-08-31T22:43:48Z,JUMP-01,DC-01,ACME\kpatel,inventory.exe,445,allowed,41840,benign,routine network
NET-00613,2026-08-31T22:44:47Z,APP-03,FILE-02,ACME\admin.ops,inventory.exe,443,allowed,41408,benign,routine network
NET-00746,2026-08-31T22:49:43Z,PATCH-01,PATCH-01,ACME\kpatel,inventory.exe,5985,allowed,52418,benign,routine network
NET-00912,2026-08-31T22:55:48Z,DC-01,MGMT-01,ACME\admin.ops,inventory.exe,5985,allowed,56008,benign,routine network
NET-01017,2026-08-31T22:56:03Z,PATCH-01,203.0.113.55,ACME\kpatel,inventory.exe,5985,allowed,32547,benign,routine network
NET-00964,2026-08-31T23:04:46Z,MGMT-01,PATCH-01,ACME\admin.ops,System,445,allowed,538,benign,routine network
NET-01687,2026-08-31T23:08:32Z,JUMP-01,203.0.113.55,ACME\admin.ops,powershell.exe,445,allowed,73036,benign,routine network
NET-00981,2026-08-31T23:13:09Z,FILE-02,MGMT-01,ACME\kpatel,inventory.exe,53,allowed,41515,benign,routine network
NET-00892,2026-08-31T23:16:25Z,PATCH-01,HR-WS-22,ACME\svc_patch,System,53,allowed,53094,benign,routine network
NET-00309,2026-08-31T23:19:16Z,DC-01,APP-03,ACME\kpatel,System,53,allowed,68424,benign,routine network
NET-01510,2026-08-31T23:25:58Z,APP-03,JUMP-01,ACME\svc_patch,System,443,allowed,10474,benign,routine network
NET-00372,2026-08-31T23:28:13Z,HR-WS-22,HR-WS-22,NT AUTHORITY\SYSTEM,powershell.exe,445,allowed,73445,benign,routine network
NET-00687,2026-08-31T23:31:31Z,APP-03,MGMT-01,NT AUTHORITY\SYSTEM,inventory.exe,445,allowed,63553,benign,routine network
NET-00745,2026-08-31T23:32:04Z,MGMT-01,DC-01,ACME\admin.ops,System,53,allowed,73980,benign,routine network
NET-01189,2026-08-31T23:34:08Z,DC-01,APP-03,ACME\svc_patch,System,5985,allowed,64810,benign,routine network
NET-01655,2026-08-31T23:34:21Z,HR-WS-22,PATCH-01,NT AUTHORITY\SYSTEM,inventory.exe,443,allowed,59430,benign,routine network
NET-01015,2026-08-31T23:42:44Z,FILE-02,PATCH-01,ACME\kpatel,System,5985,allowed,45848,benign,routine network
NET-00904,2026-08-31T23:44:28Z,HR-WS-22,PATCH-01,NT AUTHORITY\SYSTEM,inventory.exe,445,allowed,12925,benign,routine network
NET-01043,2026-08-31T23:55:32Z,FILE-02,JUMP-01,ACME\svc_patch,patch-agent.exe,443,allowed,28833,benign,routine network
NET-01052,2026-08-31T23:56:31Z,PATCH-01,JUMP-01,ACME\kpatel,inventory.exe,53,allowed,10871,benign,routine network
NET-01304,2026-08-31T23:59:52Z,FILE-02,JUMP-01,ACME\jsmith,inventory.exe,5985,allowed,63852,benign,routine network
NET-01738,2026-09-01T00:08:17Z,DC-01,HR-WS-22,ACME\kpatel,patch-agent.exe,53,allowed,11094,benign,routine network
NET-00008,2026-09-01T00:09:53Z,FILE-02,FILE-02,ACME\kpatel,System,53,allowed,22430,benign,routine network
NET-01608,2026-09-01T00:15:59Z,HR-WS-22,APP-03,NT AUTHORITY\SYSTEM,inventory.exe,443,allowed,13974,benign,routine network
NET-00172,2026-09-01T00:17:15Z,FILE-02,MGMT-01,ACME\admin.ops,powershell.exe,443,allowed,57723,benign,routine network
NET-00135,2026-09-01T00:18:11Z,PATCH-01,MGMT-01,NT AUTHORITY\SYSTEM,patch-agent.exe,445,allowed,22825,benign,routine network
NET-01551,2026-09-01T00:20:40Z,JUMP-01,HR-WS-22,ACME\svc_patch,System,5985,allowed,74819,benign,routine network
NET-01177,2026-09-01T00:22:01Z,HR-WS-22,MGMT-01,ACME\jsmith,powershell.exe,443,allowed,8016,benign,routine network
NET-00280,2026-09-01T00:28:03Z,FILE-02,PATCH-01,ACME\svc_patch,System,443,allowed,31799,benign,routine network
NET-00080,2026-09-01T00:29:39Z,APP-03,HR-WS-22,ACME\svc_patch,patch-agent.exe,445,allowed,73918,benign,routine network
NET-00417,2026-09-01T00:30:20Z,MGMT-01,MGMT-01,ACME\admin.ops,System,445,allowed,31618,benign,routine network
NET-00084,2026-09-01T00:34:21Z,JUMP-01,JUMP-01,ACME\svc_patch,patch-agent.exe,53,allowed,40228,benign,routine network
NET-00479,2026-09-01T00:34:27Z,PATCH-01,JUMP-01,ACME\kpatel,patch-agent.exe,445,allowed,66346,benign,routine network
NET-00489,2026-09-01T00:38:48Z,FILE-02,APP-03,ACME\jsmith,System,53,allowed,68271,benign,routine network
NET-00862,2026-09-01T00:39:05Z,FILE-02,FILE-02,ACME\kpatel,patch-agent.exe,53,allowed,41192,benign,routine network
NET-01156,2026-09-01T00:40:48Z,APP-03,APP-03,ACME\jsmith,patch-agent.exe,443,allowed,71236,benign,routine network
NET-00991,2026-09-01T00:41:59Z,PATCH-01,HR-WS-22,ACME\admin.ops,inventory.exe,445,allowed,42172,benign,routine network
NET-01295,2026-09-01T00:45:39Z,JUMP-01,203.0.113.55,ACME\kpatel,patch-agent.exe,443,allowed,58379,benign,routine network
NET-01564,2026-09-01T00:50:41Z,DC-01,HR-WS-22,NT AUTHORITY\SYSTEM,inventory.exe,443,allowed,56822,benign,routine network
NET-01232,2026-09-01T01:01:20Z,PATCH-01,JUMP-01,ACME\admin.ops,System,53,allowed,49465,benign,routine network
NET-00940,2026-09-01T01:01:48Z,MGMT-01,203.0.113.55,NT AUTHORITY\SYSTEM,System,443,allowed,62851,benign,routine network
