event_id,_time,host,user,parent_process_name,process_name,process_id,command_line,classification,note
PROC-INC-001,2026-08-11T15:18:00Z,FIN-WS-14,ACME\mrivera,powershell.exe,rundll32.exe,7712,"rundll32.exe C:\ProgramData\Cache\stage.dll,Start",malicious,known compromised source host
PROC-00352,2026-08-11T15:24:26Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,msiexec.exe,8353,routine process,benign,routine process
PROC-00139,2026-08-11T15:24:54Z,APP-API-02,NT AUTHORITY\SYSTEM,services.exe,backup-agent.exe,8677,routine process,benign,routine process
PROC-CTX-001,2026-08-11T15:25:05Z,APP-API-02,ACME\svc_deploy,wsmprovhost.exe,powershell.exe,9140,powershell.exe -File C:\Deploy\Install-Agent.ps1,benign,approved deployment
PROC-00350,2026-08-11T15:25:51Z,FILE-02,ACME\mrivera,explorer.exe,powershell.exe,5102,routine process,benign,routine process
PROC-CTX-002,2026-08-11T15:26:00Z,APP-API-03,NT AUTHORITY\SYSTEM,services.exe,w3wp.exe,5104,w3wp.exe -ap API3,benign,normal app process
PROC-CTX-003,2026-08-11T15:27:00Z,APP-API-02,NT AUTHORITY\SYSTEM,services.exe,backup-agent.exe,5220,backup-agent.exe --inventory,benign,scheduled backup
PROC-RESP-001,2026-08-11T15:35:30Z,APP-API-02,ACME\jsmith,explorer.exe,cmd.exe,9320,cmd.exe /c whoami && netstat -ano,response,responder triage
PROC-01249,2026-08-11T15:55:19Z,FIN-WS-14,NT AUTHORITY\SYSTEM,wsmprovhost.exe,backup-agent.exe,2737,routine process,benign,routine process
PROC-01059,2026-08-11T16:01:35Z,APP-API-03,ACME\jsmith,services.exe,msiexec.exe,10921,routine process,benign,routine process
PROC-00617,2026-08-11T16:06:11Z,FIN-WS-14,ACME\svc_backup,wsmprovhost.exe,msiexec.exe,9666,routine process,benign,routine process
PROC-00954,2026-08-11T16:15:20Z,FILE-02,ACME\svc_deploy,explorer.exe,msiexec.exe,2676,routine process,benign,routine process
PROC-01138,2026-08-11T16:20:05Z,JUMP-01,ACME\jsmith,taskeng.exe,powershell.exe,14944,routine process,benign,routine process
PROC-00172,2026-08-11T16:22:10Z,DEPLOY-01,NT AUTHORITY\SYSTEM,services.exe,w3wp.exe,5459,routine process,benign,routine process
PROC-00805,2026-08-11T16:27:09Z,FILE-02,ACME\mrivera,wsmprovhost.exe,powershell.exe,8830,routine process,benign,routine process
PROC-01179,2026-08-11T16:44:56Z,FIN-WS-14,ACME\svc_deploy,services.exe,backup-agent.exe,6819,routine process,benign,routine process
PROC-01036,2026-08-11T16:48:39Z,APP-API-03,ACME\jsmith,services.exe,msiexec.exe,11376,routine process,benign,routine process
PROC-00160,2026-08-11T16:53:28Z,JUMP-01,ACME\svc_backup,services.exe,w3wp.exe,3915,routine process,benign,routine process
PROC-01328,2026-08-11T16:57:09Z,DEPLOY-01,ACME\mrivera,wsmprovhost.exe,powershell.exe,3344,routine process,benign,routine process
PROC-00309,2026-08-11T17:01:20Z,FIN-WS-14,ACME\mrivera,taskeng.exe,powershell.exe,5579,routine process,benign,routine process
PROC-00530,2026-08-11T17:08:50Z,DEPLOY-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,14334,routine process,benign,routine process
PROC-01257,2026-08-11T17:19:53Z,APP-API-02,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,14481,routine process,benign,routine process
PROC-01137,2026-08-11T17:20:38Z,JUMP-01,ACME\svc_deploy,services.exe,w3wp.exe,10114,routine process,benign,routine process
PROC-00693,2026-08-11T17:27:04Z,DEPLOY-01,ACME\svc_backup,explorer.exe,msiexec.exe,12315,routine process,benign,routine process
PROC-01484,2026-08-11T17:30:15Z,APP-API-02,ACME\mrivera,services.exe,powershell.exe,10801,routine process,benign,routine process
PROC-00864,2026-08-11T17:30:28Z,FIN-WS-14,ACME\mrivera,taskeng.exe,powershell.exe,7334,routine process,benign,routine process
PROC-01022,2026-08-11T17:37:53Z,FIN-WS-14,ACME\svc_backup,services.exe,msiexec.exe,8211,routine process,benign,routine process
PROC-01067,2026-08-11T17:39:51Z,FIN-WS-14,ACME\svc_backup,wsmprovhost.exe,backup-agent.exe,5221,routine process,benign,routine process
PROC-00980,2026-08-11T17:41:08Z,FIN-WS-14,ACME\jsmith,explorer.exe,backup-agent.exe,8870,routine process,benign,routine process
PROC-00104,2026-08-11T17:58:38Z,APP-API-02,ACME\mrivera,wsmprovhost.exe,backup-agent.exe,3471,routine process,benign,routine process
PROC-00131,2026-08-11T18:14:20Z,APP-API-02,ACME\jsmith,explorer.exe,msiexec.exe,10713,routine process,benign,routine process
PROC-01066,2026-08-11T18:19:42Z,JUMP-01,ACME\svc_deploy,taskeng.exe,w3wp.exe,10733,routine process,benign,routine process
PROC-00337,2026-08-11T18:19:51Z,FIN-WS-14,ACME\svc_deploy,explorer.exe,powershell.exe,14930,routine process,benign,routine process
PROC-01477,2026-08-11T18:22:29Z,FIN-WS-14,ACME\jsmith,wsmprovhost.exe,msiexec.exe,11022,routine process,benign,routine process
PROC-01246,2026-08-11T18:22:45Z,FILE-02,ACME\svc_deploy,taskeng.exe,msiexec.exe,2718,routine process,benign,routine process
PROC-00466,2026-08-11T18:30:00Z,APP-API-02,NT AUTHORITY\SYSTEM,wsmprovhost.exe,powershell.exe,6133,routine process,benign,routine process
PROC-01106,2026-08-11T18:32:02Z,APP-API-02,ACME\jsmith,wsmprovhost.exe,backup-agent.exe,7985,routine process,benign,routine process
PROC-00177,2026-08-11T18:34:25Z,APP-API-02,ACME\svc_deploy,explorer.exe,powershell.exe,9495,routine process,benign,routine process
PROC-00688,2026-08-11T18:35:16Z,APP-API-02,ACME\jsmith,services.exe,powershell.exe,1314,routine process,benign,routine process
PROC-00227,2026-08-11T18:42:09Z,JUMP-01,ACME\mrivera,services.exe,msiexec.exe,4342,routine process,benign,routine process
PROC-00646,2026-08-11T18:42:10Z,APP-API-02,ACME\svc_deploy,explorer.exe,msiexec.exe,6862,routine process,benign,routine process
PROC-00870,2026-08-11T18:47:47Z,APP-API-03,ACME\jsmith,services.exe,msiexec.exe,3294,routine process,benign,routine process
PROC-00765,2026-08-11T18:48:24Z,FIN-WS-14,ACME\svc_deploy,taskeng.exe,backup-agent.exe,3120,routine process,benign,routine process
PROC-00140,2026-08-11T18:54:03Z,FILE-02,NT AUTHORITY\SYSTEM,explorer.exe,w3wp.exe,14226,routine process,benign,routine process
PROC-00525,2026-08-11T18:58:06Z,JUMP-01,ACME\svc_deploy,taskeng.exe,powershell.exe,3605,routine process,benign,routine process
PROC-00604,2026-08-11T19:00:33Z,APP-API-02,ACME\svc_deploy,taskeng.exe,backup-agent.exe,13645,routine process,benign,routine process
PROC-00028,2026-08-11T19:14:52Z,JUMP-01,NT AUTHORITY\SYSTEM,services.exe,msiexec.exe,7104,routine process,benign,routine process
PROC-01252,2026-08-11T19:24:47Z,JUMP-01,ACME\svc_backup,wsmprovhost.exe,w3wp.exe,8231,routine process,benign,routine process
PROC-00469,2026-08-11T19:24:50Z,APP-API-03,ACME\jsmith,explorer.exe,powershell.exe,3330,routine process,benign,routine process
PROC-00549,2026-08-11T19:26:25Z,JUMP-01,ACME\svc_backup,explorer.exe,w3wp.exe,10567,routine process,benign,routine process
PROC-00793,2026-08-11T19:33:11Z,FIN-WS-14,ACME\svc_deploy,taskeng.exe,powershell.exe,11963,routine process,benign,routine process
PROC-00224,2026-08-11T19:38:33Z,JUMP-01,ACME\mrivera,wsmprovhost.exe,w3wp.exe,13782,routine process,benign,routine process
PROC-01344,2026-08-11T19:38:40Z,APP-API-03,ACME\svc_deploy,explorer.exe,w3wp.exe,13127,routine process,benign,routine process
PROC-01004,2026-08-11T19:47:12Z,FIN-WS-14,ACME\svc_backup,wsmprovhost.exe,msiexec.exe,13985,routine process,benign,routine process
PROC-00918,2026-08-11T20:06:12Z,DEPLOY-01,ACME\svc_backup,services.exe,msiexec.exe,8718,routine process,benign,routine process
PROC-00010,2026-08-11T20:25:38Z,FIN-WS-14,ACME\mrivera,services.exe,msiexec.exe,3862,routine process,benign,routine process
PROC-01367,2026-08-11T20:26:24Z,JUMP-01,ACME\jsmith,services.exe,w3wp.exe,1008,routine process,benign,routine process
PROC-00394,2026-08-11T20:30:00Z,FILE-02,NT AUTHORITY\SYSTEM,wsmprovhost.exe,backup-agent.exe,3983,routine process,benign,routine process
PROC-00335,2026-08-11T20:30:07Z,JUMP-01,ACME\svc_backup,taskeng.exe,msiexec.exe,1840,routine process,benign,routine process
PROC-01095,2026-08-11T20:34:10Z,APP-API-03,ACME\svc_deploy,wsmprovhost.exe,backup-agent.exe,13206,routine process,benign,routine process
PROC-01163,2026-08-11T20:36:56Z,APP-API-02,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,3203,routine process,benign,routine process
PROC-00522,2026-08-11T20:37:18Z,DEPLOY-01,ACME\svc_backup,explorer.exe,w3wp.exe,13679,routine process,benign,routine process
PROC-00616,2026-08-11T20:47:26Z,FILE-02,ACME\svc_backup,services.exe,w3wp.exe,1390,routine process,benign,routine process
PROC-01222,2026-08-11T20:50:01Z,APP-API-03,ACME\jsmith,wsmprovhost.exe,msiexec.exe,12701,routine process,benign,routine process
PROC-00006,2026-08-11T20:51:00Z,FIN-WS-14,ACME\jsmith,explorer.exe,msiexec.exe,2462,routine process,benign,routine process
PROC-00443,2026-08-11T20:59:48Z,APP-API-03,ACME\svc_backup,taskeng.exe,w3wp.exe,4073,routine process,benign,routine process
PROC-00446,2026-08-11T21:02:50Z,DEPLOY-01,ACME\svc_deploy,taskeng.exe,msiexec.exe,3914,routine process,benign,routine process
PROC-00777,2026-08-11T21:09:10Z,APP-API-03,ACME\mrivera,wsmprovhost.exe,w3wp.exe,6162,routine process,benign,routine process
PROC-00458,2026-08-11T21:17:45Z,FIN-WS-14,ACME\jsmith,taskeng.exe,msiexec.exe,6075,routine process,benign,routine process
PROC-01320,2026-08-11T21:21:25Z,APP-API-02,ACME\svc_backup,explorer.exe,powershell.exe,11910,routine process,benign,routine process
PROC-01007,2026-08-11T21:21:51Z,APP-API-03,ACME\mrivera,wsmprovhost.exe,backup-agent.exe,11609,routine process,benign,routine process
PROC-00445,2026-08-11T21:30:17Z,FIN-WS-14,ACME\svc_backup,wsmprovhost.exe,w3wp.exe,9239,routine process,benign,routine process
PROC-00823,2026-08-11T21:31:05Z,DEPLOY-01,ACME\svc_deploy,explorer.exe,w3wp.exe,6793,routine process,benign,routine process
PROC-01177,2026-08-11T21:35:28Z,DEPLOY-01,ACME\svc_deploy,wsmprovhost.exe,w3wp.exe,3587,routine process,benign,routine process
PROC-01198,2026-08-11T21:37:31Z,FILE-02,NT AUTHORITY\SYSTEM,explorer.exe,backup-agent.exe,2379,routine process,benign,routine process
PROC-00956,2026-08-11T21:46:32Z,APP-API-02,ACME\mrivera,explorer.exe,powershell.exe,6482,routine process,benign,routine process
PROC-01407,2026-08-11T21:46:42Z,APP-API-03,NT AUTHORITY\SYSTEM,taskeng.exe,msiexec.exe,11305,routine process,benign,routine process
PROC-01306,2026-08-11T21:50:58Z,APP-API-02,ACME\svc_backup,explorer.exe,powershell.exe,9443,routine process,benign,routine process
PROC-00226,2026-08-11T22:05:32Z,APP-API-02,ACME\svc_backup,taskeng.exe,msiexec.exe,10705,routine process,benign,routine process
PROC-00873,2026-08-11T22:11:45Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,powershell.exe,4420,routine process,benign,routine process
PROC-00520,2026-08-11T22:12:45Z,DEPLOY-01,ACME\svc_backup,taskeng.exe,w3wp.exe,3519,routine process,benign,routine process
PROC-00605,2026-08-11T22:14:31Z,APP-API-02,ACME\jsmith,wsmprovhost.exe,msiexec.exe,12813,routine process,benign,routine process
PROC-01185,2026-08-11T22:16:31Z,APP-API-03,NT AUTHORITY\SYSTEM,taskeng.exe,msiexec.exe,7780,routine process,benign,routine process
PROC-00782,2026-08-11T22:19:53Z,APP-API-03,ACME\mrivera,explorer.exe,msiexec.exe,12323,routine process,benign,routine process
PROC-01247,2026-08-11T22:22:43Z,APP-API-03,ACME\svc_deploy,taskeng.exe,powershell.exe,5078,routine process,benign,routine process
PROC-00288,2026-08-11T22:26:47Z,FIN-WS-14,ACME\svc_deploy,explorer.exe,w3wp.exe,13274,routine process,benign,routine process
PROC-01317,2026-08-11T22:50:55Z,FIN-WS-14,ACME\svc_deploy,taskeng.exe,backup-agent.exe,6971,routine process,benign,routine process
PROC-00249,2026-08-11T22:57:59Z,JUMP-01,ACME\svc_deploy,taskeng.exe,backup-agent.exe,13404,routine process,benign,routine process
PROC-01226,2026-08-11T23:07:14Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,w3wp.exe,13539,routine process,benign,routine process
PROC-00294,2026-08-11T23:07:49Z,FIN-WS-14,ACME\svc_backup,services.exe,powershell.exe,2567,routine process,benign,routine process
PROC-00975,2026-08-11T23:10:48Z,DEPLOY-01,NT AUTHORITY\SYSTEM,taskeng.exe,msiexec.exe,9973,routine process,benign,routine process
PROC-00736,2026-08-11T23:13:05Z,FILE-02,ACME\mrivera,explorer.exe,w3wp.exe,6706,routine process,benign,routine process
PROC-00263,2026-08-11T23:16:36Z,FILE-02,ACME\mrivera,services.exe,powershell.exe,6558,routine process,benign,routine process
PROC-00109,2026-08-11T23:19:04Z,DEPLOY-01,ACME\mrivera,taskeng.exe,w3wp.exe,5327,routine process,benign,routine process
PROC-01054,2026-08-11T23:20:25Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,backup-agent.exe,6443,routine process,benign,routine process
PROC-01347,2026-08-11T23:24:37Z,FILE-02,ACME\svc_backup,taskeng.exe,powershell.exe,6158,routine process,benign,routine process
PROC-00874,2026-08-11T23:28:09Z,APP-API-02,ACME\jsmith,taskeng.exe,w3wp.exe,12340,routine process,benign,routine process
PROC-00555,2026-08-11T23:38:47Z,APP-API-02,ACME\svc_deploy,explorer.exe,msiexec.exe,13789,routine process,benign,routine process
PROC-00865,2026-08-11T23:45:57Z,APP-API-03,ACME\jsmith,taskeng.exe,msiexec.exe,13479,routine process,benign,routine process
PROC-00863,2026-08-11T23:49:15Z,FIN-WS-14,ACME\mrivera,wsmprovhost.exe,msiexec.exe,2854,routine process,benign,routine process
PROC-01169,2026-08-11T23:50:22Z,FIN-WS-14,ACME\svc_backup,services.exe,powershell.exe,4832,routine process,benign,routine process
PROC-00516,2026-08-12T00:24:50Z,JUMP-01,ACME\mrivera,explorer.exe,powershell.exe,13202,routine process,benign,routine process
PROC-01180,2026-08-12T00:25:19Z,FIN-WS-14,NT AUTHORITY\SYSTEM,services.exe,w3wp.exe,10797,routine process,benign,routine process
PROC-00151,2026-08-12T00:26:29Z,JUMP-01,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,4564,routine process,benign,routine process
PROC-01109,2026-08-12T00:34:30Z,APP-API-03,ACME\svc_deploy,services.exe,powershell.exe,10840,routine process,benign,routine process
PROC-00958,2026-08-12T00:42:06Z,FILE-02,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,4873,routine process,benign,routine process
PROC-00631,2026-08-12T00:42:42Z,FILE-02,ACME\svc_deploy,wsmprovhost.exe,backup-agent.exe,1306,routine process,benign,routine process
PROC-00312,2026-08-12T00:47:37Z,APP-API-03,ACME\svc_deploy,wsmprovhost.exe,w3wp.exe,5889,routine process,benign,routine process
PROC-01274,2026-08-12T00:48:09Z,APP-API-03,ACME\jsmith,services.exe,msiexec.exe,11766,routine process,benign,routine process
PROC-00999,2026-08-12T00:49:53Z,APP-API-02,ACME\svc_deploy,services.exe,powershell.exe,13169,routine process,benign,routine process
PROC-00914,2026-08-12T00:50:44Z,APP-API-03,ACME\mrivera,explorer.exe,backup-agent.exe,4787,routine process,benign,routine process
PROC-01362,2026-08-12T00:57:26Z,DEPLOY-01,ACME\mrivera,explorer.exe,powershell.exe,8510,routine process,benign,routine process
PROC-01425,2026-08-12T01:01:33Z,FILE-02,ACME\jsmith,wsmprovhost.exe,backup-agent.exe,3258,routine process,benign,routine process
PROC-01124,2026-08-12T01:08:49Z,APP-API-03,ACME\jsmith,wsmprovhost.exe,msiexec.exe,13392,routine process,benign,routine process
PROC-00654,2026-08-12T01:11:50Z,FILE-02,NT AUTHORITY\SYSTEM,services.exe,w3wp.exe,1418,routine process,benign,routine process
PROC-01127,2026-08-12T01:17:59Z,APP-API-02,ACME\svc_backup,services.exe,backup-agent.exe,6874,routine process,benign,routine process
PROC-00794,2026-08-12T01:22:18Z,DEPLOY-01,ACME\mrivera,services.exe,powershell.exe,14333,routine process,benign,routine process
PROC-01485,2026-08-12T01:25:42Z,JUMP-01,ACME\svc_deploy,wsmprovhost.exe,w3wp.exe,11578,routine process,benign,routine process
PROC-00018,2026-08-12T01:28:48Z,APP-API-03,ACME\mrivera,taskeng.exe,powershell.exe,12719,routine process,benign,routine process
PROC-01402,2026-08-12T01:29:40Z,FILE-02,ACME\jsmith,explorer.exe,msiexec.exe,5559,routine process,benign,routine process
PROC-00953,2026-08-12T01:35:26Z,DEPLOY-01,ACME\svc_backup,services.exe,powershell.exe,10944,routine process,benign,routine process
PROC-00491,2026-08-12T01:38:42Z,FIN-WS-14,ACME\svc_backup,wsmprovhost.exe,w3wp.exe,14854,routine process,benign,routine process
PROC-01091,2026-08-12T01:38:46Z,APP-API-02,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,11657,routine process,benign,routine process
PROC-01265,2026-08-12T01:45:18Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,msiexec.exe,6401,routine process,benign,routine process
PROC-01456,2026-08-12T01:46:32Z,DEPLOY-01,ACME\jsmith,services.exe,powershell.exe,7184,routine process,benign,routine process
PROC-01217,2026-08-12T02:00:33Z,FILE-02,NT AUTHORITY\SYSTEM,services.exe,msiexec.exe,1859,routine process,benign,routine process
PROC-00250,2026-08-12T02:02:57Z,DEPLOY-01,ACME\svc_deploy,explorer.exe,msiexec.exe,4175,routine process,benign,routine process
PROC-00811,2026-08-12T02:08:37Z,JUMP-01,ACME\svc_backup,explorer.exe,w3wp.exe,14965,routine process,benign,routine process
PROC-01232,2026-08-12T02:28:49Z,APP-API-03,ACME\svc_backup,taskeng.exe,backup-agent.exe,14373,routine process,benign,routine process
PROC-00296,2026-08-12T02:34:09Z,APP-API-03,ACME\mrivera,services.exe,powershell.exe,1083,routine process,benign,routine process
PROC-00247,2026-08-12T02:41:13Z,APP-API-03,ACME\jsmith,taskeng.exe,w3wp.exe,12120,routine process,benign,routine process
PROC-00676,2026-08-12T02:45:26Z,FILE-02,ACME\svc_backup,taskeng.exe,powershell.exe,8745,routine process,benign,routine process
PROC-00532,2026-08-12T02:45:56Z,DEPLOY-01,ACME\jsmith,explorer.exe,powershell.exe,12328,routine process,benign,routine process
PROC-00860,2026-08-12T02:46:23Z,FIN-WS-14,ACME\svc_deploy,explorer.exe,msiexec.exe,2581,routine process,benign,routine process
PROC-00488,2026-08-12T02:49:22Z,JUMP-01,ACME\jsmith,services.exe,w3wp.exe,9260,routine process,benign,routine process
PROC-00608,2026-08-12T02:50:03Z,DEPLOY-01,ACME\mrivera,taskeng.exe,w3wp.exe,5161,routine process,benign,routine process
PROC-00437,2026-08-12T02:52:51Z,FILE-02,NT AUTHORITY\SYSTEM,wsmprovhost.exe,w3wp.exe,6806,routine process,benign,routine process
PROC-00567,2026-08-12T02:53:35Z,APP-API-03,ACME\svc_backup,services.exe,w3wp.exe,4461,routine process,benign,routine process
PROC-00084,2026-08-12T02:56:58Z,FILE-02,ACME\jsmith,taskeng.exe,msiexec.exe,1556,routine process,benign,routine process
PROC-00941,2026-08-12T03:01:33Z,FILE-02,ACME\mrivera,services.exe,powershell.exe,4887,routine process,benign,routine process
PROC-00041,2026-08-12T03:15:22Z,FIN-WS-14,ACME\jsmith,explorer.exe,msiexec.exe,11347,routine process,benign,routine process
PROC-00566,2026-08-12T03:19:24Z,APP-API-02,ACME\svc_deploy,wsmprovhost.exe,msiexec.exe,12164,routine process,benign,routine process
PROC-00678,2026-08-12T03:22:14Z,APP-API-02,ACME\svc_backup,wsmprovhost.exe,w3wp.exe,9773,routine process,benign,routine process
PROC-00324,2026-08-12T03:28:40Z,JUMP-01,ACME\jsmith,taskeng.exe,powershell.exe,13754,routine process,benign,routine process
PROC-00720,2026-08-12T03:32:40Z,FILE-02,ACME\mrivera,wsmprovhost.exe,powershell.exe,11607,routine process,benign,routine process
PROC-01443,2026-08-12T03:32:51Z,APP-API-02,ACME\svc_deploy,explorer.exe,powershell.exe,8081,routine process,benign,routine process
PROC-00623,2026-08-12T03:33:09Z,FIN-WS-14,ACME\jsmith,wsmprovhost.exe,w3wp.exe,13255,routine process,benign,routine process
PROC-00091,2026-08-12T03:36:32Z,APP-API-03,ACME\mrivera,services.exe,msiexec.exe,4764,routine process,benign,routine process
PROC-00430,2026-08-12T03:42:05Z,APP-API-03,ACME\svc_deploy,wsmprovhost.exe,backup-agent.exe,4859,routine process,benign,routine process
PROC-00704,2026-08-12T03:43:14Z,APP-API-03,ACME\svc_backup,explorer.exe,msiexec.exe,8610,routine process,benign,routine process
PROC-00110,2026-08-12T03:46:06Z,JUMP-01,ACME\svc_backup,wsmprovhost.exe,msiexec.exe,12749,routine process,benign,routine process
PROC-00063,2026-08-12T03:52:24Z,APP-API-03,ACME\mrivera,taskeng.exe,backup-agent.exe,6469,routine process,benign,routine process
PROC-00535,2026-08-12T04:05:58Z,DEPLOY-01,ACME\svc_backup,explorer.exe,msiexec.exe,4832,routine process,benign,routine process
PROC-00830,2026-08-12T04:20:11Z,APP-API-03,ACME\mrivera,explorer.exe,msiexec.exe,1890,routine process,benign,routine process
PROC-00747,2026-08-12T04:21:09Z,APP-API-03,NT AUTHORITY\SYSTEM,services.exe,msiexec.exe,8966,routine process,benign,routine process
PROC-00929,2026-08-12T04:23:06Z,APP-API-03,ACME\jsmith,taskeng.exe,powershell.exe,6852,routine process,benign,routine process
PROC-01150,2026-08-12T04:41:29Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,msiexec.exe,7932,routine process,benign,routine process
PROC-01427,2026-08-12T04:42:09Z,APP-API-03,NT AUTHORITY\SYSTEM,explorer.exe,powershell.exe,7502,routine process,benign,routine process
PROC-00043,2026-08-12T04:42:20Z,APP-API-02,ACME\jsmith,taskeng.exe,backup-agent.exe,4573,routine process,benign,routine process
PROC-01285,2026-08-12T04:44:46Z,FILE-02,NT AUTHORITY\SYSTEM,wsmprovhost.exe,msiexec.exe,12631,routine process,benign,routine process
PROC-00810,2026-08-12T04:46:09Z,APP-API-03,NT AUTHORITY\SYSTEM,wsmprovhost.exe,powershell.exe,7851,routine process,benign,routine process
PROC-00081,2026-08-12T04:47:20Z,FILE-02,ACME\jsmith,services.exe,w3wp.exe,8130,routine process,benign,routine process
PROC-01075,2026-08-12T04:51:27Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,powershell.exe,12311,routine process,benign,routine process
PROC-00879,2026-08-12T04:54:38Z,JUMP-01,ACME\svc_deploy,services.exe,msiexec.exe,14909,routine process,benign,routine process
PROC-00653,2026-08-12T04:56:53Z,APP-API-03,ACME\jsmith,wsmprovhost.exe,w3wp.exe,5254,routine process,benign,routine process
PROC-00119,2026-08-12T04:59:20Z,FIN-WS-14,NT AUTHORITY\SYSTEM,services.exe,msiexec.exe,8065,routine process,benign,routine process
PROC-00423,2026-08-12T05:00:26Z,JUMP-01,ACME\mrivera,services.exe,msiexec.exe,8477,routine process,benign,routine process
PROC-00741,2026-08-12T05:02:27Z,APP-API-03,ACME\svc_backup,explorer.exe,backup-agent.exe,4063,routine process,benign,routine process
PROC-00442,2026-08-12T05:08:12Z,APP-API-03,ACME\jsmith,wsmprovhost.exe,msiexec.exe,9648,routine process,benign,routine process
PROC-01131,2026-08-12T05:10:51Z,DEPLOY-01,NT AUTHORITY\SYSTEM,explorer.exe,w3wp.exe,11428,routine process,benign,routine process
PROC-00244,2026-08-12T05:16:25Z,FILE-02,ACME\svc_backup,taskeng.exe,msiexec.exe,13935,routine process,benign,routine process
PROC-00746,2026-08-12T05:20:02Z,JUMP-01,ACME\svc_backup,wsmprovhost.exe,msiexec.exe,3359,routine process,benign,routine process
PROC-00543,2026-08-12T05:22:50Z,JUMP-01,ACME\jsmith,services.exe,backup-agent.exe,14585,routine process,benign,routine process
PROC-01139,2026-08-12T05:29:39Z,APP-API-02,ACME\mrivera,explorer.exe,msiexec.exe,5597,routine process,benign,routine process
PROC-00590,2026-08-12T05:33:26Z,APP-API-02,ACME\svc_deploy,services.exe,powershell.exe,7310,routine process,benign,routine process
PROC-01145,2026-08-12T05:43:25Z,FILE-02,ACME\svc_deploy,explorer.exe,w3wp.exe,2314,routine process,benign,routine process
PROC-01412,2026-08-12T05:44:07Z,JUMP-01,ACME\jsmith,services.exe,powershell.exe,8305,routine process,benign,routine process
PROC-00619,2026-08-12T05:59:14Z,APP-API-02,ACME\svc_backup,services.exe,backup-agent.exe,9240,routine process,benign,routine process
PROC-00868,2026-08-12T06:03:35Z,APP-API-03,ACME\jsmith,taskeng.exe,msiexec.exe,4899,routine process,benign,routine process
PROC-00386,2026-08-12T06:12:39Z,APP-API-03,ACME\svc_deploy,services.exe,powershell.exe,13088,routine process,benign,routine process
