event_id,_time,src_host,dest_host,user,protocol,result,source_ip,classification,note
AUTH-01334,2026-08-11T15:35:09Z,DEPLOY-01,DEPLOY-01,ACME\svc_backup,NTLM,success,10.50.41.49,benign,routine authentication
AUTH-00170,2026-08-11T15:37:16Z,JUMP-01,DEPLOY-01,NT AUTHORITY\SYSTEM,WinRM,success,10.50.6.218,benign,routine authentication
AUTH-00451,2026-08-11T15:45:27Z,JUMP-01,APP-API-02,ACME\svc_deploy,RDP,success,10.50.16.169,benign,routine authentication
AUTH-01179,2026-08-11T15:45:28Z,DEPLOY-01,APP-API-03,NT AUTHORITY\SYSTEM,WinRM,success,10.50.19.183,benign,routine authentication
AUTH-01432,2026-08-11T15:51:51Z,JUMP-01,APP-API-02,ACME\svc_backup,WinRM,success,10.50.11.209,benign,routine authentication
AUTH-01185,2026-08-11T15:53:35Z,DEPLOY-01,FIN-WS-14,ACME\svc_backup,RDP,failure,10.50.48.222,benign,routine authentication
AUTH-01333,2026-08-11T15:54:03Z,APP-API-03,DEPLOY-01,NT AUTHORITY\SYSTEM,RDP,success,10.50.5.129,benign,routine authentication
AUTH-00208,2026-08-11T16:09:48Z,APP-API-02,FILE-02,NT AUTHORITY\SYSTEM,Kerberos,failure,10.50.34.2,benign,routine authentication
AUTH-01340,2026-08-11T16:11:38Z,JUMP-01,JUMP-01,ACME\jsmith,Kerberos,success,10.50.7.240,benign,routine authentication
AUTH-00950,2026-08-11T16:24:46Z,FIN-WS-14,DEPLOY-01,NT AUTHORITY\SYSTEM,WinRM,success,10.50.26.218,benign,routine authentication
AUTH-01429,2026-08-11T16:27:18Z,FILE-02,FILE-02,ACME\mrivera,WinRM,failure,10.50.14.126,benign,routine authentication
AUTH-00710,2026-08-11T16:47:50Z,DEPLOY-01,FIN-WS-14,ACME\jsmith,Kerberos,success,10.50.26.115,benign,routine authentication
AUTH-00576,2026-08-11T16:50:09Z,FIN-WS-14,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.5.147,benign,routine authentication
AUTH-00653,2026-08-11T16:54:56Z,JUMP-01,APP-API-03,ACME\mrivera,Kerberos,success,10.50.30.221,benign,routine authentication
AUTH-01040,2026-08-11T17:04:59Z,DEPLOY-01,APP-API-03,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.49.177,benign,routine authentication
AUTH-00786,2026-08-11T17:05:58Z,FIN-WS-14,DEPLOY-01,ACME\svc_deploy,RDP,success,10.50.16.49,benign,routine authentication
AUTH-01397,2026-08-11T17:13:57Z,JUMP-01,APP-API-03,ACME\svc_deploy,RDP,failure,10.50.31.12,benign,routine authentication
AUTH-01338,2026-08-11T17:16:57Z,FILE-02,FILE-02,ACME\svc_backup,Kerberos,success,10.50.23.33,benign,routine authentication
AUTH-00573,2026-08-11T17:22:53Z,JUMP-01,FILE-02,ACME\svc_deploy,RDP,success,10.50.24.179,benign,routine authentication
AUTH-00751,2026-08-11T17:32:05Z,JUMP-01,JUMP-01,ACME\jsmith,WinRM,success,10.50.30.85,benign,routine authentication
AUTH-00187,2026-08-11T17:34:19Z,APP-API-03,APP-API-03,ACME\svc_backup,WinRM,success,10.50.19.79,benign,routine authentication
AUTH-00814,2026-08-11T17:51:44Z,JUMP-01,FIN-WS-14,ACME\svc_backup,WinRM,success,10.50.9.44,benign,routine authentication
AUTH-00668,2026-08-11T18:05:28Z,DEPLOY-01,APP-API-03,NT AUTHORITY\SYSTEM,NTLM,failure,10.50.44.149,benign,routine authentication
AUTH-00981,2026-08-11T18:06:17Z,FILE-02,APP-API-03,ACME\jsmith,RDP,success,10.50.17.28,benign,routine authentication
AUTH-00242,2026-08-11T18:08:19Z,APP-API-03,DEPLOY-01,ACME\jsmith,Kerberos,success,10.50.25.41,benign,routine authentication
AUTH-00672,2026-08-11T18:10:40Z,FILE-02,APP-API-03,ACME\svc_backup,RDP,success,10.50.17.174,benign,routine authentication
AUTH-01105,2026-08-11T18:15:55Z,JUMP-01,FILE-02,NT AUTHORITY\SYSTEM,NTLM,success,10.50.12.100,benign,routine authentication
AUTH-01349,2026-08-11T18:20:37Z,DEPLOY-01,FIN-WS-14,ACME\svc_backup,NTLM,success,10.50.23.58,benign,routine authentication
AUTH-01161,2026-08-11T18:23:09Z,FILE-02,DEPLOY-01,NT AUTHORITY\SYSTEM,WinRM,failure,10.50.39.141,benign,routine authentication
AUTH-01246,2026-08-11T18:31:18Z,JUMP-01,APP-API-03,ACME\svc_backup,NTLM,failure,10.50.1.145,benign,routine authentication
AUTH-01319,2026-08-11T18:42:08Z,APP-API-02,JUMP-01,ACME\jsmith,RDP,success,10.50.11.87,benign,routine authentication
AUTH-01111,2026-08-11T18:46:08Z,APP-API-03,APP-API-03,NT AUTHORITY\SYSTEM,NTLM,success,10.50.45.124,benign,routine authentication
AUTH-00079,2026-08-11T19:03:37Z,FILE-02,FILE-02,ACME\mrivera,RDP,failure,10.50.43.72,benign,routine authentication
AUTH-01177,2026-08-11T19:12:09Z,JUMP-01,FILE-02,ACME\svc_deploy,WinRM,success,10.50.39.98,benign,routine authentication
AUTH-00734,2026-08-11T19:16:42Z,JUMP-01,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,failure,10.50.12.88,benign,routine authentication
AUTH-00051,2026-08-11T19:19:07Z,JUMP-01,APP-API-03,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.22.196,benign,routine authentication
AUTH-00121,2026-08-11T19:20:19Z,FIN-WS-14,FIN-WS-14,ACME\svc_deploy,Kerberos,failure,10.50.47.221,benign,routine authentication
AUTH-00469,2026-08-11T19:20:54Z,FIN-WS-14,DEPLOY-01,ACME\svc_deploy,WinRM,success,10.50.15.21,benign,routine authentication
AUTH-00996,2026-08-11T19:24:45Z,JUMP-01,FILE-02,ACME\svc_backup,Kerberos,success,10.50.20.133,benign,routine authentication
AUTH-01005,2026-08-11T19:27:56Z,FILE-02,APP-API-03,NT AUTHORITY\SYSTEM,NTLM,success,10.50.4.194,benign,routine authentication
AUTH-01172,2026-08-11T19:29:02Z,APP-API-02,DEPLOY-01,ACME\svc_deploy,NTLM,success,10.50.33.125,benign,routine authentication
AUTH-00003,2026-08-11T19:30:54Z,APP-API-03,FILE-02,NT AUTHORITY\SYSTEM,RDP,success,10.50.19.2,benign,routine authentication
AUTH-01133,2026-08-11T19:41:44Z,APP-API-03,FIN-WS-14,NT AUTHORITY\SYSTEM,RDP,success,10.50.7.116,benign,routine authentication
AUTH-00622,2026-08-11T19:47:32Z,DEPLOY-01,APP-API-03,ACME\svc_backup,WinRM,failure,10.50.30.75,benign,routine authentication
AUTH-00226,2026-08-11T19:49:43Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.12.14,benign,routine authentication
AUTH-00809,2026-08-11T19:53:37Z,JUMP-01,DEPLOY-01,ACME\jsmith,Kerberos,success,10.50.35.172,benign,routine authentication
AUTH-00322,2026-08-11T20:10:12Z,APP-API-02,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.29.8,benign,routine authentication
AUTH-00733,2026-08-11T20:14:01Z,APP-API-03,FIN-WS-14,ACME\mrivera,WinRM,success,10.50.1.78,benign,routine authentication
AUTH-00153,2026-08-11T20:19:13Z,JUMP-01,DEPLOY-01,ACME\svc_backup,NTLM,failure,10.50.6.211,benign,routine authentication
AUTH-00537,2026-08-11T20:23:12Z,APP-API-02,FIN-WS-14,NT AUTHORITY\SYSTEM,WinRM,failure,10.50.2.96,benign,routine authentication
AUTH-00448,2026-08-11T20:26:02Z,APP-API-03,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.26.52,benign,routine authentication
AUTH-00439,2026-08-11T20:26:06Z,APP-API-02,FILE-02,ACME\svc_backup,RDP,success,10.50.49.94,benign,routine authentication
AUTH-00075,2026-08-11T20:26:16Z,JUMP-01,JUMP-01,ACME\svc_deploy,WinRM,success,10.50.15.145,benign,routine authentication
AUTH-01150,2026-08-11T20:27:14Z,APP-API-02,APP-API-03,ACME\mrivera,RDP,success,10.50.14.187,benign,routine authentication
AUTH-01130,2026-08-11T20:27:38Z,JUMP-01,FILE-02,NT AUTHORITY\SYSTEM,WinRM,success,10.50.8.82,benign,routine authentication
AUTH-00694,2026-08-11T20:29:01Z,FILE-02,JUMP-01,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.3.14,benign,routine authentication
AUTH-00071,2026-08-11T20:39:02Z,APP-API-02,FILE-02,ACME\svc_backup,WinRM,success,10.50.19.9,benign,routine authentication
AUTH-01438,2026-08-11T20:41:24Z,JUMP-01,JUMP-01,ACME\jsmith,NTLM,success,10.50.1.113,benign,routine authentication
AUTH-01011,2026-08-11T20:48:34Z,DEPLOY-01,APP-API-02,ACME\jsmith,NTLM,success,10.50.4.80,benign,routine authentication
AUTH-01156,2026-08-11T20:49:15Z,DEPLOY-01,FIN-WS-14,ACME\svc_deploy,Kerberos,success,10.50.9.192,benign,routine authentication
AUTH-00903,2026-08-11T20:52:58Z,DEPLOY-01,JUMP-01,ACME\svc_deploy,Kerberos,failure,10.50.40.98,benign,routine authentication
AUTH-00250,2026-08-11T20:53:04Z,FILE-02,FIN-WS-14,ACME\mrivera,NTLM,success,10.50.49.111,benign,routine authentication
AUTH-01137,2026-08-11T20:54:33Z,DEPLOY-01,JUMP-01,NT AUTHORITY\SYSTEM,WinRM,failure,10.50.34.109,benign,routine authentication
AUTH-01123,2026-08-11T20:56:54Z,APP-API-02,JUMP-01,ACME\svc_deploy,RDP,success,10.50.18.179,benign,routine authentication
AUTH-00663,2026-08-11T20:59:43Z,JUMP-01,DEPLOY-01,NT AUTHORITY\SYSTEM,NTLM,success,10.50.20.111,benign,routine authentication
AUTH-01400,2026-08-11T21:01:51Z,FIN-WS-14,DEPLOY-01,ACME\mrivera,Kerberos,success,10.50.19.87,benign,routine authentication
AUTH-00536,2026-08-11T21:03:05Z,APP-API-02,FIN-WS-14,ACME\mrivera,RDP,success,10.50.33.37,benign,routine authentication
AUTH-00871,2026-08-11T21:11:39Z,JUMP-01,APP-API-02,ACME\jsmith,NTLM,success,10.50.12.176,benign,routine authentication
AUTH-01483,2026-08-11T21:22:23Z,APP-API-02,FIN-WS-14,NT AUTHORITY\SYSTEM,WinRM,success,10.50.48.161,benign,routine authentication
AUTH-01023,2026-08-11T21:24:56Z,FILE-02,FIN-WS-14,ACME\mrivera,NTLM,success,10.50.1.127,benign,routine authentication
AUTH-01249,2026-08-11T21:28:56Z,APP-API-03,APP-API-02,ACME\svc_backup,WinRM,success,10.50.31.133,benign,routine authentication
AUTH-01237,2026-08-11T21:32:32Z,APP-API-02,APP-API-02,ACME\jsmith,WinRM,success,10.50.19.77,benign,routine authentication
AUTH-00375,2026-08-11T21:34:31Z,FILE-02,DEPLOY-01,ACME\jsmith,NTLM,success,10.50.27.212,benign,routine authentication
AUTH-00852,2026-08-11T21:42:01Z,APP-API-02,JUMP-01,NT AUTHORITY\SYSTEM,NTLM,failure,10.50.6.197,benign,routine authentication
AUTH-00912,2026-08-11T21:42:01Z,APP-API-02,DEPLOY-01,ACME\jsmith,Kerberos,success,10.50.8.238,benign,routine authentication
AUTH-01143,2026-08-11T21:52:09Z,FIN-WS-14,DEPLOY-01,ACME\mrivera,WinRM,success,10.50.36.224,benign,routine authentication
AUTH-00283,2026-08-11T21:55:44Z,FILE-02,FILE-02,NT AUTHORITY\SYSTEM,WinRM,success,10.50.7.216,benign,routine authentication
AUTH-00789,2026-08-11T22:07:26Z,DEPLOY-01,DEPLOY-01,ACME\jsmith,NTLM,failure,10.50.8.46,benign,routine authentication
AUTH-00523,2026-08-11T22:15:07Z,FIN-WS-14,DEPLOY-01,NT AUTHORITY\SYSTEM,RDP,success,10.50.49.145,benign,routine authentication
AUTH-01017,2026-08-11T22:16:27Z,FIN-WS-14,FILE-02,ACME\mrivera,NTLM,success,10.50.3.29,benign,routine authentication
AUTH-00848,2026-08-11T22:18:22Z,JUMP-01,APP-API-02,ACME\jsmith,WinRM,success,10.50.17.176,benign,routine authentication
AUTH-00948,2026-08-11T22:32:50Z,APP-API-03,FIN-WS-14,ACME\svc_backup,WinRM,success,10.50.1.105,benign,routine authentication
AUTH-00194,2026-08-11T22:42:40Z,FIN-WS-14,FILE-02,ACME\svc_deploy,WinRM,success,10.50.21.130,benign,routine authentication
AUTH-00286,2026-08-11T22:50:04Z,DEPLOY-01,DEPLOY-01,NT AUTHORITY\SYSTEM,RDP,success,10.50.14.95,benign,routine authentication
AUTH-01343,2026-08-11T22:52:30Z,APP-API-03,APP-API-03,ACME\svc_deploy,Kerberos,success,10.50.31.90,benign,routine authentication
AUTH-00732,2026-08-11T22:57:31Z,JUMP-01,JUMP-01,ACME\svc_deploy,Kerberos,failure,10.50.39.143,benign,routine authentication
AUTH-01280,2026-08-11T23:04:59Z,APP-API-03,JUMP-01,ACME\svc_deploy,RDP,failure,10.50.40.53,benign,routine authentication
AUTH-00782,2026-08-11T23:11:21Z,APP-API-03,FIN-WS-14,ACME\svc_deploy,RDP,failure,10.50.18.102,benign,routine authentication
AUTH-00692,2026-08-11T23:13:45Z,FILE-02,JUMP-01,ACME\svc_deploy,NTLM,success,10.50.37.92,benign,routine authentication
AUTH-00463,2026-08-11T23:20:56Z,FILE-02,FILE-02,ACME\svc_deploy,RDP,success,10.50.27.36,benign,routine authentication
AUTH-01391,2026-08-11T23:22:09Z,DEPLOY-01,JUMP-01,ACME\jsmith,RDP,success,10.50.6.153,benign,routine authentication
AUTH-00269,2026-08-11T23:49:01Z,APP-API-03,JUMP-01,ACME\mrivera,WinRM,failure,10.50.7.164,benign,routine authentication
AUTH-00409,2026-08-12T00:09:41Z,APP-API-02,DEPLOY-01,ACME\svc_backup,WinRM,success,10.50.30.196,benign,routine authentication
AUTH-00271,2026-08-12T00:12:13Z,DEPLOY-01,APP-API-03,NT AUTHORITY\SYSTEM,WinRM,success,10.50.37.60,benign,routine authentication
AUTH-00779,2026-08-12T00:13:03Z,APP-API-02,APP-API-03,ACME\svc_backup,RDP,failure,10.50.6.165,benign,routine authentication
AUTH-00232,2026-08-12T00:15:36Z,APP-API-03,DEPLOY-01,ACME\svc_backup,WinRM,success,10.50.29.54,benign,routine authentication
AUTH-01283,2026-08-12T00:15:42Z,DEPLOY-01,APP-API-02,ACME\mrivera,NTLM,failure,10.50.17.90,benign,routine authentication
AUTH-00030,2026-08-12T00:16:53Z,APP-API-02,DEPLOY-01,ACME\svc_deploy,NTLM,success,10.50.20.55,benign,routine authentication
AUTH-00527,2026-08-12T00:25:33Z,DEPLOY-01,FIN-WS-14,ACME\jsmith,WinRM,success,10.50.42.48,benign,routine authentication
AUTH-01119,2026-08-12T00:28:29Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,WinRM,success,10.50.18.7,benign,routine authentication
AUTH-00236,2026-08-12T00:39:50Z,FIN-WS-14,DEPLOY-01,ACME\mrivera,RDP,success,10.50.19.164,benign,routine authentication
AUTH-00462,2026-08-12T00:39:57Z,FILE-02,APP-API-03,ACME\jsmith,RDP,failure,10.50.46.135,benign,routine authentication
AUTH-00041,2026-08-12T01:04:12Z,FILE-02,FILE-02,ACME\svc_backup,Kerberos,success,10.50.39.44,benign,routine authentication
AUTH-00568,2026-08-12T01:11:41Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,WinRM,success,10.50.47.89,benign,routine authentication
AUTH-00552,2026-08-12T01:12:36Z,DEPLOY-01,APP-API-03,ACME\svc_backup,NTLM,success,10.50.38.174,benign,routine authentication
AUTH-00509,2026-08-12T01:14:41Z,APP-API-03,APP-API-02,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.37.197,benign,routine authentication
AUTH-01149,2026-08-12T01:15:59Z,FILE-02,APP-API-02,ACME\jsmith,Kerberos,success,10.50.48.83,benign,routine authentication
AUTH-00177,2026-08-12T01:27:31Z,DEPLOY-01,APP-API-02,ACME\svc_backup,WinRM,success,10.50.46.20,benign,routine authentication
AUTH-00009,2026-08-12T01:41:54Z,JUMP-01,FILE-02,ACME\svc_backup,NTLM,success,10.50.17.43,benign,routine authentication
AUTH-01383,2026-08-12T01:42:05Z,APP-API-02,FILE-02,ACME\svc_backup,RDP,success,10.50.7.65,benign,routine authentication
AUTH-01465,2026-08-12T01:49:32Z,APP-API-03,DEPLOY-01,ACME\svc_backup,NTLM,success,10.50.7.49,benign,routine authentication
AUTH-00851,2026-08-12T01:51:03Z,JUMP-01,APP-API-02,ACME\jsmith,RDP,success,10.50.42.224,benign,routine authentication
AUTH-01234,2026-08-12T01:51:47Z,FIN-WS-14,APP-API-03,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.43.168,benign,routine authentication
AUTH-00515,2026-08-12T01:53:26Z,JUMP-01,APP-API-02,ACME\svc_backup,RDP,success,10.50.13.179,benign,routine authentication
AUTH-00517,2026-08-12T02:06:11Z,FIN-WS-14,FIN-WS-14,NT AUTHORITY\SYSTEM,WinRM,success,10.50.16.201,benign,routine authentication
AUTH-01035,2026-08-12T02:06:26Z,JUMP-01,JUMP-01,ACME\svc_backup,NTLM,success,10.50.38.228,benign,routine authentication
AUTH-01449,2026-08-12T02:15:07Z,JUMP-01,APP-API-02,ACME\jsmith,Kerberos,success,10.50.37.125,benign,routine authentication
AUTH-00209,2026-08-12T02:22:52Z,APP-API-03,FIN-WS-14,ACME\mrivera,Kerberos,failure,10.50.28.152,benign,routine authentication
AUTH-00800,2026-08-12T02:26:06Z,APP-API-03,JUMP-01,NT AUTHORITY\SYSTEM,WinRM,success,10.50.4.72,benign,routine authentication
AUTH-01403,2026-08-12T02:27:21Z,APP-API-02,APP-API-02,ACME\jsmith,Kerberos,failure,10.50.3.192,benign,routine authentication
AUTH-01027,2026-08-12T02:29:58Z,JUMP-01,FIN-WS-14,ACME\svc_backup,Kerberos,success,10.50.16.61,benign,routine authentication
AUTH-01145,2026-08-12T02:30:24Z,JUMP-01,FIN-WS-14,ACME\svc_deploy,NTLM,success,10.50.26.189,benign,routine authentication
AUTH-00980,2026-08-12T02:32:01Z,APP-API-02,DEPLOY-01,ACME\svc_backup,NTLM,success,10.50.3.235,benign,routine authentication
AUTH-00835,2026-08-12T02:34:31Z,APP-API-02,JUMP-01,ACME\svc_backup,WinRM,failure,10.50.31.67,benign,routine authentication
AUTH-01127,2026-08-12T02:38:18Z,FILE-02,APP-API-03,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.44.101,benign,routine authentication
AUTH-00067,2026-08-12T02:59:06Z,JUMP-01,APP-API-03,ACME\mrivera,NTLM,success,10.50.18.8,benign,routine authentication
AUTH-00529,2026-08-12T02:59:56Z,APP-API-02,APP-API-03,ACME\svc_deploy,WinRM,success,10.50.44.113,benign,routine authentication
AUTH-00565,2026-08-12T03:12:13Z,FIN-WS-14,APP-API-03,ACME\jsmith,RDP,success,10.50.25.196,benign,routine authentication
AUTH-00714,2026-08-12T03:16:00Z,DEPLOY-01,FILE-02,ACME\svc_backup,Kerberos,failure,10.50.47.140,benign,routine authentication
AUTH-00641,2026-08-12T03:16:31Z,FILE-02,APP-API-02,ACME\mrivera,Kerberos,failure,10.50.33.77,benign,routine authentication
AUTH-00416,2026-08-12T03:21:24Z,APP-API-02,FILE-02,ACME\svc_backup,Kerberos,success,10.50.38.135,benign,routine authentication
AUTH-00796,2026-08-12T03:29:37Z,FIN-WS-14,FILE-02,NT AUTHORITY\SYSTEM,RDP,failure,10.50.46.206,benign,routine authentication
AUTH-00780,2026-08-12T03:33:23Z,FILE-02,APP-API-03,ACME\svc_backup,NTLM,success,10.50.46.209,benign,routine authentication
AUTH-01493,2026-08-12T04:08:27Z,FILE-02,JUMP-01,NT AUTHORITY\SYSTEM,RDP,success,10.50.32.45,benign,routine authentication
AUTH-01376,2026-08-12T04:12:12Z,FILE-02,DEPLOY-01,ACME\jsmith,NTLM,success,10.50.34.113,benign,routine authentication
AUTH-00482,2026-08-12T04:20:38Z,APP-API-02,APP-API-02,ACME\svc_backup,Kerberos,success,10.50.11.136,benign,routine authentication
AUTH-00924,2026-08-12T04:22:28Z,FILE-02,DEPLOY-01,ACME\mrivera,WinRM,success,10.50.35.188,benign,routine authentication
AUTH-00559,2026-08-12T04:26:33Z,APP-API-02,APP-API-02,ACME\jsmith,Kerberos,failure,10.50.20.53,benign,routine authentication
AUTH-01044,2026-08-12T04:26:53Z,FILE-02,JUMP-01,NT AUTHORITY\SYSTEM,NTLM,success,10.50.15.201,benign,routine authentication
AUTH-00292,2026-08-12T04:37:04Z,FILE-02,FIN-WS-14,ACME\svc_backup,Kerberos,failure,10.50.6.22,benign,routine authentication
AUTH-00670,2026-08-12T04:40:36Z,APP-API-03,JUMP-01,ACME\mrivera,Kerberos,success,10.50.45.220,benign,routine authentication
AUTH-00430,2026-08-12T04:43:45Z,APP-API-02,JUMP-01,ACME\mrivera,WinRM,success,10.50.35.103,benign,routine authentication
AUTH-00275,2026-08-12T04:48:20Z,DEPLOY-01,FIN-WS-14,ACME\jsmith,WinRM,success,10.50.15.95,benign,routine authentication
AUTH-00828,2026-08-12T05:00:37Z,APP-API-02,JUMP-01,ACME\mrivera,RDP,success,10.50.5.229,benign,routine authentication
AUTH-00882,2026-08-12T05:05:53Z,FIN-WS-14,APP-API-03,ACME\jsmith,NTLM,success,10.50.41.58,benign,routine authentication
AUTH-00362,2026-08-12T05:10:38Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,NTLM,success,10.50.19.163,benign,routine authentication
AUTH-00020,2026-08-12T05:12:19Z,DEPLOY-01,DEPLOY-01,ACME\mrivera,WinRM,success,10.50.25.58,benign,routine authentication
AUTH-00207,2026-08-12T05:13:00Z,APP-API-02,JUMP-01,NT AUTHORITY\SYSTEM,Kerberos,success,10.50.4.159,benign,routine authentication
AUTH-01175,2026-08-12T05:31:38Z,APP-API-02,DEPLOY-01,NT AUTHORITY\SYSTEM,NTLM,success,10.50.30.221,benign,routine authentication
AUTH-00930,2026-08-12T05:39:26Z,JUMP-01,FIN-WS-14,NT AUTHORITY\SYSTEM,NTLM,success,10.50.17.136,benign,routine authentication
AUTH-01384,2026-08-12T05:39:32Z,DEPLOY-01,APP-API-03,ACME\jsmith,RDP,failure,10.50.19.124,benign,routine authentication
AUTH-00351,2026-08-12T05:49:13Z,DEPLOY-01,DEPLOY-01,ACME\svc_deploy,RDP,failure,10.50.47.174,benign,routine authentication
AUTH-01487,2026-08-12T05:59:59Z,DEPLOY-01,FILE-02,NT AUTHORITY\SYSTEM,NTLM,success,10.50.12.65,benign,routine authentication
AUTH-01121,2026-08-12T06:14:51Z,APP-API-03,JUMP-01,ACME\jsmith,Kerberos,failure,10.50.25.28,benign,routine authentication
AUTH-00327,2026-08-12T06:20:05Z,DEPLOY-01,FIN-WS-14,ACME\jsmith,Kerberos,success,10.50.31.20,benign,routine authentication
AUTH-00901,2026-08-12T06:20:17Z,FIN-WS-14,DEPLOY-01,ACME\svc_backup,Kerberos,success,10.50.33.108,benign,routine authentication
AUTH-01039,2026-08-12T06:20:21Z,APP-API-03,FILE-02,ACME\svc_deploy,WinRM,success,10.50.13.38,benign,routine authentication
AUTH-00123,2026-08-12T06:42:31Z,APP-API-03,APP-API-03,ACME\mrivera,RDP,failure,10.50.14.117,benign,routine authentication
AUTH-01492,2026-08-12T06:51:42Z,DEPLOY-01,APP-API-02,NT AUTHORITY\SYSTEM,NTLM,success,10.50.32.50,benign,routine authentication
AUTH-00601,2026-08-12T06:53:05Z,APP-API-03,APP-API-02,ACME\svc_deploy,RDP,success,10.50.40.39,benign,routine authentication
AUTH-01165,2026-08-12T06:59:00Z,FILE-02,JUMP-01,ACME\svc_backup,Kerberos,success,10.50.49.41,benign,routine authentication
AUTH-00963,2026-08-12T06:59:58Z,JUMP-01,APP-API-03,ACME\mrivera,RDP,failure,10.50.23.59,benign,routine authentication
AUTH-00306,2026-08-12T07:06:52Z,FILE-02,FILE-02,ACME\mrivera,WinRM,success,10.50.1.149,benign,routine authentication
