asset_id,host,role,owner,criticality,expected_admin_sources,note
AST-00097,FIN-WS-14,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00098,APP-API-02,application server,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00099,APP-API-03,application server,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00100,JUMP-01,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00101,LAB-ASSET-0100,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00102,LAB-ASSET-0101,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00103,LAB-ASSET-0102,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00104,LAB-ASSET-0103,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00105,LAB-ASSET-0104,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00106,LAB-ASSET-0105,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00107,LAB-ASSET-0106,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00108,LAB-ASSET-0107,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00109,LAB-ASSET-0108,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00110,LAB-ASSET-0109,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00111,LAB-ASSET-0110,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00112,LAB-ASSET-0111,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00113,LAB-ASSET-0112,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00114,LAB-ASSET-0113,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00115,LAB-ASSET-0114,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00116,LAB-ASSET-0115,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00117,LAB-ASSET-0116,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00118,LAB-ASSET-0117,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00119,LAB-ASSET-0118,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00120,LAB-ASSET-0119,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00121,LAB-ASSET-0120,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00122,LAB-ASSET-0121,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00123,LAB-ASSET-0122,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00124,LAB-ASSET-0123,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00125,LAB-ASSET-0124,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00126,LAB-ASSET-0125,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00127,LAB-ASSET-0126,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00128,LAB-ASSET-0127,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00129,LAB-ASSET-0128,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00130,LAB-ASSET-0129,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00131,LAB-ASSET-0130,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00132,LAB-ASSET-0131,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00133,LAB-ASSET-0132,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00134,LAB-ASSET-0133,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00135,LAB-ASSET-0134,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00136,LAB-ASSET-0135,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00137,LAB-ASSET-0136,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00138,LAB-ASSET-0137,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00139,LAB-ASSET-0138,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00140,LAB-ASSET-0139,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00141,LAB-ASSET-0140,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00142,LAB-ASSET-0141,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00143,LAB-ASSET-0142,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00144,LAB-ASSET-0143,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00145,LAB-ASSET-0144,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00146,LAB-ASSET-0145,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00147,LAB-ASSET-0146,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00148,LAB-ASSET-0147,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00149,LAB-ASSET-0148,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00150,LAB-ASSET-0149,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00151,LAB-ASSET-0150,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00152,LAB-ASSET-0151,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00153,LAB-ASSET-0152,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00154,LAB-ASSET-0153,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00155,LAB-ASSET-0154,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00156,LAB-ASSET-0155,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00157,LAB-ASSET-0156,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00158,LAB-ASSET-0157,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00159,LAB-ASSET-0158,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00160,LAB-ASSET-0159,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00161,LAB-ASSET-0160,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00162,LAB-ASSET-0161,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00163,LAB-ASSET-0162,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00164,LAB-ASSET-0163,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00165,LAB-ASSET-0164,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00166,LAB-ASSET-0165,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00167,LAB-ASSET-0166,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00168,LAB-ASSET-0167,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00169,LAB-ASSET-0168,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00170,LAB-ASSET-0169,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00171,LAB-ASSET-0170,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00172,LAB-ASSET-0171,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00173,LAB-ASSET-0172,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00174,LAB-ASSET-0173,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00175,LAB-ASSET-0174,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00176,LAB-ASSET-0175,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00177,LAB-ASSET-0176,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00178,LAB-ASSET-0177,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00179,LAB-ASSET-0178,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00180,LAB-ASSET-0179,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00181,LAB-ASSET-0180,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00182,LAB-ASSET-0181,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00183,LAB-ASSET-0182,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00184,LAB-ASSET-0183,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00185,LAB-ASSET-0184,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00186,LAB-ASSET-0185,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00187,LAB-ASSET-0186,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00188,LAB-ASSET-0187,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00189,LAB-ASSET-0188,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00190,LAB-ASSET-0189,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00191,LAB-ASSET-0190,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00192,LAB-ASSET-0191,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00193,LAB-ASSET-0192,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00194,LAB-ASSET-0193,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00195,LAB-ASSET-0194,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00196,LAB-ASSET-0195,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00197,LAB-ASSET-0196,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00198,LAB-ASSET-0197,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00199,LAB-ASSET-0198,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00200,LAB-ASSET-0199,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00201,LAB-ASSET-0200,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00202,LAB-ASSET-0201,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00203,LAB-ASSET-0202,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00204,LAB-ASSET-0203,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00205,LAB-ASSET-0204,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00206,LAB-ASSET-0205,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00207,LAB-ASSET-0206,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00208,LAB-ASSET-0207,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00209,LAB-ASSET-0208,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00210,LAB-ASSET-0209,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00211,LAB-ASSET-0210,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00212,LAB-ASSET-0211,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00213,LAB-ASSET-0212,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00214,LAB-ASSET-0213,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00215,LAB-ASSET-0214,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00216,LAB-ASSET-0215,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00217,LAB-ASSET-0216,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00218,LAB-ASSET-0217,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00219,LAB-ASSET-0218,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00220,LAB-ASSET-0219,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00221,LAB-ASSET-0220,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00222,LAB-ASSET-0221,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00223,LAB-ASSET-0222,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00224,LAB-ASSET-0223,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00225,LAB-ASSET-0224,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00226,LAB-ASSET-0225,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00227,LAB-ASSET-0226,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00228,LAB-ASSET-0227,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00229,LAB-ASSET-0228,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00230,LAB-ASSET-0229,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00231,LAB-ASSET-0230,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00232,LAB-ASSET-0231,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00233,LAB-ASSET-0232,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00234,LAB-ASSET-0233,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00235,LAB-ASSET-0234,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00236,LAB-ASSET-0235,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00237,LAB-ASSET-0236,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00238,LAB-ASSET-0237,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00239,LAB-ASSET-0238,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00240,LAB-ASSET-0239,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00241,LAB-ASSET-0240,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00242,LAB-ASSET-0241,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00243,LAB-ASSET-0242,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00244,LAB-ASSET-0243,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00245,LAB-ASSET-0244,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00246,LAB-ASSET-0245,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00247,LAB-ASSET-0246,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00248,LAB-ASSET-0247,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00249,LAB-ASSET-0248,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00250,LAB-ASSET-0249,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00251,LAB-ASSET-0250,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00252,LAB-ASSET-0251,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00253,LAB-ASSET-0252,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00254,LAB-ASSET-0253,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00255,LAB-ASSET-0254,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00256,LAB-ASSET-0255,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00257,LAB-ASSET-0256,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00258,LAB-ASSET-0257,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00259,LAB-ASSET-0258,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00260,LAB-ASSET-0259,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00261,LAB-ASSET-0260,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00262,LAB-ASSET-0261,workstation,App Team,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00263,LAB-ASSET-0262,workstation,Finance,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00264,LAB-ASSET-0263,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00265,LAB-ASSET-0264,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00266,LAB-ASSET-0265,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00267,LAB-ASSET-0266,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00268,LAB-ASSET-0267,workstation,IT Ops,high,DEPLOY-01;JUMP-01,synthetic asset context
AST-00269,LAB-ASSET-0268,workstation,Finance,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00270,LAB-ASSET-0269,workstation,IT Ops,medium,DEPLOY-01;JUMP-01,synthetic asset context
AST-00271,LAB-ASSET-0270,workstation,App Team,medium,DEPLOY-01;JUMP-01,synthetic asset context
