finding_id,host,evidence,expected_decision,expected_confidence,analyst_decision,analyst_confidence,evidence_gap,note
F-00251,APP-API-03,routine context,context,high,,,,practice row
F-00252,DEPLOY-01,routine context,context,high,,,,practice row
F-00253,FILE-02,routine context,context,high,,,,practice row
F-00254,FILE-02,routine context,context,high,,,,practice row
F-00255,DEPLOY-01,routine context,context,high,,,,practice row
F-00256,APP-API-03,routine context,context,high,,,,practice row
F-00257,APP-API-03,routine context,context,high,,,,practice row
F-00258,FIN-WS-14,routine context,context,high,,,,practice row
F-00259,FIN-WS-14,routine context,context,high,,,,practice row
F-00260,FILE-02,routine context,context,high,,,,practice row
F-00261,APP-API-03,routine context,context,high,,,,practice row
F-00262,FIN-WS-14,routine context,context,high,,,,practice row
F-00263,FIN-WS-14,routine context,context,high,,,,practice row
F-00264,JUMP-01,routine context,context,high,,,,practice row
F-00265,APP-API-02,routine context,context,high,,,,practice row
F-00266,DEPLOY-01,routine context,context,high,,,,practice row
F-00267,DEPLOY-01,routine context,context,high,,,,practice row
F-00268,JUMP-01,routine context,context,high,,,,practice row
F-00269,APP-API-03,routine context,context,high,,,,practice row
F-00270,DEPLOY-01,routine context,context,high,,,,practice row
F-00271,FILE-02,routine context,context,high,,,,practice row
F-00272,FIN-WS-14,routine context,context,high,,,,practice row
F-00273,DEPLOY-01,routine context,context,high,,,,practice row
F-00274,FILE-02,routine context,context,high,,,,practice row
F-00275,DEPLOY-01,routine context,context,high,,,,practice row
F-00276,APP-API-02,routine context,context,high,,,,practice row
F-00277,APP-API-02,routine context,context,high,,,,practice row
F-00278,JUMP-01,routine context,context,high,,,,practice row
F-00279,APP-API-03,routine context,context,high,,,,practice row
F-00280,JUMP-01,routine context,context,high,,,,practice row
F-00281,JUMP-01,routine context,context,high,,,,practice row
F-00282,APP-API-02,routine context,context,high,,,,practice row
F-00283,FILE-02,routine context,context,high,,,,practice row
F-00284,FILE-02,routine context,context,high,,,,practice row
F-00285,JUMP-01,routine context,context,high,,,,practice row
F-00286,FIN-WS-14,routine context,context,high,,,,practice row
F-00287,FIN-WS-14,routine context,context,high,,,,practice row
F-00288,FIN-WS-14,routine context,context,high,,,,practice row
F-00289,DEPLOY-01,routine context,context,high,,,,practice row
F-00290,FIN-WS-14,routine context,context,high,,,,practice row
F-00291,DEPLOY-01,routine context,context,high,,,,practice row
F-00292,FIN-WS-14,routine context,context,high,,,,practice row
F-00293,DEPLOY-01,routine context,context,high,,,,practice row
F-00294,FIN-WS-14,routine context,context,high,,,,practice row
F-00295,DEPLOY-01,routine context,context,high,,,,practice row
F-00296,DEPLOY-01,routine context,context,high,,,,practice row
F-00297,APP-API-03,routine context,context,high,,,,practice row
F-00298,APP-API-03,routine context,context,high,,,,practice row
F-00299,JUMP-01,routine context,context,high,,,,practice row
F-00300,JUMP-01,routine context,context,high,,,,practice row
F-00301,APP-API-03,routine context,context,high,,,,practice row
F-00302,DEPLOY-01,routine context,context,high,,,,practice row
F-00303,FILE-02,routine context,context,high,,,,practice row
F-00304,FIN-WS-14,routine context,context,high,,,,practice row
F-00305,JUMP-01,routine context,context,high,,,,practice row
F-00306,FILE-02,routine context,context,high,,,,practice row
F-00307,APP-API-03,routine context,context,high,,,,practice row
F-00308,FIN-WS-14,routine context,context,high,,,,practice row
F-00309,FIN-WS-14,routine context,context,high,,,,practice row
F-00310,FILE-02,routine context,context,high,,,,practice row
F-00311,JUMP-01,routine context,context,high,,,,practice row
F-00312,APP-API-03,routine context,context,high,,,,practice row
F-00313,FILE-02,routine context,context,high,,,,practice row
F-00314,APP-API-02,routine context,context,high,,,,practice row
F-00315,APP-API-02,routine context,context,high,,,,practice row
F-00316,APP-API-03,routine context,context,high,,,,practice row
F-00317,APP-API-03,routine context,context,high,,,,practice row
F-00318,FILE-02,routine context,context,high,,,,practice row
F-00319,APP-API-03,routine context,context,high,,,,practice row
F-00320,APP-API-02,routine context,context,high,,,,practice row
F-00321,FILE-02,routine context,context,high,,,,practice row
F-00322,DEPLOY-01,routine context,context,high,,,,practice row
F-00323,DEPLOY-01,routine context,context,high,,,,practice row
F-00324,JUMP-01,routine context,context,high,,,,practice row
F-00325,JUMP-01,routine context,context,high,,,,practice row
F-00326,JUMP-01,routine context,context,high,,,,practice row
F-00327,JUMP-01,routine context,context,high,,,,practice row
F-00328,DEPLOY-01,routine context,context,high,,,,practice row
F-00329,FILE-02,routine context,context,high,,,,practice row
F-00330,APP-API-03,routine context,context,high,,,,practice row
F-00331,APP-API-03,routine context,context,high,,,,practice row
F-00332,FILE-02,routine context,context,high,,,,practice row
F-00333,JUMP-01,routine context,context,high,,,,practice row
F-00334,DEPLOY-01,routine context,context,high,,,,practice row
F-00335,DEPLOY-01,routine context,context,high,,,,practice row
F-00336,FIN-WS-14,routine context,context,high,,,,practice row
F-00337,DEPLOY-01,routine context,context,high,,,,practice row
F-00338,JUMP-01,routine context,context,high,,,,practice row
F-00339,DEPLOY-01,routine context,context,high,,,,practice row
F-00340,JUMP-01,routine context,context,high,,,,practice row
F-00341,APP-API-03,routine context,context,high,,,,practice row
F-00342,FILE-02,routine context,context,high,,,,practice row
F-00343,APP-API-02,routine context,context,high,,,,practice row
F-00344,FIN-WS-14,routine context,context,high,,,,practice row
F-00345,APP-API-03,routine context,context,high,,,,practice row
F-00346,DEPLOY-01,routine context,context,high,,,,practice row
F-00347,FILE-02,routine context,context,high,,,,practice row
F-00348,APP-API-02,routine context,context,high,,,,practice row
F-00349,DEPLOY-01,routine context,context,high,,,,practice row
F-00350,DEPLOY-01,routine context,context,high,,,,practice row
F-00351,FILE-02,routine context,context,high,,,,practice row
F-00352,JUMP-01,routine context,context,high,,,,practice row
F-00353,DEPLOY-01,routine context,context,high,,,,practice row
F-00354,DEPLOY-01,routine context,context,high,,,,practice row
F-00355,JUMP-01,routine context,context,high,,,,practice row
F-00356,FILE-02,routine context,context,high,,,,practice row
F-00357,APP-API-03,routine context,context,high,,,,practice row
F-00358,APP-API-02,routine context,context,high,,,,practice row
F-00359,DEPLOY-01,routine context,context,high,,,,practice row
F-00360,FILE-02,routine context,context,high,,,,practice row
F-00361,FILE-02,routine context,context,high,,,,practice row
F-00362,FIN-WS-14,routine context,context,high,,,,practice row
F-00363,JUMP-01,routine context,context,high,,,,practice row
F-00364,FIN-WS-14,routine context,context,high,,,,practice row
F-00365,APP-API-02,routine context,context,high,,,,practice row
F-00366,JUMP-01,routine context,context,high,,,,practice row
F-00367,JUMP-01,routine context,context,high,,,,practice row
F-00368,FILE-02,routine context,context,high,,,,practice row
F-00369,FIN-WS-14,routine context,context,high,,,,practice row
F-00370,JUMP-01,routine context,context,high,,,,practice row
F-00371,APP-API-03,routine context,context,high,,,,practice row
F-00372,DEPLOY-01,routine context,context,high,,,,practice row
F-00373,FIN-WS-14,routine context,context,high,,,,practice row
F-00374,APP-API-03,routine context,context,high,,,,practice row
F-00375,APP-API-03,routine context,context,high,,,,practice row
F-00376,FILE-02,routine context,context,high,,,,practice row
F-00377,JUMP-01,routine context,context,high,,,,practice row
F-00378,DEPLOY-01,routine context,context,high,,,,practice row
F-00379,FILE-02,routine context,context,high,,,,practice row
F-00380,APP-API-02,routine context,context,high,,,,practice row
F-00381,DEPLOY-01,routine context,context,high,,,,practice row
F-00382,APP-API-03,routine context,context,high,,,,practice row
F-00383,FIN-WS-14,routine context,context,high,,,,practice row
F-00384,FILE-02,routine context,context,high,,,,practice row
F-00385,JUMP-01,routine context,context,high,,,,practice row
F-00386,APP-API-02,routine context,context,high,,,,practice row
F-00387,FILE-02,routine context,context,high,,,,practice row
F-00388,APP-API-03,routine context,context,high,,,,practice row
F-00389,FIN-WS-14,routine context,context,high,,,,practice row
F-00390,JUMP-01,routine context,context,high,,,,practice row
F-00391,APP-API-03,routine context,context,high,,,,practice row
F-00392,DEPLOY-01,routine context,context,high,,,,practice row
F-00393,FILE-02,routine context,context,high,,,,practice row
F-00394,JUMP-01,routine context,context,high,,,,practice row
F-00395,JUMP-01,routine context,context,high,,,,practice row
F-00396,APP-API-02,routine context,context,high,,,,practice row
F-00397,FILE-02,routine context,context,high,,,,practice row
F-00398,APP-API-02,routine context,context,high,,,,practice row
F-00399,APP-API-02,routine context,context,high,,,,practice row
F-00400,APP-API-02,routine context,context,high,,,,practice row
F-00401,APP-API-02,routine context,context,high,,,,practice row
F-00402,DEPLOY-01,routine context,context,high,,,,practice row
F-00403,FIN-WS-14,routine context,context,high,,,,practice row
F-00404,FILE-02,routine context,context,high,,,,practice row
F-00405,DEPLOY-01,routine context,context,high,,,,practice row
F-00406,JUMP-01,routine context,context,high,,,,practice row
F-00407,FIN-WS-14,routine context,context,high,,,,practice row
F-00408,DEPLOY-01,routine context,context,high,,,,practice row
F-00409,APP-API-03,routine context,context,high,,,,practice row
F-00410,APP-API-02,routine context,context,high,,,,practice row
F-00411,FILE-02,routine context,context,high,,,,practice row
F-00412,APP-API-02,routine context,context,high,,,,practice row
F-00413,APP-API-02,routine context,context,high,,,,practice row
F-00414,FILE-02,routine context,context,high,,,,practice row
F-00415,DEPLOY-01,routine context,context,high,,,,practice row
F-00416,DEPLOY-01,routine context,context,high,,,,practice row
F-00417,JUMP-01,routine context,context,high,,,,practice row
F-00418,APP-API-03,routine context,context,high,,,,practice row
F-00419,FILE-02,routine context,context,high,,,,practice row
F-00420,FILE-02,routine context,context,high,,,,practice row
F-00421,FILE-02,routine context,context,high,,,,practice row
F-00422,APP-API-03,routine context,context,high,,,,practice row
F-00423,JUMP-01,routine context,context,high,,,,practice row
F-00424,APP-API-03,routine context,context,high,,,,practice row
F-00425,APP-API-03,routine context,context,high,,,,practice row
F-00426,FILE-02,routine context,context,high,,,,practice row
F-00427,JUMP-01,routine context,context,high,,,,practice row
F-00428,FILE-02,routine context,context,high,,,,practice row
F-00429,DEPLOY-01,routine context,context,high,,,,practice row
F-00430,FIN-WS-14,routine context,context,high,,,,practice row
F-00431,APP-API-03,routine context,context,high,,,,practice row
F-00432,APP-API-02,routine context,context,high,,,,practice row
F-00433,JUMP-01,routine context,context,high,,,,practice row
F-00434,FIN-WS-14,routine context,context,high,,,,practice row
F-00435,APP-API-03,routine context,context,high,,,,practice row
F-00436,FILE-02,routine context,context,high,,,,practice row
F-00437,JUMP-01,routine context,context,high,,,,practice row
F-00438,FILE-02,routine context,context,high,,,,practice row
F-00439,APP-API-03,routine context,context,high,,,,practice row
F-00440,DEPLOY-01,routine context,context,high,,,,practice row
F-00441,APP-API-02,routine context,context,high,,,,practice row
F-00442,JUMP-01,routine context,context,high,,,,practice row
F-00443,FIN-WS-14,routine context,context,high,,,,practice row
F-00444,FILE-02,routine context,context,high,,,,practice row
F-00445,FILE-02,routine context,context,high,,,,practice row
F-00446,DEPLOY-01,routine context,context,high,,,,practice row
F-00447,APP-API-02,routine context,context,high,,,,practice row
F-00448,FILE-02,routine context,context,high,,,,practice row
F-00449,APP-API-02,routine context,context,high,,,,practice row
F-00450,APP-API-03,routine context,context,high,,,,practice row
F-00451,FIN-WS-14,routine context,context,high,,,,practice row
F-00452,DEPLOY-01,routine context,context,high,,,,practice row
F-00453,APP-API-03,routine context,context,high,,,,practice row
F-00454,APP-API-03,routine context,context,high,,,,practice row
F-00455,DEPLOY-01,routine context,context,high,,,,practice row
F-00456,FILE-02,routine context,context,high,,,,practice row
F-00457,APP-API-02,routine context,context,high,,,,practice row
F-00458,JUMP-01,routine context,context,high,,,,practice row
F-00459,APP-API-03,routine context,context,high,,,,practice row
F-00460,JUMP-01,routine context,context,high,,,,practice row
F-00461,FIN-WS-14,routine context,context,high,,,,practice row
F-00462,APP-API-03,routine context,context,high,,,,practice row
F-00463,APP-API-03,routine context,context,high,,,,practice row
F-00464,APP-API-02,routine context,context,high,,,,practice row
F-00465,FILE-02,routine context,context,high,,,,practice row
F-00466,FILE-02,routine context,context,high,,,,practice row
F-00467,APP-API-03,routine context,context,high,,,,practice row
F-00468,FILE-02,routine context,context,high,,,,practice row
F-00469,JUMP-01,routine context,context,high,,,,practice row
F-00470,APP-API-03,routine context,context,high,,,,practice row
F-00471,DEPLOY-01,routine context,context,high,,,,practice row
F-00472,APP-API-03,routine context,context,high,,,,practice row
F-00473,FILE-02,routine context,context,high,,,,practice row
F-00474,FILE-02,routine context,context,high,,,,practice row
F-00475,DEPLOY-01,routine context,context,high,,,,practice row
F-00476,FILE-02,routine context,context,high,,,,practice row
F-00477,APP-API-03,routine context,context,high,,,,practice row
F-00478,FIN-WS-14,routine context,context,high,,,,practice row
F-00479,DEPLOY-01,routine context,context,high,,,,practice row
F-00480,FILE-02,routine context,context,high,,,,practice row
F-00481,FIN-WS-14,routine context,context,high,,,,practice row
F-00482,APP-API-03,routine context,context,high,,,,practice row
F-00483,JUMP-01,routine context,context,high,,,,practice row
F-00484,FIN-WS-14,routine context,context,high,,,,practice row
F-00485,APP-API-02,routine context,context,high,,,,practice row
F-00486,JUMP-01,routine context,context,high,,,,practice row
F-00487,JUMP-01,routine context,context,high,,,,practice row
F-00488,JUMP-01,routine context,context,high,,,,practice row
F-00489,APP-API-02,routine context,context,high,,,,practice row
F-00490,JUMP-01,routine context,context,high,,,,practice row
F-00491,APP-API-02,routine context,context,high,,,,practice row
F-00492,DEPLOY-01,routine context,context,high,,,,practice row
F-00493,FILE-02,routine context,context,high,,,,practice row
F-00494,JUMP-01,routine context,context,high,,,,practice row
F-00495,FILE-02,routine context,context,high,,,,practice row
F-00496,APP-API-02,routine context,context,high,,,,practice row
F-00497,JUMP-01,routine context,context,high,,,,practice row
F-00498,APP-API-02,routine context,context,high,,,,practice row
F-00499,DEPLOY-01,routine context,context,high,,,,practice row
F-00500,DEPLOY-01,routine context,context,high,,,,practice row
F-00501,FIN-WS-14,routine context,context,high,,,,practice row
F-00502,FILE-02,routine context,context,high,,,,practice row
F-00503,APP-API-02,routine context,context,high,,,,practice row
F-00504,APP-API-02,routine context,context,high,,,,practice row
F-00505,JUMP-01,routine context,context,high,,,,practice row
F-00506,FILE-02,routine context,context,high,,,,practice row
F-00507,FILE-02,routine context,context,high,,,,practice row
F-00508,JUMP-01,routine context,context,high,,,,practice row
F-00509,FILE-02,routine context,context,high,,,,practice row
F-00510,DEPLOY-01,routine context,context,high,,,,practice row
F-00511,JUMP-01,routine context,context,high,,,,practice row
F-00512,JUMP-01,routine context,context,high,,,,practice row
F-00513,FIN-WS-14,routine context,context,high,,,,practice row
F-00514,FILE-02,routine context,context,high,,,,practice row
F-00515,JUMP-01,routine context,context,high,,,,practice row
F-00516,APP-API-03,routine context,context,high,,,,practice row
F-00517,DEPLOY-01,routine context,context,high,,,,practice row
F-00518,FIN-WS-14,routine context,context,high,,,,practice row
F-00519,FIN-WS-14,routine context,context,high,,,,practice row
F-00520,FILE-02,routine context,context,high,,,,practice row
F-00521,JUMP-01,routine context,context,high,,,,practice row
F-00522,FIN-WS-14,routine context,context,high,,,,practice row
F-00523,APP-API-03,routine context,context,high,,,,practice row
F-00524,DEPLOY-01,routine context,context,high,,,,practice row
F-00525,APP-API-03,routine context,context,high,,,,practice row
F-00526,APP-API-02,routine context,context,high,,,,practice row
F-00527,FILE-02,routine context,context,high,,,,practice row
F-00528,JUMP-01,routine context,context,high,,,,practice row
F-00529,FIN-WS-14,routine context,context,high,,,,practice row
F-00530,FIN-WS-14,routine context,context,high,,,,practice row
F-00531,JUMP-01,routine context,context,high,,,,practice row
F-00532,APP-API-03,routine context,context,high,,,,practice row
F-00533,FIN-WS-14,routine context,context,high,,,,practice row
F-00534,FIN-WS-14,routine context,context,high,,,,practice row
F-00535,FILE-02,routine context,context,high,,,,practice row
F-00536,APP-API-03,routine context,context,high,,,,practice row
F-00537,FIN-WS-14,routine context,context,high,,,,practice row
F-00538,FILE-02,routine context,context,high,,,,practice row
F-00539,APP-API-03,routine context,context,high,,,,practice row
F-00540,APP-API-03,routine context,context,high,,,,practice row
F-00541,APP-API-02,routine context,context,high,,,,practice row
F-00542,JUMP-01,routine context,context,high,,,,practice row
F-00543,JUMP-01,routine context,context,high,,,,practice row
F-00544,FILE-02,routine context,context,high,,,,practice row
F-00545,FIN-WS-14,routine context,context,high,,,,practice row
F-00546,FIN-WS-14,routine context,context,high,,,,practice row
F-00547,DEPLOY-01,routine context,context,high,,,,practice row
F-00548,DEPLOY-01,routine context,context,high,,,,practice row
F-00549,APP-API-03,routine context,context,high,,,,practice row
F-00550,FILE-02,routine context,context,high,,,,practice row
F-00551,FILE-02,routine context,context,high,,,,practice row
F-00552,DEPLOY-01,routine context,context,high,,,,practice row
F-00553,DEPLOY-01,routine context,context,high,,,,practice row
F-00554,DEPLOY-01,routine context,context,high,,,,practice row
F-00555,FIN-WS-14,routine context,context,high,,,,practice row
F-00556,APP-API-02,routine context,context,high,,,,practice row
F-00557,FILE-02,routine context,context,high,,,,practice row
F-00558,DEPLOY-01,routine context,context,high,,,,practice row
F-00559,FIN-WS-14,routine context,context,high,,,,practice row
F-00560,DEPLOY-01,routine context,context,high,,,,practice row
F-00561,APP-API-02,routine context,context,high,,,,practice row
F-00562,FIN-WS-14,routine context,context,high,,,,practice row
F-00563,JUMP-01,routine context,context,high,,,,practice row
F-00564,FILE-02,routine context,context,high,,,,practice row
F-00565,JUMP-01,routine context,context,high,,,,practice row
F-00566,APP-API-02,routine context,context,high,,,,practice row
F-00567,APP-API-02,routine context,context,high,,,,practice row
F-00568,JUMP-01,routine context,context,high,,,,practice row
F-00569,JUMP-01,routine context,context,high,,,,practice row
F-00570,APP-API-03,routine context,context,high,,,,practice row
F-00571,APP-API-02,routine context,context,high,,,,practice row
F-00572,JUMP-01,routine context,context,high,,,,practice row
F-00573,JUMP-01,routine context,context,high,,,,practice row
F-00574,FILE-02,routine context,context,high,,,,practice row
F-00575,DEPLOY-01,routine context,context,high,,,,practice row
F-00576,JUMP-01,routine context,context,high,,,,practice row
F-00577,JUMP-01,routine context,context,high,,,,practice row
F-00578,FIN-WS-14,routine context,context,high,,,,practice row
F-00579,APP-API-03,routine context,context,high,,,,practice row
F-00580,APP-API-03,routine context,context,high,,,,practice row
F-00581,JUMP-01,routine context,context,high,,,,practice row
F-00582,FILE-02,routine context,context,high,,,,practice row
F-00583,FILE-02,routine context,context,high,,,,practice row
F-00584,FIN-WS-14,routine context,context,high,,,,practice row
F-00585,JUMP-01,routine context,context,high,,,,practice row
F-00586,JUMP-01,routine context,context,high,,,,practice row
F-00587,FIN-WS-14,routine context,context,high,,,,practice row
F-00588,APP-API-03,routine context,context,high,,,,practice row
F-00589,FIN-WS-14,routine context,context,high,,,,practice row
F-00590,APP-API-03,routine context,context,high,,,,practice row
F-00591,JUMP-01,routine context,context,high,,,,practice row
F-00592,FILE-02,routine context,context,high,,,,practice row
F-00593,APP-API-02,routine context,context,high,,,,practice row
F-00594,APP-API-03,routine context,context,high,,,,practice row
F-00595,JUMP-01,routine context,context,high,,,,practice row
F-00596,FILE-02,routine context,context,high,,,,practice row
F-00597,DEPLOY-01,routine context,context,high,,,,practice row
F-00598,APP-API-03,routine context,context,high,,,,practice row
F-00599,FIN-WS-14,routine context,context,high,,,,practice row
F-00600,FIN-WS-14,routine context,context,high,,,,practice row
F-00601,FIN-WS-14,routine context,context,high,,,,practice row
F-00602,FIN-WS-14,routine context,context,high,,,,practice row
F-00603,FILE-02,routine context,context,high,,,,practice row
F-00604,JUMP-01,routine context,context,high,,,,practice row
F-00605,APP-API-03,routine context,context,high,,,,practice row
