event_id,_time,actor,target_user,action,result,classification,note
ACT-00370,2026-08-18T13:49:08Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00735,2026-08-18T13:50:13Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01062,2026-08-18T13:53:59Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00119,2026-08-18T13:54:20Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01631,2026-08-18T13:54:57Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01374,2026-08-18T13:57:27Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01261,2026-08-18T13:57:29Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00145,2026-08-18T14:01:23Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00879,2026-08-18T14:02:14Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01295,2026-08-18T14:08:12Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00071,2026-08-18T14:12:13Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01119,2026-08-18T14:14:59Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01034,2026-08-18T14:18:54Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01686,2026-08-18T14:20:42Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01434,2026-08-18T14:23:22Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01321,2026-08-18T14:27:51Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-INC-001,2026-08-18T14:35:00Z,ACME\helpdesk1,ACME\mrivera,password_reset,success,response,reset after confirmed compromise
ACT-INC-002,2026-08-18T14:36:00Z,SOC-AUTOMATION,ACME\mrivera,revoke_interactive_sessions,partial,response,endpoint sessions targeted
ACT-01144,2026-08-18T14:42:12Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01304,2026-08-18T14:42:44Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01047,2026-08-18T14:47:09Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-INC-003,2026-08-18T14:49:00Z,ACME\jsmith,ACME\mrivera,disable_account,success,response,disabled after post-reset use
ACT-INC-004,2026-08-18T14:50:00Z,ACME\jsmith,ACME\mrivera,revoke_all_sessions,success,response,full revocation
ACT-01498,2026-08-18T14:51:55Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00796,2026-08-18T15:00:16Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00233,2026-08-18T15:03:07Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00685,2026-08-18T15:06:01Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01078,2026-08-18T15:08:02Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01782,2026-08-18T15:11:33Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00532,2026-08-18T15:23:19Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01107,2026-08-18T15:28:41Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01192,2026-08-18T15:29:48Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00588,2026-08-18T15:31:29Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00876,2026-08-18T15:39:57Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01130,2026-08-18T15:40:55Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00486,2026-08-18T15:52:11Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00552,2026-08-18T15:59:52Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01421,2026-08-18T16:06:56Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01592,2026-08-18T16:07:15Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00135,2026-08-18T16:09:01Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00209,2026-08-18T16:11:52Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00855,2026-08-18T16:14:39Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01327,2026-08-18T16:18:01Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01767,2026-08-18T16:21:25Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00318,2026-08-18T16:23:45Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01256,2026-08-18T16:27:35Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01306,2026-08-18T16:27:38Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00833,2026-08-18T16:31:05Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01140,2026-08-18T16:32:00Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01315,2026-08-18T16:35:52Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01014,2026-08-18T16:44:58Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01411,2026-08-18T16:52:43Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01238,2026-08-18T16:59:21Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00864,2026-08-18T17:01:37Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01649,2026-08-18T17:02:28Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01060,2026-08-18T17:04:34Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00495,2026-08-18T17:13:33Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01218,2026-08-18T17:26:39Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01738,2026-08-18T17:27:40Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00003,2026-08-18T17:28:14Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01227,2026-08-18T17:37:56Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01037,2026-08-18T17:38:16Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00485,2026-08-18T17:43:22Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00246,2026-08-18T17:44:40Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01464,2026-08-18T17:45:09Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00936,2026-08-18T17:46:45Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00999,2026-08-18T17:54:00Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00271,2026-08-18T17:54:47Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00954,2026-08-18T17:54:57Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00415,2026-08-18T17:58:38Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00041,2026-08-18T17:59:53Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00948,2026-08-18T18:01:07Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00684,2026-08-18T18:05:01Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00341,2026-08-18T18:05:50Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01173,2026-08-18T18:08:58Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01345,2026-08-18T18:09:57Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00262,2026-08-18T18:11:42Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00411,2026-08-18T18:14:57Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00267,2026-08-18T18:16:15Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00503,2026-08-18T18:21:41Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00907,2026-08-18T18:22:19Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01044,2026-08-18T18:35:11Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01759,2026-08-18T18:48:25Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01518,2026-08-18T18:49:20Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01480,2026-08-18T18:56:42Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01169,2026-08-18T18:59:29Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01558,2026-08-18T19:09:02Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01540,2026-08-18T19:11:52Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01209,2026-08-18T19:19:44Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01555,2026-08-18T19:23:05Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01164,2026-08-18T19:25:55Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00721,2026-08-18T19:26:31Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01597,2026-08-18T19:26:33Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01783,2026-08-18T19:27:33Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01211,2026-08-18T19:29:06Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00663,2026-08-18T19:29:37Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01013,2026-08-18T19:29:56Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00033,2026-08-18T19:30:56Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01776,2026-08-18T19:34:05Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01339,2026-08-18T19:35:23Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00268,2026-08-18T19:37:38Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00869,2026-08-18T19:42:31Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00014,2026-08-18T19:52:56Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00846,2026-08-18T19:53:39Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01071,2026-08-18T19:54:45Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00892,2026-08-18T19:56:30Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00467,2026-08-18T19:56:37Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00688,2026-08-18T20:01:04Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01413,2026-08-18T20:06:44Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01535,2026-08-18T20:08:48Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01352,2026-08-18T20:09:07Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01507,2026-08-18T20:10:00Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01310,2026-08-18T20:16:02Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01706,2026-08-18T20:16:45Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01101,2026-08-18T20:23:41Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00239,2026-08-18T20:31:03Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01008,2026-08-18T20:44:14Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00603,2026-08-18T20:49:43Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00986,2026-08-18T20:52:12Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00893,2026-08-18T20:53:44Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00489,2026-08-18T20:56:58Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00225,2026-08-18T21:00:44Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00946,2026-08-18T21:01:41Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01672,2026-08-18T21:11:25Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01741,2026-08-18T21:16:16Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00862,2026-08-18T21:23:44Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01319,2026-08-18T21:24:05Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01791,2026-08-18T21:26:15Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00784,2026-08-18T21:28:17Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00631,2026-08-18T21:34:35Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00395,2026-08-18T21:35:11Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00883,2026-08-18T21:41:21Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00985,2026-08-18T21:43:59Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00161,2026-08-18T21:44:53Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01514,2026-08-18T21:46:26Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01431,2026-08-18T21:47:21Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00585,2026-08-18T21:54:56Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00389,2026-08-18T21:58:23Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01620,2026-08-18T21:58:24Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01516,2026-08-18T21:59:27Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00938,2026-08-18T22:00:16Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00932,2026-08-18T22:06:36Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01395,2026-08-18T22:13:59Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00055,2026-08-18T22:23:16Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00845,2026-08-18T22:27:52Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00700,2026-08-18T22:37:53Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01009,2026-08-18T22:40:42Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00781,2026-08-18T22:48:44Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01443,2026-08-18T22:50:07Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00266,2026-08-18T22:51:09Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01120,2026-08-18T22:53:10Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00257,2026-08-18T22:57:29Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01463,2026-08-18T22:58:08Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00324,2026-08-18T22:58:33Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00574,2026-08-18T23:00:20Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00179,2026-08-18T23:07:54Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00048,2026-08-18T23:10:19Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01523,2026-08-18T23:14:08Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01247,2026-08-18T23:16:37Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01477,2026-08-18T23:20:35Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00059,2026-08-18T23:25:40Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01342,2026-08-18T23:35:04Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01338,2026-08-18T23:35:45Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00972,2026-08-18T23:40:32Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01138,2026-08-18T23:44:58Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01503,2026-08-18T23:47:57Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00287,2026-08-18T23:51:57Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00192,2026-08-18T23:52:07Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00921,2026-08-18T23:52:25Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00545,2026-08-18T23:56:53Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01728,2026-08-19T00:07:02Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00757,2026-08-19T00:09:24Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-00353,2026-08-19T00:16:50Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01068,2026-08-19T00:17:02Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01090,2026-08-19T00:19:01Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00263,2026-08-19T00:26:39Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00511,2026-08-19T00:26:47Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00282,2026-08-19T00:42:43Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01790,2026-08-19T00:53:05Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-01007,2026-08-19T00:54:51Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-01294,2026-08-19T01:04:02Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00256,2026-08-19T01:05:54Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-01667,2026-08-19T01:09:15Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00025,2026-08-19T01:14:41Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01645,2026-08-19T01:17:02Z,ACME\helpdesk1,ACME\svc_print,ticket_review,success,benign,routine identity administration
ACT-00635,2026-08-19T01:22:30Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01106,2026-08-19T01:23:28Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00111,2026-08-19T01:25:31Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01457,2026-08-19T01:26:42Z,ACME\helpdesk1,ACME\svc_backup,ticket_review,success,benign,routine identity administration
ACT-00830,2026-08-19T01:33:00Z,ACME\helpdesk1,NT AUTHORITY\SYSTEM,ticket_review,success,benign,routine identity administration
ACT-00180,2026-08-19T01:37:04Z,ACME\helpdesk1,ACME\mrivera,ticket_review,success,benign,routine identity administration
ACT-01671,2026-08-19T01:39:55Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00334,2026-08-19T01:48:15Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-00130,2026-08-19T01:52:08Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
ACT-01245,2026-08-19T01:55:57Z,ACME\helpdesk1,ACME\jsmith,ticket_review,success,benign,routine identity administration
