detection_id,_time,severity,title,host,user,expected_decision,note
ATD-007-00314,2026-08-18T14:44:18Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00234,2026-08-18T14:49:16Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-00315,2026-08-18T14:49:59Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-005,2026-08-18T14:52:00Z,medium,Admin Access to Scoped Host,FILE-02,ACME\jsmith,response,authorized responder
ATD-007-00838,2026-08-18T14:52:48Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00759,2026-08-18T14:53:13Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00815,2026-08-18T14:56:31Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00424,2026-08-18T14:57:28Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-01298,2026-08-18T14:58:05Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-01748,2026-08-18T15:02:12Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-00970,2026-08-18T15:07:29Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-01159,2026-08-18T15:14:24Z,low,Background Review,PRINT-01,ACME\jsmith,context,background detection
ATD-007-01672,2026-08-18T15:17:55Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00530,2026-08-18T15:19:22Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-01048,2026-08-18T15:19:28Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-00612,2026-08-18T15:23:17Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-01086,2026-08-18T15:25:36Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00781,2026-08-18T15:30:57Z,low,Background Review,APP-API-02,ACME\jsmith,context,background detection
ATD-007-00352,2026-08-18T15:31:29Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01705,2026-08-18T15:43:58Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-00191,2026-08-18T15:58:18Z,low,Background Review,PRINT-01,ACME\jsmith,context,background detection
ATD-007-01314,2026-08-18T15:58:31Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-01070,2026-08-18T16:00:30Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00201,2026-08-18T16:06:01Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-01408,2026-08-18T16:14:25Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00989,2026-08-18T16:15:08Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-00543,2026-08-18T16:21:06Z,low,Background Review,PRINT-01,ACME\jsmith,context,background detection
ATD-007-00503,2026-08-18T16:21:08Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00466,2026-08-18T16:30:11Z,low,Background Review,PRINT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01058,2026-08-18T16:31:42Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00416,2026-08-18T16:33:14Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00735,2026-08-18T16:33:33Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00489,2026-08-18T16:35:22Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-01799,2026-08-18T16:41:48Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-00791,2026-08-18T16:44:01Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-00998,2026-08-18T16:45:04Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-00911,2026-08-18T16:48:37Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-01724,2026-08-18T16:52:57Z,low,Background Review,FILE-02,ACME\mrivera,context,background detection
ATD-007-01578,2026-08-18T17:06:35Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00830,2026-08-18T17:13:47Z,low,Background Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01238,2026-08-18T17:17:51Z,low,Background Review,DC-01,ACME\svc_backup,context,background detection
ATD-007-01063,2026-08-18T17:19:06Z,low,Background Review,DC-01,ACME\mrivera,context,background detection
ATD-007-00494,2026-08-18T17:19:57Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00402,2026-08-18T17:21:00Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-01669,2026-08-18T17:24:46Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-01073,2026-08-18T17:35:41Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-01585,2026-08-18T17:39:41Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01270,2026-08-18T17:42:54Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00888,2026-08-18T17:42:59Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00153,2026-08-18T17:43:01Z,low,Background Review,DC-01,ACME\svc_backup,context,background detection
ATD-007-00642,2026-08-18T17:47:49Z,low,Background Review,PRINT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00041,2026-08-18T17:50:01Z,low,Background Review,FILE-02,ACME\jsmith,context,background detection
ATD-007-00039,2026-08-18T17:52:16Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00540,2026-08-18T18:03:34Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-00310,2026-08-18T18:04:44Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-00246,2026-08-18T18:05:21Z,low,Background Review,BACKUP-01,ACME\svc_backup,context,background detection
ATD-007-00558,2026-08-18T18:11:39Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-01628,2026-08-18T18:18:03Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00027,2026-08-18T18:19:31Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01336,2026-08-18T18:23:33Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-01561,2026-08-18T18:27:42Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00138,2026-08-18T18:32:51Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01582,2026-08-18T18:32:52Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-00834,2026-08-18T18:40:37Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-01587,2026-08-18T18:55:34Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00697,2026-08-18T18:55:51Z,low,Background Review,FILE-02,ACME\svc_backup,context,background detection
ATD-007-01631,2026-08-18T18:56:28Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-01750,2026-08-18T18:59:40Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-01588,2026-08-18T19:00:48Z,low,Background Review,APP-API-02,ACME\mrivera,context,background detection
ATD-007-00833,2026-08-18T19:05:48Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00897,2026-08-18T19:08:53Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-01802,2026-08-18T19:10:57Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00608,2026-08-18T19:11:26Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01778,2026-08-18T19:17:16Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00908,2026-08-18T19:21:07Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00423,2026-08-18T19:21:37Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00814,2026-08-18T19:21:37Z,low,Background Review,BACKUP-01,ACME\svc_backup,context,background detection
ATD-007-01555,2026-08-18T19:29:23Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-00160,2026-08-18T19:32:54Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-01437,2026-08-18T19:34:23Z,low,Background Review,FILE-02,ACME\mrivera,context,background detection
ATD-007-01066,2026-08-18T19:38:44Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00696,2026-08-18T19:39:16Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-00150,2026-08-18T19:41:39Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00701,2026-08-18T19:42:52Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00178,2026-08-18T19:45:48Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00709,2026-08-18T19:48:16Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01074,2026-08-18T19:50:06Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-00521,2026-08-18T19:50:27Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00430,2026-08-18T19:53:41Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-01005,2026-08-18T19:55:50Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-00616,2026-08-18T19:57:26Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-00978,2026-08-18T19:58:28Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-01803,2026-08-18T20:13:04Z,low,Background Review,DC-01,ACME\mrivera,context,background detection
ATD-007-01319,2026-08-18T20:40:54Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00248,2026-08-18T20:42:42Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-01665,2026-08-18T20:46:51Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00623,2026-08-18T20:47:05Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00382,2026-08-18T20:47:39Z,low,Background Review,PRINT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01638,2026-08-18T20:48:00Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-00127,2026-08-18T20:54:48Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01136,2026-08-18T21:00:49Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-00772,2026-08-18T21:02:59Z,low,Background Review,FILE-02,ACME\jsmith,context,background detection
ATD-007-00680,2026-08-18T21:04:46Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-01377,2026-08-18T21:17:50Z,low,Background Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01119,2026-08-18T21:21:38Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00082,2026-08-18T21:24:05Z,low,Background Review,APP-API-02,ACME\jsmith,context,background detection
ATD-007-00065,2026-08-18T21:26:51Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01325,2026-08-18T21:26:54Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-01095,2026-08-18T21:38:50Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-01675,2026-08-18T21:39:58Z,low,Background Review,FILE-02,ACME\jsmith,context,background detection
ATD-007-00679,2026-08-18T21:43:44Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-01137,2026-08-18T21:49:03Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-00975,2026-08-18T22:03:38Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-00355,2026-08-18T22:07:06Z,low,Background Review,DC-01,ACME\mrivera,context,background detection
ATD-007-00297,2026-08-18T22:12:45Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00022,2026-08-18T22:13:31Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-00328,2026-08-18T22:22:14Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00017,2026-08-18T22:23:20Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-01658,2026-08-18T22:23:35Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01384,2026-08-18T22:24:18Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00786,2026-08-18T22:24:51Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00745,2026-08-18T22:26:28Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-00155,2026-08-18T22:37:49Z,low,Background Review,DC-01,ACME\mrivera,context,background detection
ATD-007-00214,2026-08-18T22:38:02Z,low,Background Review,APP-API-02,ACME\jsmith,context,background detection
ATD-007-01725,2026-08-18T22:39:19Z,low,Background Review,BACKUP-01,ACME\svc_print,context,background detection
ATD-007-00631,2026-08-18T22:47:13Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00728,2026-08-18T22:56:42Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-01624,2026-08-18T23:02:46Z,low,Background Review,BACKUP-01,ACME\svc_backup,context,background detection
ATD-007-00913,2026-08-18T23:08:46Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-00563,2026-08-18T23:12:41Z,low,Background Review,APP-API-02,ACME\svc_print,context,background detection
ATD-007-01603,2026-08-18T23:14:15Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-01747,2026-08-18T23:16:50Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01626,2026-08-18T23:17:04Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-00751,2026-08-18T23:17:51Z,low,Background Review,APP-API-02,ACME\jsmith,context,background detection
ATD-007-01562,2026-08-18T23:30:08Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00183,2026-08-18T23:32:55Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01535,2026-08-18T23:38:35Z,low,Background Review,BACKUP-01,ACME\mrivera,context,background detection
ATD-007-01183,2026-08-18T23:39:43Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-00379,2026-08-18T23:41:54Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00370,2026-08-18T23:49:49Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01060,2026-08-18T23:51:13Z,low,Background Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00953,2026-08-18T23:52:18Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00267,2026-08-18T23:53:55Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01263,2026-08-18T23:59:18Z,low,Background Review,BACKUP-01,ACME\svc_backup,context,background detection
ATD-007-01620,2026-08-18T23:59:37Z,low,Background Review,PRINT-01,ACME\jsmith,context,background detection
ATD-007-01602,2026-08-19T00:00:58Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-00720,2026-08-19T00:01:55Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-00732,2026-08-19T00:11:07Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00590,2026-08-19T00:18:19Z,low,Background Review,BACKUP-01,ACME\svc_backup,context,background detection
ATD-007-00592,2026-08-19T00:28:51Z,low,Background Review,DC-01,ACME\svc_backup,context,background detection
ATD-007-00594,2026-08-19T00:34:28Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-01687,2026-08-19T00:35:46Z,low,Background Review,DC-01,ACME\svc_print,context,background detection
ATD-007-00114,2026-08-19T00:38:38Z,low,Background Review,PRINT-01,ACME\svc_backup,context,background detection
ATD-007-00140,2026-08-19T00:42:40Z,low,Background Review,FILE-02,ACME\svc_print,context,background detection
ATD-007-01127,2026-08-19T00:44:56Z,low,Background Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-007-01443,2026-08-19T00:58:49Z,low,Background Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-007-01068,2026-08-19T01:03:53Z,low,Background Review,DC-01,ACME\mrivera,context,background detection
ATD-007-01357,2026-08-19T01:07:07Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-01691,2026-08-19T01:19:36Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00661,2026-08-19T01:20:17Z,low,Background Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00898,2026-08-19T01:23:25Z,low,Background Review,APP-API-02,ACME\mrivera,context,background detection
ATD-007-00848,2026-08-19T01:25:19Z,low,Background Review,BACKUP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01035,2026-08-19T01:28:25Z,low,Background Review,BACKUP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01052,2026-08-19T01:34:31Z,low,Background Review,DC-01,ACME\svc_print,context,background detection
ATD-007-01306,2026-08-19T01:35:16Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-00484,2026-08-19T01:36:06Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00385,2026-08-19T01:42:55Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-01773,2026-08-19T01:43:35Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-00512,2026-08-19T01:53:36Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-00952,2026-08-19T01:55:18Z,low,Background Review,BACKUP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00748,2026-08-19T01:55:25Z,low,Background Review,JUMP-01,ACME\jsmith,context,background detection
ATD-007-00854,2026-08-19T01:58:51Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01654,2026-08-19T02:00:45Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01621,2026-08-19T02:05:19Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01223,2026-08-19T02:06:08Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01713,2026-08-19T02:08:29Z,low,Background Review,DC-01,ACME\svc_backup,context,background detection
ATD-007-00983,2026-08-19T02:10:08Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-00764,2026-08-19T02:12:18Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00350,2026-08-19T02:14:42Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00736,2026-08-19T02:22:02Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00098,2026-08-19T02:28:13Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-00711,2026-08-19T02:31:33Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-00284,2026-08-19T02:31:41Z,low,Background Review,FILE-02,ACME\mrivera,context,background detection
ATD-007-01131,2026-08-19T02:33:17Z,low,Background Review,DC-01,ACME\jsmith,context,background detection
ATD-007-00704,2026-08-19T02:37:20Z,low,Background Review,PRINT-01,ACME\svc_print,context,background detection
ATD-007-01362,2026-08-19T02:40:36Z,low,Background Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-007-01335,2026-08-19T02:40:44Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-01315,2026-08-19T02:42:36Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
ATD-007-00948,2026-08-19T02:48:21Z,low,Background Review,PRINT-01,ACME\mrivera,context,background detection
ATD-007-00157,2026-08-19T02:54:45Z,low,Background Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00321,2026-08-19T02:56:04Z,low,Background Review,PRINT-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01639,2026-08-19T03:00:03Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00097,2026-08-19T03:04:43Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-01468,2026-08-19T03:05:23Z,low,Background Review,APP-API-02,ACME\mrivera,context,background detection
ATD-007-00870,2026-08-19T03:08:08Z,low,Background Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-007-00345,2026-08-19T03:20:16Z,low,Background Review,JUMP-01,ACME\mrivera,context,background detection
ATD-007-00872,2026-08-19T03:21:47Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00585,2026-08-19T03:24:46Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00481,2026-08-19T03:28:52Z,low,Background Review,DC-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-00835,2026-08-19T03:29:33Z,low,Background Review,BACKUP-01,ACME\jsmith,context,background detection
ATD-007-00437,2026-08-19T03:34:02Z,low,Background Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-007-00177,2026-08-19T03:35:18Z,low,Background Review,DC-01,ACME\svc_print,context,background detection
ATD-007-00883,2026-08-19T03:35:26Z,low,Background Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-007-01678,2026-08-19T03:37:28Z,low,Background Review,JUMP-01,ACME\svc_print,context,background detection
ATD-007-00147,2026-08-19T03:40:28Z,low,Background Review,FIN-WS-14,ACME\svc_print,context,background detection
