event_id,_time,host,user,parent_process_name,process_name,command_line,classification,note
PROC-00963,2026-08-18T13:52:54Z,JUMP-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01648,2026-08-18T14:01:27Z,JUMP-01,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00936,2026-08-18T14:10:29Z,DC-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00389,2026-08-18T14:13:21Z,FIN-WS-14,ACME\jsmith,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-01325,2026-08-18T14:20:05Z,FIN-WS-14,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-00373,2026-08-18T14:20:17Z,JUMP-01,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-00765,2026-08-18T14:23:48Z,DC-01,NT AUTHORITY\SYSTEM,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01279,2026-08-18T14:25:48Z,DC-01,ACME\jsmith,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01459,2026-08-18T14:26:05Z,FILE-02,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00948,2026-08-18T14:29:02Z,JUMP-01,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00657,2026-08-18T14:31:52Z,FILE-02,ACME\jsmith,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00564,2026-08-18T14:32:36Z,PRINT-01,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-CTX-001,2026-08-18T14:33:00Z,FIN-WS-14,ACME\mrivera,powershell.exe,rundll32.exe,"rundll32.exe C:\ProgramData\Cache\stage.dll,Start",malicious,known prior compromise
PROC-00602,2026-08-18T14:35:39Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01445,2026-08-18T14:37:54Z,BACKUP-01,NT AUTHORITY\SYSTEM,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00270,2026-08-18T14:38:43Z,FIN-WS-14,ACME\svc_print,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01451,2026-08-18T14:38:56Z,FIN-WS-14,ACME\jsmith,services.exe,powershell.exe,routine process,benign,routine process
PROC-00113,2026-08-18T14:39:35Z,APP-API-02,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00839,2026-08-18T14:43:38Z,FIN-WS-14,ACME\jsmith,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01675,2026-08-18T14:43:46Z,APP-API-02,ACME\mrivera,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00533,2026-08-18T14:44:02Z,DC-01,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,routine process,benign,routine process
PROC-INC-001,2026-08-18T14:44:09Z,FILE-02,ACME\mrivera,explorer.exe,cmd.exe,cmd.exe /c dir \\FILE-02\Finance$ && copy \\FILE-02\Finance$\Q3.xlsx C:\Users\Public\Q3.xlsx,investigate,interactive finance file access
PROC-INC-002,2026-08-18T14:44:31Z,FILE-02,ACME\mrivera,cmd.exe,powershell.exe,powershell.exe -NoProfile -Command Get-ChildItem C:\Users\Public\Q3.xlsx,investigate,follow-on command
PROC-BEN-001,2026-08-18T14:45:12Z,FILE-02,ACME\svc_backup,services.exe,backup-agent.exe,backup-agent.exe --job nightly-finance,benign,scheduled backup
PROC-00938,2026-08-18T14:45:44Z,FIN-WS-14,ACME\mrivera,services.exe,powershell.exe,routine process,benign,routine process
PROC-01228,2026-08-18T14:46:45Z,FIN-WS-14,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-RESP-001,2026-08-18T14:52:20Z,FILE-02,ACME\jsmith,explorer.exe,cmd.exe,cmd.exe /c whoami && quser && netstat -ano,response,responder triage
PROC-01185,2026-08-18T14:52:34Z,APP-API-02,ACME\mrivera,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01115,2026-08-18T14:53:38Z,BACKUP-01,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01553,2026-08-18T15:16:51Z,JUMP-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00716,2026-08-18T15:27:38Z,BACKUP-01,ACME\mrivera,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01476,2026-08-18T15:31:57Z,JUMP-01,ACME\jsmith,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01782,2026-08-18T15:37:47Z,JUMP-01,ACME\jsmith,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01074,2026-08-18T15:38:43Z,PRINT-01,ACME\svc_print,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00415,2026-08-18T15:39:38Z,FIN-WS-14,ACME\svc_print,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00889,2026-08-18T15:40:23Z,DC-01,ACME\svc_backup,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-00348,2026-08-18T15:41:19Z,PRINT-01,ACME\mrivera,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01337,2026-08-18T15:42:43Z,BACKUP-01,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-01643,2026-08-18T15:42:59Z,PRINT-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00323,2026-08-18T15:44:28Z,JUMP-01,NT AUTHORITY\SYSTEM,services.exe,cmd.exe,routine process,benign,routine process
PROC-01745,2026-08-18T15:47:36Z,APP-API-02,ACME\svc_backup,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00129,2026-08-18T15:51:01Z,FILE-02,ACME\mrivera,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01075,2026-08-18T15:53:19Z,DC-01,ACME\svc_print,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-01028,2026-08-18T15:58:31Z,FIN-WS-14,ACME\svc_print,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00531,2026-08-18T16:02:39Z,JUMP-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01167,2026-08-18T16:02:56Z,APP-API-02,ACME\svc_backup,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00753,2026-08-18T16:10:35Z,PRINT-01,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00616,2026-08-18T16:12:04Z,FIN-WS-14,ACME\svc_backup,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00620,2026-08-18T16:13:26Z,BACKUP-01,ACME\svc_print,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01086,2026-08-18T16:13:35Z,PRINT-01,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00125,2026-08-18T16:18:38Z,PRINT-01,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-01628,2026-08-18T16:22:13Z,APP-API-02,ACME\jsmith,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00835,2026-08-18T16:24:56Z,APP-API-02,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01044,2026-08-18T16:52:00Z,JUMP-01,ACME\mrivera,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01487,2026-08-18T16:52:05Z,JUMP-01,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00294,2026-08-18T17:00:38Z,BACKUP-01,ACME\jsmith,services.exe,powershell.exe,routine process,benign,routine process
PROC-00475,2026-08-18T17:13:51Z,JUMP-01,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01704,2026-08-18T17:18:11Z,BACKUP-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00184,2026-08-18T17:19:40Z,BACKUP-01,ACME\jsmith,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01608,2026-08-18T17:21:10Z,PRINT-01,ACME\jsmith,services.exe,powershell.exe,routine process,benign,routine process
PROC-00326,2026-08-18T17:22:19Z,BACKUP-01,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01263,2026-08-18T17:22:25Z,PRINT-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00263,2026-08-18T17:24:26Z,FIN-WS-14,ACME\svc_print,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01285,2026-08-18T17:27:14Z,FIN-WS-14,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01418,2026-08-18T17:30:09Z,BACKUP-01,ACME\mrivera,services.exe,cmd.exe,routine process,benign,routine process
PROC-01517,2026-08-18T17:30:46Z,BACKUP-01,NT AUTHORITY\SYSTEM,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00311,2026-08-18T17:33:13Z,FILE-02,ACME\mrivera,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01129,2026-08-18T17:38:56Z,PRINT-01,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01707,2026-08-18T17:43:15Z,DC-01,ACME\mrivera,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00644,2026-08-18T17:44:00Z,APP-API-02,ACME\svc_backup,services.exe,cmd.exe,routine process,benign,routine process
PROC-01607,2026-08-18T17:50:32Z,PRINT-01,ACME\mrivera,services.exe,powershell.exe,routine process,benign,routine process
PROC-01238,2026-08-18T17:51:01Z,FILE-02,ACME\svc_backup,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00015,2026-08-18T17:51:24Z,JUMP-01,ACME\mrivera,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00874,2026-08-18T17:52:36Z,APP-API-02,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01447,2026-08-18T17:53:53Z,PRINT-01,ACME\svc_print,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00524,2026-08-18T18:10:08Z,FILE-02,NT AUTHORITY\SYSTEM,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01703,2026-08-18T18:10:21Z,DC-01,ACME\jsmith,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00135,2026-08-18T18:18:44Z,FIN-WS-14,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01293,2026-08-18T18:20:01Z,DC-01,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00222,2026-08-18T18:23:47Z,FILE-02,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01159,2026-08-18T18:34:47Z,PRINT-01,ACME\jsmith,services.exe,powershell.exe,routine process,benign,routine process
PROC-00597,2026-08-18T18:49:13Z,FILE-02,NT AUTHORITY\SYSTEM,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01141,2026-08-18T18:53:21Z,FILE-02,ACME\jsmith,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01406,2026-08-18T18:55:51Z,BACKUP-01,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00869,2026-08-18T18:57:46Z,FIN-WS-14,ACME\mrivera,services.exe,powershell.exe,routine process,benign,routine process
PROC-00829,2026-08-18T18:57:58Z,APP-API-02,ACME\mrivera,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00999,2026-08-18T19:00:51Z,FILE-02,ACME\mrivera,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00407,2026-08-18T19:08:10Z,JUMP-01,ACME\svc_print,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00064,2026-08-18T19:09:58Z,DC-01,ACME\mrivera,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00467,2026-08-18T19:15:03Z,DC-01,ACME\mrivera,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00198,2026-08-18T19:28:51Z,DC-01,ACME\mrivera,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00145,2026-08-18T19:31:57Z,PRINT-01,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01667,2026-08-18T19:34:13Z,DC-01,ACME\jsmith,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01635,2026-08-18T19:34:54Z,DC-01,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,routine process,benign,routine process
PROC-01366,2026-08-18T19:39:46Z,FILE-02,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-00246,2026-08-18T19:47:26Z,PRINT-01,ACME\svc_backup,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00422,2026-08-18T19:53:30Z,PRINT-01,ACME\svc_backup,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01095,2026-08-18T20:00:47Z,DC-01,ACME\svc_backup,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01246,2026-08-18T20:01:51Z,FILE-02,NT AUTHORITY\SYSTEM,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00112,2026-08-18T20:06:34Z,BACKUP-01,ACME\mrivera,services.exe,cmd.exe,routine process,benign,routine process
PROC-01446,2026-08-18T20:24:21Z,APP-API-02,ACME\svc_print,services.exe,cmd.exe,routine process,benign,routine process
PROC-00432,2026-08-18T20:26:24Z,PRINT-01,NT AUTHORITY\SYSTEM,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-00229,2026-08-18T20:29:55Z,FILE-02,ACME\svc_print,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-00923,2026-08-18T20:30:08Z,APP-API-02,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00438,2026-08-18T20:34:26Z,PRINT-01,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00193,2026-08-18T20:35:27Z,BACKUP-01,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00827,2026-08-18T20:36:07Z,PRINT-01,NT AUTHORITY\SYSTEM,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00499,2026-08-18T20:44:37Z,DC-01,ACME\svc_backup,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00838,2026-08-18T20:56:45Z,FILE-02,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-01230,2026-08-18T21:00:37Z,PRINT-01,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00009,2026-08-18T21:07:52Z,FIN-WS-14,ACME\jsmith,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00484,2026-08-18T21:14:14Z,FILE-02,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01496,2026-08-18T21:14:26Z,PRINT-01,ACME\svc_print,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01162,2026-08-18T21:15:50Z,FIN-WS-14,ACME\mrivera,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00313,2026-08-18T21:39:37Z,JUMP-01,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00507,2026-08-18T21:41:23Z,FIN-WS-14,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01720,2026-08-18T21:41:38Z,BACKUP-01,ACME\mrivera,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01378,2026-08-18T21:44:11Z,FIN-WS-14,NT AUTHORITY\SYSTEM,services.exe,powershell.exe,routine process,benign,routine process
PROC-00618,2026-08-18T21:48:37Z,BACKUP-01,NT AUTHORITY\SYSTEM,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00196,2026-08-18T21:56:05Z,PRINT-01,ACME\jsmith,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01697,2026-08-18T21:56:27Z,FILE-02,NT AUTHORITY\SYSTEM,services.exe,cmd.exe,routine process,benign,routine process
PROC-01489,2026-08-18T21:58:02Z,APP-API-02,ACME\mrivera,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01729,2026-08-18T22:01:43Z,DC-01,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00813,2026-08-18T22:05:05Z,APP-API-02,NT AUTHORITY\SYSTEM,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01182,2026-08-18T22:11:29Z,BACKUP-01,ACME\mrivera,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-00664,2026-08-18T22:16:19Z,FILE-02,ACME\mrivera,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00272,2026-08-18T22:17:15Z,FILE-02,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-00994,2026-08-18T22:22:12Z,JUMP-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00248,2026-08-18T22:39:16Z,PRINT-01,ACME\svc_print,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00502,2026-08-18T22:41:43Z,FILE-02,ACME\svc_backup,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00572,2026-08-18T22:45:26Z,DC-01,ACME\svc_print,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-01610,2026-08-18T22:45:27Z,BACKUP-01,ACME\mrivera,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01589,2026-08-18T22:46:13Z,APP-API-02,NT AUTHORITY\SYSTEM,taskeng.exe,robocopy.exe,routine process,benign,routine process
PROC-00453,2026-08-18T22:50:34Z,FIN-WS-14,ACME\mrivera,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00543,2026-08-18T22:53:31Z,JUMP-01,ACME\mrivera,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01302,2026-08-18T22:54:32Z,JUMP-01,NT AUTHORITY\SYSTEM,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00513,2026-08-18T22:55:49Z,APP-API-02,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-01358,2026-08-18T23:03:04Z,JUMP-01,ACME\jsmith,services.exe,robocopy.exe,routine process,benign,routine process
PROC-01377,2026-08-18T23:08:03Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01217,2026-08-18T23:13:30Z,APP-API-02,ACME\svc_backup,services.exe,powershell.exe,routine process,benign,routine process
PROC-01277,2026-08-18T23:16:34Z,FILE-02,ACME\svc_backup,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01195,2026-08-18T23:18:46Z,FILE-02,NT AUTHORITY\SYSTEM,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-01311,2026-08-18T23:20:36Z,PRINT-01,ACME\jsmith,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-00342,2026-08-18T23:28:09Z,PRINT-01,ACME\svc_backup,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00817,2026-08-18T23:35:27Z,FIN-WS-14,ACME\jsmith,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00624,2026-08-18T23:38:45Z,BACKUP-01,ACME\jsmith,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-01346,2026-08-18T23:39:24Z,DC-01,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00253,2026-08-18T23:48:55Z,FILE-02,ACME\mrivera,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00575,2026-08-18T23:50:56Z,BACKUP-01,NT AUTHORITY\SYSTEM,services.exe,cmd.exe,routine process,benign,routine process
PROC-01282,2026-08-18T23:52:14Z,BACKUP-01,ACME\jsmith,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-00240,2026-08-18T23:57:51Z,DC-01,ACME\svc_backup,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00103,2026-08-18T23:58:07Z,DC-01,ACME\svc_print,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-00681,2026-08-19T00:01:50Z,FILE-02,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00292,2026-08-19T00:02:01Z,DC-01,ACME\mrivera,services.exe,robocopy.exe,routine process,benign,routine process
PROC-00720,2026-08-19T00:04:00Z,DC-01,ACME\svc_backup,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01339,2026-08-19T00:06:51Z,FILE-02,ACME\mrivera,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00008,2026-08-19T00:08:52Z,DC-01,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01645,2026-08-19T00:09:36Z,PRINT-01,ACME\jsmith,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01342,2026-08-19T00:13:07Z,BACKUP-01,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01231,2026-08-19T00:14:16Z,PRINT-01,ACME\mrivera,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00183,2026-08-19T00:27:59Z,FIN-WS-14,NT AUTHORITY\SYSTEM,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01580,2026-08-19T00:33:52Z,FIN-WS-14,ACME\svc_print,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01488,2026-08-19T00:34:54Z,FIN-WS-14,ACME\svc_backup,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01494,2026-08-19T00:35:20Z,BACKUP-01,ACME\jsmith,explorer.exe,cmd.exe,routine process,benign,routine process
PROC-00886,2026-08-19T00:41:58Z,FIN-WS-14,ACME\svc_backup,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-01079,2026-08-19T00:47:09Z,DC-01,ACME\svc_backup,explorer.exe,backup-agent.exe,routine process,benign,routine process
PROC-01706,2026-08-19T00:50:07Z,APP-API-02,ACME\svc_backup,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-01299,2026-08-19T00:53:28Z,JUMP-01,ACME\svc_print,services.exe,powershell.exe,routine process,benign,routine process
PROC-00379,2026-08-19T00:54:52Z,JUMP-01,ACME\jsmith,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-01735,2026-08-19T00:58:36Z,DC-01,ACME\jsmith,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-00465,2026-08-19T01:07:24Z,FILE-02,ACME\svc_backup,explorer.exe,powershell.exe,routine process,benign,routine process
PROC-00285,2026-08-19T01:07:57Z,PRINT-01,NT AUTHORITY\SYSTEM,explorer.exe,robocopy.exe,routine process,benign,routine process
PROC-01750,2026-08-19T01:11:05Z,BACKUP-01,ACME\jsmith,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-01728,2026-08-19T01:14:16Z,DC-01,NT AUTHORITY\SYSTEM,services.exe,backup-agent.exe,routine process,benign,routine process
PROC-01244,2026-08-19T01:25:07Z,BACKUP-01,ACME\svc_print,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-01403,2026-08-19T01:28:02Z,FILE-02,ACME\jsmith,services.exe,cmd.exe,routine process,benign,routine process
PROC-01542,2026-08-19T01:28:17Z,FILE-02,ACME\svc_print,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00114,2026-08-19T01:29:46Z,BACKUP-01,ACME\mrivera,taskeng.exe,powershell.exe,routine process,benign,routine process
PROC-00986,2026-08-19T01:30:54Z,DC-01,ACME\jsmith,taskeng.exe,backup-agent.exe,routine process,benign,routine process
PROC-01276,2026-08-19T01:32:21Z,PRINT-01,NT AUTHORITY\SYSTEM,taskeng.exe,cmd.exe,routine process,benign,routine process
PROC-00088,2026-08-19T01:35:26Z,PRINT-01,ACME\svc_print,explorer.exe,powershell.exe,routine process,benign,routine process
