id,_time,host,artifact,status,publisher,classification
TRUST-N-00092,2026-09-19T13:44:12Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03818,2026-09-19T13:44:17Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-06866,2026-09-19T13:45:20Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-08384,2026-09-19T13:45:55Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-00086,2026-09-19T13:46:53Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-04169,2026-09-19T13:47:04Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-02595,2026-09-19T13:47:34Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-04309,2026-09-19T13:47:43Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-01631,2026-09-19T13:48:14Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-01910,2026-09-19T13:50:13Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-01932,2026-09-19T13:50:51Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-08260,2026-09-19T13:51:34Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-02374,2026-09-19T13:54:36Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-06938,2026-09-19T13:54:36Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-09454,2026-09-19T13:56:35Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-04553,2026-09-19T13:56:37Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-08236,2026-09-19T13:56:47Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03945,2026-09-19T13:56:51Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-06249,2026-09-19T13:56:53Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00171,2026-09-19T13:57:43Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-05672,2026-09-19T13:58:20Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-06210,2026-09-19T13:58:26Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-09806,2026-09-19T13:58:57Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-01288,2026-09-19T13:59:15Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-09083,2026-09-19T14:00:37Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-08674,2026-09-19T14:00:55Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-03531,2026-09-19T14:02:17Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-03873,2026-09-19T14:02:19Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-07144,2026-09-19T14:02:45Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-04076,2026-09-19T14:02:46Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-05557,2026-09-19T14:03:02Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-08166,2026-09-19T14:03:56Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00974,2026-09-19T14:04:09Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-01238,2026-09-19T14:04:21Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00535,2026-09-19T14:04:35Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-07379,2026-09-19T14:05:17Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-01745,2026-09-19T14:05:20Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-06172,2026-09-19T14:06:18Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-01591,2026-09-19T14:06:24Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-08100,2026-09-19T14:06:55Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-05427,2026-09-19T14:07:25Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-02794,2026-09-19T14:09:05Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-03108,2026-09-19T14:09:42Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-04900,2026-09-19T14:09:58Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-02640,2026-09-19T14:10:15Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-08467,2026-09-19T14:10:19Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-03013,2026-09-19T14:10:20Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-04072,2026-09-19T14:10:47Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-09877,2026-09-19T14:10:51Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05052,2026-09-19T14:11:21Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05454,2026-09-19T14:11:56Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-09937,2026-09-19T14:12:19Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-01909,2026-09-19T14:12:43Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-00825,2026-09-19T14:12:44Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-06803,2026-09-19T14:14:48Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-03060,2026-09-19T14:15:44Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-07942,2026-09-19T14:15:47Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-06369,2026-09-19T14:15:52Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-09156,2026-09-19T14:17:05Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-06641,2026-09-19T14:18:01Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-06791,2026-09-19T14:18:06Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-02709,2026-09-19T14:18:26Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-02187,2026-09-19T14:18:59Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-05271,2026-09-19T14:19:43Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-02444,2026-09-19T14:21:14Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-08488,2026-09-19T14:22:20Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-09292,2026-09-19T14:22:26Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-01294,2026-09-19T14:23:16Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-00689,2026-09-19T14:23:36Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-07374,2026-09-19T14:24:30Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-07715,2026-09-19T14:24:39Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03258,2026-09-19T14:29:03Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-01821,2026-09-19T14:29:18Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-07782,2026-09-19T14:29:19Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-03660,2026-09-19T14:30:05Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-08776,2026-09-19T14:30:15Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-03586,2026-09-19T14:30:34Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-09523,2026-09-19T14:30:59Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-07929,2026-09-19T14:31:41Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-00351,2026-09-19T14:33:55Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-06527,2026-09-19T14:35:27Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-08743,2026-09-19T14:35:27Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-00621,2026-09-19T14:36:59Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-04023,2026-09-19T14:37:09Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-01851,2026-09-19T14:37:32Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-00379,2026-09-19T14:37:56Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-01575,2026-09-19T14:37:57Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00377,2026-09-19T14:38:05Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-01431,2026-09-19T14:38:21Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-05630,2026-09-19T14:39:20Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00214,2026-09-19T14:39:27Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-03035,2026-09-19T14:41:10Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-00829,2026-09-19T14:41:12Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-03215,2026-09-19T14:41:27Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-01207,2026-09-19T14:42:00Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-04854,2026-09-19T14:42:16Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-02075,2026-09-19T14:43:47Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-06990,2026-09-19T14:45:03Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-00525,2026-09-19T14:45:07Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-02160,2026-09-19T14:45:25Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-07001,2026-09-19T14:45:58Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03387,2026-09-19T14:49:31Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-09074,2026-09-19T14:49:33Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05761,2026-09-19T14:50:06Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-04256,2026-09-19T14:50:39Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-04360,2026-09-19T14:51:19Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-06833,2026-09-19T14:52:06Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-04694,2026-09-19T14:52:14Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00342,2026-09-19T14:52:32Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-07414,2026-09-19T14:52:39Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-06671,2026-09-19T14:53:55Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-04157,2026-09-19T14:54:04Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-09707,2026-09-19T14:55:05Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00481,2026-09-19T14:56:15Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-07391,2026-09-19T14:57:11Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-07509,2026-09-19T14:57:14Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-07471,2026-09-19T14:57:43Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-03574,2026-09-19T14:58:20Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-05099,2026-09-19T14:58:58Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-04783,2026-09-19T14:59:06Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-03427,2026-09-19T14:59:14Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-06637,2026-09-19T14:59:18Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-02691,2026-09-19T14:59:21Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-09593,2026-09-19T14:59:22Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-06939,2026-09-19T14:59:55Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-01099,2026-09-19T15:00:02Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-08202,2026-09-19T15:01:02Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-03134,2026-09-19T15:01:57Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-06100,2026-09-19T15:02:26Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-02793,2026-09-19T15:02:44Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-06786,2026-09-19T15:02:47Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-02810,2026-09-19T15:02:48Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03003,2026-09-19T15:04:11Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-08640,2026-09-19T15:07:57Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-00671,2026-09-19T15:08:02Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-05069,2026-09-19T15:09:19Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-00226,2026-09-19T15:09:23Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-02055,2026-09-19T15:10:40Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-07052,2026-09-19T15:11:00Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-07285,2026-09-19T15:11:21Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-02319,2026-09-19T15:12:02Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-03566,2026-09-19T15:12:59Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-05940,2026-09-19T15:13:49Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00658,2026-09-19T15:14:09Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-06980,2026-09-19T15:15:15Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-00348,2026-09-19T15:15:41Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-06398,2026-09-19T15:16:27Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-08732,2026-09-19T15:16:39Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-06046,2026-09-19T15:17:47Z,FIN-WS-09,known software,trusted_internal,Known Publisher,benign
TRUST-N-05085,2026-09-19T15:18:04Z,FIN-WS-09,known software,signed,Known Publisher,benign
TRUST-N-07601,2026-09-19T15:20:08Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-00407,2026-09-19T15:20:52Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-07520,2026-09-19T15:20:56Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-00401,2026-09-19T15:21:33Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-07332,2026-09-19T15:21:46Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-06609,2026-09-19T15:22:40Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-04574,2026-09-19T15:23:14Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-06343,2026-09-19T15:25:46Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03575,2026-09-19T15:26:00Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-03009,2026-09-19T15:26:08Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-01164,2026-09-19T15:26:35Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-07963,2026-09-19T15:27:09Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-06975,2026-09-19T15:27:22Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-05513,2026-09-19T15:27:31Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-05272,2026-09-19T15:27:45Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-03484,2026-09-19T15:27:58Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-06771,2026-09-19T15:27:58Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-08899,2026-09-19T15:28:23Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-09385,2026-09-19T15:28:28Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-05167,2026-09-19T15:28:52Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-06244,2026-09-19T15:29:29Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-05616,2026-09-19T15:29:32Z,HR-WS-22,known software,trusted_internal,Known Publisher,benign
TRUST-N-09809,2026-09-19T15:29:51Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-04612,2026-09-19T15:33:30Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-04569,2026-09-19T15:34:36Z,APP-06,known software,signed,Known Publisher,benign
TRUST-N-00058,2026-09-19T15:34:52Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-04329,2026-09-19T15:35:12Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-08391,2026-09-19T15:35:20Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-08761,2026-09-19T15:38:00Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-00763,2026-09-19T15:39:36Z,MGMT-01,known software,signed,Known Publisher,benign
TRUST-N-08394,2026-09-19T15:39:41Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-03795,2026-09-19T15:39:43Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-00236,2026-09-19T15:40:38Z,PATCH-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-00211,2026-09-19T15:41:14Z,APP-06,known software,trusted_internal,Known Publisher,benign
TRUST-N-00724,2026-09-19T15:41:43Z,ENG-WS-17,known software,trusted_internal,Known Publisher,benign
TRUST-N-02571,2026-09-19T15:43:16Z,PATCH-01,known software,signed,Known Publisher,benign
TRUST-N-05115,2026-09-19T15:43:46Z,HR-WS-08,known software,signed,Known Publisher,benign
TRUST-N-00099,2026-09-19T15:44:53Z,HR-WS-22,known software,signed,Known Publisher,benign
TRUST-N-02516,2026-09-19T15:45:37Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-07884,2026-09-19T15:46:44Z,DC-01,known software,trusted_internal,Known Publisher,benign
TRUST-N-09018,2026-09-19T15:47:19Z,DC-01,known software,signed,Known Publisher,benign
TRUST-N-00419,2026-09-19T15:47:31Z,ENG-WS-17,known software,signed,Known Publisher,benign
TRUST-N-05880,2026-09-19T15:48:00Z,HR-WS-08,known software,trusted_internal,Known Publisher,benign
TRUST-N-03155,2026-09-19T15:48:55Z,MGMT-01,known software,trusted_internal,Known Publisher,benign
