id,_time,host,user,parent,process,command,classification
PROC-N-02714,2026-09-19T13:16:03Z,HR-WS-22,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-09980,2026-09-19T13:16:59Z,FIN-WS-09,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00143,2026-09-19T13:17:13Z,HR-WS-08,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01702,2026-09-19T13:17:41Z,MGMT-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05927,2026-09-19T13:19:01Z,APP-06,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-06459,2026-09-19T13:20:15Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-09342,2026-09-19T13:20:40Z,HR-WS-08,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04327,2026-09-19T13:21:13Z,PATCH-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02597,2026-09-19T13:21:26Z,PATCH-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07387,2026-09-19T13:23:52Z,DC-01,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02339,2026-09-19T13:23:58Z,APP-06,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00411,2026-09-19T13:24:47Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02676,2026-09-19T13:25:11Z,MGMT-01,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07214,2026-09-19T13:25:28Z,PATCH-01,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05731,2026-09-19T13:25:46Z,MGMT-01,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-06389,2026-09-19T13:27:27Z,ENG-WS-17,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03355,2026-09-19T13:28:46Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04212,2026-09-19T13:28:46Z,DC-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02643,2026-09-19T13:28:57Z,FIN-WS-09,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02428,2026-09-19T13:29:10Z,DC-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-09988,2026-09-19T13:29:30Z,ENG-WS-17,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01786,2026-09-19T13:30:07Z,APP-06,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-08492,2026-09-19T13:32:18Z,HR-WS-08,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04467,2026-09-19T13:34:21Z,HR-WS-22,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04596,2026-09-19T13:35:26Z,HR-WS-22,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03022,2026-09-19T13:39:47Z,FIN-WS-09,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-00616,2026-09-19T13:39:49Z,MGMT-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07216,2026-09-19T13:39:57Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07305,2026-09-19T13:39:59Z,HR-WS-08,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05317,2026-09-19T13:40:44Z,MGMT-01,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07225,2026-09-19T13:41:24Z,HR-WS-22,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05893,2026-09-19T13:42:44Z,MGMT-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07733,2026-09-19T13:43:03Z,MGMT-01,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04675,2026-09-19T13:44:13Z,DC-01,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05328,2026-09-19T13:44:27Z,HR-WS-22,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07326,2026-09-19T13:45:07Z,APP-06,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01614,2026-09-19T13:46:22Z,APP-06,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00069,2026-09-19T13:46:42Z,HR-WS-22,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03954,2026-09-19T13:47:04Z,DC-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02063,2026-09-19T13:47:39Z,ENG-WS-17,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-00317,2026-09-19T13:48:15Z,DC-01,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-09861,2026-09-19T13:48:58Z,APP-06,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-03506,2026-09-19T13:49:13Z,APP-06,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07211,2026-09-19T13:50:15Z,MGMT-01,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07275,2026-09-19T13:51:06Z,ENG-WS-17,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01431,2026-09-19T13:51:11Z,HR-WS-08,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04145,2026-09-19T13:52:03Z,HR-WS-08,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01762,2026-09-19T13:52:07Z,ENG-WS-17,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03944,2026-09-19T13:52:09Z,PATCH-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03363,2026-09-19T13:52:38Z,FIN-WS-09,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02551,2026-09-19T13:52:44Z,APP-06,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-06061,2026-09-19T13:53:00Z,DC-01,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03766,2026-09-19T13:55:24Z,APP-06,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07507,2026-09-19T13:55:54Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01155,2026-09-19T13:56:07Z,PATCH-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05854,2026-09-19T13:56:56Z,MGMT-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-06066,2026-09-19T13:57:50Z,PATCH-01,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09482,2026-09-19T13:58:01Z,HR-WS-08,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00992,2026-09-19T13:58:10Z,HR-WS-08,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08089,2026-09-19T13:58:31Z,APP-06,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03319,2026-09-19T13:58:49Z,APP-06,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09087,2026-09-19T13:59:01Z,DC-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04811,2026-09-19T13:59:03Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01526,2026-09-19T13:59:43Z,MGMT-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-06905,2026-09-19T13:59:44Z,APP-06,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04577,2026-09-19T14:00:01Z,APP-06,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02588,2026-09-19T14:00:28Z,HR-WS-08,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07546,2026-09-19T14:01:14Z,MGMT-01,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08257,2026-09-19T14:01:37Z,HR-WS-08,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04633,2026-09-19T14:02:12Z,HR-WS-08,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-08281,2026-09-19T14:03:26Z,HR-WS-08,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01330,2026-09-19T14:03:39Z,FIN-WS-09,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02373,2026-09-19T14:03:52Z,APP-06,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02297,2026-09-19T14:04:30Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02204,2026-09-19T14:04:32Z,PATCH-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02358,2026-09-19T14:04:33Z,PATCH-01,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08223,2026-09-19T14:04:36Z,PATCH-01,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01464,2026-09-19T14:04:49Z,PATCH-01,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02954,2026-09-19T14:05:05Z,DC-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00804,2026-09-19T14:05:18Z,PATCH-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-05675,2026-09-19T14:09:12Z,HR-WS-08,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09390,2026-09-19T14:09:12Z,DC-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-06916,2026-09-19T14:09:17Z,DC-01,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01326,2026-09-19T14:09:31Z,APP-06,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02124,2026-09-19T14:09:36Z,HR-WS-22,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03503,2026-09-19T14:09:42Z,DC-01,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01823,2026-09-19T14:10:01Z,HR-WS-22,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03991,2026-09-19T14:11:55Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-08971,2026-09-19T14:12:15Z,MGMT-01,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06163,2026-09-19T14:12:37Z,FIN-WS-09,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01052,2026-09-19T14:13:05Z,PATCH-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05792,2026-09-19T14:13:44Z,HR-WS-22,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04724,2026-09-19T14:14:41Z,MGMT-01,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-02639,2026-09-19T14:15:32Z,MGMT-01,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07582,2026-09-19T14:18:07Z,APP-06,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-02991,2026-09-19T14:18:20Z,HR-WS-22,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-00120,2026-09-19T14:19:50Z,MGMT-01,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01968,2026-09-19T14:20:13Z,FIN-WS-09,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06034,2026-09-19T14:21:27Z,HR-WS-08,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07685,2026-09-19T14:22:42Z,HR-WS-22,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08881,2026-09-19T14:22:51Z,PATCH-01,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03314,2026-09-19T14:22:54Z,DC-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09807,2026-09-19T14:23:11Z,HR-WS-22,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07200,2026-09-19T14:24:44Z,MGMT-01,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04137,2026-09-19T14:25:00Z,HR-WS-22,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07671,2026-09-19T14:26:52Z,ENG-WS-17,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03682,2026-09-19T14:27:00Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05617,2026-09-19T14:27:15Z,MGMT-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-08344,2026-09-19T14:27:32Z,APP-06,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03112,2026-09-19T14:27:57Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06852,2026-09-19T14:28:07Z,APP-06,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04580,2026-09-19T14:28:22Z,HR-WS-22,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-03494,2026-09-19T14:29:19Z,MGMT-01,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00759,2026-09-19T14:29:25Z,MGMT-01,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01210,2026-09-19T14:31:27Z,APP-06,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02053,2026-09-19T14:31:38Z,HR-WS-22,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-09647,2026-09-19T14:31:45Z,PATCH-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00461,2026-09-19T14:32:14Z,APP-06,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06344,2026-09-19T14:32:18Z,HR-WS-22,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07815,2026-09-19T14:34:42Z,FIN-WS-09,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-05878,2026-09-19T14:35:10Z,HR-WS-08,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04098,2026-09-19T14:35:33Z,HR-WS-22,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-08710,2026-09-19T14:36:07Z,APP-06,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-05357,2026-09-19T14:36:42Z,APP-06,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04096,2026-09-19T14:36:49Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07929,2026-09-19T14:37:46Z,MGMT-01,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02097,2026-09-19T14:37:52Z,HR-WS-08,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02891,2026-09-19T14:38:45Z,HR-WS-08,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07612,2026-09-19T14:38:52Z,MGMT-01,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08920,2026-09-19T14:39:04Z,PATCH-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-09233,2026-09-19T14:39:19Z,HR-WS-22,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08134,2026-09-19T14:39:43Z,PATCH-01,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-07135,2026-09-19T14:40:48Z,HR-WS-08,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06179,2026-09-19T14:41:26Z,HR-WS-08,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09875,2026-09-19T14:41:45Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00706,2026-09-19T14:42:27Z,DC-01,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00989,2026-09-19T14:42:56Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-01318,2026-09-19T14:44:38Z,HR-WS-22,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01492,2026-09-19T14:44:43Z,APP-06,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-02721,2026-09-19T14:45:29Z,APP-06,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-05123,2026-09-19T14:45:41Z,APP-06,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08984,2026-09-19T14:47:34Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05377,2026-09-19T14:47:47Z,PATCH-01,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00206,2026-09-19T14:49:01Z,HR-WS-08,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-00556,2026-09-19T14:49:30Z,PATCH-01,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-06564,2026-09-19T14:50:22Z,PATCH-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00566,2026-09-19T14:50:23Z,FIN-WS-09,SYSTEM,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08166,2026-09-19T14:50:42Z,HR-WS-08,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07710,2026-09-19T14:51:18Z,PATCH-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04129,2026-09-19T14:51:55Z,PATCH-01,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04020,2026-09-19T14:52:19Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-06523,2026-09-19T14:52:59Z,DC-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00110,2026-09-19T14:53:18Z,HR-WS-22,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-02537,2026-09-19T14:53:23Z,APP-06,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04135,2026-09-19T14:54:25Z,HR-WS-08,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01513,2026-09-19T14:54:26Z,HR-WS-08,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03941,2026-09-19T14:54:38Z,FIN-WS-09,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07473,2026-09-19T14:54:39Z,HR-WS-22,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-00995,2026-09-19T14:56:03Z,APP-06,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-03063,2026-09-19T14:56:22Z,APP-06,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-09097,2026-09-19T14:56:28Z,HR-WS-22,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01198,2026-09-19T14:58:23Z,ENG-WS-17,ACME\\jsmith,explorer.exe,cmd.exe,routine activity,benign
PROC-N-08031,2026-09-19T15:00:39Z,HR-WS-22,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01601,2026-09-19T15:01:02Z,ENG-WS-17,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-01480,2026-09-19T15:01:32Z,HR-WS-22,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-05796,2026-09-19T15:01:57Z,DC-01,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-08992,2026-09-19T15:01:57Z,APP-06,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-05109,2026-09-19T15:02:09Z,FIN-WS-09,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04223,2026-09-19T15:03:57Z,DC-01,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07302,2026-09-19T15:04:07Z,HR-WS-08,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-02061,2026-09-19T15:04:13Z,HR-WS-08,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-03821,2026-09-19T15:05:48Z,DC-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-07532,2026-09-19T15:05:54Z,DC-01,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-08406,2026-09-19T15:07:10Z,PATCH-01,ACME\\svc_patch,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03743,2026-09-19T15:07:50Z,APP-06,SYSTEM,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07537,2026-09-19T15:08:14Z,FIN-WS-09,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08143,2026-09-19T15:08:25Z,HR-WS-22,ACME\\mgarcia,explorer.exe,Teams.exe,routine activity,benign
PROC-N-08718,2026-09-19T15:08:53Z,HR-WS-08,ACME\\svc_patch,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-02183,2026-09-19T15:09:19Z,APP-06,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-06863,2026-09-19T15:10:29Z,ENG-WS-17,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-04627,2026-09-19T15:11:48Z,DC-01,ACME\\jsmith,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-01249,2026-09-19T15:11:55Z,DC-01,ACME\\lchen,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07557,2026-09-19T15:12:21Z,ENG-WS-17,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-02071,2026-09-19T15:12:37Z,APP-06,SYSTEM,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00489,2026-09-19T15:12:48Z,HR-WS-22,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04456,2026-09-19T15:12:59Z,HR-WS-22,ACME\\svc_patch,explorer.exe,cmd.exe,routine activity,benign
PROC-N-04876,2026-09-19T15:13:57Z,FIN-WS-09,ACME\\jsmith,explorer.exe,Teams.exe,routine activity,benign
PROC-N-04511,2026-09-19T15:14:49Z,MGMT-01,ACME\\mgarcia,explorer.exe,OneDrive.exe,routine activity,benign
PROC-N-00032,2026-09-19T15:15:38Z,PATCH-01,ACME\\lchen,explorer.exe,Teams.exe,routine activity,benign
PROC-N-03073,2026-09-19T15:15:38Z,HR-WS-22,ACME\\mgarcia,explorer.exe,cmd.exe,routine activity,benign
PROC-N-07321,2026-09-19T15:16:15Z,APP-06,ACME\\lchen,explorer.exe,OneDrive.exe,routine activity,benign
