id,_time,host,user,action,path,process,classification
FILE-N-07741,2026-09-19T13:31:58Z,ENG-WS-17,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-07578,2026-09-19T13:32:00Z,HR-WS-22,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-06424,2026-09-19T13:35:35Z,PATCH-01,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-00295,2026-09-19T13:35:45Z,MGMT-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-02895,2026-09-19T13:35:53Z,PATCH-01,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-02343,2026-09-19T13:36:06Z,HR-WS-22,SYSTEM,read,approved operational file,approved process,benign
FILE-N-01886,2026-09-19T13:36:43Z,DC-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-00466,2026-09-19T13:37:20Z,HR-WS-22,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-02448,2026-09-19T13:37:34Z,MGMT-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-07525,2026-09-19T13:37:54Z,APP-06,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-08557,2026-09-19T13:38:08Z,PATCH-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-07644,2026-09-19T13:38:14Z,ENG-WS-17,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-00199,2026-09-19T13:38:36Z,HR-WS-08,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-04011,2026-09-19T13:38:44Z,DC-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-09828,2026-09-19T13:39:22Z,PATCH-01,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-04716,2026-09-19T13:40:04Z,ENG-WS-17,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-07500,2026-09-19T13:40:12Z,DC-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-02963,2026-09-19T13:42:00Z,HR-WS-08,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-06196,2026-09-19T13:42:30Z,HR-WS-08,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-05783,2026-09-19T13:42:33Z,APP-06,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-03561,2026-09-19T13:44:52Z,MGMT-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-04904,2026-09-19T13:45:12Z,MGMT-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-08271,2026-09-19T13:45:30Z,ENG-WS-17,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-07371,2026-09-19T13:46:41Z,MGMT-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-09301,2026-09-19T13:47:56Z,MGMT-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-01399,2026-09-19T13:49:07Z,HR-WS-22,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-07664,2026-09-19T13:49:16Z,PATCH-01,SYSTEM,read,approved operational file,approved process,benign
FILE-N-00564,2026-09-19T13:49:42Z,APP-06,SYSTEM,read,approved operational file,approved process,benign
FILE-N-02483,2026-09-19T13:50:23Z,PATCH-01,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-04626,2026-09-19T13:50:26Z,HR-WS-08,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-09590,2026-09-19T13:51:19Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-07452,2026-09-19T13:51:40Z,HR-WS-22,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-07911,2026-09-19T13:53:01Z,APP-06,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-05741,2026-09-19T13:53:08Z,HR-WS-08,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-01434,2026-09-19T13:53:55Z,APP-06,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-01056,2026-09-19T13:54:25Z,MGMT-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-05590,2026-09-19T13:55:06Z,ENG-WS-17,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-05521,2026-09-19T13:55:40Z,PATCH-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-06792,2026-09-19T13:55:45Z,HR-WS-08,SYSTEM,read,approved operational file,approved process,benign
FILE-N-08184,2026-09-19T13:56:42Z,HR-WS-22,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-02872,2026-09-19T13:56:53Z,DC-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-07850,2026-09-19T13:57:36Z,HR-WS-08,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-04238,2026-09-19T13:58:31Z,DC-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-02753,2026-09-19T13:58:43Z,PATCH-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-06519,2026-09-19T13:59:32Z,HR-WS-08,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-04954,2026-09-19T13:59:36Z,HR-WS-08,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-08379,2026-09-19T13:59:37Z,APP-06,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-02447,2026-09-19T14:00:01Z,PATCH-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-07172,2026-09-19T14:00:57Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-08753,2026-09-19T14:01:13Z,HR-WS-08,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-04575,2026-09-19T14:03:07Z,DC-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-01176,2026-09-19T14:03:12Z,APP-06,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-06551,2026-09-19T14:03:48Z,MGMT-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-06031,2026-09-19T14:06:21Z,FIN-WS-09,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-04185,2026-09-19T14:06:23Z,MGMT-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-03270,2026-09-19T14:06:39Z,HR-WS-22,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-00797,2026-09-19T14:06:40Z,HR-WS-08,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-02743,2026-09-19T14:07:08Z,FIN-WS-09,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-03482,2026-09-19T14:07:14Z,PATCH-01,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-04974,2026-09-19T14:08:20Z,HR-WS-08,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-02604,2026-09-19T14:08:24Z,ENG-WS-17,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-05439,2026-09-19T14:08:28Z,MGMT-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-07017,2026-09-19T14:08:56Z,HR-WS-08,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-04724,2026-09-19T14:10:03Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-09721,2026-09-19T14:10:13Z,FIN-WS-09,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-09569,2026-09-19T14:11:32Z,DC-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-04359,2026-09-19T14:11:45Z,HR-WS-08,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-04607,2026-09-19T14:12:20Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-09388,2026-09-19T14:12:45Z,HR-WS-22,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-03451,2026-09-19T14:13:27Z,MGMT-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-09535,2026-09-19T14:14:03Z,DC-01,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-00676,2026-09-19T14:14:12Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-00840,2026-09-19T14:14:30Z,PATCH-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-04067,2026-09-19T14:14:32Z,APP-06,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-03049,2026-09-19T14:17:04Z,ENG-WS-17,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-08265,2026-09-19T14:17:27Z,APP-06,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-07989,2026-09-19T14:17:49Z,MGMT-01,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-04059,2026-09-19T14:18:23Z,HR-WS-22,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-03192,2026-09-19T14:19:30Z,APP-06,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-07923,2026-09-19T14:20:09Z,PATCH-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-02651,2026-09-19T14:21:20Z,HR-WS-22,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-01329,2026-09-19T14:21:41Z,ENG-WS-17,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-00346,2026-09-19T14:22:24Z,MGMT-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-04462,2026-09-19T14:22:31Z,MGMT-01,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-03657,2026-09-19T14:22:43Z,APP-06,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-09426,2026-09-19T14:22:49Z,MGMT-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-09076,2026-09-19T14:22:51Z,FIN-WS-09,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-02111,2026-09-19T14:23:25Z,FIN-WS-09,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-01759,2026-09-19T14:24:00Z,HR-WS-08,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-09574,2026-09-19T14:24:28Z,HR-WS-08,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-00518,2026-09-19T14:24:40Z,ENG-WS-17,SYSTEM,read,approved operational file,approved process,benign
FILE-N-01904,2026-09-19T14:25:17Z,HR-WS-08,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-00364,2026-09-19T14:25:52Z,ENG-WS-17,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-01519,2026-09-19T14:26:52Z,HR-WS-08,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-06684,2026-09-19T14:27:36Z,PATCH-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-00705,2026-09-19T14:28:05Z,DC-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-09596,2026-09-19T14:30:22Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-03268,2026-09-19T14:30:37Z,HR-WS-08,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-05310,2026-09-19T14:30:51Z,ENG-WS-17,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-04855,2026-09-19T14:31:19Z,APP-06,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-02228,2026-09-19T14:31:52Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-00812,2026-09-19T14:32:28Z,ENG-WS-17,SYSTEM,read,approved operational file,approved process,benign
FILE-N-07775,2026-09-19T14:32:46Z,APP-06,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-02620,2026-09-19T14:33:45Z,HR-WS-22,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-08875,2026-09-19T14:33:53Z,MGMT-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-00033,2026-09-19T14:34:14Z,HR-WS-22,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-00375,2026-09-19T14:34:43Z,ENG-WS-17,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-08326,2026-09-19T14:35:24Z,DC-01,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-03429,2026-09-19T14:36:33Z,PATCH-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-02606,2026-09-19T14:36:53Z,HR-WS-22,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-04726,2026-09-19T14:37:21Z,ENG-WS-17,SYSTEM,read,approved operational file,approved process,benign
FILE-N-02125,2026-09-19T14:37:22Z,ENG-WS-17,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-03848,2026-09-19T14:39:06Z,PATCH-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-01137,2026-09-19T14:39:20Z,APP-06,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-01887,2026-09-19T14:39:31Z,PATCH-01,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-07595,2026-09-19T14:40:26Z,HR-WS-22,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-00109,2026-09-19T14:40:46Z,ENG-WS-17,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-00766,2026-09-19T14:42:04Z,PATCH-01,SYSTEM,read,approved operational file,approved process,benign
FILE-N-08482,2026-09-19T14:42:09Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-03920,2026-09-19T14:42:39Z,ENG-WS-17,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-07318,2026-09-19T14:42:41Z,HR-WS-22,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-06310,2026-09-19T14:43:14Z,MGMT-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-03929,2026-09-19T14:44:52Z,DC-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-09224,2026-09-19T14:45:13Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-03791,2026-09-19T14:46:32Z,MGMT-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-03721,2026-09-19T14:46:51Z,FIN-WS-09,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-03216,2026-09-19T14:47:14Z,HR-WS-08,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-06042,2026-09-19T14:48:03Z,ENG-WS-17,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-04971,2026-09-19T14:48:06Z,PATCH-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-09169,2026-09-19T14:48:17Z,FIN-WS-09,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-01989,2026-09-19T14:48:34Z,FIN-WS-09,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-02526,2026-09-19T14:48:39Z,APP-06,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-03817,2026-09-19T14:49:45Z,FIN-WS-09,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-03433,2026-09-19T14:49:59Z,APP-06,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-06211,2026-09-19T14:51:00Z,HR-WS-22,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-04508,2026-09-19T14:51:55Z,PATCH-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-02316,2026-09-19T14:52:00Z,HR-WS-08,SYSTEM,create,approved operational file,approved process,benign
FILE-N-07700,2026-09-19T14:52:16Z,PATCH-01,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-02890,2026-09-19T14:53:35Z,HR-WS-22,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-04602,2026-09-19T14:53:51Z,HR-WS-08,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-01680,2026-09-19T14:53:58Z,APP-06,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-02880,2026-09-19T14:55:03Z,APP-06,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-00888,2026-09-19T14:55:38Z,PATCH-01,SYSTEM,create,approved operational file,approved process,benign
FILE-N-01181,2026-09-19T14:55:39Z,APP-06,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-05306,2026-09-19T14:55:56Z,PATCH-01,SYSTEM,read,approved operational file,approved process,benign
FILE-N-02685,2026-09-19T14:57:12Z,MGMT-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-07927,2026-09-19T14:57:24Z,HR-WS-08,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-02119,2026-09-19T14:57:48Z,ENG-WS-17,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-01346,2026-09-19T14:57:52Z,HR-WS-08,SYSTEM,read,approved operational file,approved process,benign
FILE-N-00108,2026-09-19T14:57:56Z,DC-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-00449,2026-09-19T14:59:02Z,HR-WS-08,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-00059,2026-09-19T14:59:25Z,ENG-WS-17,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-00196,2026-09-19T15:00:14Z,PATCH-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-09542,2026-09-19T15:00:17Z,MGMT-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-06930,2026-09-19T15:00:57Z,ENG-WS-17,SYSTEM,create,approved operational file,approved process,benign
FILE-N-06333,2026-09-19T15:01:25Z,ENG-WS-17,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-02018,2026-09-19T15:01:35Z,HR-WS-08,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-01998,2026-09-19T15:01:43Z,MGMT-01,SYSTEM,create,approved operational file,approved process,benign
FILE-N-07979,2026-09-19T15:01:46Z,HR-WS-08,ACME\\mgarcia,modify,approved operational file,approved process,benign
FILE-N-04872,2026-09-19T15:01:52Z,DC-01,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-09654,2026-09-19T15:02:06Z,HR-WS-22,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-07955,2026-09-19T15:02:37Z,FIN-WS-09,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-07705,2026-09-19T15:03:49Z,DC-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-00538,2026-09-19T15:04:45Z,ENG-WS-17,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-09239,2026-09-19T15:05:02Z,HR-WS-08,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-06812,2026-09-19T15:05:15Z,HR-WS-08,ACME\\svc_patch,modify,approved operational file,approved process,benign
FILE-N-06616,2026-09-19T15:06:05Z,MGMT-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-08806,2026-09-19T15:06:22Z,DC-01,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-01625,2026-09-19T15:07:20Z,ENG-WS-17,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-07042,2026-09-19T15:07:57Z,MGMT-01,SYSTEM,read,approved operational file,approved process,benign
FILE-N-03543,2026-09-19T15:08:27Z,FIN-WS-09,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-06114,2026-09-19T15:08:36Z,ENG-WS-17,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-02466,2026-09-19T15:08:40Z,DC-01,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-04929,2026-09-19T15:09:09Z,HR-WS-22,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-09738,2026-09-19T15:09:46Z,FIN-WS-09,ACME\\lchen,read,approved operational file,approved process,benign
FILE-N-09459,2026-09-19T15:10:14Z,MGMT-01,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-02000,2026-09-19T15:10:28Z,FIN-WS-09,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-00051,2026-09-19T15:12:04Z,ENG-WS-17,ACME\\svc_patch,create,approved operational file,approved process,benign
FILE-N-03472,2026-09-19T15:13:07Z,MGMT-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-03427,2026-09-19T15:13:31Z,HR-WS-08,ACME\\mgarcia,read,approved operational file,approved process,benign
FILE-N-07165,2026-09-19T15:13:54Z,HR-WS-08,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-00905,2026-09-19T15:15:06Z,DC-01,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-05153,2026-09-19T15:15:21Z,HR-WS-08,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-02844,2026-09-19T15:16:06Z,HR-WS-22,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-09554,2026-09-19T15:17:03Z,DC-01,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-04713,2026-09-19T15:17:35Z,FIN-WS-09,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-04314,2026-09-19T15:17:57Z,HR-WS-08,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-06837,2026-09-19T15:21:51Z,APP-06,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-05877,2026-09-19T15:22:47Z,ENG-WS-17,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-09621,2026-09-19T15:23:51Z,PATCH-01,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-04235,2026-09-19T15:24:43Z,ENG-WS-17,SYSTEM,read,approved operational file,approved process,benign
FILE-N-09868,2026-09-19T15:24:48Z,APP-06,SYSTEM,read,approved operational file,approved process,benign
FILE-N-05202,2026-09-19T15:25:09Z,PATCH-01,ACME\\jsmith,read,approved operational file,approved process,benign
FILE-N-09518,2026-09-19T15:25:30Z,ENG-WS-17,ACME\\jsmith,create,approved operational file,approved process,benign
FILE-N-06332,2026-09-19T15:26:04Z,ENG-WS-17,ACME\\jsmith,modify,approved operational file,approved process,benign
FILE-N-02225,2026-09-19T15:26:08Z,FIN-WS-09,SYSTEM,read,approved operational file,approved process,benign
FILE-N-07914,2026-09-19T15:26:41Z,DC-01,ACME\\svc_patch,read,approved operational file,approved process,benign
FILE-N-02036,2026-09-19T15:26:56Z,HR-WS-08,SYSTEM,modify,approved operational file,approved process,benign
FILE-N-06059,2026-09-19T15:27:10Z,HR-WS-08,ACME\\mgarcia,create,approved operational file,approved process,benign
FILE-N-04860,2026-09-19T15:27:29Z,APP-06,ACME\\lchen,modify,approved operational file,approved process,benign
FILE-N-03743,2026-09-19T15:27:41Z,HR-WS-22,ACME\\lchen,create,approved operational file,approved process,benign
FILE-N-09455,2026-09-19T15:27:51Z,APP-06,ACME\\mgarcia,modify,approved operational file,approved process,benign
