event_id,_time,host,file_path,trust_status,publisher,classification
TRUST-0362,2026-09-14T19:12:22Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0527,2026-09-14T19:33:21Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0580,2026-09-14T19:37:55Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0470,2026-09-14T19:56:18Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0213,2026-09-14T19:59:26Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0505,2026-09-14T20:22:33Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0364,2026-09-14T20:50:36Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0279,2026-09-14T20:51:57Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0464,2026-09-14T20:56:32Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0378,2026-09-14T20:58:38Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0540,2026-09-14T21:00:55Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0316,2026-09-14T21:09:15Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0176,2026-09-14T21:42:10Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0571,2026-09-14T21:54:51Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0253,2026-09-14T22:05:59Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0156,2026-09-14T22:12:25Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0590,2026-09-14T22:50:46Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0568,2026-09-14T22:56:27Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0343,2026-09-14T23:01:21Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0380,2026-09-14T23:23:04Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0445,2026-09-14T23:26:13Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0248,2026-09-14T23:37:38Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0172,2026-09-15T00:04:57Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0552,2026-09-15T00:05:10Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0485,2026-09-15T00:19:09Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0439,2026-09-15T00:57:51Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0451,2026-09-15T01:04:30Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0145,2026-09-15T02:10:50Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0576,2026-09-15T02:16:01Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0509,2026-09-15T02:18:16Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0355,2026-09-15T02:20:58Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0418,2026-09-15T02:53:55Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0515,2026-09-15T03:02:52Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0510,2026-09-15T03:08:38Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0522,2026-09-15T03:29:10Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0109,2026-09-15T03:32:35Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0327,2026-09-15T03:33:22Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0546,2026-09-15T03:51:31Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0260,2026-09-15T04:06:02Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0315,2026-09-15T04:13:42Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0136,2026-09-15T04:50:41Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0587,2026-09-15T05:06:29Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0104,2026-09-15T05:23:49Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0425,2026-09-15T05:55:52Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0388,2026-09-15T05:59:14Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0450,2026-09-15T06:16:21Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0592,2026-09-15T06:55:31Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0347,2026-09-15T07:09:07Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0441,2026-09-15T07:11:29Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0208,2026-09-15T07:35:37Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0271,2026-09-15T07:37:48Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0102,2026-09-15T07:57:45Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0367,2026-09-15T08:01:51Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0375,2026-09-15T08:17:45Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0177,2026-09-15T08:20:47Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0369,2026-09-15T08:39:03Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0110,2026-09-15T08:50:10Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0144,2026-09-15T08:54:40Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0349,2026-09-15T09:15:20Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0335,2026-09-15T09:20:05Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0547,2026-09-15T09:26:08Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0191,2026-09-15T09:46:15Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0305,2026-09-15T09:52:32Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0304,2026-09-15T10:01:13Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0472,2026-09-15T10:27:54Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0460,2026-09-15T10:36:24Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0320,2026-09-15T10:43:11Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0442,2026-09-15T10:48:36Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0154,2026-09-15T11:07:11Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0440,2026-09-15T11:20:45Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0241,2026-09-15T11:23:31Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0280,2026-09-15T11:28:04Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0162,2026-09-15T11:35:02Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0211,2026-09-15T12:02:43Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0595,2026-09-15T12:04:52Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0463,2026-09-15T12:21:46Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0562,2026-09-15T12:24:06Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0465,2026-09-15T12:26:48Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0119,2026-09-15T12:28:35Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0261,2026-09-15T12:38:04Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0405,2026-09-15T12:39:43Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0403,2026-09-15T13:02:18Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0141,2026-09-15T13:17:30Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0432,2026-09-15T13:17:30Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0123,2026-09-15T13:26:16Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0234,2026-09-15T13:27:50Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0469,2026-09-15T13:33:02Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0430,2026-09-15T13:34:13Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0306,2026-09-15T13:48:21Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0125,2026-09-15T14:26:28Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0593,2026-09-15T14:53:08Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0299,2026-09-15T15:15:25Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0168,2026-09-15T15:28:46Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0307,2026-09-15T15:38:43Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0346,2026-09-15T15:47:50Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0309,2026-09-15T15:49:07Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0157,2026-09-15T15:51:29Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0488,2026-09-15T15:51:38Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0385,2026-09-15T16:15:04Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0481,2026-09-15T16:36:00Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0494,2026-09-15T16:39:06Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0404,2026-09-15T16:51:50Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0531,2026-09-15T16:52:51Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0140,2026-09-15T16:53:42Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0359,2026-09-15T17:09:52Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0122,2026-09-15T17:24:35Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0293,2026-09-15T17:29:36Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0158,2026-09-15T17:39:34Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0263,2026-09-15T17:40:57Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0393,2026-09-15T17:56:48Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0174,2026-09-15T17:58:27Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0165,2026-09-15T18:00:33Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0438,2026-09-15T18:08:38Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0484,2026-09-15T18:10:18Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0427,2026-09-15T18:13:38Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0415,2026-09-15T18:30:35Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0468,2026-09-15T18:34:46Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0538,2026-09-15T18:44:13Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0227,2026-09-15T19:01:45Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0288,2026-09-15T19:16:26Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0303,2026-09-15T19:17:36Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0366,2026-09-15T19:17:47Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0358,2026-09-15T19:24:43Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0399,2026-09-15T19:46:16Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0503,2026-09-15T19:53:22Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0101,2026-09-15T20:07:50Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0251,2026-09-15T20:21:59Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0567,2026-09-15T20:38:31Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0324,2026-09-15T20:47:46Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0205,2026-09-15T20:50:53Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0397,2026-09-15T21:00:03Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0153,2026-09-15T21:21:06Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0577,2026-09-15T21:22:35Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0273,2026-09-15T21:42:01Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0326,2026-09-15T21:55:40Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0559,2026-09-15T22:01:59Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0344,2026-09-15T22:05:42Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0368,2026-09-15T22:17:59Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0458,2026-09-15T22:20:29Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0333,2026-09-15T22:23:46Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0206,2026-09-15T22:40:40Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0289,2026-09-15T22:48:19Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0516,2026-09-15T23:12:14Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0142,2026-09-15T23:28:08Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0334,2026-09-15T23:44:57Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0447,2026-09-15T23:51:06Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0454,2026-09-15T23:57:08Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0479,2026-09-16T00:02:00Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0292,2026-09-16T00:03:13Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0414,2026-09-16T00:33:34Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0443,2026-09-16T00:35:56Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0226,2026-09-16T00:58:23Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0401,2026-09-16T01:01:54Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0389,2026-09-16T01:03:06Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0317,2026-09-16T01:03:16Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0264,2026-09-16T01:31:00Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0348,2026-09-16T01:32:19Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0193,2026-09-16T02:21:11Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0556,2026-09-16T02:27:27Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0431,2026-09-16T02:55:35Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0392,2026-09-16T02:57:00Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0117,2026-09-16T02:57:22Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0308,2026-09-16T03:05:06Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0212,2026-09-16T03:06:43Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0396,2026-09-16T03:10:12Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0298,2026-09-16T03:18:18Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0228,2026-09-16T03:22:40Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0243,2026-09-16T03:26:28Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0459,2026-09-16T03:27:41Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0149,2026-09-16T03:40:40Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0152,2026-09-16T03:44:18Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0314,2026-09-16T03:46:12Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0543,2026-09-16T03:51:16Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0274,2026-09-16T04:14:58Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0223,2026-09-16T04:20:53Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0239,2026-09-16T04:21:20Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0318,2026-09-16T04:58:35Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0114,2026-09-16T05:08:37Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0219,2026-09-16T05:10:55Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0301,2026-09-16T05:12:58Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0508,2026-09-16T05:14:54Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0433,2026-09-16T05:18:35Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0507,2026-09-16T05:22:22Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0436,2026-09-16T05:27:17Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0150,2026-09-16T05:33:58Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0235,2026-09-16T06:03:50Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0420,2026-09-16T06:05:07Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0536,2026-09-16T06:17:00Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0435,2026-09-16T06:22:37Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0354,2026-09-16T06:24:34Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0190,2026-09-16T06:28:46Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0357,2026-09-16T06:31:59Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0115,2026-09-16T06:37:40Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0533,2026-09-16T06:50:15Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0170,2026-09-16T06:59:21Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0391,2026-09-16T07:21:15Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0557,2026-09-16T07:26:52Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0331,2026-09-16T08:06:35Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0257,2026-09-16T08:14:09Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0341,2026-09-16T08:16:50Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0360,2026-09-16T08:20:03Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0473,2026-09-16T08:23:13Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0185,2026-09-16T08:30:58Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0294,2026-09-16T08:45:20Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0475,2026-09-16T08:47:37Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0429,2026-09-16T08:55:16Z,MGMT-01,known application,trusted_internal,Known Publisher,benign
TRUST-0135,2026-09-16T09:35:28Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0424,2026-09-16T09:58:46Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0565,2026-09-16T10:02:48Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0594,2026-09-16T10:10:08Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0188,2026-09-16T10:12:01Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0545,2026-09-16T10:14:28Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0113,2026-09-16T10:17:07Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0111,2026-09-16T10:19:19Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0283,2026-09-16T10:35:36Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0356,2026-09-16T11:00:24Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0310,2026-09-16T11:14:31Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0477,2026-09-16T11:28:02Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0155,2026-09-16T11:36:20Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0383,2026-09-16T11:37:44Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0229,2026-09-16T11:50:26Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0222,2026-09-16T11:50:39Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0231,2026-09-16T12:00:55Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0121,2026-09-16T12:06:26Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0269,2026-09-16T12:11:27Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0563,2026-09-16T12:33:25Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0196,2026-09-16T12:52:35Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0550,2026-09-16T13:23:33Z,ENG-WS-17,known application,signed,Known Publisher,benign
TRUST-0387,2026-09-16T13:29:54Z,FIN-WS-09,known application,trusted_internal,Known Publisher,benign
TRUST-0417,2026-09-16T13:34:49Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0336,2026-09-16T13:35:22Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0148,2026-09-16T13:40:20Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0120,2026-09-16T13:43:01Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0449,2026-09-16T13:45:33Z,DC-01,known application,trusted_internal,Known Publisher,benign
TRUST-0100,2026-09-16T13:48:51Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0255,2026-09-16T13:55:55Z,JUMP-01,known application,trusted_internal,Known Publisher,benign
TRUST-0147,2026-09-16T14:01:00Z,ENG-WS-17,known application,trusted_internal,Known Publisher,benign
TRUST-0591,2026-09-16T14:19:09Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0410,2026-09-16T14:22:46Z,DC-01,known application,signed,Known Publisher,benign
TRUST-0501,2026-09-16T15:06:23Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0570,2026-09-16T15:09:26Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0448,2026-09-16T15:10:44Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0270,2026-09-16T15:14:15Z,HR-WS-04,known application,signed,Known Publisher,benign
TRUST-0267,2026-09-16T15:30:13Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0497,2026-09-16T15:32:52Z,JUMP-01,known application,signed,Known Publisher,benign
TRUST-0579,2026-09-16T15:36:36Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
TRUST-0245,2026-09-16T15:41:56Z,MGMT-01,known application,signed,Known Publisher,benign
TRUST-0530,2026-09-16T15:43:15Z,FIN-WS-09,known application,signed,Known Publisher,benign
TRUST-0513,2026-09-16T15:59:46Z,HR-WS-04,known application,trusted_internal,Known Publisher,benign
