event_id,_time,host,user,item_name,event,managed_by,classification
ITEM-0471,2026-09-14T19:41:14Z,HR-WS-04,SYSTEM,Teams,started,approved,benign
ITEM-0293,2026-09-14T19:41:43Z,HR-WS-04,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0353,2026-09-14T20:15:42Z,FIN-WS-09,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0276,2026-09-14T20:37:38Z,ENG-WS-17,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0488,2026-09-14T20:43:50Z,ENG-WS-17,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0382,2026-09-14T21:06:36Z,DC-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0218,2026-09-14T21:38:31Z,MGMT-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0173,2026-09-14T22:09:30Z,HR-WS-04,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0427,2026-09-14T22:16:56Z,DC-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0461,2026-09-14T22:34:16Z,MGMT-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0126,2026-09-14T22:36:10Z,ENG-WS-17,ACME\\lchen,Teams,started,approved,benign
ITEM-0530,2026-09-14T22:58:09Z,MGMT-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0344,2026-09-14T23:00:56Z,JUMP-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0272,2026-09-14T23:09:26Z,MGMT-01,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0534,2026-09-14T23:36:26Z,ENG-WS-17,ACME\\jsmith,Teams,started,approved,benign
ITEM-0230,2026-09-14T23:36:52Z,DC-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0294,2026-09-14T23:44:46Z,HR-WS-04,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0472,2026-09-15T00:13:08Z,DC-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0446,2026-09-15T00:13:16Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0149,2026-09-15T00:34:56Z,JUMP-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0321,2026-09-15T00:36:06Z,DC-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0234,2026-09-15T01:05:18Z,ENG-WS-17,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0420,2026-09-15T01:22:27Z,ENG-WS-17,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0535,2026-09-15T01:29:47Z,ENG-WS-17,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0565,2026-09-15T01:35:07Z,JUMP-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0115,2026-09-15T01:38:07Z,FIN-WS-09,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0483,2026-09-15T01:58:07Z,DC-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0179,2026-09-15T02:13:13Z,MGMT-01,SYSTEM,Teams,started,approved,benign
ITEM-0429,2026-09-15T02:32:34Z,FIN-WS-09,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0275,2026-09-15T02:46:09Z,DC-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0518,2026-09-15T03:27:09Z,MGMT-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0166,2026-09-15T03:31:57Z,HR-WS-04,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0358,2026-09-15T03:31:59Z,FIN-WS-09,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0363,2026-09-15T03:36:10Z,ENG-WS-17,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0426,2026-09-15T03:40:56Z,MGMT-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0109,2026-09-15T03:46:57Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0133,2026-09-15T04:01:21Z,MGMT-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0569,2026-09-15T04:04:41Z,HR-WS-04,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0588,2026-09-15T04:11:33Z,FIN-WS-09,SYSTEM,MapDrives,started,approved,benign
ITEM-0387,2026-09-15T04:15:04Z,FIN-WS-09,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0408,2026-09-15T04:18:10Z,HR-WS-04,SYSTEM,Teams,started,approved,benign
ITEM-0199,2026-09-15T04:40:16Z,JUMP-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0302,2026-09-15T04:40:45Z,JUMP-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0554,2026-09-15T04:57:54Z,ENG-WS-17,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0539,2026-09-15T05:26:16Z,DC-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0176,2026-09-15T05:37:02Z,DC-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0196,2026-09-15T05:50:38Z,DC-01,SYSTEM,Teams,started,approved,benign
ITEM-0193,2026-09-15T05:56:22Z,JUMP-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0326,2026-09-15T06:17:05Z,DC-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0500,2026-09-15T06:24:20Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0578,2026-09-15T06:24:54Z,HR-WS-04,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0482,2026-09-15T06:58:36Z,FIN-WS-09,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0171,2026-09-15T07:00:02Z,MGMT-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0568,2026-09-15T07:01:54Z,FIN-WS-09,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0563,2026-09-15T07:06:47Z,FIN-WS-09,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0570,2026-09-15T07:23:57Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0592,2026-09-15T07:33:25Z,FIN-WS-09,SYSTEM,OneDrive,started,approved,benign
ITEM-0537,2026-09-15T07:49:47Z,ENG-WS-17,ACME\\lchen,Teams,started,approved,benign
ITEM-0312,2026-09-15T08:14:36Z,DC-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0152,2026-09-15T08:21:21Z,JUMP-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0135,2026-09-15T08:28:11Z,ENG-WS-17,ACME\\lchen,Teams,started,approved,benign
ITEM-0590,2026-09-15T08:31:54Z,FIN-WS-09,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0322,2026-09-15T08:35:02Z,HR-WS-04,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0136,2026-09-15T08:39:49Z,MGMT-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0470,2026-09-15T08:42:21Z,FIN-WS-09,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0479,2026-09-15T08:42:56Z,FIN-WS-09,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0391,2026-09-15T08:47:53Z,FIN-WS-09,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0333,2026-09-15T08:51:42Z,HR-WS-04,ACME\\lchen,Teams,started,approved,benign
ITEM-0584,2026-09-15T09:35:20Z,JUMP-01,SYSTEM,Teams,started,approved,benign
ITEM-0476,2026-09-15T09:51:20Z,MGMT-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0184,2026-09-15T09:57:45Z,DC-01,SYSTEM,Teams,started,approved,benign
ITEM-0337,2026-09-15T10:12:12Z,MGMT-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0155,2026-09-15T10:27:24Z,HR-WS-04,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0306,2026-09-15T10:28:12Z,FIN-WS-09,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0541,2026-09-15T10:43:01Z,DC-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0416,2026-09-15T10:58:05Z,DC-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0514,2026-09-15T11:07:57Z,MGMT-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0405,2026-09-15T11:13:58Z,JUMP-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0501,2026-09-15T11:22:55Z,JUMP-01,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0301,2026-09-15T11:29:23Z,ENG-WS-17,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0361,2026-09-15T11:37:49Z,JUMP-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0254,2026-09-15T11:51:24Z,DC-01,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0189,2026-09-15T12:14:50Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0202,2026-09-15T12:45:23Z,JUMP-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0431,2026-09-15T12:49:46Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0469,2026-09-15T12:51:23Z,MGMT-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0208,2026-09-15T12:59:56Z,ENG-WS-17,SYSTEM,MapDrives,started,approved,benign
ITEM-0157,2026-09-15T13:08:18Z,JUMP-01,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0397,2026-09-15T13:32:09Z,MGMT-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0366,2026-09-15T13:47:33Z,ENG-WS-17,ACME\\lchen,Teams,started,approved,benign
ITEM-0198,2026-09-15T13:47:46Z,ENG-WS-17,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0566,2026-09-15T13:54:21Z,FIN-WS-09,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0356,2026-09-15T14:03:16Z,DC-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0410,2026-09-15T14:19:31Z,ENG-WS-17,SYSTEM,OneDrive,started,approved,benign
ITEM-0474,2026-09-15T14:29:57Z,HR-WS-04,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0435,2026-09-15T14:30:37Z,MGMT-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0394,2026-09-15T14:36:51Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0296,2026-09-15T14:40:49Z,HR-WS-04,SYSTEM,OneDrive,started,approved,benign
ITEM-0146,2026-09-15T14:43:02Z,FIN-WS-09,SYSTEM,Teams,started,approved,benign
ITEM-0303,2026-09-15T14:49:48Z,HR-WS-04,ACME\\jsmith,Teams,started,approved,benign
ITEM-0124,2026-09-15T14:58:13Z,MGMT-01,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0188,2026-09-15T15:05:57Z,HR-WS-04,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0342,2026-09-15T15:11:28Z,HR-WS-04,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0486,2026-09-15T15:14:57Z,HR-WS-04,SYSTEM,MapDrives,started,approved,benign
ITEM-0187,2026-09-15T15:36:52Z,FIN-WS-09,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0235,2026-09-15T15:54:34Z,ENG-WS-17,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0221,2026-09-15T16:03:58Z,ENG-WS-17,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0255,2026-09-15T16:04:24Z,FIN-WS-09,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0194,2026-09-15T16:23:10Z,FIN-WS-09,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0290,2026-09-15T16:32:50Z,MGMT-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0324,2026-09-15T16:36:46Z,DC-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0233,2026-09-15T16:57:01Z,MGMT-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0266,2026-09-15T17:04:23Z,ENG-WS-17,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0145,2026-09-15T17:06:38Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0161,2026-09-15T17:08:33Z,HR-WS-04,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0168,2026-09-15T17:08:33Z,HR-WS-04,SYSTEM,MapDrives,started,approved,benign
ITEM-0362,2026-09-15T17:39:35Z,ENG-WS-17,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0460,2026-09-15T17:42:39Z,DC-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0286,2026-09-15T17:52:54Z,MGMT-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0175,2026-09-15T18:18:50Z,DC-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0448,2026-09-15T18:59:32Z,FIN-WS-09,ACME\\jsmith,Teams,started,approved,benign
ITEM-0268,2026-09-15T19:03:46Z,MGMT-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0406,2026-09-15T19:14:51Z,JUMP-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0545,2026-09-15T19:21:36Z,ENG-WS-17,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0118,2026-09-15T19:27:49Z,MGMT-01,ACME\\jsmith,Teams,started,approved,benign
ITEM-0468,2026-09-15T19:30:12Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0250,2026-09-15T19:46:57Z,JUMP-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0487,2026-09-15T20:20:10Z,ENG-WS-17,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0595,2026-09-15T20:33:08Z,HR-WS-04,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0423,2026-09-15T20:33:42Z,FIN-WS-09,ACME\\jsmith,Teams,started,approved,benign
ITEM-0385,2026-09-15T20:36:58Z,ENG-WS-17,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0292,2026-09-15T20:51:19Z,HR-WS-04,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0216,2026-09-15T21:17:25Z,DC-01,SYSTEM,Teams,started,approved,benign
ITEM-0498,2026-09-15T21:18:02Z,DC-01,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0542,2026-09-15T21:27:51Z,HR-WS-04,SYSTEM,OneDrive,started,approved,benign
ITEM-0158,2026-09-15T21:30:01Z,JUMP-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0475,2026-09-15T21:45:38Z,MGMT-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0125,2026-09-15T21:58:55Z,JUMP-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0338,2026-09-15T22:05:28Z,HR-WS-04,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0269,2026-09-15T22:13:41Z,JUMP-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0571,2026-09-15T22:17:15Z,MGMT-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0203,2026-09-15T22:17:21Z,ENG-WS-17,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0528,2026-09-15T22:45:09Z,HR-WS-04,ACME\\mgarcia,OneDrive,started,approved,benign
ITEM-0127,2026-09-15T22:59:52Z,DC-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0577,2026-09-15T23:07:56Z,JUMP-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0386,2026-09-15T23:29:57Z,HR-WS-04,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0240,2026-09-15T23:41:15Z,JUMP-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0494,2026-09-15T23:47:11Z,ENG-WS-17,SYSTEM,Teams,started,approved,benign
ITEM-0335,2026-09-16T00:00:27Z,FIN-WS-09,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0465,2026-09-16T00:47:22Z,MGMT-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0412,2026-09-16T00:48:47Z,ENG-WS-17,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0398,2026-09-16T01:19:14Z,ENG-WS-17,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0180,2026-09-16T01:48:32Z,MGMT-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0464,2026-09-16T02:20:39Z,HR-WS-04,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0376,2026-09-16T02:39:34Z,JUMP-01,ACME\\jsmith,Teams,started,approved,benign
ITEM-0316,2026-09-16T02:40:49Z,HR-WS-04,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0227,2026-09-16T02:52:39Z,FIN-WS-09,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0151,2026-09-16T03:00:13Z,HR-WS-04,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0226,2026-09-16T03:03:51Z,MGMT-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0311,2026-09-16T03:09:34Z,HR-WS-04,SYSTEM,MapDrives,started,approved,benign
ITEM-0291,2026-09-16T03:11:46Z,DC-01,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0418,2026-09-16T03:13:14Z,DC-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0572,2026-09-16T03:36:03Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0484,2026-09-16T03:53:01Z,DC-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0521,2026-09-16T04:00:38Z,DC-01,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0357,2026-09-16T04:26:35Z,JUMP-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0251,2026-09-16T04:47:54Z,MGMT-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0253,2026-09-16T04:54:56Z,HR-WS-04,ACME\\lchen,Teams,started,approved,benign
ITEM-0355,2026-09-16T04:58:49Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0558,2026-09-16T05:01:04Z,FIN-WS-09,ACME\\lchen,Teams,started,approved,benign
ITEM-0314,2026-09-16T05:24:35Z,DC-01,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0307,2026-09-16T05:48:15Z,DC-01,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0328,2026-09-16T06:13:04Z,FIN-WS-09,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0186,2026-09-16T06:17:26Z,MGMT-01,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0299,2026-09-16T06:19:52Z,ENG-WS-17,ACME\\lchen,OneDrive,started,approved,benign
ITEM-0273,2026-09-16T06:24:11Z,JUMP-01,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0121,2026-09-16T07:09:26Z,DC-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0331,2026-09-16T07:35:02Z,FIN-WS-09,SYSTEM,MapDrives,started,approved,benign
ITEM-0513,2026-09-16T07:39:13Z,MGMT-01,ACME\\lchen,Teams,started,approved,benign
ITEM-0231,2026-09-16T07:57:36Z,DC-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0492,2026-09-16T08:07:45Z,MGMT-01,SYSTEM,OneDrive,started,approved,benign
ITEM-0409,2026-09-16T08:30:34Z,ENG-WS-17,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0527,2026-09-16T08:31:49Z,JUMP-01,SYSTEM,MapDrives,started,approved,benign
ITEM-0211,2026-09-16T08:49:50Z,HR-WS-04,ACME\\lchen,Teams,started,approved,benign
ITEM-0546,2026-09-16T09:07:20Z,FIN-WS-09,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0238,2026-09-16T09:07:33Z,ENG-WS-17,ACME\\mgarcia,MapDrives,started,approved,benign
ITEM-0214,2026-09-16T09:14:34Z,DC-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0204,2026-09-16T09:16:16Z,JUMP-01,ACME\\mgarcia,Teams,started,approved,benign
ITEM-0174,2026-09-16T09:27:15Z,HR-WS-04,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0212,2026-09-16T09:46:50Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0506,2026-09-16T09:52:20Z,FIN-WS-09,ACME\\jsmith,OneDrive,started,approved,benign
ITEM-0436,2026-09-16T09:58:43Z,MGMT-01,SYSTEM,Teams,started,approved,benign
ITEM-0209,2026-09-16T10:01:03Z,FIN-WS-09,SYSTEM,MapDrives,started,approved,benign
ITEM-0340,2026-09-16T10:08:30Z,HR-WS-04,ACME\\mgarcia,DisplayProfile,started,approved,benign
ITEM-0399,2026-09-16T10:29:58Z,FIN-WS-09,ACME\\jsmith,Teams,started,approved,benign
ITEM-0458,2026-09-16T10:35:13Z,FIN-WS-09,ACME\\jsmith,DisplayProfile,started,approved,benign
ITEM-0330,2026-09-16T10:48:06Z,ENG-WS-17,ACME\\jsmith,Teams,started,approved,benign
ITEM-0137,2026-09-16T10:49:19Z,MGMT-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0440,2026-09-16T11:04:17Z,JUMP-01,ACME\\jsmith,MapDrives,started,approved,benign
ITEM-0277,2026-09-16T11:51:53Z,HR-WS-04,SYSTEM,DisplayProfile,started,approved,benign
ITEM-0581,2026-09-16T11:52:39Z,JUMP-01,ACME\\lchen,MapDrives,started,approved,benign
ITEM-0260,2026-09-16T11:59:21Z,JUMP-01,ACME\\lchen,DisplayProfile,started,approved,benign
ITEM-0284,2026-09-16T12:01:00Z,HR-WS-04,ACME\\mgarcia,Teams,started,approved,benign
