event_id,_time,host,user,policy_name,source,approved,classification
POL-0408,2026-09-14T19:05:42Z,MGMT-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0479,2026-09-14T19:26:43Z,FIN-WS-09,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0374,2026-09-14T20:22:19Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0472,2026-09-14T20:40:01Z,DC-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0588,2026-09-14T20:43:08Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0364,2026-09-14T20:51:53Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0372,2026-09-14T20:58:59Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0434,2026-09-14T21:04:08Z,HR-WS-04,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0267,2026-09-14T21:10:34Z,DC-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0329,2026-09-14T21:29:11Z,DC-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0400,2026-09-14T21:44:48Z,HR-WS-04,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0196,2026-09-14T21:49:52Z,FIN-WS-09,SYSTEM,Browser Settings,central policy,yes,benign
POL-0266,2026-09-14T22:18:17Z,ENG-WS-17,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0500,2026-09-14T22:22:01Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0445,2026-09-14T22:35:00Z,JUMP-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0243,2026-09-14T22:37:02Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0232,2026-09-14T22:42:02Z,FIN-WS-09,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0463,2026-09-14T23:07:27Z,JUMP-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0545,2026-09-14T23:24:39Z,DC-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0552,2026-09-14T23:27:33Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0123,2026-09-14T23:31:08Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0197,2026-09-14T23:42:24Z,MGMT-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0274,2026-09-15T00:05:22Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0457,2026-09-15T00:07:21Z,FIN-WS-09,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0155,2026-09-15T00:09:37Z,JUMP-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0516,2026-09-15T00:23:26Z,HR-WS-04,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0302,2026-09-15T00:33:28Z,HR-WS-04,SYSTEM,Browser Settings,central policy,yes,benign
POL-0505,2026-09-15T00:33:28Z,MGMT-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0511,2026-09-15T00:35:23Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0181,2026-09-15T00:52:35Z,ENG-WS-17,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0157,2026-09-15T01:02:18Z,JUMP-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0350,2026-09-15T01:10:27Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0506,2026-09-15T01:31:24Z,HR-WS-04,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0269,2026-09-15T01:42:15Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0450,2026-09-15T02:00:04Z,FIN-WS-09,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0299,2026-09-15T02:27:22Z,HR-WS-04,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0142,2026-09-15T02:39:04Z,DC-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0541,2026-09-15T02:40:43Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0117,2026-09-15T02:48:27Z,HR-WS-04,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0509,2026-09-15T03:05:02Z,FIN-WS-09,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0515,2026-09-15T03:07:01Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0397,2026-09-15T03:08:02Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0555,2026-09-15T03:17:08Z,MGMT-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0560,2026-09-15T03:17:10Z,FIN-WS-09,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0309,2026-09-15T03:59:13Z,FIN-WS-09,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0229,2026-09-15T04:06:22Z,JUMP-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0461,2026-09-15T04:09:22Z,JUMP-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0127,2026-09-15T04:24:19Z,HR-WS-04,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0376,2026-09-15T04:36:51Z,MGMT-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0220,2026-09-15T04:45:21Z,JUMP-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0595,2026-09-15T04:51:05Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0288,2026-09-15T04:52:15Z,MGMT-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0439,2026-09-15T04:55:34Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0437,2026-09-15T05:12:05Z,DC-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0159,2026-09-15T05:14:02Z,HR-WS-04,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0591,2026-09-15T05:38:28Z,HR-WS-04,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0107,2026-09-15T05:53:23Z,HR-WS-04,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0535,2026-09-15T05:55:43Z,JUMP-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0226,2026-09-15T06:03:22Z,ENG-WS-17,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0111,2026-09-15T06:16:48Z,JUMP-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0355,2026-09-15T06:22:39Z,FIN-WS-09,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0296,2026-09-15T06:25:52Z,HR-WS-04,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0239,2026-09-15T06:44:53Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0418,2026-09-15T06:48:43Z,DC-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0160,2026-09-15T06:55:56Z,ENG-WS-17,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0253,2026-09-15T07:08:31Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0482,2026-09-15T07:24:15Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0365,2026-09-15T07:25:08Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0327,2026-09-15T07:26:06Z,FIN-WS-09,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0213,2026-09-15T07:27:03Z,FIN-WS-09,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0409,2026-09-15T07:28:50Z,HR-WS-04,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0325,2026-09-15T07:40:26Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0112,2026-09-15T08:28:17Z,JUMP-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0415,2026-09-15T08:28:59Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0392,2026-09-15T08:32:41Z,ENG-WS-17,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0585,2026-09-15T08:36:02Z,HR-WS-04,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0524,2026-09-15T08:38:16Z,JUMP-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0307,2026-09-15T08:39:10Z,FIN-WS-09,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0152,2026-09-15T08:41:58Z,FIN-WS-09,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0332,2026-09-15T08:49:37Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0242,2026-09-15T08:53:24Z,MGMT-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0126,2026-09-15T09:02:59Z,MGMT-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0544,2026-09-15T09:13:21Z,HR-WS-04,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0211,2026-09-15T09:36:04Z,JUMP-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0572,2026-09-15T09:42:27Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0396,2026-09-15T09:42:51Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0345,2026-09-15T09:50:09Z,ENG-WS-17,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0172,2026-09-15T09:55:43Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0589,2026-09-15T10:08:39Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0106,2026-09-15T10:13:29Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0387,2026-09-15T10:20:16Z,FIN-WS-09,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0225,2026-09-15T10:41:10Z,ENG-WS-17,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0403,2026-09-15T10:47:53Z,FIN-WS-09,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0566,2026-09-15T11:22:37Z,ENG-WS-17,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0438,2026-09-15T11:22:45Z,HR-WS-04,SYSTEM,Browser Settings,central policy,yes,benign
POL-0384,2026-09-15T11:52:55Z,MGMT-01,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0422,2026-09-15T11:53:54Z,HR-WS-04,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0300,2026-09-15T12:30:22Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0480,2026-09-15T12:32:59Z,MGMT-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0584,2026-09-15T12:54:20Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0247,2026-09-15T12:56:15Z,JUMP-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0124,2026-09-15T12:59:02Z,JUMP-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0565,2026-09-15T13:10:27Z,MGMT-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0542,2026-09-15T13:11:13Z,DC-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0272,2026-09-15T13:32:53Z,JUMP-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0412,2026-09-15T13:57:31Z,ENG-WS-17,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0158,2026-09-15T14:00:26Z,MGMT-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0431,2026-09-15T14:19:02Z,HR-WS-04,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0569,2026-09-15T14:39:03Z,DC-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0337,2026-09-15T14:39:38Z,FIN-WS-09,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0558,2026-09-15T14:44:36Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0143,2026-09-15T14:48:14Z,DC-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0139,2026-09-15T14:54:44Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0540,2026-09-15T15:29:21Z,MGMT-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0259,2026-09-15T16:14:24Z,FIN-WS-09,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0504,2026-09-15T16:25:42Z,MGMT-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0208,2026-09-15T16:40:57Z,MGMT-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0263,2026-09-15T16:41:11Z,MGMT-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0149,2026-09-15T16:42:55Z,JUMP-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0429,2026-09-15T16:50:25Z,HR-WS-04,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0334,2026-09-15T17:13:04Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0593,2026-09-15T17:13:51Z,HR-WS-04,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0531,2026-09-15T17:26:58Z,ENG-WS-17,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0285,2026-09-15T17:27:14Z,HR-WS-04,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0230,2026-09-15T17:34:26Z,DC-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0192,2026-09-15T17:41:05Z,HR-WS-04,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0238,2026-09-15T17:41:38Z,JUMP-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0156,2026-09-15T17:47:34Z,DC-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0357,2026-09-15T18:06:45Z,FIN-WS-09,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0469,2026-09-15T18:10:56Z,ENG-WS-17,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0349,2026-09-15T19:00:35Z,MGMT-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0414,2026-09-15T19:14:58Z,FIN-WS-09,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0262,2026-09-15T19:16:19Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0428,2026-09-15T19:40:58Z,FIN-WS-09,SYSTEM,Browser Settings,central policy,yes,benign
POL-0138,2026-09-15T20:32:24Z,MGMT-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0529,2026-09-15T20:33:50Z,ENG-WS-17,SYSTEM,Browser Settings,central policy,yes,benign
POL-0440,2026-09-15T20:35:10Z,HR-WS-04,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0279,2026-09-15T20:39:51Z,FIN-WS-09,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0330,2026-09-15T20:49:01Z,JUMP-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0264,2026-09-15T21:02:19Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0537,2026-09-15T21:10:18Z,MGMT-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0532,2026-09-15T21:13:47Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0333,2026-09-15T21:15:58Z,DC-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0462,2026-09-15T22:11:26Z,DC-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0265,2026-09-15T22:15:01Z,ENG-WS-17,SYSTEM,Browser Settings,central policy,yes,benign
POL-0348,2026-09-15T23:11:55Z,JUMP-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0240,2026-09-15T23:14:39Z,MGMT-01,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0512,2026-09-15T23:16:16Z,JUMP-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0430,2026-09-15T23:30:03Z,MGMT-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0282,2026-09-15T23:50:43Z,DC-01,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0134,2026-09-15T23:52:16Z,ENG-WS-17,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0377,2026-09-16T00:24:31Z,ENG-WS-17,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0356,2026-09-16T00:25:40Z,JUMP-01,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0427,2026-09-16T00:55:01Z,DC-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0380,2026-09-16T01:05:46Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0521,2026-09-16T01:06:06Z,FIN-WS-09,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0144,2026-09-16T01:08:52Z,HR-WS-04,SYSTEM,Browser Settings,central policy,yes,benign
POL-0399,2026-09-16T01:34:13Z,ENG-WS-17,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0388,2026-09-16T02:17:46Z,FIN-WS-09,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0426,2026-09-16T02:17:53Z,MGMT-01,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0379,2026-09-16T02:23:56Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0162,2026-09-16T02:52:26Z,DC-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0249,2026-09-16T03:18:56Z,HR-WS-04,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0154,2026-09-16T03:20:39Z,ENG-WS-17,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0119,2026-09-16T03:29:29Z,DC-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0411,2026-09-16T03:39:49Z,DC-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0118,2026-09-16T03:43:51Z,MGMT-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0341,2026-09-16T03:58:10Z,MGMT-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0339,2026-09-16T04:06:11Z,FIN-WS-09,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0312,2026-09-16T04:08:24Z,JUMP-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0256,2026-09-16T04:09:09Z,FIN-WS-09,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0324,2026-09-16T04:14:37Z,FIN-WS-09,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0260,2026-09-16T04:15:42Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0407,2026-09-16T04:38:21Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0275,2026-09-16T04:38:23Z,ENG-WS-17,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0417,2026-09-16T04:44:23Z,HR-WS-04,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0410,2026-09-16T04:55:17Z,ENG-WS-17,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0255,2026-09-16T05:05:51Z,FIN-WS-09,ACME\\mgarcia,Drive Mapping,central policy,yes,benign
POL-0538,2026-09-16T05:10:11Z,HR-WS-04,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0578,2026-09-16T05:11:35Z,FIN-WS-09,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0315,2026-09-16T05:26:57Z,MGMT-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0278,2026-09-16T05:28:35Z,FIN-WS-09,ACME\\jsmith,Browser Settings,central policy,yes,benign
POL-0277,2026-09-16T05:33:24Z,DC-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0494,2026-09-16T05:34:52Z,ENG-WS-17,ACME\\lchen,Drive Mapping,central policy,yes,benign
POL-0217,2026-09-16T05:55:50Z,MGMT-01,SYSTEM,Drive Mapping,central policy,yes,benign
POL-0455,2026-09-16T06:05:22Z,DC-01,SYSTEM,Desktop Baseline,central policy,yes,benign
POL-0170,2026-09-16T06:07:31Z,JUMP-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0223,2026-09-16T06:28:22Z,HR-WS-04,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0200,2026-09-16T06:47:43Z,HR-WS-04,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0474,2026-09-16T07:12:54Z,MGMT-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0311,2026-09-16T07:15:07Z,MGMT-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0567,2026-09-16T07:20:49Z,MGMT-01,ACME\\lchen,Browser Settings,central policy,yes,benign
POL-0502,2026-09-16T07:37:49Z,JUMP-01,SYSTEM,Browser Settings,central policy,yes,benign
POL-0495,2026-09-16T08:06:07Z,ENG-WS-17,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0459,2026-09-16T08:34:07Z,FIN-WS-09,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0497,2026-09-16T08:34:28Z,FIN-WS-09,ACME\\jsmith,Drive Mapping,central policy,yes,benign
POL-0313,2026-09-16T08:49:50Z,FIN-WS-09,ACME\\mgarcia,Desktop Baseline,central policy,yes,benign
POL-0435,2026-09-16T09:04:48Z,MGMT-01,ACME\\jsmith,Desktop Baseline,central policy,yes,benign
POL-0303,2026-09-16T09:08:06Z,JUMP-01,ACME\\lchen,Desktop Baseline,central policy,yes,benign
POL-0140,2026-09-16T09:24:35Z,MGMT-01,ACME\\mgarcia,Browser Settings,central policy,yes,benign
POL-0499,2026-09-16T09:42:04Z,FIN-WS-09,ACME\\jsmith,Browser Settings,central policy,yes,benign
