event_id,_time,src_host,dest_host,user,protocol,result,classification,note
AUTH-01126,2026-08-18T12:52:22Z,PRINT-01,APP-API-02,ACME\svc_print,RDP,success,benign,routine authentication
AUTH-00814,2026-08-18T13:01:27Z,PRINT-01,FILE-02,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-00935,2026-08-18T13:09:55Z,FILE-02,APP-API-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-01047,2026-08-18T13:12:49Z,DC-01,DC-01,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-01569,2026-08-18T13:13:02Z,FILE-02,FILE-02,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-01623,2026-08-18T13:14:27Z,FILE-02,APP-API-02,NT AUTHORITY\SYSTEM,RDP,failure,benign,routine authentication
AUTH-01199,2026-08-18T13:20:33Z,FILE-02,APP-API-02,ACME\svc_backup,NTLM,failure,benign,routine authentication
AUTH-01138,2026-08-18T13:25:09Z,DC-01,DC-01,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-00573,2026-08-18T13:25:26Z,APP-API-02,APP-API-02,ACME\svc_print,RDP,success,benign,routine authentication
AUTH-00765,2026-08-18T13:25:28Z,DC-01,FILE-02,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-00954,2026-08-18T13:33:49Z,APP-API-02,DC-01,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-01055,2026-08-18T13:37:10Z,DC-01,DC-01,ACME\jsmith,RDP,failure,benign,routine authentication
AUTH-00997,2026-08-18T13:43:53Z,DC-01,APP-API-02,ACME\jsmith,Kerberos,failure,benign,routine authentication
AUTH-01132,2026-08-18T13:44:17Z,DC-01,FILE-02,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01136,2026-08-18T13:46:13Z,DC-01,APP-API-02,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-01783,2026-08-18T13:50:57Z,FILE-02,FILE-02,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-01034,2026-08-18T13:53:02Z,FILE-02,APP-API-02,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-00638,2026-08-18T13:55:09Z,JUMP-01,DC-01,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00940,2026-08-18T14:10:48Z,FILE-02,FILE-02,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-00468,2026-08-18T14:17:52Z,PRINT-01,DC-01,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-01485,2026-08-18T14:21:41Z,FIN-WS-14,APP-API-02,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-00466,2026-08-18T14:26:13Z,JUMP-01,DC-01,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-00904,2026-08-18T14:27:35Z,APP-API-02,APP-API-02,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01401,2026-08-18T14:30:20Z,APP-API-02,APP-API-02,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-01097,2026-08-18T14:33:35Z,APP-API-02,APP-API-02,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-01078,2026-08-18T14:35:02Z,FIN-WS-14,FILE-02,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-INC-001,2026-08-18T14:41:00Z,FIN-WS-14,DC-01,ACME\mrivera,Kerberos,failure,contained,credential use after password reset from isolated host
AUTH-01246,2026-08-18T14:43:05Z,FILE-02,FILE-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-INC-002,2026-08-18T14:44:00Z,FILE-02,DC-01,ACME\mrivera,Kerberos,success,investigate,same user succeeds from different host after reset
AUTH-INC-003,2026-08-18T14:44:04Z,FILE-02,FILE-02,ACME\mrivera,SMB,success,investigate,finance share session
AUTH-BEN-001,2026-08-18T14:45:00Z,BACKUP-01,FILE-02,ACME\svc_backup,SMB,success,benign,scheduled backup
AUTH-00792,2026-08-18T14:50:34Z,PRINT-01,APP-API-02,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-RESP-001,2026-08-18T14:52:00Z,JUMP-01,FILE-02,ACME\jsmith,RDP,success,response,authorized responder
AUTH-01355,2026-08-18T14:55:37Z,FILE-02,APP-API-02,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-00616,2026-08-18T14:56:36Z,APP-API-02,FILE-02,ACME\svc_backup,Kerberos,failure,benign,routine authentication
AUTH-01096,2026-08-18T14:58:44Z,JUMP-01,APP-API-02,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-01443,2026-08-18T15:01:38Z,JUMP-01,DC-01,ACME\mrivera,Kerberos,failure,benign,routine authentication
AUTH-00231,2026-08-18T15:11:53Z,PRINT-01,DC-01,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-01259,2026-08-18T15:16:18Z,BACKUP-01,DC-01,NT AUTHORITY\SYSTEM,Kerberos,failure,benign,routine authentication
AUTH-01563,2026-08-18T15:18:01Z,APP-API-02,APP-API-02,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-01522,2026-08-18T15:20:08Z,PRINT-01,APP-API-02,ACME\svc_print,Kerberos,failure,benign,routine authentication
AUTH-00763,2026-08-18T15:20:22Z,PRINT-01,APP-API-02,NT AUTHORITY\SYSTEM,RDP,failure,benign,routine authentication
AUTH-01775,2026-08-18T15:21:56Z,DC-01,DC-01,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-00839,2026-08-18T15:29:04Z,FILE-02,FILE-02,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-01200,2026-08-18T15:29:33Z,PRINT-01,FILE-02,ACME\mrivera,Kerberos,failure,benign,routine authentication
AUTH-01491,2026-08-18T15:31:40Z,FIN-WS-14,APP-API-02,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-01361,2026-08-18T15:35:55Z,BACKUP-01,FILE-02,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-01571,2026-08-18T15:41:01Z,BACKUP-01,FILE-02,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-01791,2026-08-18T15:42:25Z,JUMP-01,DC-01,ACME\jsmith,NTLM,failure,benign,routine authentication
AUTH-01763,2026-08-18T15:43:22Z,APP-API-02,DC-01,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-01128,2026-08-18T15:50:37Z,FILE-02,DC-01,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-00548,2026-08-18T15:52:50Z,FILE-02,APP-API-02,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-01321,2026-08-18T15:59:39Z,JUMP-01,FILE-02,ACME\jsmith,NTLM,failure,benign,routine authentication
AUTH-01701,2026-08-18T16:07:27Z,BACKUP-01,FILE-02,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-00684,2026-08-18T16:09:17Z,FILE-02,FILE-02,ACME\jsmith,RDP,failure,benign,routine authentication
AUTH-01630,2026-08-18T16:22:10Z,BACKUP-01,DC-01,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-00928,2026-08-18T16:25:53Z,PRINT-01,APP-API-02,ACME\mrivera,RDP,failure,benign,routine authentication
AUTH-01057,2026-08-18T16:29:23Z,DC-01,APP-API-02,ACME\jsmith,SMB,failure,benign,routine authentication
AUTH-00357,2026-08-18T16:31:16Z,FILE-02,FILE-02,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-00762,2026-08-18T16:34:03Z,FILE-02,DC-01,ACME\svc_print,RDP,failure,benign,routine authentication
AUTH-00916,2026-08-18T16:38:43Z,FILE-02,FILE-02,ACME\svc_backup,SMB,failure,benign,routine authentication
AUTH-00739,2026-08-18T16:43:26Z,JUMP-01,DC-01,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-00426,2026-08-18T16:44:33Z,PRINT-01,FILE-02,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00377,2026-08-18T16:57:37Z,FIN-WS-14,DC-01,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-01597,2026-08-18T17:14:39Z,FILE-02,APP-API-02,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-01269,2026-08-18T17:25:18Z,FIN-WS-14,FILE-02,NT AUTHORITY\SYSTEM,NTLM,failure,benign,routine authentication
AUTH-00046,2026-08-18T17:26:30Z,JUMP-01,APP-API-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-00007,2026-08-18T17:45:44Z,DC-01,APP-API-02,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-01225,2026-08-18T17:47:11Z,FIN-WS-14,DC-01,ACME\svc_backup,SMB,success,benign,routine authentication
AUTH-01679,2026-08-18T17:55:46Z,APP-API-02,DC-01,NT AUTHORITY\SYSTEM,SMB,success,benign,routine authentication
AUTH-00409,2026-08-18T18:09:41Z,FIN-WS-14,DC-01,ACME\svc_print,RDP,success,benign,routine authentication
AUTH-01632,2026-08-18T18:11:25Z,PRINT-01,FILE-02,ACME\mrivera,RDP,failure,benign,routine authentication
AUTH-00130,2026-08-18T18:19:11Z,DC-01,APP-API-02,ACME\mrivera,NTLM,failure,benign,routine authentication
AUTH-01163,2026-08-18T18:19:13Z,DC-01,FILE-02,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-00057,2026-08-18T18:19:20Z,BACKUP-01,FILE-02,ACME\svc_backup,NTLM,failure,benign,routine authentication
AUTH-00020,2026-08-18T18:28:34Z,JUMP-01,FILE-02,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-00970,2026-08-18T18:29:17Z,JUMP-01,DC-01,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-00450,2026-08-18T18:29:54Z,APP-API-02,FILE-02,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-00696,2026-08-18T18:39:19Z,DC-01,DC-01,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-00790,2026-08-18T18:40:21Z,PRINT-01,DC-01,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-01439,2026-08-18T18:42:21Z,DC-01,APP-API-02,NT AUTHORITY\SYSTEM,SMB,failure,benign,routine authentication
AUTH-00908,2026-08-18T18:50:01Z,FIN-WS-14,APP-API-02,ACME\mrivera,RDP,failure,benign,routine authentication
AUTH-00631,2026-08-18T18:50:28Z,BACKUP-01,DC-01,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-00656,2026-08-18T18:52:56Z,JUMP-01,FILE-02,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00401,2026-08-18T18:55:38Z,DC-01,DC-01,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-00243,2026-08-18T18:56:59Z,JUMP-01,FILE-02,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-00705,2026-08-18T19:00:43Z,FILE-02,FILE-02,NT AUTHORITY\SYSTEM,NTLM,failure,benign,routine authentication
AUTH-01786,2026-08-18T19:02:10Z,FILE-02,FILE-02,ACME\svc_backup,NTLM,failure,benign,routine authentication
AUTH-00427,2026-08-18T19:07:32Z,JUMP-01,APP-API-02,ACME\svc_backup,SMB,failure,benign,routine authentication
AUTH-01245,2026-08-18T19:12:34Z,APP-API-02,APP-API-02,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-00942,2026-08-18T19:13:22Z,FIN-WS-14,APP-API-02,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-01374,2026-08-18T19:21:31Z,DC-01,FILE-02,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-00374,2026-08-18T19:24:07Z,FIN-WS-14,DC-01,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-01069,2026-08-18T19:26:02Z,JUMP-01,FILE-02,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-00867,2026-08-18T19:27:25Z,BACKUP-01,DC-01,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00982,2026-08-18T19:28:00Z,DC-01,APP-API-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-01402,2026-08-18T19:28:32Z,JUMP-01,FILE-02,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-01166,2026-08-18T19:33:12Z,PRINT-01,DC-01,ACME\mrivera,NTLM,failure,benign,routine authentication
AUTH-00623,2026-08-18T19:34:36Z,APP-API-02,FILE-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00861,2026-08-18T19:35:32Z,FILE-02,DC-01,ACME\svc_backup,Kerberos,failure,benign,routine authentication
AUTH-01422,2026-08-18T19:36:05Z,BACKUP-01,FILE-02,ACME\mrivera,NTLM,failure,benign,routine authentication
AUTH-01360,2026-08-18T19:41:44Z,JUMP-01,DC-01,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-01601,2026-08-18T19:49:08Z,BACKUP-01,APP-API-02,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-00715,2026-08-18T19:49:26Z,DC-01,DC-01,NT AUTHORITY\SYSTEM,RDP,failure,benign,routine authentication
AUTH-00758,2026-08-18T19:56:10Z,DC-01,DC-01,NT AUTHORITY\SYSTEM,Kerberos,failure,benign,routine authentication
AUTH-00152,2026-08-18T19:57:41Z,DC-01,APP-API-02,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-01505,2026-08-18T19:58:50Z,FIN-WS-14,FILE-02,ACME\svc_print,RDP,failure,benign,routine authentication
AUTH-01637,2026-08-18T20:02:25Z,DC-01,APP-API-02,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-00304,2026-08-18T20:23:08Z,FIN-WS-14,FILE-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-00030,2026-08-18T20:26:24Z,BACKUP-01,FILE-02,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-00089,2026-08-18T20:26:56Z,DC-01,FILE-02,NT AUTHORITY\SYSTEM,SMB,success,benign,routine authentication
AUTH-00742,2026-08-18T20:27:21Z,BACKUP-01,DC-01,ACME\mrivera,Kerberos,failure,benign,routine authentication
AUTH-00624,2026-08-18T20:31:34Z,FILE-02,APP-API-02,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00317,2026-08-18T20:32:07Z,DC-01,DC-01,ACME\svc_backup,SMB,success,benign,routine authentication
AUTH-01244,2026-08-18T20:32:37Z,FIN-WS-14,FILE-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-01297,2026-08-18T20:38:34Z,JUMP-01,FILE-02,ACME\jsmith,NTLM,failure,benign,routine authentication
AUTH-00777,2026-08-18T20:46:14Z,PRINT-01,FILE-02,ACME\mrivera,SMB,failure,benign,routine authentication
AUTH-00319,2026-08-18T20:52:14Z,DC-01,APP-API-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00674,2026-08-18T20:53:04Z,DC-01,FILE-02,ACME\svc_print,Kerberos,failure,benign,routine authentication
AUTH-00156,2026-08-18T20:53:24Z,FIN-WS-14,FILE-02,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-01003,2026-08-18T20:56:16Z,APP-API-02,APP-API-02,ACME\mrivera,Kerberos,failure,benign,routine authentication
AUTH-01292,2026-08-18T20:56:43Z,JUMP-01,FILE-02,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-00900,2026-08-18T21:09:12Z,APP-API-02,APP-API-02,ACME\svc_backup,SMB,failure,benign,routine authentication
AUTH-00456,2026-08-18T21:10:45Z,APP-API-02,DC-01,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-00083,2026-08-18T21:10:46Z,FIN-WS-14,FILE-02,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-00805,2026-08-18T21:20:15Z,APP-API-02,DC-01,ACME\jsmith,SMB,failure,benign,routine authentication
AUTH-00659,2026-08-18T21:22:30Z,APP-API-02,APP-API-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-00157,2026-08-18T21:22:37Z,BACKUP-01,DC-01,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-01295,2026-08-18T21:25:28Z,FIN-WS-14,DC-01,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-01327,2026-08-18T21:26:02Z,JUMP-01,FILE-02,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-00014,2026-08-18T21:26:24Z,FILE-02,APP-API-02,ACME\jsmith,SMB,success,benign,routine authentication
AUTH-00835,2026-08-18T21:32:58Z,PRINT-01,DC-01,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-01318,2026-08-18T21:43:39Z,PRINT-01,APP-API-02,NT AUTHORITY\SYSTEM,SMB,failure,benign,routine authentication
AUTH-00524,2026-08-18T21:45:41Z,FIN-WS-14,FILE-02,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-00381,2026-08-18T21:49:13Z,FIN-WS-14,FILE-02,ACME\mrivera,RDP,failure,benign,routine authentication
AUTH-00036,2026-08-18T21:51:35Z,FILE-02,APP-API-02,ACME\jsmith,RDP,failure,benign,routine authentication
AUTH-01534,2026-08-18T21:52:37Z,DC-01,FILE-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-00370,2026-08-18T22:04:09Z,APP-API-02,DC-01,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01738,2026-08-18T22:16:01Z,JUMP-01,DC-01,ACME\svc_backup,Kerberos,success,benign,routine authentication
AUTH-00064,2026-08-18T22:16:20Z,JUMP-01,APP-API-02,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-01238,2026-08-18T22:27:28Z,FILE-02,FILE-02,ACME\svc_backup,SMB,success,benign,routine authentication
AUTH-00917,2026-08-18T22:29:07Z,BACKUP-01,DC-01,ACME\mrivera,RDP,success,benign,routine authentication
AUTH-00245,2026-08-18T22:31:08Z,FIN-WS-14,DC-01,ACME\jsmith,Kerberos,success,benign,routine authentication
AUTH-00513,2026-08-18T22:33:42Z,BACKUP-01,APP-API-02,ACME\svc_backup,Kerberos,failure,benign,routine authentication
AUTH-00958,2026-08-18T22:36:06Z,FILE-02,DC-01,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00457,2026-08-18T22:44:07Z,FILE-02,DC-01,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-00658,2026-08-18T22:44:51Z,APP-API-02,DC-01,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-01335,2026-08-18T22:48:23Z,BACKUP-01,FILE-02,NT AUTHORITY\SYSTEM,SMB,failure,benign,routine authentication
AUTH-00614,2026-08-18T22:49:53Z,PRINT-01,FILE-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-00209,2026-08-18T22:51:09Z,JUMP-01,APP-API-02,ACME\mrivera,NTLM,success,benign,routine authentication
AUTH-00459,2026-08-18T22:54:31Z,BACKUP-01,APP-API-02,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-01115,2026-08-18T22:58:13Z,PRINT-01,APP-API-02,NT AUTHORITY\SYSTEM,NTLM,failure,benign,routine authentication
AUTH-00757,2026-08-18T23:00:22Z,FIN-WS-14,FILE-02,NT AUTHORITY\SYSTEM,NTLM,success,benign,routine authentication
AUTH-00759,2026-08-18T23:00:30Z,FIN-WS-14,APP-API-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00003,2026-08-18T23:18:40Z,BACKUP-01,FILE-02,ACME\svc_print,RDP,success,benign,routine authentication
AUTH-01576,2026-08-18T23:28:42Z,FIN-WS-14,DC-01,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-00593,2026-08-18T23:30:11Z,APP-API-02,FILE-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00113,2026-08-18T23:31:31Z,FILE-02,DC-01,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-01607,2026-08-18T23:34:38Z,FILE-02,FILE-02,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-00670,2026-08-18T23:35:31Z,FILE-02,APP-API-02,ACME\mrivera,NTLM,failure,benign,routine authentication
AUTH-01460,2026-08-18T23:36:07Z,BACKUP-01,APP-API-02,ACME\jsmith,NTLM,failure,benign,routine authentication
AUTH-01611,2026-08-18T23:39:39Z,BACKUP-01,DC-01,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-01548,2026-08-18T23:48:13Z,DC-01,DC-01,ACME\svc_print,RDP,success,benign,routine authentication
AUTH-00738,2026-08-18T23:50:10Z,BACKUP-01,DC-01,ACME\svc_backup,SMB,failure,benign,routine authentication
AUTH-00690,2026-08-19T00:01:04Z,APP-API-02,DC-01,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01346,2026-08-19T00:01:04Z,BACKUP-01,DC-01,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00079,2026-08-19T00:01:36Z,JUMP-01,APP-API-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-00728,2026-08-19T00:14:34Z,FIN-WS-14,FILE-02,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-00378,2026-08-19T00:14:51Z,FILE-02,FILE-02,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-01745,2026-08-19T00:16:51Z,JUMP-01,APP-API-02,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-00416,2026-08-19T00:18:15Z,BACKUP-01,DC-01,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00221,2026-08-19T00:18:44Z,FIN-WS-14,DC-01,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-00824,2026-08-19T00:23:48Z,DC-01,DC-01,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-00646,2026-08-19T00:25:08Z,FIN-WS-14,DC-01,NT AUTHORITY\SYSTEM,SMB,success,benign,routine authentication
AUTH-00342,2026-08-19T00:30:41Z,PRINT-01,DC-01,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-01538,2026-08-19T00:35:14Z,FIN-WS-14,FILE-02,ACME\svc_print,SMB,success,benign,routine authentication
AUTH-01367,2026-08-19T00:40:41Z,JUMP-01,FILE-02,NT AUTHORITY\SYSTEM,SMB,success,benign,routine authentication
AUTH-00508,2026-08-19T00:45:30Z,FILE-02,DC-01,ACME\svc_backup,SMB,failure,benign,routine authentication
AUTH-01000,2026-08-19T00:46:02Z,APP-API-02,DC-01,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-01508,2026-08-19T00:53:57Z,BACKUP-01,APP-API-02,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01267,2026-08-19T00:54:12Z,PRINT-01,FILE-02,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-00811,2026-08-19T00:58:01Z,BACKUP-01,FILE-02,ACME\mrivera,SMB,success,benign,routine authentication
AUTH-01272,2026-08-19T01:00:52Z,DC-01,DC-01,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-00480,2026-08-19T01:01:20Z,BACKUP-01,DC-01,NT AUTHORITY\SYSTEM,RDP,success,benign,routine authentication
AUTH-01379,2026-08-19T01:01:49Z,JUMP-01,FILE-02,ACME\svc_backup,RDP,failure,benign,routine authentication
AUTH-00266,2026-08-19T01:07:07Z,BACKUP-01,APP-API-02,ACME\jsmith,NTLM,success,benign,routine authentication
AUTH-00872,2026-08-19T01:07:14Z,PRINT-01,DC-01,ACME\svc_print,Kerberos,failure,benign,routine authentication
AUTH-01552,2026-08-19T01:12:00Z,BACKUP-01,DC-01,ACME\svc_print,Kerberos,success,benign,routine authentication
AUTH-00202,2026-08-19T01:12:54Z,DC-01,FILE-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-00237,2026-08-19T01:13:52Z,PRINT-01,FILE-02,ACME\jsmith,RDP,failure,benign,routine authentication
AUTH-01560,2026-08-19T01:16:40Z,DC-01,DC-01,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-00389,2026-08-19T01:25:25Z,JUMP-01,FILE-02,ACME\mrivera,Kerberos,success,benign,routine authentication
AUTH-01416,2026-08-19T01:27:31Z,JUMP-01,DC-01,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-01390,2026-08-19T01:30:15Z,DC-01,APP-API-02,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00756,2026-08-19T01:37:25Z,FILE-02,DC-01,ACME\svc_backup,RDP,success,benign,routine authentication
AUTH-00580,2026-08-19T01:41:14Z,FILE-02,DC-01,ACME\svc_print,NTLM,success,benign,routine authentication
AUTH-00438,2026-08-19T01:50:06Z,FIN-WS-14,FILE-02,ACME\jsmith,RDP,success,benign,routine authentication
AUTH-01470,2026-08-19T01:54:51Z,DC-01,FILE-02,NT AUTHORITY\SYSTEM,Kerberos,success,benign,routine authentication
AUTH-00661,2026-08-19T02:01:28Z,FIN-WS-14,APP-API-02,ACME\svc_backup,NTLM,success,benign,routine authentication
AUTH-01648,2026-08-19T02:11:03Z,FILE-02,APP-API-02,NT AUTHORITY\SYSTEM,RDP,failure,benign,routine authentication
AUTH-01616,2026-08-19T02:13:33Z,FILE-02,DC-01,ACME\mrivera,SMB,failure,benign,routine authentication
AUTH-01674,2026-08-19T02:19:17Z,APP-API-02,DC-01,ACME\svc_print,SMB,failure,benign,routine authentication
AUTH-00953,2026-08-19T02:21:05Z,PRINT-01,FILE-02,ACME\svc_print,NTLM,failure,benign,routine authentication
AUTH-00463,2026-08-19T02:21:21Z,PRINT-01,APP-API-02,ACME\mrivera,Kerberos,success,benign,routine authentication
